GEOID,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,place,mcd,school,cd_1980,cd_1990
42001000301,5951,70,5845,70,9,3,24,4293,36,4195,36,7,2,17,220,331,NA,63616,03450,17,19
42001000302,4451,123,4225,123,51,1,50,3269,76,3064,76,25,1,27,226,345,87136,78160,03450,17,19
42001000303,3260,182,3034,182,35,7,2,2470,114,2208,114,25,7,2,233,514,5536,48608,24300,17,19
42001000304,4819,102,4615,102,86,6,10,3636,56,3457,56,57,4,6,537,646,2928,27320,10710,17,19
42001000305,3522,93,3411,93,9,1,7,2667,59,2540,59,5,1,3,305,437,6296,10456,24300,17,19
42001000306,4550,26,4447,26,53,15,9,3481,21,3385,21,40,10,4,550,756,NA,74680,10710,17,19
42001000307,5358,50,5249,50,25,6,26,3802,25,3719,25,13,6,14,388,437,7560,51776,06550,17,19
42001000308,5305,40,5227,40,20,2,14,3919,22,3856,22,8,2,9,206,211,20792,32144,06550,17,19
42001000309,5054,60,4964,60,9,0,21,3879,37,3789,37,5,0,11,337,351,53920,57472,06550,17,19
42001000310,1186,18,1161,18,0,1,6,845,10,821,10,0,1,3,81.74,66.37,NA,15632,06550,17,19
42001000311,6115,51,6045,51,3,6,9,4706,32,4631,32,2,3,6,455.26,369.63,49224,15632,06550,17,19
42001000312,6976,39,6842,39,54,6,31,5082,17,5009,17,18,6,15,201,308,43944,51640,13980,17,19
42001000313,2973,15,2942,15,1,1,14,2267,12,2235,12,1,1,6,424,538,43944,43944,13980,17,19
42001000314,5431,81,5194,81,101,1,53,4293,58,4061,58,79,1,36,867,1123,NA,17640,10710,17,19
42001000315,7025,232,6351,232,362,11,65,6089,139,5505,139,248,10,48,920,1047,28960,28960,10710,17,19
42001000316,3902,26,3814,26,38,7,14,2898,19,2819,19,25,6,10,102,143,11472,11472,09540,17,19
42001000317,2396,8,2369,8,5,4,8,1821,6,1795,6,4,4,6,204,295,24560,32200,09540,17,19
42001000318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,48608,24300,21,19
42001000319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,48608,24300,21,19
42003000101,1444,29,835,29,561,5,13,1450,29,828,29,546,5,13,461.88,177.34,61000,61000,19170,15,14
42003000103,3220,87,2457,87,623,5,42,3168,85,2430,85,522,5,41,1009.13,387.45,61000,61000,19170,15,14
42003000201,1670,22,1125,22,504,7,12,1685,22,1120,22,504,7,10,536.74,206.08,61000,61000,19170,15,14
