GEOID,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,ai_an_nh,place,mcd,school_elm,DISTRICT,school,cd_1980,cd_1990
44001000301,4473,57,4353,57,23,3,31,3461,40,3341,40,19,2,19,944.28,1559.19,NA,4960,5140,NA,NA,00030,1,1
44001000302,3105,15,3055,15,11,2,21,2435,7,2399,7,7,1,14,664.35,1096.98,NA,4960,5140,NA,NA,00030,1,1
44001000303,4553,34,4432,34,15,0,66,3350,23,3251,23,9,0,44,913.99,1509.19,NA,4960,5140,NA,NA,00030,1,1
44001000304,3718,19,3662,19,2,0,34,2765,12,2714,12,2,0,25,754.38,1245.64,NA,4960,5140,NA,NA,00030,1,2
44001000305,3599,63,3502,63,10,3,16,2782,45,2671,45,7,2,12,675.31,742.5,NA,NA,73760,NA,NA,01080,1,1
44001000307,4546,128,4378,128,22,3,13,3628,79,3440,79,19,1,10,802.11,855.72,NA,9460,9280,NA,NA,00060,1,1
44001000308,4859,100,4698,100,29,6,15,4200,73,4015,73,22,3,14,928.57,990.63,NA,9460,9280,NA,NA,00060,1,1
44001030601,3466,34,3412,34,7,2,11,2673,23,2610,23,6,2,9,648.85,713.41,NA,NA,73760,NA,NA,01080,1,1
44001030602,4320,40,4236,40,17,6,18,3571,27,3488,27,9,6,14,866.84,953.08,NA,NA,73760,NA,NA,01080,1,1
44001030899,25,0,25,0,0,0,0,25,0,25,0,0,0,0,5.53,5.9,NA,9460,9280,NA,NA,00060,1,1
44001030901,5599,85,5433,85,27,6,48,4281,58,4103,58,21,5,36,946.48,1009.74,NA,9460,9280,NA,NA,00060,1,1
44001030902,6596,97,6454,97,15,7,22,5393,78,5204,78,10,4,19,1192.32,1272.02,NA,9460,9280,NA,NA,00060,1,1
44003000202,4917,110,4678,110,46,8,72,4004,81,3747,81,35,7,53,881.12,1047.49,NA,78260,78440,NA,NA,01140,2,2
44003000203,6293,110,6069,110,56,23,35,4990,78,4763,78,36,13,22,1098.1,1305.44,NA,78260,78440,NA,NA,01140,2,2
44003000204,3155,62,3066,62,19,2,6,2470,37,2382,37,8,1,5,543.55,646.18,NA,78260,78440,NA,NA,01140,2,2
44003000205,3694,47,3610,47,15,4,13,2978,33,2888,33,11,4,9,655.34,779.08,NA,78260,78440,NA,NA,01140,2,2
44003000208,3501,13,3446,13,11,6,21,2594,10,2547,10,8,4,15,613,1027,NA,NA,77720,00360,NA,00300,2,2
44003000210,7859,74,7650,74,64,10,55,6182,48,5996,48,42,10,38,1773.25,2118.07,NA,74300,74300,NA,NA,01110,2,2
44003000211,5382,62,5206,62,55,9,40,4221,50,4031,50,49,9,32,1210.75,1446.2,NA,74300,74300,NA,NA,01110,2,2
44003000212,4296,68,4136,68,47,6,38,3508,45,3349,45,37,6,26,1006.24,1201.91,NA,74300,74300,NA,NA,01110,2,2
44003000213,5129,41,5039,41,18,11,20,4125,25,4038,25,16,8,13,1183.22,1413.31,NA,74300,74300,NA,NA,01110,2,2
44003000216,1453,6,1409,6,11,1,22,1115,5,1087,5,5,1,12,319.83,382.02,NA,74300,74300,NA,NA,01110,2,2
44003000217,5214,74,5045,74,47,15,27,3899,49,3744,49,30,11,16,1118.39,1335.87,NA,74300,74300,NA,NA,01110,2,2
44003000218,4014,50,3827,50,68,15,48,3133,36,2962,36,55,11,33,898.67,1073.43,NA,74300,74300,NA,NA,01110,2,2
44003000220,3682,21,3590,21,32,9,30,2977,13,2900,13,23,6,22,492.72,938.81,NA,74300,74300,NA,NA,01110,2,2
44003000221,5618,23,5543,23,25,9,18,4696,17,4629,17,15,6,12,1347,1608.94,NA,74300,74300,NA,NA,01110,2,2
44003000223,4077,30,3934,30,37,11,59,3447,19,3324,19,30,8,47,988.74,1181.01,NA,74300,74300,NA,NA,01110,2,2
44003000224,2357,23,2319,23,7,1,6,1803,15,1765,15,3,1,4,517.17,617.74,NA,74300,74300,NA,NA,01110,2,2
44003020101,6187,100,5931,100,54,8,94,4628,62,4396,62,35,7,66,1018.44,1210.74,NA,78260,78440,NA,NA,01140,2,2
44003020102,5031,113,4824,113,28,8,53,4010,76,3798,76,21,3,36,882.44,1049.06,NA,78260,78440,NA,NA,01140,2,2
44003020601,4998,37,4927,37,10,4,16,3653,28,3575,28,7,2,13,792.52,1131.51,NA,NA,18640,NA,NA,00210,2,2
44003020602,8665,64,8537,64,24,12,26,6801,45,6670,45,16,7,18,1475.49,2106.61,NA,NA,18640,NA,NA,00210,2,2
44003020603,6607,75,6472,75,15,11,30,5053,53,4910,53,9,6,22,1096.26,1565.16,NA,NA,18640,NA,NA,00210,2,2
44003020701,1654,12,1630,12,8,1,2,1163,7,1145,7,2,1,1,252.31,360.24,NA,NA,18640,NA,NA,00210,2,2
44003020702,3765,33,3711,33,13,0,8,2829,24,2769,24,8,0,4,613.76,876.28,NA,NA,18640,NA,NA,00210,2,2
44003020703,5394,39,5310,39,8,4,33,4133,24,4059,24,4,3,19,896.66,1280.19,NA,NA,18640,NA,NA,00210,2,2
44003020901,3911,38,3789,38,29,16,38,3195,32,3071,32,26,9,25,528.8,1007.55,NA,NA,22240,NA,NA,00300,2,2
44003020903,4485,28,4346,28,15,5,90,3169,18,3067,18,10,4,52,524.49,999.35,NA,NA,22240,NA,NA,00300,2,2
44003020904,3412,11,3369,11,4,1,27,2598,7,2561,7,4,1,18,429.99,819.29,NA,NA,22240,NA,NA,00300,2,2
44003021401,4368,13,4296,13,29,3,27,3414,10,3347,10,25,3,19,979.27,1169.7,NA,74300,74300,NA,NA,01110,2,2
44003021402,4046,40,3926,40,29,2,47,3233,29,3119,29,19,2,35,927.36,1107.69,NA,74300,74300,NA,NA,01110,2,2
44003021501,3261,38,3156,38,30,10,24,2445,27,2348,27,21,8,14,701.33,837.7,NA,74300,74300,NA,NA,01110,2,2
44003021502,4368,43,4253,43,28,4,35,3329,28,3229,28,19,2,23,954.89,1140.58,NA,74300,74300,NA,NA,01110,2,2
44003021901,4260,50,4147,50,28,7,28,3299,26,3207,26,14,3,23,946.29,1130.3,NA,74300,74300,NA,NA,01110,2,2
44003021902,2854,52,2762,52,10,10,20,2235,33,2140,33,9,6,14,641.09,765.75,NA,74300,74300,NA,NA,01110,2,2
44003021903,4460,49,4333,49,23,17,32,3457,27,3349,27,17,11,26,991.61,1184.44,NA,74300,74300,NA,NA,01110,2,2
44003022201,5982,64,5785,64,41,6,84,4676,44,4497,44,33,4,54,1341.27,1602.09,NA,74300,74300,NA,NA,01110,2,2
44003022202,2786,24,2688,24,26,10,38,2467,19,2376,19,14,10,29,707.64,845.24,NA,74300,74300,NA,NA,01110,2,2
44005000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,99998,1,1
44005000402,1917,93,1649,93,129,7,37,1253,54,1041,54,75,7,22,256.22,273.02,NA,45010,45460,00510,NA,00630,1,1
44005000404,6271,100,5956,100,88,13,97,5045,76,4757,76,67,9,60,728.27,993.98,NA,50140,45460,NA,NA,00630,1,1
44005000405,5099,227,3753,227,852,116,92,3433,118,2598,118,489,55,55,701.99,748.03,NA,49960,49960,NA,NA,00720,1,1
44005000406,4911,103,4234,103,455,29,69,3975,76,3410,76,347,14,52,812.82,866.13,NA,49960,49960,NA,NA,00720,1,1
44005000407,4038,87,3768,87,127,10,39,3420,72,3134,72,102,8,32,699.33,745.2,NA,49960,49960,NA,NA,00720,1,1
44005000408,3063,82,2745,82,194,7,21,2658,55,2396,55,129,7,16,543.52,579.16,NA,49960,49960,NA,NA,00720,1,1
44005000409,5319,75,5135,75,55,9,39,4405,57,4207,57,43,8,33,900.75,959.82,NA,49960,49960,00510,NA,00720,1,1
44005000410,2244,38,2097,38,78,8,20,1982,34,1829,34,64,8,13,405.29,431.87,NA,49960,49960,NA,NA,00720,1,1
44005000411,1666,36,1501,36,102,3,20,1410,22,1262,22,87,3,14,288.32,307.23,NA,49960,49960,00510,NA,00720,1,1
44005000412,2003,142,1443,142,324,12,79,1766,120,1176,120,271,11,68,361.12,384.8,NA,49960,49960,00510,NA,00720,1,1
44005000413,4999,45,4900,45,30,11,10,3909,33,3798,33,26,10,9,1186,1476,NA,NA,36820,00510,NA,NA,1,1
44005000414,3337,11,3299,11,1,6,18,2593,8,2559,8,0,6,12,708,1066,NA,NA,42400,00600,NA,01050,1,1
44005000417,7055,79,6930,79,14,7,25,5381,64,5213,64,12,5,23,1376.86,1551.47,NA,NA,70880,00600,NA,01050,1,1
44005040101,5111,50,4996,50,21,8,30,3927,34,3817,34,15,5,22,1304.29,1886.25,NA,NA,57880,NA,NA,00870,1,1
44005040102,5535,40,5412,40,31,2,49,4167,25,4062,25,22,2,31,601.52,821,NA,NA,57880,NA,NA,00870,1,1
44005040103,6211,85,5885,85,99,31,99,4690,54,4418,54,74,19,71,1557.71,2252.75,NA,45010,57880,00510,NA,00870,1,1
44005040299,1584,75,1276,75,192,10,31,1655,75,1272,75,192,10,31,238.91,326.07,NA,45010,45460,NA,NA,00630,1,1
44005040302,2631,28,2489,28,81,4,28,2158,20,2036,20,59,4,19,311.52,425.18,NA,50140,45460,NA,NA,00630,1,1
44005040303,4535,192,3913,192,278,23,129,3046,111,2553,111,170,14,87,439.7,600.13,NA,50140,45460,NA,NA,00630,1,1
44005040304,2398,42,2187,42,103,4,52,1871,28,1700,28,74,4,37,270.09,368.63,NA,50140,45460,NA,NA,00630,1,1
44005041199,8,0,7,0,1,0,0,8,0,7,0,1,0,0,1.64,1.74,NA,49960,49960,NA,NA,00720,1,1
44005041601,3014,55,2932,55,12,9,6,2459,46,2349,46,7,7,4,629.19,708.99,NA,70700,70880,NA,NA,01050,1,1
44005041602,4245,27,4193,27,5,3,15,3439,22,3378,22,3,3,11,879.95,991.54,NA,70700,70880,NA,NA,01050,1,1
44007000001,9070,1657,4920,1657,1605,65,691,7435,1026,3840,1026,1074,50,419,1755.27,1080.91,NA,59000,59000,NA,NA,00900,2,2
44007000002,9626,3748,2305,3748,2451,152,853,8380,2258,1827,2258,1484,94,459,1978.36,1218.3,NA,59000,59000,NA,NA,00900,2,2
44007000003,5699,2066,1041,2066,1584,92,859,5027,1337,849,1337,1009,58,437,1186.78,730.83,NA,59000,59000,NA,NA,00900,2,2
44007000004,3269,1274,281,1274,1402,53,215,2694,748,211,748,857,30,100,636,391.66,NA,59000,59000,NA,NA,00900,2,2
44007000005,2564,977,308,977,1116,71,57,2160,577,237,577,699,46,24,509.94,314.02,NA,59000,59000,NA,NA,00900,2,2
44007000006,1101,233,194,233,548,15,61,826,147,148,147,342,10,32,195,120.09,NA,59000,59000,NA,NA,00900,2,2
44007000007,2904,536,1153,536,990,66,123,2481,319,1056,319,667,38,82,585.72,360.69,NA,59000,59000,NA,NA,00900,2,2
44007000008,2460,101,2095,101,161,14,82,2469,92,2044,92,155,14,72,582.89,358.95,NA,59000,59000,NA,NA,00900,2,2
44007000009,2360,358,1909,358,63,5,15,2145,243,1605,243,35,4,15,506.4,311.84,NA,59000,59000,NA,NA,00900,2,2
44007000010,2318,385,1779,385,129,2,5,2152,260,1546,260,79,2,5,508.05,312.86,NA,59000,59000,NA,NA,00900,2,2
44007000011,2207,411,1641,411,115,9,16,1954,267,1332,267,67,5,16,461.3,284.08,NA,59000,59000,NA,NA,00900,2,2
44007000012,2498,720,481,720,1120,71,80,2116,426,428,426,744,45,47,499.55,307.63,NA,59000,59000,NA,NA,00900,2,2
44007000013,4122,1335,1679,1335,448,68,569,3761,884,1397,884,261,35,300,887.9,546.78,NA,59000,59000,NA,NA,00900,2,2
44007000014,5527,2300,838,2300,1161,69,1097,4874,1434,672,1434,693,48,593,1150.66,708.59,NA,59000,59000,NA,NA,00900,2,2
44007000015,2479,144,1827,144,209,19,258,1907,90,1452,90,117,10,148,450.21,277.24,NA,59000,59000,NA,NA,00900,2,2
44007000016,6113,540,5230,540,144,11,181,4742,326,3907,326,76,9,98,1119.5,689.4,NA,59000,59000,NA,NA,00900,2,2
44007000017,3081,165,2890,165,12,2,5,2533,85,2352,85,6,2,3,598,368.25,NA,59000,59000,NA,NA,00900,2,2
44007000018,4856,689,3551,689,400,42,160,3877,389,2758,389,224,17,100,915.29,563.64,NA,59000,59000,NA,NA,00900,2,2
44007000019,4913,1497,2726,1497,270,48,333,4298,932,2103,932,143,22,166,1014.68,624.85,NA,59000,59000,NA,NA,00900,2,2
44007000020,3585,547,2594,547,293,21,122,2944,287,2143,287,140,11,76,695.02,428,NA,59000,59000,NA,NA,00900,2,2
44007000021,7662,412,7021,412,101,19,92,6312,252,5673,252,62,9,64,1490.15,917.65,NA,59000,59000,NA,NA,00900,2,2
44007000022,3722,622,2771,622,172,13,128,3173,392,2181,392,106,10,92,749.09,461.3,NA,59000,59000,NA,NA,00900,2,2
44007000023,5043,200,4727,200,52,8,47,4371,131,4029,131,38,7,35,1031.91,635.46,NA,59000,59000,NA,NA,00900,2,2
44007000024,7647,142,7272,142,147,7,64,6911,118,6474,118,143,5,53,1631.56,1004.73,NA,59000,59000,NA,NA,00900,2,2
44007000025,2321,405,1270,405,174,13,432,1892,267,999,267,106,8,245,446.67,275.06,NA,59000,59000,NA,NA,00900,2,2
44007000026,3682,826,1707,826,491,24,586,2966,502,1369,502,290,12,291,700.22,431.2,NA,59000,59000,NA,NA,00900,1,2
44007000027,4177,722,2236,722,1063,48,46,3241,395,1813,395,578,26,34,765.14,471.18,NA,59000,59000,NA,NA,00900,1,1
44007000028,5271,277,4600,277,284,7,87,4322,176,3723,176,175,7,65,1020.35,628.34,NA,59000,59000,NA,NA,00900,1,1
44007000029,5854,290,5419,290,87,11,17,4909,191,4454,191,53,7,13,1158.93,713.68,NA,59000,59000,NA,NA,00900,1,1
44007000030,591,12,476,12,88,6,1,592,12,473,12,88,6,1,139.76,86.07,NA,59000,59000,NA,NA,00900,1,1
44007000031,3454,254,1690,254,1115,32,269,3010,179,1552,179,868,27,205,710.61,437.6,NA,59000,59000,NA,NA,00900,1,1
44007000032,3702,246,2149,246,978,63,73,2761,131,1737,131,663,42,57,651.82,401.4,NA,59000,59000,NA,NA,00900,1,1
