GEOID,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,ai_an_nh,place,mcd,school_elm,school,cd_1980,cd_1990
48001009501,3203,60,2757,60,373,6,7,2393,37,2066,37,242,6,5,293.99,395.51,NA,27300,91390,NA,19770,20,10
48001009502,2652,50,2343,50,253,5,1,1938,25,1700,25,184,4,0,238.09,320.31,NA,NA,92615,NA,13200,20,10
48001009503,719,36,555,36,127,1,0,549,22,407,22,97,1,0,67.45,90.74,NA,NA,90650,NA,13200,20,10
48001009504,10079,1843,3258,1843,4880,4,16,11550,1821,3030,1821,4860,4,14,1418.97,1908.97,NA,NA,92615,NA,13200,20,10
48001009505,4198,535,2788,535,853,9,10,3196,298,2101,298,482,9,8,392.64,528.23,NA,54708,92945,NA,34050,20,10
48001009506,6294,501,4086,501,1672,16,19,4436,264,2823,264,1062,11,12,544.98,733.18,NA,54708,92945,NA,43290,20,10
48001009507,2584,351,986,351,1232,2,12,2011,187,795,187,832,2,8,247.06,332.38,NA,54708,92945,NA,34050,20,10
48001009508,5356,292,4510,292,517,11,20,4128,161,3483,161,300,9,14,507.14,682.27,NA,54708,92945,NA,34050,20,10
48001009509,8034,199,6908,199,880,31,14,5790,112,4910,112,625,24,7,711.33,956.96,NA,54708,92945,NA,34050,20,10
48001009510,4905,86,4474,86,304,32,8,3633,41,3286,41,233,26,6,446.33,600.46,NA,23140,91205,NA,18390,20,10
48003009501,1218,158,1011,158,14,5,27,915,95,697,95,9,5,14,67.06,225.88,NA,3216,90085,NA,08280,10,19
48003009502,6251,1541,4445,1541,156,28,73,5079,836,3230,836,105,23,49,372.26,1253.81,NA,3216,90085,NA,08280,10,19
48003009503,4194,2052,1994,2052,73,19,31,3746,1118,1440,1118,43,12,15,274.56,924.74,NA,3216,90085,NA,08280,10,19
48003009504,2675,801,1831,801,16,12,11,2048,389,1245,389,10,8,7,150.11,505.57,NA,3216,90090,NA,08280,10,19
48005000001,7370,246,6864,246,228,13,10,5487,149,4995,149,176,10,8,893.08,1048,NA,35228,93090,NA,13500,20,7
48005000002,5706,336,4922,336,411,17,15,4162,180,3528,180,248,15,11,677.42,794.93,NA,45072,92325,NA,28550,20,7
48005000003,6922,354,6201,354,336,19,10,5113,210,4457,210,220,10,6,832.21,976.56,NA,35228,92325,NA,23790,20,7
48005000004,5217,632,3478,632,1085,9,12,4278,365,2840,365,698,4,6,696.3,817.08,NA,45072,92325,NA,28550,20,7
48005000005,4553,363,748,363,3435,2,2,3329,191,552,191,2392,2,1,541.84,635.83,NA,45072,92325,NA,28550,20,7
48005000006,5295,695,3019,695,1511,14,55,4037,367,2346,367,910,10,37,657.07,771.05,NA,45072,92325,NA,28550,20,7
