GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,ai_an_nh,place,mcd,school,cd_1980,cd_1990
49001009811,49,001,009811,2676,74,2568,74,2,26,5,1721,37,1628,37,2,14,3,511.12,655.33,NA,4060,90086,00060,1,1
49001009812,49,001,009812,2089,46,2016,46,3,10,14,1370,20,1315,20,1,3,11,406.88,521.67,NA,50040,91892,00060,1,1
49003009601,49,003,009601,2443,99,2315,99,0,8,21,1344,55,1221,55,0,5,8,217.78,643.64,55290,61590,91419,00090,1,1
49003009602,49,003,009602,5381,155,5122,155,1,27,76,3094,72,2877,72,0,14,59,501.36,1481.71,NA,36290,93440,00090,1,1
49003009603,49,003,009603,4818,283,4427,283,5,25,77,2989,150,2627,150,1,14,47,484.34,1431.42,NA,77120,93440,00090,1,1
49003009604,49,003,009604,3975,179,3692,179,1,31,71,2373,98,2100,98,1,16,60,384.52,1136.42,NA,15830,93440,00090,1,1
49003009605,49,003,009605,3928,224,3613,224,3,58,29,2600,136,2273,136,3,31,21,421.31,1245.13,NA,8460,90258,00090,1,1
49003009606,49,003,009606,6288,239,5927,239,4,63,52,3991,134,3660,134,3,37,23,646.71,1911.28,NA,8460,90258,00090,1,1
49003009607,49,003,009607,5680,319,5176,319,1,129,54,3716,176,3247,176,0,78,39,602.14,1779.58,NA,8460,90258,00090,1,1
49003009608,49,003,009608,3972,112,3813,112,1,27,18,2449,64,2293,64,0,16,12,396.84,1172.82,NA,84710,90258,00090,1,1
49005000001,49,005,000001,5017,123,4878,123,0,1,13,2856,58,2734,58,0,1,5,478,1155.3,NA,44760,91677,00120,1,1
49005000002,49,005,000002,6005,160,5788,160,0,13,42,3444,78,3257,78,0,7,24,576.41,1393.16,NA,69640,93096,00120,1,1
49005000003,49,005,000003,2951,45,2893,45,0,3,10,1719,24,1661,24,0,2,8,287.7,695.37,NA,54550,93096,00120,1,1
