GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,ai_an_nh,place,mcd,school_elm,DISTRICT,school,cd_1980,cd_1990
55001009501,55,001,009501,1858,12,1828,12,4,10,4,1519,6,1497,6,2,7,1,302,447,NA,NA,69275,NA,NA,10380,6,2
55001009502,55,001,009502,1415,32,1375,32,1,7,0,1113,18,1071,18,0,6,0,147,122,NA,NA,7300,NA,NA,00060,6,2
55001009503,55,001,009503,1772,12,1758,12,1,1,0,1381,7,1365,7,1,1,0,211,230,88212,NA,77800,NA,NA,00060,6,2
55001009504,55,001,009504,4281,62,4165,62,10,18,26,3224,25,3142,25,5,11,16,168,208,NA,275,275,NA,NA,00060,6,2
55001009505,55,001,009505,989,2,983,2,0,4,0,837,2,830,2,0,3,0,202,194,NA,NA,65825,NA,NA,00060,6,2
55001009506,55,001,009506,3060,180,2470,180,319,70,19,2741,176,1981,176,319,70,19,128,172,NA,NA,22000,NA,NA,00060,6,2
55001009507,55,001,009507,2307,8,2270,8,18,9,2,1801,4,1776,4,7,8,2,84,113,NA,88150,37625,NA,NA,17040,7,2
55003000000,55,003,000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,47,NA,NA,NA,NA,NA,99998,8,3
55003009501,55,003,009501,1287,18,426,18,1,842,0,821,6,302,6,1,506,0,200,54,4225,59450,71350,NA,NA,00510,8,3
55003009502,55,003,009502,3355,13,3070,13,1,267,4,2512,8,2329,8,1,162,4,931.9,898.87,4225,3225,3225,NA,NA,00510,8,3
55003009503,55,003,009503,2978,24,2808,24,8,115,22,2278,13,2151,13,8,72,21,845.1,815.13,NA,3225,3225,NA,NA,00510,8,3
55003009504,55,003,009504,2598,14,2424,14,2,144,14,2024,6,1914,6,2,89,7,112,88,4225,3225,3225,NA,NA,00510,8,3
55003009505,55,003,009505,1757,9,1703,9,1,40,4,1182,5,1151,5,0,19,2,95,42,NA,3225,49200,NA,NA,00510,8,3
55003009506,55,003,009506,1632,17,1587,17,0,27,1,1191,6,1164,6,0,15,0,95,95,4225,50700,29875,NA,NA,08970,8,3
55003009507,55,003,009507,2700,11,2672,11,0,17,0,1931,6,1909,6,0,10,0,157,214,NA,11525,37775,NA,NA,05550,8,3
55005009601,55,005,009601,3268,3,3256,3,4,2,3,2279,1,2273,1,1,2,1,169,101,NA,33225,13500,NA,NA,12810,4,8
55005009602,55,005,009602,3715,10,3581,10,7,116,1,2765,4,2692,4,2,63,0,101,84,70600,18025,18025,NA,NA,03090,4,8
55005009603,55,005,009603,3814,4,3798,4,2,4,6,2716,2,2703,2,1,3,5,122,124,70600,81075,1350,NA,NA,15060,4,8
55005009604,55,005,009604,5080,46,5005,46,4,13,12,3696,25,3634,25,0,6,6,132,91,NA,4875,4875,NA,NA,00870,4,8
55005009605,55,005,009605,3969,33,3914,33,1,14,6,2926,15,2882,15,1,9,4,1268,1561,NA,67350,67350,NA,NA,12810,4,8
55005009606,55,005,009606,5561,20,5481,20,8,22,30,4238,17,4167,17,6,11,20,386,496,NA,67350,67350,NA,NA,12810,4,8
55005009607,55,005,009607,1223,4,1214,4,0,3,2,868,2,860,2,0,2,2,95,76,NA,NA,20750,NA,NA,12810,4,8
55005009608,55,005,009608,3055,11,3027,11,5,6,6,2103,4,2090,4,1,2,2,260,337,NA,12250,76600,NA,NA,02130,4,8
55005009609,55,005,009609,4883,16,4845,16,1,14,7,3398,9,3368,9,0,10,2,131,81,NA,65150,18600,NA,NA,00870,4,8
55005009610,55,005,009610,4866,16,4826,16,4,11,8,3623,7,3596,7,1,7,5,189,194,NA,14325,14325,NA,NA,02490,4,8
55005009611,55,005,009611,1316,1,1308,1,0,2,5,924,0,919,0,0,2,3,252,277,NA,56350,20650,NA,NA,02490,4,8
55007000000,55,007,000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,6200,NA,NA,99998,8,3
55007009504,55,007,009504,2886,0,2841,0,0,45,0,2066,0,2039,0,0,27,0,80,55,NA,49900,39425,NA,NA,11040,8,3
55007009601,55,007,009601,2529,19,1520,19,5,983,2,1796,10,1180,10,0,594,2,138,148,66600,5350,5375,NA,NA,00900,8,3
55007009602,55,007,009602,1574,4,1551,4,0,17,0,1112,2,1100,2,0,8,0,18,28,NA,NA,15750,NA,NA,12030,8,3
55007009603,55,007,009603,3754,12,3556,12,22,151,12,2649,4,2550,4,8,78,5,110,84,NA,83525,83525,NA,NA,15540,8,3
55007009605,55,007,009605,1410,8,1363,8,2,27,10,1167,5,1134,5,2,17,4,50,61,NA,NA,37200,NA,NA,08640,8,3
55007009606,55,007,009606,1025,5,1019,5,0,1,0,809,3,803,3,0,0,0,122,140,NA,NA,4750,NA,NA,03810,8,3
55007009607,55,007,009607,830,2,826,2,0,2,0,707,2,702,2,0,1,0,64,120,NA,NA,55375,NA,NA,03810,8,3
55009000001,55,009,000001,2956,65,2465,65,35,177,211,2051,34,1785,34,13,113,72,481.57,574.41,NA,31000,31000,NA,NA,05820,1,4
55009000002,55,009,000002,6347,36,6098,36,19,116,78,4722,17,4583,17,8,65,32,1108.72,1322.46,NA,31000,31000,NA,NA,05820,1,4
55009000005,55,009,000005,3207,59,2838,59,20,171,118,2296,33,2075,33,8,95,52,539.1,643.02,NA,31000,31000,NA,NA,05820,1,4
55009000006,55,009,000006,4662,23,4577,23,3,29,30,3547,15,3488,15,1,16,12,832.83,993.38,NA,31000,31000,NA,NA,05820,1,4
55009000007,55,009,000007,5445,50,5110,50,19,182,84,4019,21,3817,21,8,116,36,943.66,1125.57,NA,31000,31000,NA,NA,05820,1,4
55009000008,55,009,000008,2123,56,1552,56,9,214,292,1478,25,1176,25,8,115,129,347.03,413.93,NA,31000,31000,NA,NA,05820,1,4
55009000009,55,009,000009,3911,130,3356,130,24,185,216,2841,85,2473,85,11,110,77,667.07,795.66,NA,31000,31000,NA,NA,05820,1,4
55009000010,55,009,000010,838,9,758,9,10,58,3,824,9,738,9,10,56,2,193.47,230.77,NA,31000,31000,NA,NA,05820,1,4
55009000011,55,009,000011,2206,57,1872,57,6,87,182,1611,35,1405,35,6,45,85,378.26,451.18,NA,31000,31000,NA,NA,05820,1,4
55009000012,55,009,000012,3081,90,2571,90,40,132,238,2273,47,1996,47,18,76,89,533.7,636.58,NA,31000,31000,NA,NA,05820,1,4
55009000013,55,009,000013,3405,64,3096,64,22,71,150,2545,35,2359,35,10,44,62,597.56,712.76,NA,31000,31000,NA,NA,05820,1,4
55009000014,55,009,000014,3778,41,3570,41,23,87,57,2844,21,2728,21,11,41,22,667.77,796.5,NA,31000,31000,NA,NA,05820,1,4
55009000016,55,009,000016,5606,67,5348,67,15,76,98,4232,27,4079,27,9,46,44,993.67,1185.23,NA,31000,31000,NA,NA,05820,1,4
55009000017,55,009,000017,5230,38,5022,38,18,70,81,4249,25,4103,25,10,45,41,997.66,1189.99,NA,31000,31000,NA,NA,05820,1,4
55009000101,55,009,000101,4360,23,4311,23,8,10,8,3183,11,3141,11,8,6,6,911.98,1282.72,NA,19775,19775,NA,NA,03210,1,4
55009000103,55,009,000103,4462,7,4376,7,9,60,6,3161,4,3108,4,5,37,3,221,384,NA,19775,19775,NA,NA,03210,1,4
55009000202,55,009,000202,5214,36,5155,36,4,18,1,3616,20,3561,20,3,12,0,694,985,NA,35950,77975,NA,NA,06630,1,4
55009000203,55,009,000203,4365,6,4329,6,3,23,4,3104,2,3080,2,0,16,4,338,454,60025,65675,63075,NA,NA,12330,1,4
55009000204,55,009,000204,5528,42,4811,42,8,648,19,3812,20,3355,20,3,404,10,504,881,60025,59975,35150,NA,NA,16320,1,4
55009000206,55,009,000206,4110,14,4089,14,0,6,1,2884,4,2872,4,0,3,1,213,253,NA,19700,56575,NA,NA,03660,1,4
55009000208,55,009,000208,2833,34,2753,34,6,24,16,2203,20,2140,20,3,12,8,474.19,845.33,NA,1175,1150,NA,NA,05820,1,4
55009000209,55,009,000209,3209,17,3138,17,10,20,24,2406,12,2351,12,5,10,16,517.89,923.22,NA,1175,1150,NA,NA,05820,1,4
55009000210,55,009,000210,2648,5,2611,5,6,7,19,2049,4,2021,4,4,3,13,441.04,786.23,NA,1175,1150,NA,NA,05820,1,4
55009000211,55,009,000211,833,49,362,49,376,43,3,880,49,362,49,375,42,3,189.42,337.67,NA,1175,1150,NA,NA,05820,1,4
55009000212,55,009,000212,5224,24,5143,24,19,15,23,3663,16,3596,16,10,8,17,788.46,1405.55,NA,1175,1150,NA,NA,05820,1,4
55009000214,55,009,000214,3986,13,3953,13,1,19,0,2727,4,2708,4,0,11,0,270,332,NA,89150,89175,NA,NA,17190,1,4
55009000215,55,009,000215,2730,3,2711,3,0,13,3,1855,1,1841,1,0,10,2,193,269,NA,NA,35325,NA,NA,17190,1,2
55009000301,55,009,000301,2814,22,2731,22,12,32,17,2001,13,1943,13,6,18,8,469.83,560.41,60025,31000,31000,NA,NA,05820,1,4
55009000302,55,009,000302,5076,27,4922,27,21,75,29,3891,18,3780,18,10,49,16,913.6,1089.72,60025,31000,31000,NA,NA,05820,1,4
55009000303,55,009,000303,3100,18,2973,18,10,84,13,2398,9,2316,9,4,52,8,563.05,671.59,NA,31000,31000,NA,NA,05820,1,4
55009000401,55,009,000401,4795,43,4542,43,9,81,119,3971,28,3795,28,4,65,51,932.39,1112.13,NA,31000,31000,NA,NA,05820,1,4
55009000402,55,009,000402,2697,13,2640,13,6,28,10,2053,7,2011,7,3,21,4,482.04,574.97,NA,31000,31000,NA,NA,05820,1,4
55009001501,55,009,001501,3321,5,3164,5,18,119,15,2136,3,2043,3,12,64,11,501.53,598.21,60025,31000,31000,NA,NA,05820,1,4
55009001502,55,009,001502,3245,48,2930,48,10,244,12,2210,20,2036,20,8,118,8,518.91,618.94,60025,31000,31000,NA,NA,05820,1,4
55009001801,55,009,001801,3329,17,3252,17,15,21,23,2595,11,2533,11,15,16,9,609.3,726.76,NA,31000,31000,NA,NA,05820,1,4
55009001802,55,009,001802,2825,10,2735,10,19,5,56,2407,10,2324,10,18,5,40,175,196,NA,31000,31000,NA,NA,05820,1,4
55009002001,55,009,002001,7415,35,7253,35,30,39,57,5467,16,5360,16,16,24,35,1283.65,1531.1,NA,31000,31000,NA,NA,05820,1,4
55009002002,55,009,002002,3379,20,3301,20,20,14,24,2243,8,2189,8,11,11,16,526.66,628.18,NA,31000,31000,NA,NA,05820,1,4
55009002003,55,009,002003,1426,7,1408,7,3,7,1,941,4,925,4,2,5,1,220.95,263.54,NA,31000,31000,NA,NA,05820,1,4
55009010201,55,009,010201,4804,28,4694,28,17,47,18,4010,12,3927,12,7,36,16,1148.93,1615.99,NA,19775,19775,NA,NA,16320,1,4
55009010202,55,009,010202,3418,13,3371,13,5,28,1,2440,10,2397,10,4,18,1,699.1,983.29,NA,19775,19775,NA,NA,16320,1,4
55009020198,55,009,020198,4348,22,4302,22,0,22,2,3046,6,3024,6,0,8,2,387,466,NA,31000,31025,NA,NA,08340,1,4
55009020501,55,009,020501,6290,27,6194,27,6,54,7,4210,11,4157,11,3,25,3,791.34,1076.07,NA,35950,35950,NA,NA,06630,1,4
55009020502,55,009,020502,3584,17,3521,17,3,35,7,2621,10,2570,10,3,23,5,492.66,669.93,60025,35950,35950,NA,NA,06630,1,4
55009020701,55,009,020701,7543,28,7450,28,10,36,19,5300,17,5219,17,7,29,11,922,1193,NA,6362,6350,NA,NA,05820,1,4
55009020702,55,009,020702,2169,8,2161,8,0,0,0,1490,3,1484,3,0,0,0,138,195,NA,NA,29550,NA,NA,03660,1,4
55009021301,55,009,021301,3905,15,3837,15,3,37,11,2985,9,2930,9,2,25,10,108.89,150.7,NA,3425,3425,NA,NA,00540,1,4
55009021302,55,009,021302,8957,23,8801,23,26,55,52,6243,13,6135,13,14,43,25,227.74,315.17,60025,3425,3425,NA,NA,00540,1,4
55009021303,55,009,021303,3857,21,3712,21,36,52,35,3053,16,2941,16,20,36,24,111.37,154.13,NA,3425,3425,NA,NA,00540,1,4
55011009601,55,011,009601,2577,7,2559,7,1,2,8,1794,3,1783,3,0,2,3,102,92,NA,53600,20575,NA,NA,09780,4,8
55011009602,55,011,009602,2653,9,2622,9,1,11,10,1997,4,1976,4,1,6,6,432,460,NA,53600,53600,NA,NA,09780,4,8
55011009603,55,011,009603,2312,7,2298,7,1,2,4,1715,6,1700,6,1,1,1,122,106,NA,1225,55975,NA,NA,00180,4,8
