GEOID,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,ai_an_nh,place,mcd,school,cd_1980,cd_1990
56001009626,482,26,444,26,0,8,4,386,18,345,18,0,3,2,88.44,72.27,NA,67090,92695,00730,1,1
56001009627,1553,84,1449,84,1,12,7,1131,48,1023,48,0,8,4,259.14,211.76,NA,45050,92090,00730,1,1
56001009628,2108,174,1908,174,8,10,8,1556,106,1324,106,5,8,7,356.51,291.33,NA,45050,92090,00730,1,1
56001009629,1708,410,1237,410,15,21,11,1577,298,949,298,15,10,7,361.33,295.26,NA,45050,92090,00730,1,1
56001009630,2054,192,1791,192,22,16,33,1717,124,1415,124,17,11,26,393.4,321.47,NA,45050,92090,00730,1,1
56001009631,5250,229,4845,229,23,30,121,3939,160,3503,160,10,21,85,902.51,737.49,NA,45050,92090,00730,1,1
56001009632,1008,38,930,38,4,8,28,828,29,737,29,3,8,22,189.71,155.03,NA,45050,92090,00730,1,1
56001009633,1774,76,1468,76,48,43,133,1429,45,1184,45,31,21,103,327.42,267.55,NA,45050,92090,00730,1,1
56001009634,3598,182,3271,182,19,20,104,3290,137,2887,137,18,15,96,753.81,615.98,NA,45050,92090,00730,1,1
56001009635,2027,52,1900,52,30,3,41,2076,52,1898,52,30,3,41,475.66,388.69,NA,45050,92090,00730,1,1
56001009636,4852,237,4473,237,30,20,90,4091,158,3666,158,25,15,69,937.34,765.95,NA,45050,92090,00730,1,1
56001009637,2406,176,2155,176,32,10,33,2013,124,1710,124,21,7,27,461.22,376.89,NA,45050,92090,00730,1,1
56001009638,953,72,869,72,4,6,2,723,45,625,45,1,5,2,165.66,135.37,NA,45050,92090,00730,1,1
56001009639,1024,40,974,40,2,4,4,785,22,732,22,2,3,4,179.86,146.97,NA,NA,93135,00730,1,1
56003009926,2420,62,2325,62,1,22,10,1812,33,1723,33,0,18,5,449.74,635.28,NA,5320,90275,01090,1,1
56003009927,3284,152,3118,152,0,7,5,2441,79,2272,79,0,7,4,605.86,855.8,NA,33885,90165,03170,1,1
56003009928,4821,337,4452,337,1,25,6,3394,188,3002,188,1,10,5,842.4,1189.92,NA,47950,90220,01420,1,1
56005009521,1517,54,1455,54,0,7,1,1050,29,986,29,0,5,1,161.45,325.29,NA,NA,91210,01470,1,1
56005009522,2748,64,2659,64,2,17,5,1761,32,1681,32,1,12,3,270.78,545.55,NA,31855,91210,01470,1,1
56005009523,3946,127,3748,127,1,62,7,2528,63,2361,63,1,37,3,388.71,783.17,NA,31855,91210,01470,1,1
56005009524,3868,133,3681,133,5,41,8,2948,81,2752,81,3,26,5,453.29,913.28,NA,31855,91210,01470,1,1
56005009525,6502,189,6204,189,17,62,28,4149,100,3886,100,8,32,23,637.96,1285.35,NA,31855,91210,01470,1,1
56005009526,2870,99,2722,99,2,42,5,1973,54,1836,54,1,24,4,303.37,611.23,NA,31855,91210,01470,1,1
56005009527,4813,138,4604,138,6,51,13,2978,67,2812,67,4,21,7,457.91,922.58,NA,31855,91265,01470,1,1
56005009528,1407,20,1380,20,0,6,1,920,9,896,9,0,5,1,141.46,285.01,NA,NA,91265,01470,1,1
56005952998,1699,58,1621,58,1,9,10,1054,34,970,34,1,9,6,162.07,326.53,NA,85015,91265,01470,1,1
56005953098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,91210,01470,1,1
56007009676,2051,213,1748,213,34,49,6,1812,167,1392,167,34,47,5,419.72,433.92,NA,71150,92640,01030,1,1
56007009677,4158,760,3308,760,28,21,33,3125,446,2191,446,14,11,17,723.86,748.34,NA,63900,92640,01030,1,1
56007009678,4751,1069,3615,1069,23,22,18,4082,699,2643,699,16,13,12,945.53,977.51,NA,63900,92640,01030,1,1
56007009679,1134,26,1098,26,0,7,3,829,16,791,16,0,4,2,192.03,198.52,NA,32650,92860,01700,1,1
56007009680,2274,78,2176,78,5,12,3,1628,38,1536,38,5,8,3,377.1,389.85,NA,68685,92860,01700,1,1
56007009681,1924,122,1787,122,1,8,5,1381,65,1240,65,1,5,5,319.89,330.7,NA,35335,91650,01700,1,1
56007009682,149,7,142,7,0,0,0,108,4,100,4,0,0,0,25.02,25.86,NA,NA,91650,01700,1,1
