GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,place,mcd,school,cd_1980,cd_1990
05001009801,05,001,009801,1631,1262,358,6,2,3,0,1237,968,263,3,2,1,0,89,58,61940,92973,00001,2,1
05001009802,05,001,009802,2050,1818,222,5,3,2,0,1477,1340,130,4,3,0,0,277.18,239.17,1030,92466,12960,2,1
05001009803,05,001,009803,3810,2456,1322,11,10,10,1,2582,1776,782,7,9,8,0,484.54,418.1,67490,91563,12960,2,1
05001009804,05,001,009804,3103,1395,1688,13,7,0,0,2086,1053,1024,7,2,0,0,391.46,337.78,67490,91563,12960,2,1
05001009805,05,001,009805,4050,3804,209,13,12,12,0,3143,2986,129,10,8,10,0,589.82,508.94,67490,91563,12960,2,1
05001009806,05,001,009806,1846,1777,61,3,4,1,0,1415,1360,49,1,4,1,0,268.29,239.37,18790,92085,00001,2,1
05001009807,05,001,009807,3358,2640,702,4,6,6,0,2451,1988,449,4,5,5,0,464.71,414.63,18790,92085,00001,2,1
05001009808,05,001,009808,1805,1627,162,6,9,1,0,1320,1208,102,3,6,1,0,21,17,26980,93483,06570,2,1
05003009602,05,003,009602,2326,2031,251,33,11,0,0,1707,1495,187,17,8,0,0,101,118,24670,92469,06390,1,4
05003009603,05,003,009603,4791,3574,1171,38,4,4,0,3503,2723,749,23,4,4,0,605.86,537.8,29500,90687,00042,1,4
05003009604,05,003,009604,2565,1462,1082,12,7,2,0,1799,1086,702,6,4,1,0,311.14,276.2,75890,94077,00042,1,4
05003009605,05,003,009605,3014,2837,137,30,8,2,0,2210,2094,88,20,6,2,0,626.03,497.62,50240,91212,04800,1,4
05003009606,05,003,009606,6464,4638,1765,29,8,24,0,4737,3561,1139,16,8,13,0,1341.85,1066.63,16240,91212,04800,1,4
05003009607,05,003,009607,2607,1484,1104,10,4,5,0,1762,1076,676,5,3,2,0,499.12,396.75,74270,91212,04800,1,4
05003960198,05,003,960198,2552,1380,1097,68,0,7,0,1750,1017,695,32,0,6,0,30,30,46670,92964,00042,1,4
05005009501,05,005,009501,3548,3508,0,21,10,6,3,2865,2836,0,15,8,5,1,707.35,950.73,47390,92616,00043,3,3
05005009502,05,005,009502,3764,3724,0,23,8,8,1,3195,3163,0,19,7,5,1,788.83,1060.23,47390,92616,00043,3,3
05005009503,05,005,009503,3656,3612,0,27,8,9,0,2926,2903,0,12,5,6,0,722.41,970.97,47390,92616,00043,3,3
05005009504,05,005,009504,2356,2330,0,10,13,3,0,1962,1942,0,7,10,3,0,484.41,651.07,47390,92616,00043,3,3
05005009505,05,005,009505,3813,3738,1,23,38,13,0,2903,2855,0,14,24,10,0,23,20,50000,92709,10560,3,3
05005009506,05,005,009506,2786,2772,1,4,7,2,0,2258,2250,0,1,5,2,0,467,598,NA,93669,00043,3,3
05005009507,05,005,009507,3060,3045,2,7,5,1,0,2548,2537,1,5,4,1,0,336,491,NA,92460,00043,3,3
05005009508,05,005,009508,4001,3952,0,30,14,5,0,3261,3217,0,25,14,5,0,75,137,38050,91548,00043,3,3
05005009509,05,005,009509,4202,4146,0,26,17,13,0,3201,3168,0,12,17,4,0,505,654,15490,94035,04680,3,3
05007000201,05,007,000201,5950,5829,1,47,60,13,0,4296,4220,1,28,38,9,0,42,65,54200,92634,03030,3,3
05007000203,05,007,000203,7668,7362,6,136,74,90,0,5568,5357,5,94,51,61,0,1180.25,1670.18,60410,91254,11970,3,3
05007000204,05,007,000204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,92766,11970,3,3
05007000207,05,007,000207,3625,3590,0,9,16,10,0,3147,3117,0,5,16,9,0,667.07,943.98,4840,92766,03060,3,3
05007000208,05,007,000208,6425,6362,7,25,28,3,0,5894,5854,2,19,16,3,0,336.47,516.01,4840,92766,03060,3,3
05007000209,05,007,000209,3835,3743,1,27,46,15,3,2707,2651,1,18,29,7,1,154.53,236.99,28360,93837,06840,3,3
05007000211,05,007,000211,3886,3500,2,141,232,9,2,2736,2513,2,65,148,7,1,393.25,696.14,64370,91710,12450,3,3
05007020201,05,007,020201,3045,2931,1,62,36,14,1,2270,2197,1,35,26,10,1,481.17,680.91,60410,91254,11970,3,3
05007020202,05,007,020202,5655,5461,2,99,50,43,0,4210,4070,2,59,43,36,0,892.39,1262.83,60410,91254,11970,3,3
05007020401,05,007,020401,4520,4426,0,39,36,19,0,3301,3237,0,24,26,14,0,699.71,990.17,60410,91254,11970,3,3
05007020402,05,007,020402,3863,3761,6,61,17,18,0,3111,3050,3,32,16,10,0,659.44,933.18,60410,91254,11970,3,3
05007020403,05,007,020403,2435,2315,0,81,21,18,0,1829,1735,0,69,13,12,0,387.69,548.63,60410,91254,11970,3,3
05007020501,05,007,020501,2518,2455,8,31,15,9,0,1843,1791,8,26,12,6,0,390.66,552.83,5320,92766,03060,3,3
05007020502,05,007,020502,3257,3104,4,49,33,67,0,2309,2211,1,30,22,45,0,489.44,692.61,5320,92766,03060,3,3
05007020601,05,007,020601,3730,3628,5,46,34,17,0,2743,2668,4,33,26,12,0,581.43,822.79,5320,92766,03060,3,3
05007020602,05,007,020602,2345,2261,10,45,18,10,1,1633,1577,4,30,14,7,1,346.15,489.84,5320,92766,03060,3,3
05007021001,05,007,021001,3437,3284,2,46,96,8,1,2475,2390,2,25,49,8,1,45,70,67760,93543,06840,3,3
05007021002,05,007,021002,4077,3858,30,53,129,6,1,2808,2676,12,31,85,3,1,37,65,26290,91446,06540,3,3
05007021201,05,007,021201,2804,2569,20,113,81,21,0,2241,2062,17,89,57,16,0,322.1,570.19,64370,91710,12450,3,3
05007021202,05,007,021202,2490,2316,4,36,129,5,0,1897,1787,2,18,85,5,0,272.66,482.67,64370,91710,12450,3,3
05007021301,05,007,021301,3661,3503,1,47,104,6,0,2561,2475,0,27,56,3,0,38,49,26290,91710,12450,3,3
05007021302,05,007,021302,3396,3314,2,26,39,13,2,2408,2363,1,9,26,7,2,81,117,17740,90030,03060,3,3
05007021303,05,007,021303,4241,4144,1,57,25,14,0,3070,3005,1,39,20,5,0,650.75,920.88,41720,90912,03060,3,3
05007021401,05,007,021401,2991,2946,0,9,34,2,0,2257,2226,0,7,22,2,0,221,367,25750,91422,11970,3,3
05007021402,05,007,021402,3543,3444,5,53,35,6,0,2811,2739,3,35,30,4,0,595.85,843.19,41720,91254,11970,3,3
05007021403,05,007,021403,4102,4052,0,21,24,5,0,3190,3158,0,17,13,2,0,98,122,66080,93900,11970,3,3
05009009901,05,009,009901,3962,3897,2,27,28,8,0,2934,2895,2,12,21,4,0,59,126,52160,92760,10920,3,3
05009009902,05,009,009902,4211,4128,0,24,54,5,0,3205,3149,0,16,36,4,0,182,447,18850,93522,03420,3,3
05009009903,05,009,009903,4538,4500,2,25,7,4,0,3254,3229,0,16,5,4,0,463.75,791.69,4900,90219,13350,3,3
05009009904,05,009,009904,4839,4805,1,14,18,1,0,3639,3614,1,9,14,1,0,518.62,885.36,30460,93435,07380,3,3
05009009905,05,009,009905,6880,6782,0,49,35,13,1,5326,5254,0,36,26,9,1,759.05,1295.8,30460,92715,07380,3,3
05009009906,05,009,009906,3867,3799,0,32,28,8,0,2923,2880,0,19,19,5,0,416.58,711.16,30460,93435,07380,3,3
05011009501,05,011,009501,2666,2070,581,10,2,2,1,2082,1669,402,7,2,2,0,532.28,423.26,73310,92844,00006,1,4
05011009502,05,011,009502,2077,1360,690,25,1,0,1,1546,1051,481,12,1,0,1,395.25,314.29,73310,92844,00006,1,4
05011009503,05,011,009503,2462,1408,1023,24,7,0,0,1772,1074,678,15,5,0,0,453.03,360.24,73310,92844,00006,1,4
05011009504,05,011,009504,1737,1254,436,47,0,0,0,1309,993,292,24,0,0,0,334.66,266.11,73310,92844,00006,1,4
05011009505,05,011,009505,2851,1844,911,85,1,0,10,2037,1429,558,45,1,0,4,520.78,414.11,31540,93903,07710,1,4
05013009801,05,013,009801,2877,1949,899,23,3,3,0,2093,1481,593,13,3,3,0,101,140,29650,91851,07230,1,4
05013009802,05,013,009802,2949,2397,538,8,2,4,0,2165,1782,376,2,2,3,0,606,522,69050,91335,07230,1,4
