GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,ai_an_nh,place,mcd,school_elm,school,cd_1980,cd_1990
08001000078,08,001,000078,3974,1956,1378,357,63,211,9,2914,1593,893,245,39,142,2,606.28,490.13,NA,4000,92622,NA,02340,4,4
08001000079,08,001,000079,3388,1827,1103,320,34,100,4,2389,1416,666,203,28,74,2,497.05,401.83,NA,4000,92622,NA,02340,4,4
08001000080,08,001,000080,4218,2659,949,347,25,231,7,3069,2061,583,241,18,163,3,638.53,516.2,NA,4000,92622,NA,02340,4,4
08001000081,08,001,000081,1962,1409,244,219,13,74,3,1442,1056,181,143,10,50,2,300.02,242.54,NA,4000,92622,NA,02340,4,4
08001000082,08,001,000082,4589,3070,684,584,33,218,0,3397,2333,449,435,20,160,0,706.78,571.37,NA,4000,92622,NA,02340,4,4
08001000084,08,001,000084,4053,3874,7,122,31,17,2,2761,2667,4,57,21,10,2,574.45,464.4,NA,6090,91159,NA,02430,2,2
08001008288,08,001,008288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,4000,92622,NA,02340,4,4
08001008289,08,001,008289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,4000,92622,NA,02340,4,4
08001008308,08,001,008308,3665,2440,860,287,23,51,4,2670,1980,443,186,17,44,0,555.52,449.09,NA,4000,92622,NA,02340,4,4
08001008309,08,001,008309,2403,1925,179,206,37,45,11,1654,1373,103,120,17,34,7,344.13,278.2,NA,4000,92622,NA,02340,4,4
08001008353,08,001,008353,3440,2911,240,197,21,62,9,2215,1902,133,121,16,39,4,460.85,372.56,NA,4000,92622,NA,02340,2,2
08001008383,08,001,008383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,92622,NA,02340,1,4
08001008384,08,001,008384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,4000,92622,NA,02580,2,2
08001008385,08,001,008385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,92622,NA,02580,2,2
08001008389,08,001,008389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,92622,NA,02340,1,4
08001008489,08,001,008489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,91159,NA,02580,2,2
08001008505,08,001,008505,7071,5786,73,1046,43,118,5,5096,4254,41,689,31,80,1,1152.83,932.15,NA,54330,93800,NA,06900,5,5
08001008506,08,001,008506,4122,3315,104,584,32,80,7,3086,2544,65,384,26,63,4,698.12,564.49,NA,54330,93800,NA,06900,5,5
08001008507,08,001,008507,6536,5127,96,1134,48,131,0,4590,3678,56,739,35,82,0,1038.36,839.6,NA,54330,93800,NA,06900,5,5
08001008508,08,001,008508,4541,3862,54,560,14,38,13,3100,2688,35,337,10,23,7,701.29,567.05,NA,77290,93800,NA,06900,5,5
08001008511,08,001,008511,8721,7117,66,1281,60,185,12,5493,4549,34,743,39,125,3,1242.64,1004.77,NA,77290,93800,NA,06900,5,2
08001008512,08,001,008512,1405,1213,5,152,8,22,5,1021,900,1,88,8,22,2,212.43,171.73,NA,16495,90399,NA,02580,2,2
