GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,ai_an_nh,place,mcd,school,cd_1980,cd_1990
12001000001,12,001,000001,395,293,70,20,1,11,0,371,277,63,19,1,11,0,69.59,57.16,NA,25175,91248,00030,6,6
12001000002,12,001,000002,4509,2419,1684,175,4,216,11,3970,2359,1221,168,3,213,6,744.71,611.7,NA,25175,91248,00030,6,4
12001000003,12,001,000003,6016,4637,1069,211,15,81,3,4859,3890,736,151,14,66,2,911.47,748.68,NA,25175,91248,00030,6,6
12001000004,12,001,000004,5426,3493,1729,136,14,43,11,3878,2735,989,110,8,33,3,727.45,597.53,NA,25175,91248,00030,6,4
12001000005,12,001,000005,4327,3397,780,103,7,30,10,3559,2944,493,88,7,27,0,667.61,548.37,NA,25175,91248,00030,6,6
12001000006,12,001,000006,4051,272,3734,26,7,9,3,2582,222,2335,15,3,7,0,484.34,397.84,NA,25175,91248,00030,6,4
12001000007,12,001,000007,7747,1828,5831,60,13,5,10,4992,1393,3546,34,10,3,6,936.42,769.17,NA,25175,91248,00030,6,4
12001000008,12,001,000008,7836,6046,674,533,11,563,9,7417,5783,612,491,9,517,5,1391.3,1142.82,NA,25175,91248,00030,6,6
12001000009,12,001,000009,10242,6990,1224,759,12,1216,41,9424,6633,1131,625,10,991,34,1767.78,1452.06,NA,25175,91248,00030,6,6
12001000010,12,001,000010,5898,5278,123,286,16,189,6,5154,4605,115,248,11,170,5,966.8,794.13,NA,25175,91248,00030,6,6
12001000011,12,001,000011,7075,6386,138,270,10,269,2,5377,4882,95,208,9,182,1,1008.63,828.49,NA,25175,91248,00030,6,6
12001000012,12,001,000012,10686,9107,717,551,12,284,15,7883,6811,456,383,10,214,9,1478.72,1214.62,NA,25175,91248,00030,6,6
12001000013,12,001,000013,1469,780,634,48,5,1,1,1383,741,596,39,5,1,1,259.43,213.09,NA,25175,91248,00030,6,4
