GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,ai_an_nh,place,mcd,school_elm,school,cd_1980,cd_1990
13001009501,13,001,009501,2411,2264,133,12,2,0,0,1771,1675,88,6,2,0,0,333.89,244.7,NA,NA,90078,NA,00060,1,2
13001009502,13,001,009502,4193,2060,2078,37,9,6,3,2735,1485,1219,21,4,4,2,515.63,377.9,NA,6016,90240,NA,00060,1,2
13001009503,13,001,009503,4615,4020,512,55,2,26,0,3356,3001,304,33,1,17,0,632.71,463.71,NA,6016,90240,NA,00060,1,2
13001009504,13,001,009504,1643,1314,316,11,2,0,0,1213,987,214,10,2,0,0,228.69,167.6,NA,74852,92904,NA,00060,1,2
13001009505,13,001,009505,2882,2628,227,23,2,1,1,2085,1930,134,18,2,1,0,393.09,288.09,NA,6016,92706,NA,00060,1,2
13003009601,13,003,009601,1704,1021,631,49,2,1,0,1225,772,420,30,2,1,0,230.87,176.81,NA,82972,93378,NA,00090,1,8
13003009602,13,003,009602,3590,2551,934,103,0,2,0,2484,1849,565,68,0,2,0,468.14,358.53,NA,59808,92334,NA,00090,1,8
13003009603,13,003,009603,919,828,89,2,0,0,0,642,580,61,1,0,0,0,120.99,92.66,NA,NA,90180,NA,00090,1,8
13005009701,13,005,009701,2545,2327,203,14,0,1,0,1753,1626,117,9,0,1,0,267.86,250.88,NA,1612,92562,NA,00150,1,2
13005009702,13,005,009702,7021,5665,1266,69,6,12,3,4955,4182,711,47,4,10,1,757.14,709.12,NA,1612,90072,NA,00150,1,2
13007009601,13,007,009601,2160,1016,1138,6,0,0,0,1493,756,731,6,0,0,0,442.89,232.64,NA,55244,92160,NA,00180,9,3
13007960298,13,007,960298,1436,729,689,15,1,2,0,1026,568,444,12,1,1,0,304.36,159.87,NA,NA,92010,NA,00180,9,3
13007960397,13,007,960397,10,0,10,0,0,0,0,7,0,7,0,0,0,0,2.08,1.09,NA,NA,92010,NA,00180,9,3
13007960398,13,007,960398,9,0,9,0,0,0,0,9,0,9,0,0,0,0,2.67,1.4,NA,NA,92010,NA,00180,9,3
13009009701,13,009,009701,3075,2011,1052,9,0,3,0,2225,1504,710,9,0,2,0,302.48,265.71,NA,51492,93150,NA,00210,1,1
13009009702,13,009,009702,5394,3623,1687,44,6,34,0,3852,2794,996,34,4,24,0,523.67,460,NA,51492,92016,NA,00210,1,4
13009009703,13,009,009703,2861,2066,735,41,2,17,0,2122,1558,515,33,2,14,0,288.48,253.41,NA,51492,92016,NA,00210,1,4
13009009704,13,009,009704,4465,2465,1842,66,6,85,1,3545,2095,1330,55,6,58,1,481.93,423.34,NA,51492,92016,NA,00210,1,1
13009009705,13,009,009705,3758,1855,1872,12,2,17,0,2683,1514,1146,9,1,13,0,364.75,320.4,NA,51492,92016,NA,00210,1,4
13009009706,13,009,009706,4980,1902,3046,14,2,15,1,3548,1534,1984,14,2,13,1,482.34,423.7,NA,51394,92016,NA,00210,1,1
13009009707,13,009,009707,9430,4671,4542,132,13,71,1,8161,4125,3843,126,13,53,1,1109.47,974.58,NA,51492,92016,NA,00210,1,1
13009009708,13,009,009708,5567,3616,1892,31,13,15,0,4236,2729,1461,24,11,11,0,575.87,505.86,NA,51492,90786,NA,00210,1,4
13011009801,13,011,009801,3161,3124,4,13,1,19,0,2338,2313,4,9,1,11,0,379.91,330.64,NA,4980,90198,NA,00240,7,10
13011009802,13,011,009802,2950,2789,134,11,13,3,0,2198,2081,98,8,9,2,0,357.16,310.84,NA,39720,91524,NA,00240,7,10
13011009803,13,011,009803,2340,2300,22,8,1,9,0,1710,1683,17,4,1,5,0,277.86,241.83,NA,50484,91956,NA,00240,7,10
13011009804,13,011,009804,1825,1599,204,20,2,0,0,1299,1148,139,10,2,0,0,211.08,183.7,NA,NA,90888,NA,00240,7,10
13011980596,13,011,980596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,47896,91956,NA,00240,7,9
13011980597,13,011,980597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,90198,NA,00240,7,10
13011980598,13,011,980598,32,32,0,0,0,0,0,26,26,0,0,0,0,0,3.24,3.79,NA,NA,90198,NA,00240,7,10
13013001801,13,013,001801,8562,8108,189,130,11,123,1,6026,5729,123,88,9,76,1,846.18,840.27,NA,4140,90162,NA,00290,6,10
13013001802,13,013,001802,8016,6174,1711,50,26,52,3,5957,4751,1122,33,19,32,0,836.49,830.65,NA,83420,93390,NA,00290,6,10
13013001803,13,013,001803,4909,4784,79,15,12,19,0,3497,3411,54,11,8,13,0,491.05,487.62,NA,83420,93390,NA,00290,6,10
13013001804,13,013,001804,4072,3187,842,26,9,8,0,2914,2314,571,16,7,6,0,409.19,406.33,NA,73312,92850,NA,00290,6,10
13013001805,13,013,001805,4162,3581,527,32,6,16,0,3013,2610,368,22,4,9,0,423.09,420.13,NA,7612,90264,NA,00290,6,10
13015009601,13,015,009601,5575,5451,88,24,8,4,0,4051,3965,59,16,8,3,0,530.37,402.05,NA,82468,93360,NA,00330,10,7
