GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,place,mcd,school_elm,DISTRICT,school,cd_1980,cd_1990
15001000201,15,001,000201,5102,1086,5,485,10,3467,49,3726,807,5,299,9,2591,15,972.21,771.93,61550,92880,00171,00162,NA,2,2
15001000202,15,001,000202,1871,493,16,180,3,1178,1,1390,382,16,113,3,875,1,362.69,287.97,78950,90630,00161,00162,99999,2,2
15001000203,15,001,000203,3723,1416,48,345,19,1887,8,2821,1111,33,208,12,1453,4,736.07,584.44,14650,90630,00164,00162,NA,2,2
15001000204,15,001,000204,3612,892,10,501,14,2180,15,2569,705,8,266,10,1572,8,670.32,532.23,14650,90630,00172,00162,NA,2,2
15001000205,15,001,000205,5576,1315,50,500,36,3654,21,4199,1029,32,299,22,2804,13,1095.63,869.93,14650,90630,00172,00162,NA,2,2
15001000206,15,001,000206,3902,874,30,238,19,2730,11,2850,730,19,155,12,1924,10,743.64,590.45,14650,90630,00177,00162,NA,2,2
15001000209,15,001,000209,3618,896,19,364,15,2291,33,2553,635,8,209,8,1673,20,666.14,528.92,14650,90630,00189,00187,NA,2,2
15001000211,15,001,000211,6702,2808,38,849,75,2926,6,4461,2118,26,395,49,1869,4,1163.99,924.21,12500,92790,00182,00187,00185,2,2
15001000212,15,001,000212,4438,1535,18,227,36,2613,9,3094,1188,11,128,22,1736,9,807.31,641,12530,91170,00183,00187,00169,2,2
15001000213,15,001,000213,4998,2122,20,407,28,2416,5,3406,1601,10,225,23,1542,5,888.72,705.64,16160,93240,00168,00180,99999,2,2
15001000214,15,001,000214,2660,674,12,170,7,1792,5,1930,494,9,95,4,1325,3,503.59,399.85,3850,93240,00179,00180,NA,2,2
15001000216,15,001,000216,9661,5657,32,807,69,3079,17,7352,4567,30,505,57,2186,7,1918.33,1523.15,23000,92610,00170,00180,NA,2,2
15001000217,15,001,000217,9140,4481,40,918,46,3640,15,6423,3405,27,511,25,2444,11,1675.93,1330.68,78500,93150,00190,00180,99999,2,2
15001000218,15,001,000218,4291,1280,12,753,11,2222,13,3031,936,9,434,8,1636,8,790.87,627.95,13600,92520,NA,NA,00178,2,2
15001000219,15,001,000219,3681,1194,4,337,18,2122,6,2632,925,2,195,13,1493,4,686.76,545.28,16450,90720,00190,NA,00167,2,2
15001000220,15,001,000220,1864,770,4,156,16,917,1,1292,525,2,87,6,671,1,337.12,267.67,59300,92700,00184,00162,99999,2,2
15001000221,15,001,000221,1541,392,6,156,3,983,1,1098,296,3,73,3,722,1,286.5,227.48,44150,92430,00173,00162,00181,2,2
15001020699,15,001,020699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14650,90630,00177,00162,NA,2,2
15001020701,15,001,020701,4399,688,6,215,5,3472,13,3408,501,6,139,4,2753,5,889.24,706.05,14650,90630,00189,00187,NA,2,2
15001020702,15,001,020702,4693,853,5,356,11,3457,11,3168,592,4,190,6,2370,6,826.61,656.33,14650,90630,00189,00187,NA,2,2
15001020801,15,001,020801,3062,774,3,234,17,2022,12,2113,566,1,124,10,1409,3,551.34,437.76,14650,90630,00173,00162,NA,2,2
15001020802,15,001,020802,5081,1396,25,444,9,3147,60,3708,1053,17,248,7,2360,23,967.51,768.2,14650,90630,00173,00162,NA,2,2
15001021001,15,001,021001,6844,2814,42,717,60,3204,7,4588,2067,27,378,40,2070,6,1197.13,950.52,12600,91350,00174,00187,00185,2,2
15001021002,15,001,021002,7235,3149,67,818,79,3112,10,4949,2289,36,413,60,2143,8,1291.32,1025.31,53300,91350,00182,00187,99999,2,2
15001021501,15,001,021501,6486,3464,25,551,33,2400,13,4416,2567,20,292,21,1511,5,1152.25,914.88,25550,92610,00175,00180,NA,2,2
15001021502,15,001,021502,2944,1548,12,171,14,1196,3,2174,1183,8,107,11,862,3,567.25,450.4,15700,92610,00165,00180,99999,2,2
15001021597,15,001,021597,104,28,0,14,0,62,0,86,21,0,8,0,57,0,22.44,17.82,33950,92610,00179,00180,NA,2,2
15001021598,15,001,021598,3089,1822,17,221,8,1016,5,2365,1514,8,126,7,708,2,617.09,489.97,21230,92610,00170,00180,NA,2,2
15003000002,15,003,000002,5742,1538,8,159,6,4021,10,4497,1231,8,114,5,3132,7,910.56,857.05,17000,90810,00001,00020,00030,1,1
15003000005,15,003,000005,3744,2077,5,80,8,1571,3,2946,1734,3,50,6,1152,1,596.51,561.46,17000,90810,00014,00020,00030,1,1
15003000006,15,003,000006,1311,493,3,10,1,803,1,1134,419,3,9,1,701,1,229.61,216.12,17000,90810,00014,00020,00030,1,1
15003000007,15,003,000007,2993,436,4,70,5,2478,0,2508,330,1,46,2,2129,0,507.82,477.98,17000,90810,00050,00020,00030,1,1
15003000008,15,003,000008,3856,699,19,80,5,3043,10,3239,564,14,56,5,2596,4,655.84,617.3,17000,90810,00050,00020,00030,1,1
15003000010,15,003,000010,3194,591,7,149,14,2425,8,2581,472,3,93,9,1999,5,522.6,491.9,17000,90810,00044,00015,00030,1,1
15003000011,15,003,000011,4072,310,21,407,13,3311,10,2703,246,10,188,8,2247,4,547.31,515.15,17000,90810,00044,00015,00030,1,1
15003000013,15,003,000013,4488,819,15,174,14,3459,7,3682,693,13,124,9,2840,3,745.54,701.73,17000,90810,00032,00020,00030,1,1
15003000014,15,003,000014,2595,450,14,79,8,2042,2,2146,373,11,51,7,1702,2,434.53,408.99,17000,90810,00032,00020,00030,1,1
15003000015,15,003,000015,3664,508,6,125,9,3008,8,3056,419,5,86,8,2533,5,618.78,582.42,17000,90810,00011,00020,00030,1,1
15003000016,15,003,000016,3911,679,8,234,5,2973,12,3259,573,8,164,4,2503,7,659.89,621.11,17000,90810,00051,00020,00030,1,1
15003000017,15,003,000017,2536,1870,18,73,7,557,11,2342,1768,15,63,6,481,9,474.21,446.35,17000,90810,00051,00015,00030,1,1
15003000021,15,003,000021,3691,719,15,121,6,2817,13,3011,616,15,82,5,2288,5,609.67,573.85,17000,90810,00030,00015,00030,1,1
15003000022,15,003,000022,7292,2423,97,260,28,4481,3,6115,2192,78,186,24,3634,1,1238.17,1165.42,17000,90810,00002,00015,00030,1,1
15003000023,15,003,000023,5687,1066,46,219,11,4321,24,4776,953,39,165,7,3600,12,967.05,910.23,17000,90810,00030,00015,00030,1,1
15003000025,15,003,000025,4229,748,25,165,8,3276,7,3698,674,20,128,7,2863,6,748.78,704.78,17000,90810,00037,00015,00030,1,1
15003000026,15,003,000026,4957,809,44,158,13,3925,8,4174,706,34,110,11,3310,3,845.16,795.5,17000,90810,00037,00015,00030,1,1
15003000028,15,003,000028,4075,1176,28,58,9,2793,11,3435,1019,26,52,8,2325,5,695.52,654.65,17000,90810,00009,00015,00030,1,1
15003000029,15,003,000029,1383,206,2,20,4,1150,1,1173,186,2,10,2,972,1,237.51,223.55,17000,90810,00042,00047,00030,1,1
15003000030,15,003,000030,4236,1496,13,104,10,2603,10,3544,1267,8,70,8,2189,2,717.59,675.43,17000,90810,00042,00047,00030,1,1
15003000032,15,003,000032,853,435,6,21,1,390,0,704,374,6,19,1,304,0,142.55,134.17,17000,90810,00036,00047,00030,1,1
15003000033,15,003,000033,876,233,3,8,1,631,0,723,190,2,6,1,524,0,146.39,137.79,17000,90810,00036,00047,00030,1,1
15003000035,15,003,000035,4688,1088,51,240,16,3290,3,4032,1007,43,178,10,2791,3,816.41,768.43,17000,90810,00012,00040,00030,1,1
15003000037,15,003,000037,2325,1149,43,74,5,1052,2,2157,1102,41,67,5,940,2,436.75,411.09,17000,90810,00012,00040,00030,1,1
15003000038,15,003,000038,721,282,15,24,6,394,0,655,259,13,22,5,356,0,132.63,124.83,17000,90810,00048,00040,00030,1,1
15003000039,15,003,000039,181,41,20,27,2,91,0,86,24,6,7,1,48,0,17.41,16.39,17000,90810,00048,00040,00030,1,1
15003000040,15,003,000040,991,608,37,38,6,301,1,947,592,35,33,6,280,1,191.75,180.48,17000,90810,00048,00040,00030,1,1
15003000041,15,003,000041,4742,1388,85,349,8,2904,8,4103,1281,78,276,5,2457,6,830.78,781.96,17000,90810,00048,00047,00030,1,1
15003000042,15,003,000042,2672,918,44,98,11,1600,1,2449,878,38,88,11,1433,1,495.88,466.74,17000,90810,00048,00040,00030,1,1
15003000043,15,003,000043,5632,1295,56,344,24,3903,10,4591,1101,45,259,19,3163,4,929.59,874.97,17000,90810,00048,00047,00030,1,1
15003000044,15,003,000044,5429,531,15,198,5,4667,13,4308,439,10,131,4,3716,8,872.29,821.03,17000,90810,00045,00047,00030,1,1
15003000045,15,003,000045,5264,1567,22,122,7,3543,3,4522,1361,21,83,5,3051,1,915.62,861.82,17000,90810,00043,00047,00030,1,1
15003000046,15,003,000046,3687,609,9,117,5,2947,0,3101,524,7,82,4,2484,0,627.9,591,17000,90810,00038,00047,00030,1,1
15003000047,15,003,000047,4837,728,2,88,8,3995,16,4083,615,2,65,8,3386,7,826.73,778.15,17000,90810,00038,00040,00030,1,1
15003000048,15,003,000048,5991,524,12,431,2,5002,20,4647,406,11,275,2,3942,11,940.93,885.64,17000,90810,00026,00006,00030,1,1
15003000049,15,003,000049,2978,260,11,133,0,2568,6,2474,210,8,105,0,2148,3,500.94,471.5,17000,90810,00031,00040,00030,1,1
15003000050,15,003,000050,4724,702,28,146,13,3831,4,4027,618,24,110,6,3267,2,815.39,767.48,17000,90810,00027,00040,00030,1,1
15003000051,15,003,000051,2399,392,15,139,3,1841,9,1897,347,10,84,3,1450,3,384.11,361.54,17000,90810,00027,00040,00030,1,1
15003000052,15,003,000052,2480,267,26,204,10,1971,2,2066,243,25,142,10,1644,2,418.33,393.75,17000,90810,00018,00040,00030,1,1
15003000053,15,003,000053,4208,326,31,199,9,3632,11,3285,261,19,141,6,2850,8,665.15,626.07,17000,90810,00027,00040,00030,1,1
15003000054,15,003,000054,1609,34,7,210,0,1353,5,880,25,3,121,0,731,0,178.18,167.71,17000,90810,00033,00040,00030,1,1
15003000055,15,003,000055,2144,86,13,214,5,1825,1,1582,67,8,129,4,1374,0,320.33,301.5,17000,90810,00033,00040,00030,1,1
15003000056,15,003,000056,6185,354,32,269,13,5504,13,4860,290,17,212,9,4326,6,984.06,926.24,17000,90810,00026,00040,00030,1,1
15003000057,15,003,000057,1867,326,51,188,17,1269,16,1559,302,43,121,14,1069,10,315.67,297.12,17000,90810,00018,00040,00030,1,1
15003000058,15,003,000058,3404,172,26,257,9,2926,14,2392,119,14,169,4,2081,5,484.34,455.88,17000,90810,00022,00006,00030,1,1
15003000059,15,003,000059,3570,557,71,371,20,2537,14,2919,504,64,287,19,2033,12,591.04,556.31,17000,90810,00046,00006,00030,1,1
15003000060,15,003,000060,5857,266,15,359,7,5206,4,4344,208,13,234,5,3880,4,879.58,827.89,17000,90810,00022,00006,00030,1,1
15003000061,15,003,000061,3575,178,13,184,4,3193,3,2750,140,12,126,2,2468,2,556.82,524.1,17000,90810,00024,00006,00030,1,1
15003000065,15,003,000065,4077,475,15,304,4,3265,14,3121,369,12,196,3,2537,4,631.94,594.81,17000,90810,00021,00006,00030,1,1
15003000066,15,003,000066,2952,1778,606,283,26,254,5,1976,1206,412,170,17,169,2,400.1,376.59,8350,90810,00084,00073,00030,1,1
15003000069,15,003,000069,3182,2191,266,224,12,485,4,1915,1352,163,116,7,276,1,387.75,364.97,17000,90810,00058,00073,00030,1,1
15003000070,15,003,000070,4796,2973,443,330,28,1007,15,2966,1888,274,182,18,601,3,600.56,565.27,17000,90810,00077,00080,00030,1,1
15003000071,15,003,000071,2618,1577,375,266,15,379,6,1516,907,214,130,10,252,3,306.96,288.92,17000,90810,00076,00080,00030,1,1
15003000072,15,003,000072,1003,716,161,58,5,61,2,896,642,153,45,5,49,2,181.42,170.76,17000,90810,00076,00080,00030,1,1
15003000073,15,003,000073,6689,4524,830,454,25,849,7,3862,2641,465,240,17,499,0,781.98,736.03,14200,90270,00063,00080,00030,1,1
15003000074,15,003,000074,3633,2539,462,220,27,383,2,3020,2120,406,187,27,279,1,611.49,575.56,550,90270,00068,00080,00030,1,1
15003000081,15,003,000081,2384,1619,241,216,16,291,1,1393,966,139,117,7,164,0,282.06,265.48,62600,90270,00107,00120,00030,1,1
15003000082,15,003,000082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,90270,00094,00128,00030,1,1
15003000084,15,003,000084,9677,2553,137,949,29,5974,35,6927,1977,93,580,22,4234,21,1402.59,1320.17,7450,90270,00097,00096,00030,2,1
15003000085,15,003,000085,4529,3215,495,336,21,454,8,3297,2382,366,228,16,300,5,667.58,628.35,2500,90270,00095,00096,00030,2,1
15003000088,15,003,000088,6172,387,34,610,12,5118,11,4576,302,23,419,8,3819,5,926.56,872.11,79700,90270,00094,00128,00030,2,2
15003000090,15,003,000090,2600,1869,321,168,11,226,5,1667,1220,205,89,8,143,2,337.54,317.7,80600,93420,00092,00067,00030,2,2
15003000091,15,003,000091,4303,774,148,276,14,3067,24,3032,571,104,175,8,2162,12,613.92,577.85,80900,93420,00062,00067,00030,2,2
15003000092,15,003,000092,7930,1608,91,759,32,5405,35,5934,1190,69,458,18,4181,18,1201.53,1130.92,72650,93420,00086,00067,00030,2,2
15003000093,15,003,000093,4214,729,135,567,9,2758,16,2996,531,73,307,4,2072,9,606.63,570.99,72650,93420,00065,00067,00030,2,2
15003000094,15,003,000094,5242,1223,449,535,29,2950,56,3863,939,311,327,22,2237,27,782.19,736.22,72650,93420,00065,00067,00030,2,2
15003000098,15,003,000098,8208,2606,167,1252,48,4097,38,5347,2016,131,684,27,2473,16,1082.67,1019.05,47450,93600,00110,00124,00030,2,2
15003000100,15,003,000100,1801,707,106,121,17,846,4,1383,573,96,86,12,614,2,280.03,263.58,10750,93510,00061,00089,00030,2,2
15003000101,15,003,000101,6909,3041,38,740,32,3037,21,4808,2303,25,451,25,1993,11,973.53,916.33,22250,91710,00139,00140,00030,2,2
15003000102,15,003,000102,1674,1137,16,27,8,481,5,1317,913,13,25,5,359,2,266.67,251,17000,90810,00029,00017,00030,1,1
15003000104,15,003,000104,8376,2764,45,270,17,5249,31,6072,2036,31,169,13,3814,9,1229.47,1157.22,17000,90810,00025,00017,00030,1,1
15003000105,15,003,000105,5251,1579,37,206,10,3410,9,4273,1331,30,132,8,2768,4,865.2,814.36,17000,90810,00029,00017,00030,1,1
15003000106,15,003,000106,6292,3030,66,194,15,2980,7,4914,2484,47,144,13,2220,6,994.99,936.53,17000,90810,00008,00017,00030,1,1
15003000107,15,003,000107,3009,1249,18,93,3,1634,12,2123,893,11,56,3,1154,6,429.87,404.61,17000,90810,00025,00017,00030,1,1
15003000108,15,003,000108,2830,1480,20,91,5,1228,6,2273,1206,16,70,3,972,6,460.24,433.2,28425,91800,00153,00145,00030,1,1
15003000108,15,003,000108,11662,7450,1943,1474,85,672,38,8048,5346,1336,895,70,385,16,1629.57,1533.82,28425,91800,00153,00145,00030,1,1
15003000110,15,003,000110,3910,1789,31,157,10,1903,20,3090,1442,30,107,8,1494,9,625.67,588.9,50750,91800,00152,00142,00030,2,2
15003000398,15,003,000398,5617,1526,11,128,6,3929,17,4585,1258,8,87,5,3220,7,928.38,873.83,17000,90810,00001,00020,00030,1,1
15003000497,15,003,000497,2771,972,7,60,4,1724,4,2262,782,2,42,4,1431,1,458.01,431.1,17000,90810,00054,00020,00030,1,1
15003000498,15,003,000498,3372,1245,4,52,4,2061,6,2659,1043,3,39,4,1566,4,538.4,506.76,17000,90810,00001,00020,00030,1,1
15003000901,15,003,000901,2334,737,8,52,2,1534,1,1896,605,5,38,2,1245,1,383.91,361.35,17000,90810,00054,00020,00030,1,1
15003000902,15,003,000902,3779,1334,13,83,5,2291,53,3228,1155,8,68,3,1963,31,653.61,615.2,17000,90810,00034,00020,00030,1,1
15003000903,15,003,000903,2760,573,16,72,3,2093,3,2308,473,15,48,3,1767,2,467.33,439.87,17000,90810,00034,00020,00030,1,1
15003001201,15,003,001201,3118,499,7,97,5,2510,0,2584,422,6,67,3,2086,0,523.21,492.47,17000,90810,00003,00015,00030,1,1
15003001202,15,003,001202,3081,358,3,100,5,2610,5,2569,277,3,65,5,2216,3,520.18,489.61,17000,90810,00003,00015,00030,1,1
15003001801,15,003,001801,1307,681,30,98,5,490,3,1190,659,28,78,5,417,3,240.95,226.79,17000,90810,00011,00015,00030,1,1
15003001802,15,003,001802,4411,2321,102,229,23,1729,7,4010,2192,93,192,22,1504,7,811.95,764.24,17000,90810,00011,00015,00030,1,1
15003001901,15,003,001901,1190,961,15,30,6,178,0,1116,915,13,23,5,160,0,225.97,212.69,17000,90810,00002,00015,00030,1,1
15003001902,15,003,001902,6000,3702,76,183,18,2012,9,5616,3562,70,156,17,1803,8,1137.14,1070.32,17000,90810,00002,00015,00030,1,1
15003002001,15,003,002001,3037,1670,56,165,18,1116,12,2797,1598,55,148,14,977,5,566.34,533.06,17000,90810,00011,00015,00030,1,1
15003002002,15,003,002002,3823,2137,95,183,22,1374,12,3550,2062,83,162,20,1214,9,718.81,676.57,17000,90810,00002,00015,00030,1,1
