GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,ai_an_nh,place,mcd,school,cd_1980,cd_1990
19001009601,19,001,009601,3053,3035,1,10,0,7,0,2235,2226,1,5,0,3,0,51,43,NA,370,92514,27500,4,4
19001009602,19,001,009602,2215,2207,0,5,3,0,0,1588,1581,0,5,2,0,0,122,139,NA,59565,92088,21810,4,4
19001009603,19,001,009603,3141,3114,0,20,2,5,0,2475,2462,0,10,2,1,0,178,287,NA,32790,91755,13110,4,4
19003009501,19,003,009501,2235,2226,1,5,1,1,1,1611,1603,0,5,1,1,1,95,111,NA,64560,91020,08130,4,3
19003009502,19,003,009502,2631,2610,2,13,5,1,0,2066,2048,1,11,5,1,0,447,630,NA,16500,93531,08130,4,3
19005009601,19,005,009601,2132,2109,1,13,5,3,1,1555,1544,1,8,1,1,0,285,257,NA,43275,92382,10410,1,2
19005009602,19,005,009602,2568,2545,1,12,4,6,0,1791,1778,0,11,1,1,0,37,40,NA,55785,92049,03390,1,2
19005009603,19,005,009603,4237,4214,0,9,5,9,0,3141,3122,0,9,4,6,0,778,1362,NA,82740,92799,03390,1,2
19005009604,19,005,009604,2029,2019,1,7,0,2,0,1476,1470,1,4,0,1,0,63,135,NA,34590,94089,03390,1,2
19005009605,19,005,009605,2889,2878,0,1,4,6,0,2118,2114,0,1,1,2,0,53,147,NA,64290,93468,23340,1,2
19007009501,19,007,009501,2848,2821,0,14,3,10,0,2080,2066,0,8,1,5,0,73,68,NA,54390,94449,19800,3,3
19007009502,19,007,009502,1978,1963,4,5,2,4,0,1481,1472,3,4,2,0,0,368,300,NA,55200,94392,06750,3,3
19007009503,19,007,009503,3179,3109,40,21,1,8,0,2434,2389,26,11,1,7,0,59.58,91.59,NA,12315,90640,06750,3,3
19007009504,19,007,009504,3357,3276,35,26,6,11,3,2509,2457,25,19,3,5,0,61.42,94.41,NA,12315,90640,06750,3,3
19007009505,19,007,009505,2381,2356,0,6,14,3,2,1781,1765,0,3,10,1,2,130,112,NA,57945,94638,06750,3,3
19009009701,19,009,009701,2589,2582,0,4,0,3,0,1816,1811,0,4,0,1,0,469.55,561.99,NA,41295,92523,03960,4,4
19009009702,19,009,009702,2702,2691,0,9,1,1,0,2100,2092,0,6,1,1,0,542.98,649.88,NA,3655,92418,03960,4,4
19009009703,19,009,009703,2043,2030,0,9,2,2,0,1545,1541,0,2,1,1,0,399.48,478.13,NA,26265,91260,11250,4,4
19011009801,19,011,009801,1805,1784,5,9,4,3,0,1282,1271,3,4,2,2,0,353,141,NA,79905,93438,28650,5,2
19011009802,19,011,009802,3265,3237,1,16,3,8,0,2382,2367,1,8,3,3,0,108,121,NA,80400,94170,04830,5,2
19011009803,19,011,009803,5283,5211,7,35,14,16,0,3822,3782,4,18,11,7,0,862,905,NA,81210,94360,29310,5,2
19011009804,19,011,009804,2516,2497,0,12,2,5,0,1776,1767,0,6,2,1,0,108,94,NA,72480,90465,26040,5,2
19011009805,19,011,009805,3873,3859,1,11,1,1,0,2747,2741,0,4,1,1,0,236,282,NA,56055,91350,04830,5,2
19011009806,19,011,009806,2689,2680,1,4,2,2,0,1955,1949,1,1,2,2,0,311,303,NA,6805,92289,04830,5,2
19011009807,19,011,009807,2998,2984,3,6,4,1,0,2246,2238,2,4,1,1,0,489,485,NA,5590,90178,04620,5,2
19013000001,19,013,000001,1768,964,756,13,10,7,18,1310,804,483,9,6,6,2,334.69,322.93,NA,82425,94597,30480,5,2
19013000002,19,013,000002,2903,2559,268,42,4,25,5,2078,1905,134,20,3,14,2,530.9,512.25,NA,82425,94597,30480,5,2
19013000003,19,013,000003,2861,2606,165,42,13,31,4,2093,1968,79,23,7,16,0,534.73,515.95,NA,82425,94597,30480,5,2
19013000004,19,013,000004,1622,1573,16,14,1,18,0,1228,1201,8,12,1,6,0,313.74,302.72,NA,82425,94597,30480,5,2
19013000005,19,013,000005,1703,1378,291,21,9,1,3,1186,1021,147,13,4,1,0,303.01,292.36,NA,82425,94597,30480,5,2
19013000007,19,013,000007,1603,813,743,18,7,6,16,1000,576,403,8,7,3,3,255.49,246.51,NA,82425,94597,30480,5,2
19013000008,19,013,000008,3525,3298,156,47,7,16,1,2543,2424,74,30,4,10,1,649.7,626.88,NA,82425,94597,30480,5,2
19013000009,19,013,000009,1827,1667,122,21,5,8,4,1393,1310,63,9,5,6,0,355.89,343.39,NA,82425,94597,30480,5,2
19013000010,19,013,000010,3698,3622,36,22,4,14,0,2867,2828,17,12,1,9,0,732.48,706.75,NA,82425,94597,30480,5,2
19013000011,19,013,000011,2669,2591,39,25,3,11,0,2054,2013,20,13,1,7,0,524.77,506.33,NA,82425,94597,30480,5,2
19013000012,19,013,000012,2309,2248,27,12,0,22,0,1780,1748,15,7,0,10,0,454.76,438.79,NA,82425,94597,30480,5,2
19013000014,19,013,000014,4976,4824,67,29,4,51,1,3597,3515,41,16,3,22,0,918.98,886.7,NA,82425,94597,30480,5,2
19013000016,19,013,000016,3020,2651,335,22,5,5,2,2211,2011,179,12,4,5,0,564.88,545.04,NA,82425,94597,30480,5,2
19013000018,19,013,000018,1447,95,1346,1,2,1,2,976,84,889,1,2,0,0,249.35,240.59,NA,82425,94597,30480,5,2
19013000019,19,013,000019,2258,1451,771,11,11,3,11,1576,1088,471,8,5,3,1,402.65,388.5,NA,82425,94597,30480,5,2
19013000020,19,013,000020,5346,5245,10,60,19,11,1,3730,3678,4,35,9,4,0,952.96,919.48,NA,25995,91128,30480,5,2
19013000022,19,013,000022,4503,4403,34,19,8,36,3,3514,3460,14,15,5,20,0,897.78,866.24,NA,11755,90576,06510,5,2
19013000023,19,013,000023,10601,10114,153,116,23,188,7,9433,9046,125,97,14,149,2,2410,2325.33,NA,11755,90576,06510,5,2
19013000024,19,013,000024,4346,4237,37,24,4,42,2,3309,3237,22,17,3,30,0,845.4,815.7,NA,11755,90576,06510,5,2
19013000025,19,013,000025,4824,4669,35,18,9,93,0,3495,3415,20,12,4,44,0,892.92,861.55,NA,11755,90576,06510,5,2
19013000027,19,013,000027,3874,3823,7,28,12,4,0,2655,2631,4,10,9,1,0,678.31,654.49,NA,65820,93477,30480,5,2
