GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,place,mcd,school_elm,DISTRICT,school,cd_1980,cd_1990
17001000001,17,001,000001,4370,4299,36,15,11,9,0,3418,3380,18,9,6,5,0,348,733,62367,62380,NA,NA,33000,18,8
17001000003,17,001,000003,595,572,21,0,1,1,0,594,572,20,0,1,1,0,148.97,281.78,62367,62380,NA,NA,33000,18,8
17001000004,17,001,000004,4115,3610,440,17,15,4,29,2980,2684,270,10,12,3,1,747.34,1413.65,62367,62380,NA,NA,33000,18,8
17001000005,17,001,000005,2708,2135,542,11,4,3,13,1968,1607,346,6,4,3,2,493.55,933.58,62367,62380,NA,NA,33000,18,8
17001000006,17,001,000006,4054,3954,58,15,7,17,3,3028,2976,27,6,6,13,0,759.38,1436.42,62367,62380,NA,NA,33000,18,8
17001000007,17,001,000007,1718,1580,106,8,6,17,1,1424,1332,74,4,5,9,0,357.12,675.51,62367,62380,NA,NA,33000,18,8
17001000008,17,001,000008,3008,2842,106,26,7,20,7,2197,2116,48,16,7,10,0,550.98,1042.21,62367,62380,NA,NA,33000,18,8
17001000009,17,001,000009,2918,2836,29,17,1,33,2,2146,2099,18,9,1,19,0,538.19,1018.02,62367,62380,NA,NA,33000,18,8
17001000011,17,001,000011,5785,5657,44,17,3,60,4,4318,4240,29,11,2,36,0,254.14,670.24,62367,62380,NA,NA,33000,18,8
17001000101,17,001,000101,4429,4420,0,5,3,0,1,3201,3200,0,0,1,0,0,174,368,48307,77057,NA,NA,25590,18,8
17001000102,17,001,000102,3768,3752,0,11,2,3,0,2854,2843,0,7,2,2,0,36,89,10877,10890,NA,NA,08220,18,8
17001000103,17,001,000103,5627,5594,9,12,8,4,0,3928,3910,3,7,6,2,0,163,291,58265,58278,NA,NA,22770,18,11
17001000104,17,001,000104,3312,3279,17,8,3,2,3,2281,2267,9,3,2,0,0,116,267,15846,23412,NA,NA,33000,18,8
17001000105,17,001,000105,2168,2119,13,26,2,8,0,1627,1589,9,21,2,6,0,138.32,356.67,62367,64408,NA,NA,33000,18,8
17001000106,17,001,000106,5292,5230,17,25,6,14,0,3694,3656,8,19,4,7,0,217.42,573.38,62367,48203,NA,NA,30990,18,11
17001000201,17,001,000201,1903,1823,63,11,2,2,2,1443,1380,51,7,2,2,1,122.68,316.33,62367,62380,NA,NA,33000,18,8
17001000202,17,001,000202,3448,3244,156,14,5,26,3,2706,2550,120,11,5,19,1,678.63,1283.67,62367,62380,NA,NA,33000,18,8
17001001001,17,001,001001,3599,3545,15,21,6,12,0,2667,2634,8,11,6,8,0,668.85,1265.17,62367,62380,NA,NA,33000,18,8
17001001002,17,001,001002,3273,3238,12,6,5,12,0,2573,2550,8,5,1,9,0,151.44,399.38,62367,62380,NA,NA,33000,18,11
17003009576,17,003,009576,2779,2551,208,12,5,3,0,2065,1929,120,8,5,3,0,92,150,74457,93402,NA,NA,13590,13,18
17003009577,17,003,009577,2408,1988,397,19,2,2,0,1735,1480,245,6,2,2,0,27,53,74873,93420,NA,NA,13590,13,18
17003009578,17,003,009578,2832,1612,1185,7,3,23,2,2014,1305,682,7,3,17,0,127,68,10383,90612,NA,NA,08070,13,18
17003009579,17,003,009579,2607,874,1690,16,7,20,0,1747,731,990,9,4,13,0,956,867,10383,90612,NA,NA,08070,13,18
17005009512,17,005,009512,3064,2868,187,4,3,2,0,2302,2171,125,2,3,1,0,236,272,51284,51297,NA,NA,27450,1,11
17005009513,17,005,009513,4776,4493,203,55,10,9,6,3725,3542,130,37,7,7,2,701,1692,31589,12112,NA,NA,17730,1,11
17005009514,17,005,009514,3185,3140,9,13,15,2,6,2390,2366,8,6,8,2,0,316,336,70525,69641,NA,NA,17730,1,11
17005009515,17,005,009515,3966,3931,20,8,6,1,0,2893,2862,16,8,6,1,0,73,146,60872,9694,07010,04770,17730,1,11
17007000101,17,007,000101,6382,5598,46,699,12,26,1,4548,4102,31,395,6,13,1,637.89,1504.84,5092,5105,NA,NA,05790,15,4
17007000102,17,007,000102,5025,4385,15,585,4,33,3,3784,3392,7,354,4,26,1,530.73,1252.04,5092,5105,NA,NA,05790,15,4
17007000103,17,007,000103,4809,4266,37,482,10,13,1,3482,3161,19,284,8,10,0,488.38,1152.12,5092,5105,NA,NA,05790,15,4
17007000104,17,007,000104,3487,3353,7,113,6,7,1,2588,2502,5,69,6,5,1,83,223,5092,26441,NA,NA,05790,15,4
17007000105,17,007,000105,4760,4636,12,59,3,50,0,3335,3278,6,27,1,23,0,162,491,NA,5105,NA,NA,05790,15,4
17007000106,17,007,000106,6343,6183,4,127,10,18,1,4462,4372,2,68,7,12,1,187,386,11124,10435,NA,NA,28700,15,4
17009009704,17,009,009704,2772,2758,1,2,8,3,0,2010,1998,1,1,7,3,0,53,122,77720,77733,NA,NA,27300,8,11
17009009705,17,009,009705,3064,2416,539,102,4,2,1,2545,1899,538,102,4,1,1,436,769,51154,51167,NA,NA,27300,8,11
17011009647,17,011,009647,3234,3201,1,26,6,0,0,2344,2330,1,10,3,0,0,142,341,12970,41807,29700,29730,21680,4,8
17011009648,17,011,009648,3885,3870,0,8,6,1,0,2776,2768,0,5,2,1,0,98,215,78526,78539,40560,40590,24300,4,8
17011009649,17,011,009649,2957,2917,0,24,8,6,2,2129,2107,0,12,6,4,0,53,186,61899,61912,32670,32700,NA,4,8
17011009650,17,011,009650,4071,3304,12,649,13,93,0,2918,2409,8,443,10,48,0,466,384,19499,68562,22380,18030,12090,4,8
17011009651,17,011,009651,3964,3828,0,117,1,18,0,2942,2869,0,61,1,11,0,914.15,864.53,40598,32265,21510,18030,NA,4,8
17011009652,17,011,009652,3580,3455,18,89,3,15,0,2690,2617,9,52,3,9,0,835.85,790.47,72156,32265,37050,18030,12090,4,8
17011009653,17,011,009653,3407,3351,9,29,7,11,0,2493,2465,2,13,4,9,0,416.71,1293.15,61899,61912,32670,32700,NA,4,8
17011009654,17,011,009654,3353,3303,3,29,5,12,1,2664,2634,2,19,2,7,0,445.29,1381.85,61899,61912,32670,32700,NA,4,8
17011009655,17,011,009655,3901,3851,5,15,12,18,0,2870,2839,3,6,10,12,0,77,212,75549,83635,43410,43440,39060,4,8
17011009656,17,011,009656,3336,3309,2,17,0,8,0,2437,2421,2,8,0,6,0,80,225,69147,16028,43410,43440,07710,4,8
17013009512,17,013,009512,2995,2962,1,10,8,14,0,2307,2283,1,9,8,6,0,93,123,38856,90360,NA,NA,18180,18,11
17013009513,17,013,009513,2327,2324,0,2,0,1,0,1724,1721,0,2,0,1,0,196,238,4117,92988,NA,NA,18180,18,11
17015009601,17,015,009601,3291,3252,5,23,2,9,0,2485,2464,2,13,1,5,0,100,418,41859,12996,NA,NA,00007,15,8
17015009602,17,015,009602,2453,2382,31,29,5,4,2,1824,1781,20,14,5,4,0,45,109,67821,79020,NA,NA,35510,15,8
17015009603,17,015,009603,3971,3678,64,188,12,29,0,3051,2867,45,116,6,17,0,606,816,67821,67834,NA,NA,35510,15,8
17015009604,17,015,009604,2368,2331,7,22,2,3,3,1797,1776,7,10,2,2,0,38,143,50881,50894,NA,NA,27080,15,8
17015009605,17,015,009605,2960,2927,1,20,4,6,2,2157,2138,1,13,1,2,2,152,466,49191,83700,NA,NA,09400,15,8
17015009606,17,015,009606,1762,1733,2,14,3,10,0,1268,1253,2,7,0,6,0,223,429,75172,83908,NA,NA,38880,15,8
17017009601,17,017,009601,2598,2592,2,3,1,0,0,1890,1885,1,3,1,0,0,57,84,2505,2518,NA,NA,00105,8,9
17017009602,17,017,009602,2965,2954,0,7,1,3,0,2215,2207,0,5,1,2,0,310,485,78201,78214,NA,NA,40410,8,9
17017009603,17,017,009603,3186,3151,13,16,1,5,0,2369,2346,10,9,1,3,0,104,185,4351,4364,NA,NA,05310,8,9
17017009604,17,017,009604,2362,2329,0,17,2,14,0,1758,1740,0,8,2,8,0,517.65,596.94,4351,4364,NA,NA,05310,8,9
17017009605,17,017,009605,2326,2308,1,13,3,1,0,1723,1714,0,8,1,0,0,507.35,585.06,4351,4364,NA,NA,05310,8,9
17019000001,17,019,000001,481,380,67,6,3,24,1,461,369,63,5,3,21,0,61.94,115.57,12385,12411,NA,NA,09420,5,3
17019000002,17,019,000002,2130,78,2031,4,1,14,2,1301,60,1228,2,1,10,0,174.79,326.15,12385,12411,NA,NA,09420,5,3
17019000003,17,019,000003,5710,4448,380,182,7,682,11,5635,4407,365,177,7,669,10,757.08,1412.66,12385,12411,NA,NA,09420,5,3
17019000004,17,019,000004,8042,6872,194,271,6,696,3,8004,6848,192,268,6,687,3,1075.36,2006.55,12385,12411,NA,NA,09420,5,3
17019000005,17,019,000005,3718,3370,211,56,4,72,5,3104,2826,157,51,4,65,1,417.03,778.15,12385,12411,NA,NA,09420,5,3
17019000006,17,019,000006,3348,2781,456,56,9,42,4,2834,2437,311,44,7,35,0,380.75,710.46,12385,12411,NA,NA,09420,5,3
17019000007,17,019,000007,3684,2043,1544,43,13,36,5,2655,1620,973,24,9,28,1,356.71,665.59,12385,12411,NA,NA,09420,5,3
17019000008,17,019,000008,1700,1166,487,17,4,26,0,1231,928,277,11,0,15,0,22.37,45.38,12385,12411,NA,NA,09420,16,3
17019000009,17,019,000009,6838,4938,1651,90,9,131,19,5253,4075,1012,64,7,91,4,259.36,753.88,12385,12411,NA,NA,09420,5,3
17019000010,17,019,000010,4780,4270,405,39,9,50,7,3653,3353,226,22,9,43,0,490.79,915.78,12385,12411,NA,NA,09420,5,3
17019000011,17,019,000011,3864,3700,57,45,2,57,3,3037,2922,40,30,2,42,1,408.03,761.36,12385,12411,NA,NA,09420,5,3
17019000013,17,019,000013,8603,7888,311,87,9,306,2,6593,6096,211,60,7,219,0,885.79,1652.82,12385,12411,NA,NA,09420,5,3
17019000014,17,019,000014,4678,3444,507,283,9,434,1,4287,3176,460,267,9,374,1,211.66,615.25,12385,12411,NA,NA,09420,5,3
17019000051,17,019,000051,207,145,51,4,0,7,0,193,133,51,4,0,5,0,43.74,68.34,77005,18121,NA,NA,39960,5,3
17019000052,17,019,000052,2214,1709,118,87,1,296,3,2095,1626,99,79,1,287,3,474.79,741.87,77005,18121,NA,NA,39960,5,3
17019000053,17,019,000053,2938,1142,1646,43,6,98,3,2193,959,1124,29,5,74,2,497,776.57,77005,18121,NA,NA,39960,5,3
17019000054,17,019,000054,7338,6417,726,79,26,83,7,5624,5089,396,56,19,64,0,177.69,405.59,77005,77018,37380,37410,39960,5,3
17019000055,17,019,000055,5436,4927,369,55,2,79,4,4224,3928,196,37,1,60,2,133.45,304.63,77005,18121,NA,NA,39960,5,3
