GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,place,mcd,school_elm,DISTRICT,school,cd_1980,cd_1990
18001000301,18,001,000301,4653,4550,3,92,5,3,0,3225,3166,0,51,5,3,0,553.37,615.31,17074,65862,NA,NA,07680,2,4
18001000302,18,001,000302,4129,3847,5,249,5,23,0,3075,2894,2,164,5,10,0,527.63,586.69,17074,80324,NA,NA,07680,2,4
18001000303,18,001,000303,6192,5804,12,354,13,4,5,4416,4186,11,204,7,3,5,301.58,443.34,17074,80324,NA,NA,07680,2,4
18001000304,18,001,000304,2896,2862,3,28,0,3,0,1939,1919,1,18,0,1,0,132.42,194.66,17074,39924,NA,NA,00060,2,4
18001000305,18,001,000305,4557,4512,0,30,9,6,0,2721,2693,0,16,6,6,0,260.23,537.12,50202,50220,NA,NA,00060,2,4
18001000306,18,001,000306,3408,3348,2,43,1,13,1,2507,2457,2,33,1,13,1,239.77,494.88,4888,50220,NA,NA,10260,2,4
18001000307,18,001,000307,5260,5229,10,14,4,3,0,3352,3336,6,5,3,2,0,320,555,27216,79262,NA,NA,10260,2,4
18003000001,18,003,000001,2698,2619,24,40,7,8,0,2130,2081,15,24,3,7,0,543.6,578.58,25000,81620,NA,NA,03630,2,4
18003000003,18,003,000003,3672,3551,39,48,17,13,4,2695,2624,23,32,10,6,0,687.8,732.06,25000,81620,NA,NA,03630,2,4
18003000004,18,003,000004,2793,2696,42,39,3,12,1,2210,2135,33,29,3,9,1,421.69,579.1,25000,81620,NA,NA,03630,2,4
18003000005,18,003,000005,3422,3222,111,38,9,33,9,2806,2647,91,33,8,27,0,716.13,762.21,25000,81620,NA,NA,03630,2,4
18003000006,18,003,000006,2320,2197,25,62,14,13,9,1637,1571,15,33,6,7,5,417.78,444.67,25000,81620,NA,NA,03630,2,4
18003000008,18,003,000008,4364,4277,13,55,4,9,6,3378,3327,10,32,2,7,0,862.11,917.58,25000,81620,NA,NA,03630,2,4
18003000009,18,003,000009,3531,3362,27,86,25,30,1,2603,2503,19,43,15,22,1,664.32,707.07,25000,81620,NA,NA,03630,2,4
18003000010,18,003,000010,1469,1366,24,63,8,6,2,1044,985,14,33,6,6,0,266.44,283.59,25000,81620,NA,NA,03630,2,4
18003000011,18,003,000011,2015,1796,118,61,10,20,10,1684,1517,91,45,10,17,4,429.78,457.43,25000,81620,NA,NA,03630,2,4
18003000012,18,003,000012,1299,1114,132,35,5,5,8,1104,948,115,26,5,5,5,281.76,299.88,25000,81620,NA,NA,03630,2,4
18003000013,18,003,000013,1683,699,937,28,6,12,1,1413,658,713,24,6,12,0,360.62,383.82,25000,81620,NA,NA,03630,2,4
18003000014,18,003,000014,2279,338,1784,69,2,72,14,1685,287,1273,55,1,67,2,430.03,457.7,25000,81620,NA,NA,03630,2,4
18003000015,18,003,000015,1403,515,831,45,8,3,1,956,367,544,37,4,3,1,243.98,259.68,25000,81620,NA,NA,03630,2,4
18003000016,18,003,000016,2812,1612,984,177,21,16,2,1835,1167,550,100,12,6,0,468.32,498.45,25000,81620,NA,NA,03630,2,4
18003000017,18,003,000017,2786,242,2441,88,4,11,0,1614,183,1380,42,3,6,0,411.91,438.42,25000,81620,NA,NA,03630,2,4
18003000018,18,003,000018,1573,266,1193,101,8,5,0,1041,195,769,68,6,3,0,265.68,282.77,25000,81620,NA,NA,03630,2,4
18003000019,18,003,000019,956,724,117,83,9,15,8,638,481,83,56,5,11,2,162.83,173.3,25000,81620,NA,NA,03630,2,4
18003000020,18,003,000020,3188,2594,333,195,24,22,20,2230,1875,191,131,17,14,2,569.13,605.75,25000,81620,NA,NA,03630,2,4
18003000021,18,003,000021,2815,2464,118,188,30,6,9,1991,1775,72,123,17,3,1,508.13,540.83,25000,81620,NA,NA,03630,2,4
18003000022,18,003,000022,2880,2159,404,272,17,25,3,2103,1670,239,171,11,12,0,536.71,571.25,25000,81620,NA,NA,03630,2,4
18003000023,18,003,000023,5484,3148,2028,194,33,67,14,3750,2404,1164,115,21,44,2,957.05,1018.63,25000,81620,NA,NA,03630,2,4
18003000024,18,003,000024,1878,1642,154,69,6,6,1,1332,1225,56,41,5,4,1,339.94,361.82,25000,81620,NA,NA,03630,2,4
18003000025,18,003,000025,3856,3579,134,92,14,26,11,2786,2641,62,56,10,16,1,711.02,756.77,25000,81620,NA,NA,03630,2,4
18003000026,18,003,000026,3775,3219,306,172,14,57,7,2627,2313,169,102,9,32,2,670.44,713.58,25000,81620,NA,NA,03630,2,4
18003000027,18,003,000027,2800,719,1823,218,11,24,5,1772,542,1085,121,7,16,1,452.24,481.34,25000,81620,NA,NA,03630,2,4
18003000029,18,003,000029,3095,885,2054,109,7,31,9,1934,676,1166,65,5,19,3,493.58,525.34,25000,81620,NA,NA,03630,2,4
18003000030,18,003,000030,4187,1605,2325,154,11,61,31,2720,1227,1361,85,8,33,6,694.18,738.85,25000,81620,NA,NA,03630,2,4
18003000031,18,003,000031,2972,2207,596,131,8,18,12,2085,1662,333,70,8,12,0,532.12,566.36,25000,81620,NA,NA,03630,2,4
18003000032,18,003,000032,5408,5132,144,89,16,24,3,3979,3812,78,56,12,20,1,1015.49,1080.84,25000,81620,NA,NA,03630,2,4
18003000034,18,003,000034,4649,4487,52,57,7,45,1,3509,3409,32,31,7,30,0,489.44,1089.04,25000,81620,NA,NA,03630,2,4
18003000035,18,003,000035,3850,3526,216,40,3,64,1,3057,2837,141,28,3,48,0,426.39,948.76,25000,66924,NA,NA,03630,2,4
18003000036,18,003,000036,4514,3819,509,138,12,32,4,3415,3001,302,81,7,23,1,871.55,927.63,25000,81620,NA,NA,03630,2,4
18003000037,18,003,000037,2837,2710,16,85,21,5,0,2110,2040,8,46,14,2,0,538.5,573.15,25000,81620,NA,NA,03630,2,4
18003000038,18,003,000038,3345,3213,25,65,12,29,1,2490,2410,12,39,10,18,1,635.48,676.37,25000,81620,NA,NA,03630,2,4
