GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,ai_an_nh,place,mcd,school,cd_1980,cd_1990
20001009526,20,001,009526,2191,2161,2,13,13,2,0,1614,1590,2,10,10,2,0,145,223,NA,48125,20900,09660,1,2
20001009527,20,001,009527,2192,2140,2,19,26,5,0,1551,1519,1,9,17,5,0,44,68,NA,37725,20550,07740,1,2
20001009528,20,001,009528,4099,3848,154,46,27,23,1,2961,2808,97,27,14,15,0,527.83,834.26,NA,34300,34300,07740,1,2
20001009529,20,001,009529,3004,2897,43,33,18,13,0,2228,2153,32,20,14,9,0,397.17,627.74,NA,34300,34300,07740,1,2
20001009530,20,001,009530,3152,2923,64,147,15,3,0,2300,2155,43,92,10,0,0,463,521,NA,33450,33450,07590,1,2
20003009536,20,003,009536,4806,4713,14,40,37,2,0,3583,3524,11,24,22,2,0,589,781,NA,25925,25925,06450,1,2
20003009537,20,003,009537,2997,2932,23,11,27,4,0,2158,2129,5,8,14,2,0,46,79,NA,14950,53900,08040,1,2
20005009816,20,005,009816,4516,4409,76,16,14,1,0,3242,3167,57,8,9,1,0,90,158,NA,20025,6150,05700,5,2
20005009817,20,005,009817,5469,4673,611,97,26,61,1,3996,3492,385,56,15,47,1,237,266,NA,2900,2900,03540,5,2
20005009818,20,005,009818,3511,3145,98,195,12,59,2,2453,2273,64,83,9,24,0,865.91,668.87,NA,2900,2900,03540,5,2
20005009819,20,005,009819,3436,3199,146,62,20,7,2,2564,2386,108,49,16,5,0,905.09,699.13,NA,2900,2900,03540,5,2
20007009681,20,007,009681,3859,3809,11,18,21,0,0,2788,2757,9,9,13,0,0,9,21,NA,45500,45525,09450,3,4
20007009682,20,007,009682,2015,1946,2,55,7,3,2,1517,1476,2,33,4,1,1,60,83,NA,37125,37150,08130,3,4
20009009711,20,009,009711,4554,4467,13,46,27,1,0,3320,3283,4,18,15,0,0,54,87,NA,20425,38125,05820,3,4
20009009712,20,009,009712,2272,2242,1,23,3,3,0,1632,1611,1,15,3,2,0,23,45,NA,54875,54900,07320,3,4
20009009713,20,009,009713,3629,3483,34,88,12,11,1,2668,2587,18,46,9,8,0,61,107,NA,32550,32550,07320,3,4
20009009714,20,009,009714,2536,2335,104,79,8,10,0,1862,1721,81,49,6,5,0,429.12,796.04,NA,28300,28300,06660,3,4
20009009715,20,009,009715,3213,3137,6,44,12,14,0,2413,2366,4,25,11,7,0,556.11,1031.61,NA,28300,28300,06660,3,4
20009009716,20,009,009716,4174,4028,34,84,13,14,1,3223,3129,27,50,8,9,0,742.78,1377.9,NA,28300,28300,06660,3,4
20009009717,20,009,009717,2807,2532,51,175,25,10,14,2022,1860,43,89,15,8,7,465.99,864.45,NA,28300,28300,06660,3,4
20009009718,20,009,009718,6197,5749,98,277,32,38,3,4317,4036,79,149,21,31,1,81,189,NA,28300,28325,06660,3,4
20011009556,20,011,009556,2426,2390,4,20,8,3,1,1762,1742,4,9,5,2,0,56,68,NA,8475,24300,06180,1,2
20011009557,20,011,009557,2346,2313,4,5,21,2,1,1695,1671,1,5,15,2,1,54,66,NA,72525,44650,12450,1,2
20011009558,20,011,009558,3714,3583,113,9,5,4,0,2877,2763,99,8,3,4,0,178.13,226.57,NA,24000,24000,06180,1,2
20011009559,20,011,009559,3487,3269,180,19,14,1,4,2469,2322,127,7,12,1,0,152.87,194.43,NA,24000,24000,06180,1,2
20011009560,20,011,009560,2993,2836,111,26,9,11,0,2286,2160,92,19,9,6,0,1318,1540,NA,24000,24000,06180,1,2
20013009806,20,013,009806,3309,2742,5,61,493,4,4,2257,1932,5,29,287,2,2,99,216,36725,48300,57375,00006,5,2
20013009807,20,013,009807,4069,3843,99,53,56,10,8,3052,2894,68,40,40,10,0,452,903,NA,31675,31675,00006,5,2
20013009808,20,013,009808,3750,3523,27,78,119,1,2,2760,2632,15,43,70,0,0,90,179,NA,33200,47200,07470,5,2
20015000201,20,015,000201,4602,4470,32,53,42,5,0,3303,3218,31,25,27,2,0,178,184,NA,39450,26400,08550,1,1
20015000203,20,015,000203,3523,3294,76,97,24,31,1,2613,2458,54,61,16,23,1,114.92,116.8,NA,20075,20075,05730,1,1
20015000204,20,015,000204,2661,2543,36,50,21,10,1,2016,1928,31,31,16,9,1,635.08,700.1,NA,20075,20075,05730,1,1
20015000205,20,015,000205,5511,5310,57,100,28,15,1,4155,4022,36,65,22,10,0,1308.92,1442.9,NA,20075,20075,05730,1,1
20015000206,20,015,000206,6465,6318,23,54,63,5,2,4546,4460,15,28,37,5,1,45,78,NA,71125,56850,06240,1,1
20015000207,20,015,000207,4312,4165,3,73,53,18,0,3252,3152,2,49,38,11,0,816.08,910.93,NA,3300,3300,03630,1,1
20015000208,20,015,000208,2987,2869,17,54,34,13,0,2028,1958,7,29,25,9,0,508.92,568.07,NA,3300,3300,03630,1,1
20015000209,20,015,000209,9192,8957,27,79,91,38,0,6198,6054,18,41,65,20,0,46,42,NA,18400,18425,05610,1,1
20015020201,20,015,020201,4184,4023,66,55,34,6,0,2935,2814,61,30,27,3,0,129.08,131.2,NA,20075,20100,12300,1,1
20015020202,20,015,020202,4251,4127,12,76,25,11,0,2933,2861,8,41,16,7,0,455.4,740.54,NA,1800,8825,03360,1,1
20015020203,20,015,020203,2892,2785,12,51,34,9,1,1994,1942,5,22,19,5,1,309.6,503.46,NA,1800,8825,03360,1,1
20017009906,20,017,009906,3021,2964,5,40,11,1,0,2267,2230,5,22,9,1,0,19,31,NA,15900,22850,05250,1,4
20019009946,20,019,009946,4407,4183,23,44,151,6,0,3374,3227,15,23,104,5,0,13,25,NA,11450,63775,11520,1,1
20021009581,20,021,009581,2939,2871,8,11,49,0,0,2213,2163,5,8,37,0,0,60,57,NA,76350,61350,05070,1,2
20021009582,20,021,009582,2310,2209,13,5,83,0,0,1679,1613,12,3,51,0,0,52,87,NA,77150,64625,05070,1,2
20021009583,20,021,009583,4000,3842,10,61,77,10,0,2984,2889,7,39,45,4,0,537,628,NA,15075,15075,05070,1,2
20021009584,20,021,009584,3380,3204,14,35,125,1,1,2430,2325,6,18,80,0,1,91,83,NA,NA,25250,11130,1,2
20021009585,20,021,009585,3943,3738,29,30,145,1,0,2861,2725,21,14,100,1,0,522,376,NA,25100,25100,06360,1,2
