GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,ai_an_nh,place,mcd,school_elm,DISTRICT,school,cd_1980,cd_1990
25001000000,25,001,000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,51405,29020,NA,NA,99998,1,1
25001000101,25,001,000101,3561,3435,53,46,9,17,1,3100,2997,41,41,8,13,0,1183,540,NA,55535,55500,NA,NA,09840,1,1
25001000102,25,001,000102,4066,3991,21,32,10,4,8,3296,3245,18,21,7,3,2,798,628,NA,NA,74385,12300,04560,99998,1,1
25001000103,25,001,000103,4462,4383,19,31,11,17,1,3553,3510,11,16,4,11,1,1146,1253,NA,47590,19295,04530,04560,NA,1,1
25001000104,25,001,000104,3079,3030,3,13,2,31,0,2572,2537,2,12,1,20,0,760.39,1037.79,NA,51405,51440,09210,04560,99998,1,1
25001000105,25,001,000105,2781,2767,7,4,3,0,0,2407,2396,4,4,3,0,0,711.61,971.21,NA,51405,51440,09210,04560,NA,1,1
25001000106,25,001,000106,3284,3224,23,24,4,8,1,2847,2803,13,21,3,6,1,605.64,697.25,NA,12960,12995,NA,NA,03480,1,1
25001000107,25,001,000107,3295,3261,6,13,10,4,1,2747,2724,3,8,8,3,1,584.36,672.75,NA,75505,12995,NA,NA,03480,1,1
25001000108,25,001,000108,3967,3921,4,28,1,13,0,3193,3172,2,13,1,5,0,887.11,952.71,NA,7945,7980,02970,04560,99998,1,1
25001000109,25,001,000109,4451,4351,33,37,8,20,2,3329,3280,11,22,5,9,2,924.89,993.29,NA,7945,7980,02970,04560,99998,1,1
25001000110,25,001,000110,3269,3050,32,36,7,6,138,2573,2413,24,23,4,5,104,782.78,862.51,NA,49700,29020,NA,NA,05910,1,1
25001000111,25,001,000111,3664,3518,25,28,4,5,84,2928,2829,16,17,4,3,59,890.78,981.51,NA,19400,29020,NA,NA,05910,1,1
25001000112,25,001,000112,3342,3255,20,20,11,15,21,2825,2772,10,15,6,7,15,859.44,946.98,NA,29090,29020,NA,NA,05910,1,1
25001000113,25,001,000113,2796,2740,9,21,10,9,7,2225,2199,4,11,6,2,3,644.43,718.3,NA,16740,16775,NA,NA,04140,1,1
25001000114,25,001,000114,2881,2822,19,10,10,5,15,2333,2301,9,7,5,4,7,675.71,753.16,NA,18840,16775,NA,NA,04140,1,1
25001000115,25,001,000115,3735,3607,47,34,8,22,17,2981,2899,36,18,5,9,14,863.39,962.36,NA,63655,16775,NA,NA,04140,1,1
25001000116,25,001,000116,2510,2375,46,45,11,4,29,2085,2014,25,25,8,3,10,603.88,673.1,NA,16810,16775,NA,NA,04140,1,1
25001000117,25,001,000117,1942,1886,14,9,17,8,8,1642,1598,12,7,12,5,8,475.58,530.09,NA,75820,16775,NA,NA,04140,1,1
25001000118,25,001,000118,5375,5262,33,59,5,15,1,4377,4316,17,31,3,9,1,1186.2,1353.54,NA,82595,82525,NA,NA,04140,1,1
25001000120,25,001,000120,8106,7854,60,126,9,25,32,6862,6706,37,76,8,20,15,1859.65,2122,NA,66035,82525,NA,NA,04140,1,1
25001000121,25,001,000121,7693,7337,131,112,35,41,37,6207,5996,71,64,25,30,21,1682.14,1919.45,NA,78795,82525,NA,NA,04140,1,1
25001000122,25,001,000122,4347,4257,39,16,19,11,5,3456,3386,35,15,13,3,4,933.1,927.2,NA,3695,3635,NA,NA,02310,1,1
25001000123,25,001,000123,490,402,36,23,14,1,14,407,343,25,17,10,1,11,109.89,109.19,NA,31820,3635,NA,NA,02310,1,1
25001000124,25,001,000124,2342,1941,150,143,37,31,40,2026,1698,119,128,26,25,30,547.01,543.55,NA,31820,3635,NA,NA,02310,1,1
25001000125,25,001,000125,3284,2943,110,119,24,27,61,2707,2487,68,79,17,15,41,730.87,726.25,NA,31820,3635,NA,NA,02310,1,1
25001000126,25,001,000126,6805,5912,434,146,91,70,152,5305,4702,301,98,63,55,86,1432.32,1423.26,NA,31820,3635,NA,NA,02310,1,1
25001000127,25,001,000127,4688,4463,87,78,6,36,18,3727,3582,59,51,4,23,8,1006.27,999.9,NA,12085,3635,NA,NA,02310,1,1
25001000128,25,001,000128,3438,3328,25,41,10,28,6,2752,2680,20,24,8,18,2,743.02,738.32,NA,12085,3635,NA,NA,02310,1,1
25001000129,25,001,000129,3621,3547,26,23,8,12,5,2850,2794,23,16,5,8,4,769.48,764.62,NA,12085,3635,NA,NA,02310,1,1
25001000130,25,001,000130,2963,2843,43,29,10,6,32,2449,2360,32,17,10,2,28,661.21,657.03,NA,51510,3635,NA,NA,02310,1,1
25001000131,25,001,000131,5089,4839,82,42,29,39,58,3566,3406,55,24,17,18,46,962.8,956.71,NA,38995,3635,NA,NA,02310,1,1
25001000132,25,001,000132,3882,3738,46,41,23,18,16,2978,2885,27,26,21,9,10,804.04,798.96,NA,15515,3635,07440,NA,02310,1,1
25001000133,25,001,000133,3148,3084,9,14,6,22,13,2566,2522,6,10,5,12,11,652.51,743.31,NA,59700,59735,NA,NA,10470,1,1
