GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,place,mcd,school,cd_1980,cd_1990
24001000001,24,001,000001,3360,11,3305,11,31,11,2,2419,8,2386,8,9,7,1,534.63,445.63,NA,90096,00030,3,7
24001000003,24,001,000003,3118,15,3035,15,65,1,2,2434,8,2368,8,47,1,2,537.95,448.39,21325,90372,00030,3,7
24001000004,24,001,000004,3433,3,3238,3,181,4,5,2653,3,2538,3,102,4,3,586.35,488.74,21325,92024,00030,3,7
24001000005,24,001,000005,2691,6,2533,6,134,5,8,2130,4,2010,4,103,4,5,470.76,392.39,21325,91932,00030,3,7
24001000007,24,001,000007,4702,18,4467,18,194,9,10,3529,11,3398,11,97,8,4,779.96,650.12,21325,90280,00030,3,7
24001000008,24,001,000008,1391,2,1355,2,33,0,0,1062,2,1047,2,11,0,0,234.72,195.64,21325,90280,00030,3,7
24001000009,24,001,000009,532,4,495,4,31,2,0,481,4,451,4,21,1,0,106.31,88.61,21325,91196,00030,3,7
24001000010,24,001,000010,2422,9,2321,9,85,2,4,1835,6,1768,6,51,1,3,405.56,338.05,21325,90372,00030,3,7
24001000011,24,001,000011,1852,13,1723,13,100,1,15,1523,8,1423,8,75,1,8,336.61,280.57,21325,90464,00030,3,7
24001000012,24,001,000012,3435,34,3190,34,118,0,89,2680,25,2500,25,82,0,48,592.32,493.71,21325,90464,00030,3,7
24001000018,24,001,000018,5195,42,4810,42,291,7,45,4665,37,4269,37,278,7,37,1031.03,859.39,30900,92300,00030,3,7
24001000021,24,001,000021,4112,4,4104,4,0,1,2,3188,3,3180,3,0,1,1,704.59,587.3,4625,90832,00030,3,7
24001000022,24,001,000022,4767,36,4723,36,5,1,2,3749,26,3692,26,4,1,0,828.58,690.65,82750,90648,00030,3,7
24001000201,24,001,000201,3062,9,3044,9,2,2,5,2361,4,2346,4,2,2,3,521.82,434.95,NA,91380,00030,3,7
24001000601,24,001,000601,3955,19,3800,19,128,2,5,3189,10,3079,10,86,2,2,704.82,587.48,21325,90280,00030,3,7
24001001301,24,001,001301,2162,9,2140,9,10,0,3,1692,7,1667,7,9,0,2,373.96,311.7,20530,90464,00030,3,7
24001001401,24,001,001401,4169,19,4079,19,19,1,48,3282,14,3209,14,12,1,32,725.37,604.61,46075,92580,00030,3,7
24001001402,24,001,001402,1609,2,1605,2,0,0,2,1235,1,1231,1,0,0,2,272.95,227.51,46075,92580,00030,3,7
24001001501,24,001,001501,166,0,164,0,0,2,0,122,0,120,0,0,2,0,26.96,22.47,NA,91104,00030,3,7
24001001502,24,001,001502,1917,1,1914,1,0,1,1,1477,1,1473,1,0,1,1,326.44,272.09,46075,91748,00030,3,7
24001001503,24,001,001503,1878,1,1868,1,8,0,1,1451,1,1443,1,6,0,0,320.69,267.31,NA,91104,00030,3,7
24001001601,24,001,001601,1645,4,1616,4,16,1,8,1316,3,1289,3,14,1,6,290.86,242.44,30900,90924,00030,3,7
24001001701,24,001,001701,4918,11,4849,11,44,1,12,3963,7,3902,7,36,1,10,875.88,730.07,30900,91012,00030,3,7
24001001901,24,001,001901,2630,14,2609,14,0,1,6,1977,9,1955,9,0,1,3,436.95,364.21,52475,91564,00030,3,7
24001002001,24,001,002001,5825,33,5728,33,27,2,32,4375,15,4305,15,18,0,22,966.94,805.97,20530,90556,00030,3,7
24003007011,24,003,007011,8912,96,8575,96,184,31,26,6638,68,6325,68,130,27,20,1252.18,1224.81,47925,90008,00060,4,6
24003007012,24,003,007012,5638,44,5468,44,96,15,15,4338,33,4189,33,69,7,7,818.31,800.42,71050,90008,00060,4,6
24003007013,24,003,007013,6280,54,5584,54,594,23,23,4660,33,4114,33,450,14,16,879.05,859.84,NA,90008,00060,4,6
