GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,ai_an_nh,place,mcd,school_elm,school,cd_1980,cd_1990
26001000000,26,001,000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,02160,9,6
26001009801,26,001,009801,2290,2248,8,12,16,6,0,1813,1784,8,7,11,3,0,108,123,NA,36860,37380,NA,02160,9,6
26001009802,26,001,009802,1405,1398,0,4,2,1,0,1200,1193,0,4,2,1,0,152,233,NA,NA,1040,NA,02160,9,6
26001009803,26,001,009803,882,864,0,7,9,2,0,703,691,0,2,8,2,0,49,77,NA,NA,54740,NA,02160,9,6
26001009804,26,001,009804,2917,2872,3,18,18,6,0,2164,2140,1,10,11,2,0,94,128,NA,47560,53880,NA,02160,9,6
26001009805,26,001,009805,1177,1165,0,4,5,3,0,963,956,0,1,4,2,0,202,163,NA,NA,19320,NA,26970,9,6
26001009806,26,001,009806,1474,1440,12,10,6,5,1,1160,1135,11,5,4,4,1,192,264,NA,NA,34820,NA,26970,9,6
26003000000,26,003,000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,03660,24810,9,1
26003009801,26,003,009801,3591,3199,207,28,143,14,0,2752,2443,204,18,75,12,0,137,142,71757,56200,11960,NA,24810,9,1
26003009802,26,003,009802,3530,3384,2,4,135,4,1,2613,2524,2,2,83,1,1,151,119.49,71757,56200,4460,03660,24810,9,1
26003009803,26,003,009803,1851,1809,2,11,23,6,0,1367,1346,0,5,15,1,0,79,62.51,NA,14940,56220,03660,00019,9,1
26005000000,26,005,000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,15510,14230,5,2
26005000301,26,005,000301,5362,4822,73,373,11,78,5,3976,3662,36,231,10,34,3,289.92,1006.97,NA,38640,38640,NA,18420,5,2
26005000303,26,005,000303,4966,4787,10,115,32,19,3,3323,3227,7,62,16,10,1,209,465,NA,NA,71100,NA,17400,8,2
26005000305,26,005,000305,5388,5228,8,78,65,9,0,3793,3697,6,44,41,5,0,301,372,NA,84880,84900,NA,35550,8,2
26005000306,26,005,000306,3884,3753,13,55,50,13,0,2631,2560,9,29,29,4,0,586.69,672.09,NA,39180,39200,NA,18570,8,2
26005000308,26,005,000308,3870,3711,7,124,14,13,1,3133,3030,5,81,9,7,1,441,577,NA,22740,71720,NA,30960,5,2
26005000309,26,005,000309,4980,4474,135,315,34,14,8,3513,3204,98,179,24,6,2,304,474,NA,74980,13700,15510,32300,5,7
26005000310,26,005,000310,4639,3847,521,209,43,13,6,3188,2691,357,100,28,10,2,292,228,NA,NA,46600,NA,06270,5,7
26005000311,26,005,000311,6304,6136,71,51,23,23,0,4617,4510,50,31,16,10,0,311,386,NA,1260,1280,NA,02220,5,7
26005000312,26,005,000312,4547,4238,183,85,18,22,1,3284,3084,126,53,11,9,1,732.31,838.91,NA,1260,1260,NA,02220,5,2
26005000313,26,005,000313,4384,4277,3,60,30,14,0,2991,2934,2,33,18,4,0,220,255,NA,51980,52000,NA,22980,5,2
26005000318,26,005,000318,4546,4470,19,32,16,6,3,3179,3139,10,22,6,2,0,300.17,358.22,NA,61620,61640,NA,27060,5,7
26005000319,26,005,000319,4095,4023,5,34,15,17,1,2900,2855,2,25,7,11,0,273.83,326.78,NA,61620,61640,NA,27060,5,7
26005000320,26,005,000320,4895,4796,11,45,28,15,0,3470,3410,10,25,18,7,0,300.62,405.92,NA,64740,35720,NA,28530,5,2
26005000321,26,005,000321,3992,3914,4,51,12,11,0,2890,2847,2,32,7,2,0,250.38,338.08,NA,64740,35720,NA,28530,5,2
26005030201,26,005,030201,3845,3700,4,111,7,22,1,2689,2603,2,77,3,4,0,196.08,681.03,NA,38640,45180,NA,18420,5,2
26005030202,26,005,030202,4116,3629,273,158,10,38,8,2948,2547,272,99,9,16,5,107.99,501.68,NA,38640,28120,NA,17400,5,2
26005030401,26,005,030401,5453,5301,15,84,38,13,2,3490,3415,11,40,21,2,1,522.43,1111.03,NA,NA,22680,NA,35550,8,2
26005030402,26,005,030402,3001,2954,3,20,18,6,0,2048,2022,3,13,8,2,0,306.57,651.97,NA,NA,46760,NA,35550,8,2
26005030701,26,005,030701,5396,4441,31,867,34,18,5,3604,3033,25,505,27,10,4,132.01,613.32,NA,27740,16720,NA,14230,5,2
26005030702,26,005,030702,2846,2740,30,28,16,32,0,1977,1904,24,19,9,21,0,147,188,NA,NA,37460,NA,02220,5,2
26007000000,26,007,000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321,368,NA,NA,NA,NA,02730,9,1
26007000001,26,007,000001,4467,4444,1,15,7,0,0,3252,3237,1,7,7,0,0,165,148,NA,61500,61520,NA,02730,9,1
26007000002,26,007,000002,4181,4149,1,14,13,4,0,2964,2945,0,8,9,2,0,123.74,180.19,NA,61500,87680,NA,02730,9,1
26007000003,26,007,000003,3186,3143,11,15,12,5,0,2329,2296,11,8,9,5,0,1290.34,1106.15,NA,1740,1760,NA,02730,9,1
