GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,place,mcd,school_elm,school,cd_1980,cd_1990
29001009501,29,001,009501,3304,3282,6,7,3,6,0,2389,2372,3,6,3,5,0,354.05,722.7,8002,65540,NA,16740,5,9
29001009502,29,001,009502,2742,2713,1,14,10,3,1,2060,2040,1,7,10,1,1,305.29,623.17,53534,52526,NA,22980,5,9
29001009503,29,001,009503,2818,2729,28,17,4,38,2,2269,2192,25,12,3,36,1,336.26,686.4,39026,4546,NA,16740,5,9
29001009504,29,001,009504,3796,3719,12,22,6,37,0,2824,2768,10,14,4,28,0,418.51,854.29,39026,4546,NA,16740,5,9
29001009505,29,001,009505,6502,6313,44,76,15,54,0,5091,4949,29,57,8,48,0,754.48,1540.09,39026,4546,NA,16740,5,9
29001009506,29,001,009506,980,935,15,5,0,24,1,955,910,15,5,0,24,1,141.53,288.9,39026,4546,NA,16740,5,9
29001009507,29,001,009507,1373,1285,57,11,0,19,1,1369,1281,57,11,0,19,1,202.88,414.14,39026,4546,NA,16740,5,9
29001009508,29,001,009508,647,631,7,6,0,2,1,647,631,7,6,0,2,1,95.88,195.72,39026,4546,NA,16740,5,9
29001009509,29,001,009509,2415,2312,43,24,1,35,0,2025,1944,38,11,1,31,0,300.1,612.59,39026,4546,NA,16740,5,9
29003000101,29,003,000101,4586,4488,28,49,16,5,0,3295,3229,20,31,10,5,0,60,188,16802,36710,04080,27570,6,6
29003000102,29,003,000102,5446,5382,2,33,18,11,0,4020,3982,2,21,11,4,0,920,1356,66044,52688,NA,27570,6,6
29003000103,29,003,000103,1685,1675,0,7,1,2,0,1228,1220,0,5,1,2,0,83,142,1018,42572,NA,27570,6,6
29003000104,29,003,000104,2915,2892,0,14,4,5,0,2137,2121,0,8,4,4,0,355,671,6922,4564,04080,22710,6,6
29005009501,29,005,009501,4395,4200,81,90,7,12,5,3436,3261,76,78,7,12,2,316,691,72340,72358,31770,29940,6,6
29005009502,29,005,009502,3062,3038,1,14,7,2,0,2342,2327,1,7,5,2,0,761,1069,62696,14284,NA,26790,6,6
29007009501,29,007,009501,2935,2584,326,9,0,15,1,2281,2050,216,5,0,10,0,850,916,75688,17686,NA,30780,5,9
29007009502,29,007,009502,5139,5087,20,16,11,5,0,3769,3731,12,13,11,2,0,105,162,39602,59474,NA,10020,5,9
29007009503,29,007,009503,2741,2733,1,6,0,1,0,1791,1784,1,5,0,1,0,497.32,710.17,12898,80152,NA,08400,5,9
29007009504,29,007,009504,3011,2651,331,7,8,11,3,2297,2045,234,5,6,7,0,637.83,910.81,47648,68744,NA,20810,5,9
29007009505,29,007,009505,3750,3578,128,15,1,28,0,2837,2719,90,11,1,16,0,787.78,1124.93,47648,65558,NA,20810,5,9
29007009506,29,007,009506,2477,2296,148,10,7,16,0,1720,1630,73,4,5,8,0,477.61,682.02,47648,65558,NA,20810,5,9
29007009507,29,007,009507,3546,3047,463,18,6,7,5,2681,2361,308,6,2,4,0,744.46,1063.07,47648,65558,NA,20810,5,9
29009009601,29,009,009601,4651,4587,1,38,23,2,0,3466,3429,0,17,19,1,0,181,357,13000,67250,28200,08170,2,7
29009009602,29,009,009602,5292,5193,2,16,66,14,1,3779,3718,1,10,38,11,1,595.74,1554.37,60176,60194,16260,25620,2,7
29009009603,29,009,009603,5020,4932,0,12,48,28,0,3795,3737,0,9,35,14,0,468,1282,49196,49214,NA,21120,2,7
29009009604,29,009,009604,5946,5819,20,49,54,4,0,4320,4232,18,30,38,2,0,137,228,66530,23140,NA,28710,2,7
29009009605,29,009,009605,4749,4638,0,28,58,24,1,3573,3514,0,16,33,9,1,563.26,1469.63,11890,24436,NA,08170,2,7
29009009606,29,009,009606,1889,1861,1,9,17,1,0,1637,1614,1,8,13,1,0,268,478,22250,79522,28200,08170,2,7
29011009601,29,011,009601,2873,2820,0,11,34,7,1,2113,2077,0,7,24,4,1,108,414,27676,27694,NA,12930,4,7
29011009602,29,011,009602,3633,3561,6,10,53,3,0,2614,2577,2,5,28,2,0,52,190,41906,55748,NA,18510,4,7
29011009603,29,011,009603,4806,4732,5,36,15,18,0,3599,3551,5,19,13,11,0,529,1321,40376,13897,NA,17850,4,7
29013009701,29,013,009701,4081,4034,2,31,12,1,1,2970,2946,2,11,10,1,0,149,182,244,18766,15240,02850,4,4
29013009702,29,013,009702,3729,3678,2,27,21,1,0,2723,2692,2,10,18,1,0,492.87,681.5,25372,33310,NA,20820,4,4
29013009703,29,013,009703,4361,4213,103,19,19,5,2,3309,3205,81,9,11,3,0,598.93,828.17,10054,50546,NA,06360,4,4
29013009704,29,013,009704,2854,2831,0,5,17,1,0,2095,2077,0,5,12,1,0,379.2,524.33,61418,55028,15240,26310,4,4
29015009601,29,015,009601,2723,2702,2,9,6,4,0,2034,2020,1,6,4,3,0,203,991,15436,79936,NA,09900,4,4
29015009602,29,015,009602,1949,1923,6,8,11,1,0,1508,1489,5,4,9,1,0,259,560,42608,79252,NA,18670,4,4
29015009603,29,015,009603,2881,2839,1,20,18,3,0,2322,2284,1,18,16,3,0,585,774,77146,43076,NA,31070,4,4
29015009604,29,015,009604,1606,1585,1,11,8,1,0,1318,1303,0,6,8,1,0,299,301,NA,15418,NA,09900,4,4
29015009605,29,015,009605,1119,1105,0,3,8,3,0,917,906,0,3,5,3,0,208,269,NA,74500,NA,31070,4,4
29015009606,29,015,009606,1795,1770,3,6,14,2,0,1359,1338,3,4,12,2,0,349,409,NA,26074,NA,31070,4,4
29015009607,29,015,009607,1786,1753,0,21,10,2,0,1424,1400,0,15,7,2,0,78,77,NA,73564,04800,31070,4,4
29017009501,29,017,009501,3713,3661,5,25,19,3,0,2771,2740,5,16,9,1,0,150,212,66476,17380,NA,23640,3,8
29017009502,29,017,009502,4078,4012,5,32,8,21,0,2997,2955,5,19,6,12,0,624,972,45848,44084,NA,19350,3,8
29017009503,29,017,009503,2828,2806,2,13,3,4,0,2069,2056,0,7,3,3,0,182,325,81430,77956,NA,32490,3,8
29019000001,29,019,000001,430,264,127,4,2,33,0,385,260,90,4,2,29,0,86.15,112.48,15670,15688,NA,01000,5,9
29019000002,29,019,000002,2501,2209,173,37,11,69,2,2237,2001,127,32,10,66,1,500.55,653.58,15670,15688,NA,01000,5,9
29019000003,29,019,000003,4019,3349,159,97,14,399,1,3846,3213,147,84,13,388,1,860.58,1123.68,15670,15688,NA,01000,5,9
29019000004,29,019,000004,8112,6984,439,127,7,553,2,7875,6882,411,117,7,456,2,1762.1,2300.83,15670,15688,NA,01000,5,9
29019000005,29,019,000005,2467,1943,94,59,4,364,3,2376,1912,92,53,4,312,3,531.65,694.19,15670,15688,NA,01000,5,9
29019000006,29,019,000006,5280,5079,63,42,17,75,4,4095,3950,44,30,11,58,2,916.29,1196.43,15670,48944,NA,01000,5,9
29019000007,29,019,000007,3531,2812,591,50,5,68,5,2835,2346,399,39,5,46,0,634.36,828.3,15670,48944,NA,01000,5,9
29019000008,29,019,000008,2962,1229,1600,18,5,100,10,2329,1096,1110,17,5,99,2,521.13,680.46,15670,48944,NA,01000,5,9
29019000009,29,019,000009,1786,1152,581,24,10,16,3,1329,938,355,17,6,12,1,297.38,388.29,15670,48944,NA,01000,5,9
29019000012,29,019,000012,6308,5867,200,43,12,178,8,4542,4256,137,23,8,118,0,1016.31,1327.03,15670,48944,NA,01000,5,9
29019000013,29,019,000013,3059,2231,434,63,13,313,5,2486,1941,287,47,11,198,2,556.26,726.33,15670,48944,NA,01000,5,9
29019000014,29,019,000014,6166,5734,300,55,20,46,11,4548,4252,206,36,16,35,3,1017.65,1328.78,15670,48944,NA,01000,5,9
29019000020,29,019,000020,4143,4040,58,24,17,4,0,3005,2923,49,18,12,3,0,676,1103,12898,12916,NA,08400,5,9
29019001001,29,019,001001,2975,2753,102,41,22,50,7,2481,2326,75,27,14,37,2,555.14,724.87,15670,15688,NA,01000,5,9
29019001002,29,019,001002,4591,4151,291,48,12,83,6,3352,3090,166,29,9,57,1,750.04,979.35,15670,15688,NA,01000,5,9
29019001101,29,019,001101,3506,3181,199,35,11,78,2,2979,2739,138,28,9,65,0,666.58,870.37,15670,15688,NA,01000,5,9
29019001103,29,019,001103,4964,4583,124,52,21,179,5,3768,3488,95,42,13,128,2,843.12,1100.89,15670,48944,NA,01000,5,9
29019001104,29,019,001104,3781,3440,225,32,9,70,5,2632,2429,126,23,5,48,1,588.93,768.99,15670,48944,NA,01000,5,9
29019001501,29,019,001501,6873,5642,938,86,43,161,3,4802,4122,493,54,28,104,1,1074.49,1402.99,15670,48944,NA,01000,5,9
29019001502,29,019,001502,4522,3774,593,69,16,63,7,3581,3097,388,36,12,45,3,801.28,1046.25,15670,15688,NA,01000,5,9
29019001601,29,019,001601,3482,3015,388,51,11,13,4,2440,2168,231,27,6,8,0,545.97,712.89,15670,15688,NA,01000,5,9
29019001602,29,019,001602,2884,2725,107,23,5,24,0,2050,1940,75,18,4,13,0,458.7,598.94,NA,15688,NA,01000,5,9
29019001701,29,019,001701,3928,3875,13,18,13,6,3,2886,2851,11,9,10,5,0,645.77,843.2,2242,12142,NA,28560,5,9
29019001702,29,019,001702,3150,3030,82,6,18,13,1,2246,2167,57,4,10,8,0,502.56,656.21,NA,12142,NA,01000,5,9
29019001801,29,019,001801,2942,2559,253,39,12,78,1,1907,1700,135,21,9,42,0,426.71,557.16,15670,48944,NA,01000,5,9
29019001803,29,019,001803,3772,3584,106,26,25,27,4,2645,2536,65,12,14,18,0,591.84,772.79,62498,48944,NA,01000,5,9
29019001804,29,019,001804,1086,1068,6,9,1,2,0,777,764,3,8,1,1,0,173.86,227.01,NA,48944,NA,01000,5,9
29019001901,29,019,001901,3242,3194,4,28,9,6,1,2355,2324,4,15,9,3,0,1001,1182,30484,57026,NA,13710,5,9
29019001902,29,019,001902,5917,5808,56,20,9,22,2,4226,4150,45,12,5,14,0,945.6,1234.7,71224,62840,NA,29700,5,9
29021000001,29,021,000001,2673,2489,105,48,11,15,5,2050,1930,75,25,8,10,2,497.54,604.6,64550,77236,NA,27060,6,6
29021000002,29,021,000002,4662,4515,46,73,12,13,3,3410,3317,30,45,9,9,0,827.61,1005.69,64550,77236,NA,27060,6,6
29021000003,29,021,000003,3837,3738,41,52,4,2,0,2813,2751,24,33,3,2,0,682.72,829.62,64550,77236,NA,27060,6,6
