GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,ai_an_nh,place,mcd,school,cd_1980,cd_1990
28001000001,28,001,000001,5746,3795,1896,36,11,8,0,3939,2680,1224,24,9,2,0,1222.61,1372.39,NA,50440,91485,03030,4,5
28001000002,28,001,000002,4677,1054,3606,11,3,3,0,3131,782,2338,6,2,3,0,971.81,1090.88,NA,50440,92223,03030,4,5
28001000003,28,001,000003,3174,118,3046,4,3,3,0,2296,89,2198,4,3,2,0,712.64,799.95,NA,50440,92223,03030,4,5
28001000004,28,001,000004,4269,119,4130,18,1,0,1,2746,108,2623,13,1,0,1,852.32,956.74,NA,50440,91485,03030,4,5
28001000005,28,001,000005,4115,3342,745,9,9,10,0,2989,2516,451,7,7,8,0,927.74,1041.4,NA,50440,92961,03030,4,5
28001000006,28,001,000006,2605,2272,305,11,7,10,0,2056,1827,205,11,6,7,0,638.15,716.33,NA,50440,90747,03030,4,5
28001000007,28,001,000007,2318,1420,872,19,2,5,0,1792,1171,603,14,2,2,0,556.21,624.35,NA,50440,90009,03030,4,5
28001000008,28,001,000008,3767,1387,2357,11,2,7,3,2552,1035,1504,6,2,4,1,792.1,889.15,NA,50440,90009,03030,4,5
28001000009,28,001,000009,4683,4430,205,32,0,16,0,3611,3401,174,24,0,12,0,1120.8,1258.11,NA,50440,90009,03030,4,5
28001000899,28,001,000899,2,1,0,1,0,0,0,2,1,0,1,0,0,0,0.62,0.7,NA,NA,90009,03030,4,5
28003009501,28,003,009501,4773,4697,33,23,1,19,0,3465,3426,17,11,1,10,0,604.5,859.62,NA,15700,90018,00390,1,2
28003009502,28,003,009502,6117,5502,562,36,4,12,1,4718,4306,379,23,3,6,1,823.1,1170.47,NA,15700,92970,01260,1,2
28003009503,28,003,009503,3198,2887,295,11,2,3,0,2554,2359,183,9,1,2,0,445.57,633.61,NA,15700,92970,01260,1,2
28003009504,28,003,009504,4248,4237,5,2,1,3,0,3166,3156,4,2,1,3,0,552.34,785.44,NA,38360,92970,00390,1,2
28003009505,28,003,009505,6332,4117,2167,30,3,11,4,4625,3191,1406,18,3,7,0,806.87,1147.39,NA,15700,92232,01260,1,2
28003009506,28,003,009506,3500,3476,0,12,10,2,0,2485,2474,0,5,4,2,0,433.53,616.49,NA,NA,90756,00390,1,2
28003009507,28,003,009507,3554,3072,467,13,1,1,0,2620,2287,321,10,1,1,0,457.08,649.98,NA,62560,91494,00390,1,2
28005009501,28,005,009501,4234,2823,1396,5,6,4,0,3112,2189,911,3,6,3,0,892.16,1123.14,NA,40640,92241,00420,4,5
28005009502,28,005,009502,4136,2314,1810,9,2,1,0,2908,1776,1126,4,1,1,0,833.68,1049.51,NA,27820,91503,00420,4,5
28005009503,28,005,009503,4958,2115,2820,19,3,1,0,3398,1567,1815,12,3,1,0,974.16,1226.35,NA,12740,92979,00420,4,5
28007009501,28,007,009501,2795,2016,775,3,1,0,0,2081,1561,518,2,0,0,0,487.45,724.9,NA,23220,90774,00510,3,4
28007009502,28,007,009502,2141,1672,459,6,4,0,0,1534,1231,297,5,1,0,0,359.32,534.36,NA,38320,91512,00510,3,3
28007009503,28,007,009503,3787,1567,2197,14,7,2,0,2629,1208,1407,9,3,2,0,615.81,915.8,NA,64800,92250,00510,2,3
28007009504,28,007,009504,2586,1700,863,13,9,1,0,1924,1328,587,5,3,1,0,450.68,670.21,47980,38320,92988,00510,3,4
28007009505,28,007,009505,4072,2263,1777,12,4,14,2,2998,1809,1173,6,2,8,0,702.25,1044.33,NA,38320,92988,02340,3,4
28007009506,28,007,009506,3100,1885,1189,10,7,9,0,2269,1494,758,8,3,6,0,531.49,790.39,NA,38320,91512,02340,3,4
28009009501,28,009,009501,5915,3006,2882,22,4,1,0,4104,2355,1733,12,3,1,0,1248.35,1198.21,NA,2140,91521,00600,1,2
28009009502,28,009,009502,2131,1843,271,15,1,1,0,1544,1371,159,12,1,1,0,469.65,450.79,NA,32020,92997,00600,1,2
28011009501,28,011,009501,5221,982,4137,87,8,7,0,3287,795,2431,52,4,5,0,949.63,772.87,NA,67040,91530,00720,2,3
28011009502,28,011,009502,4631,1048,3481,63,6,33,0,2929,797,2066,37,6,23,0,846.2,688.7,NA,63720,90054,00660,2,3
28011009503,28,011,009503,4366,433,3900,24,1,8,0,2684,351,2316,13,1,3,0,775.42,631.09,NA,49320,91530,00810,2,3
28011009504,28,011,009504,5817,1623,4125,59,0,10,0,3742,1255,2445,35,0,7,0,1081.09,879.86,NA,67000,93006,00690,2,3
28011009505,28,011,009505,4470,2391,2031,26,5,17,0,3036,1815,1186,19,5,11,0,877.12,713.86,NA,8180,93006,00750,2,3
28011009506,28,011,009506,7863,7393,358,62,3,47,0,6212,5804,318,47,2,41,0,1794.68,1460.63,NA,14260,90792,00750,2,3
28011009507,28,011,009507,9507,1253,8182,56,2,14,0,5818,1025,4745,32,2,14,0,1680.85,1367.99,NA,14260,92268,00750,2,3
28013009501,28,013,009501,3868,3334,501,28,2,0,3,2899,2547,329,19,2,0,2,505.6,917.78,NA,9180,91539,00870,1,2
28013009502,28,013,009502,1941,1121,802,17,0,1,0,1390,851,524,14,0,1,0,242.42,440.05,NA,9180,90801,00870,1,2
28013009503,28,013,009503,3265,2381,874,7,3,0,0,2404,1828,567,7,2,0,0,419.27,761.07,NA,58360,90063,00870,1,2
28013009504,28,013,009504,2899,2157,716,20,5,1,0,2139,1662,455,16,5,1,0,373.05,677.17,NA,76320,93015,00870,1,2
28013009505,28,013,009505,2935,1795,1131,6,2,1,0,2154,1451,700,2,1,0,0,375.67,681.92,NA,10580,92277,00870,1,2
28015009501,28,015,009501,4306,3022,1249,20,5,10,0,3128,2303,802,12,5,6,0,718.12,1294.23,NA,11580,90810,00930,2,3
28015009502,28,015,009502,4931,2519,2384,22,6,0,0,3458,1931,1510,12,5,0,0,793.88,1430.77,NA,75880,93024,00930,2,3
28017009501,28,017,009501,4556,2254,2273,17,6,6,0,3192,1769,1398,16,6,3,0,634.12,880.82,NA,53680,91557,03390,1,2
28017009502,28,017,009502,3427,2481,931,13,2,0,0,2428,1837,580,9,2,0,0,482.34,670,NA,51420,90819,00960,1,2
28017009503,28,017,009503,4345,2897,1415,22,6,3,2,3125,2220,888,12,5,0,0,620.81,862.33,NA,33900,90081,02010,1,2
28017009504,28,017,009504,5757,3390,2325,33,6,3,0,3935,2480,1424,24,5,2,0,781.72,1085.85,NA,81000,93033,02010,1,2
28019009501,28,019,009501,2982,2543,419,14,4,2,0,2142,1868,258,10,4,2,0,423.26,809.64,NA,45720,90828,00990,1,2
28019009502,28,019,009502,4438,2746,1669,14,2,6,1,3024,1997,1014,6,2,5,0,597.54,1143.02,NA,78520,93042,00990,1,2
28019009503,28,019,009503,1651,1005,638,3,3,2,0,1165,779,382,3,1,0,0,230.2,440.35,NA,300,93042,00990,1,2
28021009501,28,021,009501,3603,950,2617,29,5,2,0,2349,769,1561,14,3,2,0,839.34,352.67,NA,NA,90837,01020,2,3
28021009502,28,021,009502,1783,484,1292,2,5,0,0,1248,412,832,2,2,0,0,445.93,187.37,NA,59560,91575,01020,2,3
28021009503,28,021,009503,5984,542,5393,25,10,14,0,4589,440,4111,17,8,13,0,1639.73,688.97,NA,59560,93051,01020,2,3
28023009501,28,023,009501,4401,3291,1094,11,1,4,0,3220,2496,711,10,1,2,0,632.64,1188.29,NA,67520,93060,03780,3,4
28023009502,28,023,009502,5428,3896,1500,25,2,3,2,3897,2901,976,15,2,3,0,765.65,1438.12,NA,70760,91584,01440,3,4
