GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,ai_an_nh,place,mcd,school_elm,DISTRICT,school,cd_1980,cd_1990
30001009891,30,001,009891,631,598,0,25,7,1,0,468,451,0,12,4,1,0,116.17,188.49,NA,NA,90273,28500,03090,NA,1,1
30001009892,30,001,009892,2618,2524,3,54,29,8,0,1706,1657,0,30,14,5,0,423.49,687.11,NA,20800,90924,08910,03090,NA,1,1
30001009893,30,001,009893,4354,4210,5,45,74,20,0,3328,3233,2,31,49,13,0,826.12,1340.39,NA,20800,90924,08910,03090,NA,1,1
30001009894,30,001,009894,387,380,0,4,3,0,0,263,256,0,4,3,0,0,65.29,105.93,NA,NA,90651,08910,03090,NA,1,1
30001009895,30,001,009895,434,426,0,5,3,0,0,318,312,0,4,2,0,0,78.94,128.08,NA,43525,92079,16680,16710,NA,1,1
30003009640,30,003,009640,3889,3027,4,154,669,35,0,2700,2222,3,93,361,21,0,1040.75,632.79,18325,34225,91617,13310,13340,NA,2,1
30003009641,30,003,009641,6207,1518,11,94,4574,10,0,3761,1132,6,47,2569,7,0,1449.72,881.46,18325,18250,90756,13310,13340,NA,2,1
30003009642,30,003,009642,1077,98,1,45,933,0,0,599,74,0,25,500,0,0,230.89,140.39,54550,11200,92436,13310,13340,NA,2,1
30003009643,30,003,009643,164,158,0,1,4,1,0,121,116,0,1,3,1,0,46.64,28.36,NA,NA,93549,03660,17040,NA,2,1
30005009723,30,005,009723,1599,1258,1,10,328,2,0,1130,932,0,5,193,0,0,408.1,325.62,NA,34375,91638,13395,26670,NA,2,1
30005009724,30,005,009724,2810,2646,0,19,143,2,0,2053,1951,0,10,90,2,0,741.44,591.6,27925,14575,90588,06260,06270,NA,2,1
30005009725,30,005,009725,2319,122,5,25,2165,2,0,1311,100,3,14,1194,0,0,473.47,377.78,27925,35275,91176,04140,13660,NA,2,1
30007009832,30,007,009832,2511,2440,1,31,34,5,0,1779,1739,0,13,25,2,0,552.6,742.32,NA,74575,93570,26370,04980,NA,1,1
30007009833,30,007,009833,807,795,0,2,8,0,2,584,577,0,0,5,0,2,181.4,243.68,NA,74575,93591,26370,04980,NA,1,1
30009009652,30,009,009652,1868,1840,0,13,7,8,0,1354,1336,0,6,4,8,0,517.47,506,NA,39700,91827,15200,15260,NA,2,1
30009009653,30,009,009653,575,563,0,9,1,2,0,415,409,0,5,1,0,0,158.6,155.09,NA,NA,90504,04770,04800,NA,2,1
30009009654,30,009,009654,1574,1535,1,27,8,2,1,1130,1112,1,11,5,1,0,431.86,422.29,NA,9475,91323,04770,04800,NA,2,1
30009009655,30,009,009655,811,805,0,1,3,2,0,581,576,0,1,3,1,0,222.05,217.12,NA,NA,92793,22680,22710,NA,2,1
30009009656,30,009,009656,1197,1175,1,5,15,1,0,861,848,0,4,8,1,0,329.06,321.76,NA,4300,92772,03240,22110,NA,2,1
30009009657,30,009,009657,2055,2010,1,35,7,2,0,1562,1537,0,16,7,2,0,596.96,583.73,NA,61525,92772,22080,22110,NA,2,1
30011009602,30,011,009602,881,873,0,5,3,0,0,668,665,0,1,2,0,0,191.37,380.35,NA,23650,91050,09670,05610,NA,2,1
30011009603,30,011,009603,622,607,0,7,6,2,0,449,438,0,4,6,1,0,128.63,255.65,NA,NA,92121,01880,05610,NA,2,1
30013000001,30,013,000001,2251,2109,32,38,47,23,2,1597,1510,23,19,29,16,0,495.44,430.04,NA,32800,91533,13040,13050,NA,2,1
30013000002,30,013,000002,3968,3763,40,66,83,16,0,2924,2788,27,42,53,14,0,907.12,787.37,NA,32800,91533,13040,13050,NA,2,1
30013000003,30,013,000003,3432,3189,37,69,117,19,1,2497,2349,24,45,64,14,1,774.65,672.39,NA,32800,91533,13040,13050,NA,2,1
30013000004,30,013,000004,1945,1724,17,63,138,3,0,1410,1293,11,32,71,3,0,437.43,379.68,NA,32800,91533,13040,13050,NA,2,1
