GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,ai_an_nh,place,mcd,school_elm,DISTRICT,school,cd_1980,cd_1990
31001009654,31,001,009654,3166,3144,6,11,3,2,0,2288,2272,5,7,3,1,0,35,90,NA,24950,25195,30450,02770,72420,1,1
31001009655,31,001,009655,3924,3832,1,46,18,26,1,2866,2815,1,27,9,14,0,97,203,NA,21415,21415,33390,02770,71580,1,1
31001009656,31,001,009656,5050,4946,40,36,8,20,0,3832,3755,39,25,2,11,0,893.18,1352.97,NA,21415,21415,18450,02770,71580,1,1
31001009657,31,001,009657,1702,1641,10,27,15,8,1,1309,1272,6,21,6,4,0,305.11,462.17,NA,21415,21415,NA,NA,71580,1,1
31001009658,31,001,009658,2395,2305,6,54,16,13,1,1780,1727,4,29,11,9,0,414.89,628.47,NA,21415,21415,NA,NA,71580,1,1
31001009659,31,001,009659,4611,4486,47,31,20,27,0,3520,3418,43,27,19,13,0,820.46,1242.81,NA,21415,21415,18450,02770,71580,1,1
31001009660,31,001,009660,3889,3748,55,65,10,8,3,2768,2685,36,35,8,4,0,645.18,977.3,NA,21415,21415,49590,02770,71580,1,1
31001009661,31,001,009661,2440,2395,16,13,9,7,0,2176,2139,14,11,7,5,0,507.19,768.28,NA,21415,21415,18450,02770,71580,1,1
31001009662,31,001,009662,2448,2425,0,20,2,1,0,1718,1709,0,7,2,0,0,96,135,NA,22815,10810,02780,02770,00066,1,1
31003009796,31,003,009796,2756,2737,2,4,7,6,0,1862,1856,1,2,3,0,0,53,108,NA,37210,15185,08860,NA,74910,1,1
31003009797,31,003,009797,1937,1930,0,1,3,2,1,1394,1390,0,1,2,1,0,218,548,NA,33775,33775,18480,NA,74220,1,1
31003009798,31,003,009798,3272,3261,0,0,10,1,0,2273,2267,0,0,5,1,0,25,34,NA,14730,28525,64500,NA,70050,1,1
31005009583,31,005,009583,462,459,0,0,2,0,1,343,342,0,0,1,0,0,54,199,NA,2200,90085,32550,03210,NA,1,1
