GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,ai_an_nh,place,mcd,school_elm,DISTRICT,school,cd_1980,cd_1990
34001000000,34,001,000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,99998,10,3
34001000001,34,001,000001,1991,1371,293,278,4,45,0,1562,1178,172,175,3,34,0,312.87,288.84,NA,2080,2080,NA,NA,00960,10,3
34001000002,34,001,000002,2606,2162,50,270,0,121,3,2298,1989,26,187,0,95,1,301.42,533.84,NA,2080,2080,NA,NA,00960,10,3
34001000003,34,001,000003,2622,1616,139,623,12,230,2,2183,1470,81,445,9,176,2,437.26,403.67,NA,2080,2080,NA,NA,00960,10,3
34001000004,34,001,000004,2306,1383,124,580,6,207,6,1999,1321,89,415,5,165,4,400.4,369.65,NA,2080,2080,NA,NA,00960,10,3
34001000005,34,001,000005,2382,1200,157,731,4,287,3,1870,1055,101,499,4,209,2,374.56,345.79,NA,2080,2080,NA,NA,00960,10,3
34001000008,34,001,000008,1220,721,301,147,0,48,3,1144,710,267,119,0,46,2,229.15,211.54,NA,2080,2080,NA,NA,00960,10,3
34001000011,34,001,000011,2984,194,2575,199,13,0,3,2082,178,1769,127,7,0,1,417.03,385,NA,2080,2080,NA,NA,00960,10,3
34001000012,34,001,000012,2979,28,2852,86,11,2,0,2325,27,2238,51,7,2,0,465.7,429.93,NA,2080,2080,NA,NA,00960,10,3
34001000013,34,001,000013,2185,148,1957,46,21,8,5,1581,136,1395,30,14,5,1,316.68,292.35,NA,2080,2080,NA,NA,00960,10,3
34001000014,34,001,000014,3806,125,3323,331,21,5,1,2429,106,2151,149,17,5,1,486.53,449.16,NA,2080,2080,NA,NA,00960,10,3
34001000015,34,001,000015,2469,107,2215,126,19,1,1,1756,100,1572,72,10,1,1,351.73,324.71,NA,2080,2080,NA,NA,00960,10,3
34001000016,34,001,000016,922,12,850,54,1,2,3,674,9,627,35,1,1,1,135,124.63,NA,2080,2080,NA,NA,00960,10,3
