GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,ai_an_nh,place,mcd,school,cd_1980,cd_1990
35001000003,35,001,000003,6446,4867,71,1204,155,134,15,5410,4145,50,978,124,104,9,1033.95,1230.28,NA,2000,90060,00060,1,1
35001000004,35,001,000004,7826,5892,67,1625,134,103,5,6305,4881,46,1205,91,77,5,1205,1433.81,NA,2000,90060,00060,1,1
35001000005,35,001,000005,7163,5014,112,1596,327,92,22,6075,4376,77,1285,248,73,16,1161.05,1381.51,NA,2000,90060,00060,1,1
35001000008,35,001,000008,5761,3934,643,916,59,196,13,3656,2540,424,513,34,140,5,698.73,831.41,NA,66720,90060,00060,1,2
35001000011,35,001,000011,8161,5580,175,1952,256,179,19,6353,4619,123,1321,168,116,6,1214.18,1444.73,NA,2000,90060,00060,1,1
35001000012,35,001,000012,6506,2147,1010,2728,268,323,30,4615,1753,696,1765,156,232,13,882.01,1049.49,NA,2000,90060,00060,1,1
35001000013,35,001,000013,4166,248,340,3461,69,7,41,2701,189,232,2200,42,4,34,516.21,614.23,NA,2000,90060,00060,1,1
35001000014,35,001,000014,3275,566,46,2521,42,5,95,2356,437,38,1782,36,4,59,450.28,535.77,NA,2000,90060,00060,1,1
35001000015,35,001,000015,2880,730,304,1748,63,24,11,2061,632,220,1135,47,17,10,393.9,468.69,NA,2000,90060,00060,1,1
35001000016,35,001,000016,2593,1528,106,659,206,81,13,2305,1429,88,531,174,74,9,440.53,524.18,NA,2000,90060,00060,1,1
35001000017,35,001,000017,4987,3626,78,931,203,135,14,4258,3148,60,750,167,125,8,813.78,968.31,NA,2000,90060,00060,1,1
35001000018,35,001,000018,1962,1318,60,449,88,47,0,1932,1298,60,444,83,47,0,369.24,439.35,NA,2000,90060,00060,1,1
35001000019,35,001,000019,1174,930,10,201,16,13,4,1053,837,7,177,16,12,4,201.25,239.46,NA,2000,90060,00060,1,1
35001000020,35,001,000020,2343,651,44,1567,38,15,28,1823,601,37,1124,29,14,18,348.41,414.57,NA,2000,90060,00060,1,1
35001000021,35,001,000021,1197,427,87,643,34,3,3,1129,403,87,601,32,3,3,215.77,256.74,NA,2000,90060,00060,1,1
35001000022,35,001,000022,3574,1721,75,1701,55,17,5,2876,1546,64,1212,37,14,3,549.66,654.03,NA,2000,90060,00060,1,1
35001000023,35,001,000023,7436,1028,48,6191,89,10,70,5074,830,32,4102,57,7,46,969.74,1153.87,NA,74520,90060,00060,1,1
35001000025,35,001,000025,2238,538,15,1630,44,4,7,1584,457,8,1087,26,2,4,302.73,360.21,NA,2000,90060,00060,1,1
35001000026,35,001,000026,1178,367,9,766,21,6,9,993,321,6,638,17,4,7,189.78,225.82,NA,2000,90060,00060,1,1
35001000027,35,001,000027,3725,1282,64,2240,107,13,19,2898,1118,49,1625,78,12,16,553.86,659.03,NA,2000,90060,00060,1,1
35001000028,35,001,000028,706,147,16,521,18,4,0,536,129,11,377,17,2,0,102.44,121.89,NA,2000,90060,00060,1,1
35001000029,35,001,000029,3654,1048,27,2411,131,10,27,2658,862,19,1659,93,5,20,507.99,604.45,NA,2000,90060,00060,1,1
35001000031,35,001,000031,2510,1283,13,1166,20,16,12,1951,1053,11,846,16,15,10,372.87,443.67,NA,2000,90060,00060,1,1
35001000034,35,001,000034,3947,1767,176,1722,213,58,11,2908,1449,106,1161,143,42,7,555.77,661.3,NA,2000,90060,00060,1,1
35001000036,35,001,000036,6635,3008,24,3447,100,36,20,4802,2292,19,2388,66,24,13,917.75,1092.02,67000,52750,90060,00060,1,1
35001000039,35,001,000039,2171,48,0,131,1986,4,2,1435,41,0,85,1303,4,2,274.26,326.33,34690,34655,91590,00060,1,2
35001000043,35,001,000043,4750,1037,116,3477,55,10,55,3323,831,71,2329,40,10,42,635.09,755.68,NA,74520,90060,00060,1,1
35001000048,35,001,000048,1201,85,0,50,1065,0,1,697,54,0,36,606,0,1,133.21,158.5,11240,2000,90330,00060,1,2
35001000107,35,001,000107,2788,2444,17,257,22,48,0,2174,1926,15,186,14,33,0,415.49,494.39,NA,2000,90060,00060,1,1
35001000108,35,001,000108,2825,2201,45,469,52,52,6,2097,1647,30,346,40,28,6,400.78,476.88,NA,2000,90060,00060,1,1
35001000109,35,001,000109,2741,2196,52,414,35,44,0,2053,1691,30,276,25,31,0,392.37,466.87,NA,2000,90060,00060,1,1
35001000110,35,001,000110,3580,2856,55,586,43,38,2,2905,2348,44,449,33,29,2,555.2,660.62,NA,2000,90060,00060,1,1
35001000111,35,001,000111,2396,1949,52,338,25,27,5,1781,1472,33,234,21,18,3,340.38,405.01,NA,2000,90060,00060,1,1
35001000112,35,001,000112,2196,1806,41,257,23,64,5,1624,1359,32,170,19,41,3,310.38,369.31,NA,2000,90060,00060,1,1
35001000113,35,001,000113,3375,2438,81,721,69,61,5,2451,1821,52,488,41,47,2,468.43,557.38,NA,2000,90060,00060,1,1
35001000114,35,001,000114,3555,2456,62,916,61,57,3,2542,1793,39,625,47,35,3,485.82,578.07,NA,2000,90060,00060,1,1
35001000115,35,001,000115,3414,2451,78,775,73,37,0,2677,1999,53,546,49,30,0,511.63,608.77,NA,2000,90060,00060,1,1
35001000116,35,001,000116,3380,2542,104,642,59,33,0,2526,1965,69,425,41,26,0,482.77,574.43,NA,2000,90060,00060,1,1
35001000117,35,001,000117,2454,1833,26,474,41,80,0,1924,1477,20,342,27,58,0,367.71,437.53,NA,2000,90060,00060,1,1
35001000118,35,001,000118,2690,2124,49,429,40,46,2,2166,1770,34,310,22,28,2,413.96,492.57,NA,2000,90060,00060,1,1
35001000119,35,001,000119,1918,1569,11,276,18,39,5,1551,1306,10,193,13,24,5,296.43,352.71,NA,2000,90060,00060,1,1
35001000120,35,001,000120,2722,1926,56,655,51,34,0,2036,1490,34,461,32,19,0,389.12,463,NA,2000,90060,00060,1,1
35001000121,35,001,000121,5952,4406,112,1204,101,114,15,4892,3745,88,896,72,83,8,934.95,1112.48,NA,2000,90060,00060,1,1
35001000122,35,001,000122,4008,2958,60,787,35,164,4,3253,2463,45,598,30,114,3,621.71,739.76,NA,2000,90060,00060,1,1
35001000123,35,001,000123,5409,3690,98,1419,83,103,16,4155,2938,63,1021,54,71,8,794.1,944.88,NA,2000,90060,00060,1,1
35001000124,35,001,000124,3486,2453,77,839,83,29,5,2962,2123,70,674,65,25,5,566.09,673.58,NA,2000,90060,00060,1,1
35001000125,35,001,000125,3350,2592,57,533,28,138,2,2429,1925,35,360,22,85,2,464.23,552.38,NA,2000,90060,00060,1,1
35001000126,35,001,000126,3107,2383,48,574,32,69,1,2399,1885,39,406,21,47,1,458.49,545.55,NA,2000,90060,00060,1,1
35001000127,35,001,000127,3174,2178,88,796,47,59,6,2387,1707,48,546,37,45,4,456.2,542.82,NA,2000,90060,00060,1,1
35001000128,35,001,000128,3502,2210,111,1063,82,30,6,2510,1644,70,718,48,26,4,479.71,570.8,NA,2000,90060,00060,1,1
35001000129,35,001,000129,5032,3474,156,1193,123,84,2,3737,2705,104,786,78,62,2,714.21,849.83,NA,2000,90060,00060,1,1
35001000203,35,001,000203,1992,1438,30,455,32,28,9,1636,1237,26,330,19,21,3,312.67,372.04,NA,2000,90060,00060,1,1
35001000204,35,001,000204,3500,2041,97,1186,114,55,7,2684,1646,62,846,85,41,4,512.96,610.36,NA,2000,90060,00060,1,1
