GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,place,mcd,school,cd_1980,cd_1990
39001009901,39,001,009901,4524,4484,6,17,15,2,0,3232,3206,6,7,12,1,0,132,212,61420,48888,06190,16,7
39001009902,39,001,009902,4028,3995,6,15,8,4,0,2847,2826,5,8,6,2,0,232,411,85876,71052,06190,16,7
39001009903,39,001,009903,5108,5061,21,16,4,6,0,3557,3530,10,11,4,2,0,199,297,13834,82012,06190,16,7
39001009904,39,001,009904,4799,4743,9,21,15,11,0,3474,3432,8,15,13,6,0,826,1083,84294,76768,06190,16,7
39001009905,39,001,009905,3320,3282,1,11,22,4,0,2339,2313,1,9,13,3,0,167,251,68196,38486,06190,16,7
39001009906,39,001,009906,3592,3573,4,10,3,1,1,2564,2551,2,7,3,1,0,159,119,47012,47026,06190,16,7
39003000101,39,003,000101,3184,3087,32,27,2,36,0,2500,2427,29,18,2,24,0,312.28,648.07,7426,66614,04521,20,8
39003000102,39,003,000102,4405,4354,19,16,5,9,2,3136,3108,12,6,4,6,0,391.72,812.93,10884,66614,04521,20,8
39003000103,39,003,000103,1608,1599,2,4,1,2,0,1135,1129,1,2,1,2,0,116,461,NA,75199,04577,20,8
39003000106,39,003,000106,4893,4826,16,41,7,3,0,3487,3444,10,25,5,3,0,175,545,74034,73982,04580,20,8
39003000108,39,003,000108,6276,6103,68,47,5,52,1,4360,4251,43,29,5,32,0,881.89,2119.73,24808,1756,04577,20,8
39003000109,39,003,000109,4251,3791,390,30,5,34,1,3308,3008,250,25,4,21,0,669.11,1608.27,43554,1756,04579,20,8
39003000110,39,003,000110,5621,5042,420,76,8,73,2,4227,3858,264,49,7,49,0,759.81,980.53,43554,1756,04577,20,8
39003000112,39,003,000112,4250,2726,1320,174,25,5,0,3736,2236,1313,157,25,5,0,487.88,1015.42,43554,4206,04576,20,8
39003000113,39,003,000113,7344,7129,106,70,9,27,3,5499,5360,71,43,7,16,2,718.12,1494.58,43554,4206,04576,20,8
39003000114,39,003,000114,2737,2721,1,12,1,2,0,1950,1938,1,8,1,2,0,310,764,41118,37646,04575,20,8
39003000115,39,003,000115,2778,2718,7,39,11,3,0,1963,1925,5,21,10,2,0,275,647,34118,2988,04575,20,8
39003000116,39,003,000116,2521,2458,45,7,9,2,0,1878,1836,29,6,5,2,0,464,715,43554,61742,04578,20,8
39003000117,39,003,000117,1332,845,474,3,10,0,0,939,593,339,2,5,0,0,168.79,217.82,43554,61742,04578,20,8
39003000118,39,003,000118,2407,2194,142,12,2,55,2,1836,1686,105,7,2,35,1,335.15,882.33,43554,71955,04579,20,8
39003000119,39,003,000119,3739,3600,68,51,4,16,0,2758,2672,46,28,3,9,0,503.46,1325.42,27944,71955,04579,20,8
39003000120,39,003,000120,2191,2050,70,18,4,48,1,1550,1461,43,14,2,30,0,282.94,744.89,27944,71955,04579,20,8
39003000121,39,003,000121,2944,2849,64,22,1,8,0,2117,2067,33,10,1,6,0,386.45,1017.37,27944,71955,04579,20,8
39003000122,39,003,000122,3201,2877,237,43,1,33,10,2159,1995,123,21,1,19,0,388.09,500.82,43554,43554,04577,20,8
39003000123,39,003,000123,4442,4170,204,51,7,3,7,3227,3077,111,27,7,3,2,580.06,748.56,43554,43554,04422,20,8
39003000124,39,003,000124,2876,2580,235,42,3,15,1,2037,1868,128,28,3,10,0,366.16,472.52,43554,43554,04422,20,8
39003000125,39,003,000125,1187,697,464,23,2,0,1,788,491,279,16,2,0,0,141.65,182.79,43554,43554,04422,20,8
39003000126,39,003,000126,2400,2201,151,32,6,10,0,1853,1727,95,22,4,5,0,333.08,429.84,43554,43554,04422,20,8
39003000127,39,003,000127,2475,1750,599,60,4,41,21,1552,1211,289,26,3,21,2,278.98,360.02,43554,43554,04422,20,8
39003000128,39,003,000128,1902,1345,498,35,4,16,4,1426,1062,325,23,4,12,0,256.33,330.79,43554,43554,04422,20,8
39003000129,39,003,000129,2265,1894,326,19,13,8,5,1508,1295,186,13,11,3,0,271.07,349.81,43554,43554,04422,20,8
39003000130,39,003,000130,4548,3935,546,53,2,6,6,3511,3138,335,29,2,6,1,631.11,814.44,43554,43554,04422,20,8
39003000131,39,003,000131,2517,2322,161,19,1,14,0,1942,1819,100,13,1,9,0,349.08,450.48,43554,43554,04422,20,8
39003000132,39,003,000132,1920,1479,410,14,8,3,6,1398,1129,254,9,3,3,0,251.29,324.29,43554,43554,04422,20,8
39003000133,39,003,000133,1812,890,882,28,2,7,3,1235,670,541,18,1,5,0,221.99,286.48,43554,43554,04422,20,8
39003000134,39,003,000134,2332,1763,517,43,1,4,4,1530,1234,268,25,1,2,0,275.02,354.91,43554,43554,04422,20,8
39003000135,39,003,000135,1089,748,314,15,1,3,8,806,573,218,11,1,2,1,144.88,186.97,43554,43554,04422,20,8
39003000136,39,003,000136,1815,1188,587,28,1,2,9,1154,841,299,10,0,2,2,207.43,267.69,43554,43554,04422,20,8
39003000137,39,003,000137,1678,694,952,26,2,2,2,1080,487,573,17,2,1,0,194.13,250.53,43554,43554,04422,20,8
39003000138,39,003,000138,2139,191,1909,20,8,0,11,1430,148,1266,11,4,0,1,257.05,331.71,43554,43554,04422,20,8
39003000139,39,003,000139,3379,3360,0,14,1,4,0,2422,2404,0,13,1,4,0,403.67,887.15,21602,47656,04388,20,8
39003000140,39,003,000140,3297,3266,0,26,4,0,1,2312,2288,0,19,4,0,1,385.33,846.85,21602,47656,04388,20,8
39005009701,39,005,009701,5635,5587,25,10,1,12,0,3778,3745,20,6,1,6,0,279,361,63996,37660,04583,7,14
39005009702,39,005,009702,4572,4549,2,13,5,2,1,3159,3147,1,6,4,1,0,177,370,3562,15672,04583,7,14
39005009703,39,005,009703,4073,3994,46,20,3,10,0,2836,2788,27,12,3,6,0,106.56,217.24,2568,2568,04350,7,14
39005009704,39,005,009704,3826,3756,30,23,3,14,0,2782,2730,25,15,3,9,0,83.54,217.8,2568,2568,04350,7,14
39005009705,39,005,009705,3753,3599,72,27,16,39,0,2812,2708,43,16,11,34,0,2311,4225,2568,2568,04350,7,14
39005009706,39,005,009706,5152,4973,99,31,4,42,3,4057,3920,87,14,4,31,1,152.44,310.76,2568,2568,04350,7,14
39005009707,39,005,009707,4079,3966,19,27,1,66,0,3094,3013,11,17,1,52,0,92.91,242.23,2568,2568,04350,7,14
39005009708,39,005,009708,3579,3451,58,10,5,54,1,2682,2613,27,7,4,30,1,80.54,209.97,2568,2568,04350,7,14
39005009709,39,005,009709,4223,4187,13,8,0,13,2,3009,3000,1,3,0,4,1,250,416,39060,51086,04582,7,14
39005009710,39,005,009710,4449,4423,6,5,3,12,0,3261,3241,6,5,3,6,0,267,553,62190,31682,04582,7,14
39005009711,39,005,009711,4166,4050,86,17,7,6,0,3048,3010,18,10,6,4,0,376,602,45066,33236,04546,7,14
39007000000,39,007,000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,99998,5,17
39007000002,39,007,000002,4662,4581,28,26,4,21,2,3473,3418,20,18,4,13,0,340,360,56700,56700,04585,5,17
39007000003,39,007,000003,2610,2531,27,25,4,23,0,1938,1889,17,13,2,17,0,958.33,604.21,24542,2652,04585,5,17
39007000004,39,007,000004,1833,1774,25,29,3,1,1,1435,1390,24,16,3,1,1,709.6,447.39,2638,2652,04351,5,17
39007000005,39,007,000005,4871,4715,69,53,12,19,3,3728,3636,38,32,8,11,3,1843.48,1162.28,24542,2652,04585,5,17
39007000008,39,007,000008,7303,7055,20,177,28,20,3,5321,5175,16,96,20,12,2,1095.43,1003.61,29610,29624,04405,5,17
39007000009,39,007,000009,5122,4779,38,277,14,8,6,3777,3554,34,173,9,6,1,777.57,712.39,29610,29624,04405,5,17
39007000010,39,007,000010,7320,7160,93,29,16,22,0,5143,5030,65,16,14,18,0,227,225,67600,52066,04587,5,17
39007000011,39,007,000011,7888,7661,157,37,10,21,2,5601,5457,96,25,8,14,1,227,266,38500,38514,04587,5,17
39007000012,39,007,000012,6296,6106,129,45,10,6,0,4520,4383,99,25,9,4,0,297,348,18350,51296,04585,5,17
39007000101,39,007,000101,3450,3402,18,20,7,3,0,2666,2632,11,15,5,3,0,852.34,594.15,18350,18350,04381,5,17
39007000102,39,007,000102,4123,4001,73,34,3,8,4,2973,2900,47,19,1,6,0,950.49,662.56,18350,18350,04381,5,17
