GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,place,mcd,school,cd_1980,cd_1990
42001000301,42,001,000301,5951,5845,9,70,3,24,0,4257,4195,7,36,2,17,0,220,331,NA,63616,03450,17,19
42001000302,42,001,000302,4451,4225,51,123,1,50,1,3193,3064,25,76,1,27,0,226,345,87136,78160,03450,17,19
42001000303,42,001,000303,3260,3034,35,182,7,2,0,2356,2208,25,114,7,2,0,233,514,5536,48608,24300,17,19
42001000304,42,001,000304,4819,4615,86,102,6,10,0,3580,3457,57,56,4,6,0,537,646,2928,27320,10710,17,19
42001000305,42,001,000305,3522,3411,9,93,1,7,1,2608,2540,5,59,1,3,0,305,437,6296,10456,24300,17,19
42001000306,42,001,000306,4550,4447,53,26,15,9,0,3460,3385,40,21,10,4,0,550,756,NA,74680,10710,17,19
42001000307,42,001,000307,5358,5249,25,50,6,26,2,3777,3719,13,25,6,14,0,388,437,7560,51776,06550,17,19
42001000308,42,001,000308,5305,5227,20,40,2,14,2,3897,3856,8,22,2,9,0,206,211,20792,32144,06550,17,19
42001000309,42,001,000309,5054,4964,9,60,0,21,0,3842,3789,5,37,0,11,0,337,351,53920,57472,06550,17,19
42001000310,42,001,000310,1186,1161,0,18,1,6,0,835,821,0,10,1,3,0,81.38,66.07,NA,15632,06550,17,19
42001000311,42,001,000311,6115,6045,3,51,6,9,1,4675,4631,2,32,3,6,1,455.62,369.93,49224,15632,06550,17,19
42001000312,42,001,000312,6976,6842,54,39,6,31,4,5065,5009,18,17,6,15,0,201,308,43944,51640,13980,17,19
42001000313,42,001,000313,2973,2942,1,15,1,14,0,2255,2235,1,12,1,6,0,424,538,43944,43944,13980,17,19
42001000314,42,001,000314,5431,5194,101,81,1,53,1,4235,4061,79,58,1,36,0,867,1123,NA,17640,10710,17,19
42001000315,42,001,000315,7025,6351,362,232,11,65,4,5950,5505,248,139,10,48,0,920,1047,28960,28960,10710,17,19
42001000316,42,001,000316,3902,3814,38,26,7,14,3,2879,2819,25,19,6,10,0,102,143,11472,11472,09540,17,19
42001000317,42,001,000317,2396,2369,5,8,4,8,2,1815,1795,4,6,4,6,0,204,295,24560,32200,09540,17,19
42001000318,42,001,000318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,48608,24300,21,19
