GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,ai_an_nh,place,mcd,school_elm,DISTRICT,school,cd_1980,cd_1990
44001000301,44,001,000301,4473,4353,23,57,3,31,6,3427,3341,19,40,2,19,6,940.8,1553.45,NA,4960,5140,NA,NA,00030,1,1
44001000302,44,001,000302,3105,3055,11,15,2,21,1,2429,2399,7,7,1,14,1,666.82,1101.06,NA,4960,5140,NA,NA,00030,1,1
44001000303,44,001,000303,4553,4432,15,34,0,66,6,3327,3251,9,23,0,44,0,913.34,1508.12,NA,4960,5140,NA,NA,00030,1,1
44001000304,44,001,000304,3718,3662,2,19,0,34,1,2754,2714,2,12,0,25,1,756.04,1248.38,NA,4960,5140,NA,NA,00030,1,2
44001000305,44,001,000305,3599,3502,10,63,3,16,5,2738,2671,7,45,2,12,1,671.55,738.37,NA,NA,73760,NA,NA,01080,1,1
44001000307,44,001,000307,4546,4378,22,128,3,13,2,3550,3440,19,79,1,10,1,797.69,851.01,NA,9460,9280,NA,NA,00060,1,1
44001000308,44,001,000308,4859,4698,29,100,6,15,11,4132,4015,22,73,3,14,5,928.47,990.53,NA,9460,9280,NA,NA,00060,1,1
44001030601,44,001,030601,3466,3412,7,34,2,11,0,2650,2610,6,23,2,9,0,649.97,714.64,NA,NA,73760,NA,NA,01080,1,1
44001030602,44,001,030602,4320,4236,17,40,6,18,3,3545,3488,9,27,6,14,1,869.48,956,NA,NA,73760,NA,NA,01080,1,1
44001030899,44,001,030899,25,25,0,0,0,0,0,25,25,0,0,0,0,0,5.62,5.99,NA,9460,9280,NA,NA,00060,1,1
44001030901,44,001,030901,5599,5433,27,85,6,48,0,4223,4103,21,58,5,36,0,948.92,1012.34,NA,9460,9280,NA,NA,00060,1,1
44001030902,44,001,030902,6596,6454,15,97,7,22,1,5315,5204,10,78,4,19,0,1194.3,1274.12,NA,9460,9280,NA,NA,00060,1,1
44003000202,44,003,000202,4917,4678,46,110,8,72,3,3924,3747,35,81,7,53,1,877.35,1043.01,NA,78260,78440,NA,NA,01140,2,2
44003000203,44,003,000203,6293,6069,56,110,23,35,0,4912,4763,36,78,13,22,0,1098.26,1305.63,NA,78260,78440,NA,NA,01140,2,2
44003000204,44,003,000204,3155,3066,19,62,2,6,0,2433,2382,8,37,1,5,0,543.99,646.7,NA,78260,78440,NA,NA,01140,2,2
44003000205,44,003,000205,3694,3610,15,47,4,13,5,2946,2888,11,33,4,9,1,658.69,783.06,NA,78260,78440,NA,NA,01140,2,2
44003000208,44,003,000208,3501,3446,11,13,6,21,4,2586,2547,8,10,4,15,2,613,1027,NA,NA,77720,00360,NA,00300,2,2
44003000210,44,003,000210,7859,7650,64,74,10,55,6,6137,5996,42,48,10,38,3,1774.44,2119.5,NA,74300,74300,NA,NA,01110,2,2
44003000211,44,003,000211,5382,5206,55,62,9,40,10,4179,4031,49,50,9,32,8,1208.31,1443.28,NA,74300,74300,NA,NA,01110,2,2
44003000212,44,003,000212,4296,4136,47,68,6,38,1,3464,3349,37,45,6,26,1,1001.57,1196.34,NA,74300,74300,NA,NA,01110,2,2
44003000213,44,003,000213,5129,5039,18,41,11,20,0,4100,4038,16,25,8,13,0,1185.47,1415.99,NA,74300,74300,NA,NA,01110,2,2
44003000216,44,003,000216,1453,1409,11,6,1,22,4,1112,1087,5,5,1,12,2,321.52,384.04,NA,74300,74300,NA,NA,01110,2,2
44003000217,44,003,000217,5214,5045,47,74,15,27,6,3855,3744,30,49,11,16,5,1114.63,1331.38,NA,74300,74300,NA,NA,01110,2,2
44003000218,44,003,000218,4014,3827,68,50,15,48,6,3100,2962,55,36,11,33,3,896.33,1070.63,NA,74300,74300,NA,NA,01110,2,2
44003000220,44,003,000220,3682,3590,32,21,9,30,0,2964,2900,23,13,6,22,0,493.42,940.14,NA,74300,74300,NA,NA,01110,2,2
44003000221,44,003,000221,5618,5543,25,23,9,18,0,4679,4629,15,17,6,12,0,1352.88,1615.96,NA,74300,74300,NA,NA,01110,2,2
44003000223,44,003,000223,4077,3934,37,30,11,59,6,3433,3324,30,19,8,47,5,992.61,1185.63,NA,74300,74300,NA,NA,01110,2,2
44003000224,44,003,000224,2357,2319,7,23,1,6,1,1789,1765,3,15,1,4,1,517.27,617.86,NA,74300,74300,NA,NA,01110,2,2
44003020101,44,003,020101,6187,5931,54,100,8,94,0,4566,4396,35,62,7,66,0,1020.9,1213.66,NA,78260,78440,NA,NA,01140,2,2
44003020102,44,003,020102,5031,4824,28,113,8,53,5,3935,3798,21,76,3,36,1,879.81,1045.94,NA,78260,78440,NA,NA,01140,2,2
44003020601,44,003,020601,4998,4927,10,37,4,16,4,3628,3575,7,28,2,13,3,792.97,1132.16,NA,NA,18640,NA,NA,00210,2,2
44003020602,44,003,020602,8665,8537,24,64,12,26,2,6756,6670,16,45,7,18,0,1476.66,2108.28,NA,NA,18640,NA,NA,00210,2,2
44003020603,44,003,020603,6607,6472,15,75,11,30,4,5003,4910,9,53,6,22,3,1093.51,1561.24,NA,NA,18640,NA,NA,00210,2,2
44003020701,44,003,020701,1654,1630,8,12,1,2,1,1156,1145,2,7,1,1,0,252.67,360.74,NA,NA,18640,NA,NA,00210,2,2
44003020702,44,003,020702,3765,3711,13,33,0,8,0,2805,2769,8,24,0,4,0,613.09,875.33,NA,NA,18640,NA,NA,00210,2,2
44003020703,44,003,020703,5394,5310,8,39,4,33,0,4109,4059,4,24,3,19,0,898.1,1282.26,NA,NA,18640,NA,NA,00210,2,2
44003020901,44,003,020901,3911,3789,29,38,16,38,1,3163,3071,26,32,9,25,0,526.54,1003.26,NA,NA,22240,NA,NA,00300,2,2
44003020903,44,003,020903,4485,4346,15,28,5,90,1,3152,3067,10,18,4,52,1,524.71,999.77,NA,NA,22240,NA,NA,00300,2,2
44003020904,44,003,020904,3412,3369,4,11,1,27,0,2591,2561,4,7,1,18,0,431.32,821.83,NA,NA,22240,NA,NA,00300,2,2
