GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,ai_an_nh,place,mcd,school_elm,school,cd_1980,cd_1990
45001009501,45,001,009501,3165,2627,516,14,6,2,0,2341,1978,352,4,6,1,0,378.72,426.21,NA,19870,90897,NA,00690,4,3
45001009502,45,001,009502,3499,2509,948,30,3,8,1,2745,1994,722,19,3,7,0,444.08,499.77,NA,21040,90910,NA,00690,4,3
45001009503,45,001,009503,2565,2122,435,2,1,5,0,1986,1666,312,2,1,5,0,321.29,361.58,NA,42820,90091,NA,00690,4,3
45001009504,45,001,009504,5811,4135,1644,12,1,18,1,4203,3071,1108,11,1,12,0,679.96,765.22,NA,100,90013,NA,00690,4,3
45001009505,45,001,009505,5533,2973,2534,17,0,8,1,4046,2364,1665,11,0,6,0,654.56,736.63,NA,100,90013,NA,00690,4,3
45001009506,45,001,009506,3289,1829,1422,23,6,9,0,2376,1429,922,16,4,5,0,384.39,432.59,NA,10720,90455,NA,00690,4,3
45003000201,45,003,000201,3097,2122,956,10,8,1,0,2246,1594,637,7,7,1,0,248.3,539.61,NA,47320,92223,NA,00720,4,3
45003000202,45,003,000202,3902,2992,873,17,17,2,1,2803,2166,614,10,11,2,0,309.88,673.43,NA,NA,91001,NA,00720,4,2
45003000203,45,003,000203,6414,4166,2181,44,3,16,4,4707,3221,1440,29,3,13,1,520.37,1130.87,NA,550,90026,NA,00720,4,3
45003000204,45,003,000204,3867,2748,1096,11,4,8,0,2693,2001,674,9,4,5,0,297.72,647,NA,550,90026,NA,00720,4,3
45003000205,45,003,000205,2910,2372,495,18,4,21,0,1993,1636,331,10,3,13,0,166.64,477.83,NA,50695,92418,NA,00720,4,3
45003000206,45,003,000206,7166,5647,1410,40,17,51,1,5106,4125,900,29,14,38,0,426.93,1224.18,NA,5410,92418,NA,00720,4,3
45003000208,45,003,000208,6970,5838,1023,32,10,66,1,5344,4584,674,25,9,52,0,446.83,1281.24,NA,50695,92418,NA,00720,4,3
45003000209,45,003,000209,6146,4205,1900,20,8,13,0,4247,2994,1229,9,4,11,0,355.11,1018.23,NA,50695,90208,NA,00720,4,3
45003000211,45,003,000211,6992,6283,630,52,19,7,1,5142,4737,360,30,9,6,0,429.94,1232.81,NA,29410,92418,NA,00720,4,3
45003000213,45,003,000213,3414,3211,147,22,0,34,0,2745,2600,107,16,0,22,0,303.47,659.49,NA,550,90026,NA,00720,4,3
45003000214,45,003,000214,6784,1355,5380,32,8,7,2,4803,1123,3650,20,4,5,1,530.99,1153.93,NA,550,90026,NA,00720,4,3
45003000215,45,003,000215,5163,4212,832,70,18,31,0,3922,3287,555,42,15,23,0,433.59,942.27,NA,550,90026,NA,00720,4,3
45003000217,45,003,000217,3278,2019,1253,6,0,0,0,2326,1515,809,2,0,0,0,257.15,558.83,NA,74050,93562,NA,00720,4,2
45003000218,45,003,000218,2537,1319,1202,12,1,2,1,1829,1018,799,9,1,1,1,202.2,439.42,NA,63115,92977,NA,00720,4,2
45003000219,45,003,000219,2872,2097,724,41,8,2,0,2016,1493,491,23,7,2,0,222.88,484.35,NA,78190,93744,NA,00720,4,2
