GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,place,mcd,school_elm,DISTRICT,school,cd_1980,cd_1990
50001009601,50,001,009601,2993,2956,8,10,11,5,3,2093,2076,2,7,4,2,2,306,318,NA,70075,07740,08235,NA,1,1
50001009602,50,001,009602,2317,2287,4,6,2,16,2,1704,1687,2,5,2,7,1,412,551,NA,26275,04050,08280,NA,1,1
50001009603,50,001,009603,2578,2522,9,13,21,13,0,1841,1816,6,7,6,6,0,387,476,74650,74650,08250,08280,NA,1,1
50001009604,50,001,009604,4207,4160,3,23,5,14,2,3034,3006,3,14,4,7,0,149,315,NA,325,01710,08280,NA,1,1
50001009605,50,001,009605,3762,3719,9,19,6,9,0,2689,2666,5,10,4,4,0,657,662,8950,9025,02640,08235,NA,1,1
50001009606,50,001,009606,2263,2219,3,13,22,6,0,1654,1624,2,7,16,5,0,123,83,NA,40075,05160,08235,04200,1,1
50001009607,50,001,009607,4001,3949,11,13,0,27,1,2921,2887,6,9,0,19,0,751.88,598.1,44275,44350,05490,05520,NA,1,1
50001009608,50,001,009608,4033,3775,71,87,6,88,6,3594,3355,66,81,3,83,6,925.12,735.9,44275,44350,05490,05520,NA,1,1
50001009609,50,001,009609,4874,4834,5,22,2,9,2,3442,3414,4,17,2,4,1,237,241,NA,53725,07410,05520,06270,1,1
50001009610,50,001,009610,1024,1017,0,2,1,4,0,739,733,0,1,1,4,0,190,235,NA,62575,07140,05520,NA,1,1
50001009611,50,001,009611,871,868,3,0,0,0,0,618,617,1,0,0,0,0,125,209,NA,39325,05100,NA,NA,1,1
50001962297,50,001,962297,30,30,0,0,0,0,0,23,23,0,0,0,0,0,4.68,5.54,NA,28600,NA,NA,04200,1,1
50003009701,50,003,009701,458,451,1,3,0,3,0,367,361,1,3,0,2,0,86,87,NA,55000,08240,NA,05070,1,1
50003009702,50,003,009702,1918,1911,2,4,1,0,0,1500,1495,1,3,1,0,0,356,677,NA,17725,03510,NA,NA,1,1
50003009703,50,003,009703,932,919,4,4,2,3,0,715,706,3,3,2,1,0,154,232,NA,61000,07020,NA,07170,1,1
50003009704,50,003,009704,3622,3578,8,16,3,17,0,2815,2781,5,15,2,12,0,702,1140,42925,42850,05370,NA,NA,1,1
50003009705,50,003,009705,482,477,1,3,0,1,0,381,376,1,3,0,1,0,98,174,NA,85075,09330,NA,NA,1,1
50003009706,50,003,009706,2830,2812,1,9,5,3,0,2124,2112,1,5,3,3,0,78,81,1375,58600,07920,05810,06780,1,1
50003009707,50,003,009707,2299,2269,13,9,3,5,0,1698,1680,6,6,3,3,0,474,689,1375,1450,NA,NA,01830,1,1
50003009708,50,003,009708,3368,3328,9,21,2,8,0,2436,2414,3,12,1,6,0,723,824,NA,63550,07230,NA,NA,1,1
50003009709,50,003,009709,2784,2704,10,32,18,17,3,1820,1782,5,13,13,7,0,471.33,404.67,NA,4825,02130,05810,NA,1,1
50003009710,50,003,009710,3478,3351,32,47,1,45,2,2788,2681,29,37,1,40,0,722.02,619.91,49075,4825,02130,05810,NA,1,1
50003009711,50,003,009711,4775,4692,14,31,5,33,0,3575,3519,7,24,3,22,0,925.83,794.9,4750,4825,02130,05810,NA,1,1
50003009712,50,003,009712,5414,5335,13,29,5,32,0,4104,4052,9,20,4,19,0,1062.82,912.52,4750,4825,02130,05810,NA,1,1
50003009713,50,003,009713,3485,3449,6,12,6,12,0,2529,2509,4,5,4,7,0,621,632,NA,57025,06630,05810,NA,1,1
50005009570,50,005,009570,3081,3062,3,4,5,5,2,2116,2105,1,4,3,3,0,63,113,NA,75700,08228,00003,NA,1,1
50005009571,50,005,009571,1753,1740,6,2,2,3,0,1256,1249,2,2,2,1,0,219,292,79150,10450,02790,NA,03390,1,1
50005009572,50,005,009572,2572,2540,9,7,6,10,0,1912,1889,5,7,6,5,0,289.35,503.53,41950,41725,05310,NA,NA,1,1
50005009573,50,005,009573,2799,2767,6,11,6,9,0,2132,2105,4,8,6,9,0,322.65,561.47,41950,41725,05310,NA,NA,1,1
50005009574,50,005,009574,3631,3588,6,21,8,5,3,2749,2721,0,15,8,4,1,565.29,958.5,62125,62200,07650,NA,NA,1,1
50005009575,50,005,009575,3977,3923,9,15,10,20,0,2858,2823,8,8,5,14,0,587.71,996.5,62125,62200,07650,NA,NA,1,1
50005009576,50,005,009576,1917,1899,3,5,4,5,1,1384,1374,2,3,3,2,0,315,564,NA,17125,06390,00003,03450,1,1
50005009577,50,005,009577,2964,2908,0,15,41,0,0,2110,2075,0,11,24,0,0,485,552,NA,31825,04560,08243,NA,1,1
50005009578,50,005,009578,2547,2532,3,3,6,3,0,1787,1780,2,1,3,1,0,123,231,NA,30550,09390,00003,08224,1,1
50005009579,50,005,009579,2605,2576,7,7,7,8,0,1862,1845,2,4,7,4,0,241,408,NA,2875,01980,NA,99999,1,1
50007000001,50,007,000001,4502,4382,30,42,2,41,5,3320,3258,12,24,1,25,0,1115.35,650.13,10675,10675,NA,NA,02820,1,1
