GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,ai_an_nh,place,mcd,school_elm,school,cd_1980,cd_1990
53001009501,53,001,009501,2527,2444,7,42,22,9,3,1859,1817,6,18,10,7,1,338.4,511.84,NA,58725,92800,NA,07380,5,5
53001009502,53,001,009502,1761,1627,1,112,7,11,3,1237,1170,0,56,4,6,1,225.17,340.59,NA,39510,91632,NA,04410,5,5
53001009503,53,001,009503,4633,2478,7,2125,7,5,11,2855,1669,4,1163,7,3,9,519.7,786.07,NA,52215,92496,NA,06480,5,5
53001009504,53,001,009504,1932,953,5,950,15,9,0,1274,730,5,523,11,5,0,231.91,350.77,NA,52215,92496,NA,06480,5,5
53001009505,53,001,009505,2750,1431,9,1238,13,56,3,1746,1022,3,674,10,36,1,317.83,480.73,NA,52215,92496,NA,06480,5,5
53003009801,53,003,009801,2671,2621,1,16,17,13,3,1842,1811,1,10,10,9,1,478.91,398.03,NA,3075,90096,NA,00280,5,5
53003009802,53,003,009802,3596,3476,5,49,39,25,2,2577,2519,3,23,21,11,0,670.01,556.86,NA,12680,90592,NA,01320,5,5
53003009803,53,003,009803,3243,3034,8,78,96,26,1,2327,2213,5,38,54,16,1,605.01,502.83,NA,12630,90592,NA,01320,5,5
53003009804,53,003,009804,1755,1680,5,39,25,6,0,1262,1220,2,21,15,4,0,328.11,272.7,NA,77297,90592,NA,01320,5,5
53003009805,53,003,009805,3527,3391,10,72,33,21,0,2665,2589,6,39,19,12,0,692.89,575.87,NA,12630,90592,NA,01320,5,5
53003009806,53,003,009806,2813,2737,8,24,32,12,0,2058,2018,4,12,18,6,0,535.07,444.71,NA,77297,90592,NA,01320,5,5
53005000101,53,005,000101,4641,4224,53,98,9,250,7,3433,3171,33,61,5,161,2,624.26,1130.93,NA,58235,92768,NA,07320,4,4
53005000103,53,005,000103,4067,3899,33,70,21,43,1,3121,3014,21,44,18,24,0,567.53,1028.15,NA,58235,92768,NA,07320,4,4
53005000104,53,005,000104,2575,2412,22,83,14,44,0,1956,1841,14,56,13,32,0,355.68,644.37,NA,58235,92768,NA,07320,4,4
53005000105,53,005,000105,3731,3466,29,142,37,47,10,2669,2512,14,82,24,34,3,485.33,879.25,NA,58235,92768,NA,07320,4,4
53005000106,53,005,000106,3647,3311,82,144,43,65,2,2591,2399,50,71,29,42,0,471.15,853.55,NA,58235,92768,NA,07320,4,4
53005000107,53,005,000107,5786,5441,43,162,42,93,5,4110,3905,31,86,29,56,3,747.37,1353.96,NA,77665,92768,NA,07320,4,4
53005000111,53,005,000111,5788,5259,34,380,34,75,6,3954,3680,22,179,22,45,6,719,1302.57,NA,35275,92768,NA,03930,4,4
53005000112,53,005,000112,5479,3853,87,1315,53,151,20,3696,2819,40,699,44,83,11,672.09,1217.57,NA,35275,92768,NA,03930,4,4
53005000113,53,005,000113,4118,3478,15,542,43,39,1,2929,2569,7,288,35,29,1,532.61,964.9,NA,35275,92768,NA,03930,4,4
53005000116,53,005,000116,597,482,0,112,3,0,0,376,309,0,65,2,0,0,68.37,123.87,NA,NA,93088,NA,03930,4,4
53005000117,53,005,000117,5337,4085,11,1166,25,41,9,3668,2988,3,632,15,24,6,666.99,1208.35,NA,56450,92224,NA,06900,4,4
53005000118,53,005,000118,4391,2979,9,1353,17,22,11,2872,2108,4,727,13,12,8,522.25,946.12,NA,56450,92224,NA,06900,4,4
53005000119,53,005,000119,4148,3610,6,451,57,20,4,2750,2440,5,255,33,14,3,500.06,905.93,NA,5560,90192,NA,04020,4,4
53005000120,53,005,000120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,91136,NA,07320,4,4
53005010201,53,005,010201,3797,3495,62,89,18,133,0,2894,2665,50,60,17,102,0,526.25,953.37,NA,58235,92768,NA,07320,4,4
53005010202,53,005,010202,4677,4007,102,205,31,322,10,3377,2965,68,95,20,225,4,614.08,1112.49,NA,58235,92768,NA,07320,4,4
53005010801,53,005,010801,5454,5236,42,72,15,84,5,3542,3415,25,44,12,44,2,644.08,1166.84,NA,35275,92768,NA,03930,4,4
53005010802,53,005,010802,8795,8061,105,311,59,255,4,6106,5652,72,171,45,164,2,1110.32,2011.5,NA,58235,92768,NA,07320,4,4
53005010901,53,005,010901,4562,4061,86,321,27,65,2,3459,3124,48,219,20,48,0,628.99,1139.5,NA,35275,92768,NA,03930,4,4
53005010902,53,005,010902,4041,3630,20,268,33,90,0,2806,2573,14,145,18,56,0,510.25,924.38,NA,35275,92768,NA,03930,4,4
53005011001,53,005,011001,4338,3905,75,244,43,65,6,3194,2937,47,135,29,46,0,580.8,1052.2,NA,35275,92768,NA,03930,4,4
53005011002,53,005,011002,3814,3421,56,261,23,52,1,2688,2465,32,135,23,33,0,488.79,885.51,NA,35275,92768,NA,03930,4,4
53005011401,53,005,011401,3352,3004,25,228,33,60,2,2254,2062,15,117,21,39,0,409.87,742.54,NA,35275,92768,NA,03930,4,4
53005011402,53,005,011402,4535,4285,16,126,23,77,8,3121,2982,13,68,19,33,6,567.53,1028.15,NA,30775,92768,NA,03930,4,4
53005011501,53,005,011501,5497,5177,6,231,57,25,1,3773,3587,0,131,38,16,1,686.09,1242.94,NA,23865,92768,NA,02910,4,4
53005011502,53,005,011502,5393,4997,35,250,32,78,1,3488,3263,20,136,20,49,0,634.26,1149.05,NA,35275,92768,NA,03930,4,4
53007009601,53,007,009601,1631,1424,4,163,36,3,1,1191,1040,3,122,24,1,1,230.3,297.05,NA,22010,91040,NA,02550,4,4
53007009602,53,007,009602,4388,4210,7,112,45,12,2,3323,3219,4,65,28,6,1,642.56,828.8,NA,38845,91600,NA,00950,4,4
