GEOID,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,ai_an_nh,place,COUNTYFP,COUSUBFP,school,cd_1990,cd_2000,ndv,nrv
05001000001,AR,001,0001,460,2,350,97,0,2,0,0,9,309,2,249,51,0,2,0,0,5,NA,NA,NA,NA,NA,1,1,69.82847141190199,60.2535978218592
05001000002,AR,001,0002,134,1,118,15,0,0,0,0,0,104,0,96,8,0,0,0,0,0,NA,NA,NA,NA,NA,1,1,20,38
05001000003,AR,001,0003,1026,0,803,205,3,0,0,1,14,778,0,611,155,2,0,0,0,10,NA,NA,NA,NA,NA,1,1,157,111
05001000004,AR,001,0004,235,1,226,4,1,0,0,0,3,182,1,174,3,1,0,0,0,3,NA,NA,NA,NA,NA,1,1,25.829694323144103,16.689956331877728
05001000005,AR,001,0005,266,0,253,3,3,5,0,0,2,195,0,187,2,3,2,0,0,1,NA,NA,NA,NA,NA,1,1,44.06651108518086,38.0241151302995
05001000006,AR,001,0006,257,2,251,4,0,0,0,0,0,198,2,194,2,0,0,0,0,0,NA,NA,NA,NA,NA,1,1,15.57303370786517,16.46292134831461
05001000007,AR,001,0007,150,0,140,9,0,0,0,0,1,116,0,108,7,0,0,0,0,1,NA,NA,NA,NA,NA,1,1,44,41
05001000008,AR,001,0008,242,1,216,15,0,0,0,0,10,192,0,175,10,0,0,0,0,7,NA,NA,NA,NA,NA,1,1,61,63
05001000009,AR,001,0009,156,9,138,8,0,1,0,0,0,133,5,121,6,0,1,0,0,0,NA,NA,NA,NA,NA,1,1,45,44
05001000010,AR,001,0010,1356,8,1315,17,0,1,0,0,15,1051,6,1024,9,0,1,0,0,11,NA,NA,NA,NA,NA,1,1,206.48164031090863,184.2278209595283
05001000011,AR,001,0011,417,1,379,35,0,0,0,0,2,334,1,302,29,0,0,0,0,2,NA,NA,NA,NA,NA,1,1,54.145719489981786,35.28597449908926
05001000012,AR,001,0012,54,0,54,0,0,0,0,0,0,44,0,44,0,0,0,0,0,0,NA,NA,NA,NA,NA,1,1,10,6
05001000013,AR,001,0013,213,8,200,3,0,0,0,0,2,172,7,161,3,0,0,0,0,1,NA,NA,NA,NA,NA,1,1,43,56
05001000014,AR,001,0014,38,8,30,0,0,0,0,0,0,29,5,24,0,0,0,0,0,0,NA,NA,NA,NA,NA,1,1,10.071317829457364,7.148837209302325
05001000015,AR,001,0015,250,4,234,12,0,0,0,0,0,196,4,187,5,0,0,0,0,0,NA,NA,NA,NA,NA,1,1,38,59
05001000016,AR,001,0016,80,5,70,5,0,0,0,0,0,61,3,55,3,0,0,0,0,0,NA,NA,NA,NA,NA,1,1,21,17
05001000017,AR,001,0017,312,0,299,11,2,0,0,0,0,262,0,254,7,1,0,0,0,0,NA,NA,NA,NA,NA,1,1,60,71
05001000018,AR,001,0018,477,0,52,423,0,0,0,0,2,343,0,46,295,0,0,0,0,2,NA,NA,NA,NA,NA,1,1,67.38649155722327,60.12382739212007
05001000019,AR,001,0019,623,11,504,99,0,7,0,0,2,471,8,393,63,0,5,0,0,2,NA,NA,NA,NA,NA,1,1,92.53363709461271,82.56070758509783
05001000020,AR,001,0020,545,0,497,31,5,1,0,0,11,416,0,382,21,5,1,0,0,7,NA,NA,NA,NA,NA,1,1,81.72822299651568,72.9198606271777
05001000021,AR,001,0021,539,0,539,0,0,0,0,0,0,419,0,419,0,0,0,0,0,0,NA,NA,NA,NA,NA,1,1,82.31760922004824,73.44572500670061
05001000022,AR,001,0022,836,6,192,628,0,7,1,0,2,577,6,141,420,0,7,1,0,2,NA,NA,NA,NA,NA,1,1,130.39167639050953,112.51238169324516
05001000023,AR,001,0023,825,7,165,651,0,0,0,0,2,574,4,136,432,0,0,0,0,2,NA,NA,NA,NA,NA,1,1,129.71373006612214,111.92739530662519
05001000024,AR,001,0024,921,4,378,527,2,3,0,1,6,685,1,309,366,2,3,0,1,3,NA,NA,NA,NA,NA,1,1,154.79774406845587,133.5718916115649
05001000025,AR,001,0025,1079,15,415,642,3,0,0,0,4,729,12,312,400,3,0,0,0,2,NA,NA,NA,NA,NA,1,1,164.74095682613768,142.1516919486581
05001000026,AR,001,0026,1129,4,939,168,7,1,0,0,10,864,3,739,109,3,1,0,0,9,NA,NA,NA,NA,NA,1,1,195.2485414235706,168.47607934655775
05001000027,AR,001,0027,915,9,724,159,1,15,0,0,7,670,9,549,96,1,12,0,0,3,NA,NA,NA,NA,NA,1,1,151.40801244651885,130.64695967846492
05001000028,AR,001,0028,952,3,728,201,1,10,0,0,9,696,3,553,125,1,8,0,0,6,NA,NA,NA,NA,NA,1,1,157.2835472578763,135.7168416958382
05001000029,AR,001,0029,959,17,725,212,0,4,0,0,1,708,15,563,126,0,3,0,0,1,NA,NA,NA,NA,NA,1,1,159.9953325554259,138.05678724231817
05001000030,AR,001,0030,999,1,918,63,7,5,0,0,5,774,1,724,34,7,3,0,0,5,NA,NA,NA,NA,NA,1,1,174.91015169194864,150.926487747958
05001000031,AR,001,0031,1130,13,1012,89,1,12,0,0,3,932,9,845,65,1,9,0,0,3,NA,NA,NA,NA,NA,1,1,210.6153247763516,181.7357707766109
