GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,ai_an_nh,place,mcd,DISTRICT.x,DISTRICT.y,school,cd_1990,cd_2000,ndv,nrv
06001400100,06,001,4001,2498,1937,114,97,4,280,5,6,55,2181,1734,89,79,4,231,5,2,37,NA,53000,92230,28860,01650,28050,11,7,1721.9301242383629,1112.9628425585308
06001400200,06,001,4002,1910,1509,58,117,5,147,0,9,65,1653,1309,54,98,2,135,0,7,48,NA,53000,92230,NA,NA,28050,11,7,1305.0667103924868,843.5247953916788
06001400300,06,001,4003,4878,3277,662,314,15,352,10,41,207,4226,2912,549,251,14,318,7,27,148,NA,53000,92230,NA,NA,28050,11,7,3336.486338849758,2156.524975998327
06001400400,06,001,4004,3659,2357,608,241,13,245,12,15,168,3191,2132,467,208,13,235,10,10,116,NA,53000,92230,NA,NA,28050,11,7,2519.3393060268754,1628.3651676314864
06001400500,06,001,4005,3410,1268,1415,363,10,168,2,24,160,2871,1164,1122,282,9,157,2,17,118,NA,53000,92230,NA,NA,28050,11,7,2266.6948127869505,1465.069381469758
06001400600,06,001,4006,1707,396,985,148,6,74,0,15,83,1361,361,764,108,4,56,0,11,57,NA,53000,92230,NA,NA,28050,11,7,1074.5286103110554,694.5173905191016
06001400700,06,001,4007,4451,752,2975,299,12,170,6,16,221,3464,672,2280,213,11,132,6,11,139,NA,53000,92230,NA,NA,28050,11,7,2734.8766393221863,1767.6768852007108
06001400800,06,001,4008,3368,705,1907,301,19,286,2,13,135,2625,652,1425,220,15,215,2,10,86,NA,53000,92230,NA,NA,28050,11,7,2072.4743586087584,1339.5357458579292
06001400900,06,001,4009,2456,499,1505,202,11,109,3,17,110,1901,444,1120,141,9,89,1,15,82,NA,53000,92230,NA,NA,28050,11,7,1500.8661926534285,970.0790296670183
06001401000,06,001,4010,5709,525,4026,547,16,349,11,19,216,4191,482,2902,377,12,257,11,14,136,NA,53000,92230,NA,NA,28050,11,7,3308.853347401641,2138.664499386888
06001401100,06,001,4011,4007,1480,1292,472,32,503,2,25,201,3342,1409,960,352,27,410,2,24,158,NA,53000,92230,NA,NA,28050,11,7,2638.555926274465,1705.4203667265522
06001401200,06,001,4012,2432,1303,530,185,5,278,1,12,118,2086,1167,438,143,4,239,1,11,83,NA,53000,92230,NA,NA,28050,11,7,1646.92629030776,1064.4844060417677
06001401300,06,001,4013,2810,678,1376,249,25,314,5,9,154,2347,646,1078,207,21,260,5,8,122,NA,53000,92230,NA,NA,28050,11,7,1852.9894551065738,1197.6725316299276
06001401400,06,001,4014,4765,253,3059,706,14,520,10,25,178,3244,213,2073,452,8,361,7,13,117,NA,53000,92230,NA,NA,28050,11,7,2561.183550219738,1655.4110322145227
06001401500,06,001,4015,2413,265,1657,255,9,126,3,7,91,1699,238,1138,164,8,88,3,7,53,NA,53000,92230,NA,NA,28050,11,7,1341.3843562957259,866.9985646524273
06001401600,06,001,4016,1933,197,1134,322,20,157,9,9,85,1305,167,740,217,15,107,4,7,48,NA,53000,92230,NA,NA,28050,11,7,1030.3158239940685,665.940627940799
06001401700,06,001,4017,1878,209,923,568,11,77,0,2,88,1304,190,605,390,6,58,0,2,53,NA,53000,92230,NA,NA,28050,11,7,1029.5263099526937,665.4303286090436
06001401800,06,001,4018,1953,62,1478,308,10,38,11,14,32,1244,56,947,179,5,30,3,5,19,NA,53000,92230,NA,NA,28050,11,7,982.1554674702079,634.8123687037196
06001401900,06,001,4019,759,106,173,386,1,57,0,0,36,529,101,115,252,1,42,0,0,18,NA,53000,92230,NA,NA,28050,11,7,417.65292788725077,269.9483464986074
06001402000,06,001,4020,28,5,7,10,4,1,0,0,1,25,5,6,8,4,1,0,0,1,NA,53000,92230,NA,NA,28050,11,7,19.73785103436913,12.75748329388504
06001402100,06,001,4021,1161,20,909,58,2,131,2,0,39,732,18,592,28,2,68,1,0,23,NA,53000,92230,NA,NA,28050,11,7,577.9242782863281,373.53911084495394
06001402200,06,001,4022,1844,151,1109,411,9,109,0,9,46,1199,140,718,238,8,63,0,4,28,NA,53000,92230,NA,NA,28050,11,7,946.6273356083434,611.8488987747264
06001402300,06,001,4023,453,49,354,15,2,18,0,3,12,349,43,269,8,2,17,0,3,7,NA,53000,92230,NA,NA,28050,11,7,275.5404004397931,178.09446678263515
06001402400,06,001,4024,2588,129,1891,171,8,273,4,4,108,1866,108,1360,104,5,221,2,3,63,NA,53000,92230,NA,NA,28050,11,7,1473.2332012053116,952.2185530555793
06001402500,06,001,4025,1779,63,1329,108,2,214,4,4,55,1174,57,887,62,2,125,4,2,35,NA,53000,92230,NA,NA,28050,11,7,926.8894845739743,599.0914154808414
06001402600,06,001,4026,977,59,404,46,0,410,1,5,52,809,46,335,35,0,343,1,5,44,NA,53000,92230,NA,NA,28050,11,7,638.716859472185,412.83215939011984
06001402700,06,001,4027,1946,72,1165,450,21,154,6,15,63,1300,63,750,301,14,124,4,13,31,NA,53000,92230,NA,NA,28050,11,7,1026.3682537871946,663.389131282022
06001402800,06,001,4028,1910,326,1072,154,14,255,6,12,71,1716,315,951,126,13,233,6,10,62,NA,53000,92230,NA,NA,28050,11,7,1354.806094999097,875.6736532922691
06001402900,06,001,4029,1291,297,401,117,5,419,3,2,47,1206,290,377,106,5,386,3,2,37,NA,53000,92230,NA,NA,28050,11,7,952.1539338979667,615.4209940970143
06001403000,06,001,4030,2734,102,114,46,4,2459,1,0,8,2454,102,110,40,3,2192,1,0,6,NA,53000,92230,NA,NA,28050,11,7,1937.4674575336737,1252.2745601277554
06001403100,06,001,4031,1647,218,469,322,7,611,6,0,14,1561,218,457,310,5,555,6,0,10,NA,53000,92230,NA,NA,28050,11,7,1232.4314185860082,796.5772568701818
06001403200,06,001,4032,63,29,10,8,1,12,0,0,3,62,28,10,8,1,12,0,0,3,NA,53000,92230,NA,NA,28050,11,7,48.94987056523544,31.6385585688349
06001403300,06,001,4033,2310,172,189,96,7,1781,1,1,63,1892,165,143,71,7,1459,1,0,46,NA,53000,92230,NA,NA,28050,11,7,1493.7605662810556,965.4863356812198
06001403400,06,001,4034,3697,1244,1047,282,14,921,5,16,168,3400,1210,945,245,14,820,5,15,146,NA,53000,92230,NA,NA,28050,11,7,2684.3477406742013,1735.0177279683653
06001403500,06,001,4035,6346,2082,2345,515,40,957,14,49,344,5527,1960,1920,417,36,875,14,47,258,NA,53000,92230,NA,NA,28050,11,7,4363.644106678327,2820.4244066121046
06001403600,06,001,4036,4400,1475,1889,316,9,441,5,37,228,3918,1406,1628,267,8,398,5,31,175,NA,53000,92230,NA,NA,28050,11,7,3093.31601410633,1999.3527818176633
06001403700,06,001,4037,4652,2301,1262,370,12,479,7,21,200,4317,2222,1124,338,12,438,7,17,159,NA,53000,92230,NA,NA,28050,11,7,3408.332116614861,2202.9622151880685
06001403800,06,001,4038,3453,2040,526,235,7,485,8,15,137,3042,1846,445,197,7,432,5,8,102,NA,53000,92230,NA,NA,28050,11,7,2401.7017138620354,1552.3305671999315
06001403900,06,001,4039,3794,1952,890,305,17,392,2,37,199,3352,1816,740,251,14,365,2,25,139,NA,53000,92230,NA,NA,28050,11,7,2646.451066688213,1710.523360044106
06001404000,06,001,4040,2885,1711,527,209,8,293,1,15,121,2623,1602,443,188,6,267,1,14,102,NA,53000,92230,NA,NA,28050,11,7,2070.8953305260093,1338.5151471944184
06001404100,06,001,4041,5337,3816,436,346,11,492,3,34,199,4939,3597,373,302,8,475,3,31,150,NA,53000,92230,NA,NA,28050,11,7,3899.409850349965,2520.3683995399283
06001404200,06,001,4042,3176,2587,98,125,5,247,4,8,102,2547,2104,69,98,4,213,4,4,51,NA,53000,92230,NA,NA,28050,11,7,2010.8922633815266,1299.7323979810078
06001404300,06,001,4043,3089,2481,164,97,7,234,1,9,96,2512,2053,127,79,5,199,1,3,45,NA,53000,92230,NA,NA,28050,11,7,1983.25927193341,1281.8719213695686
06001404400,06,001,4044,4699,3551,185,201,9,556,1,24,172,3891,2991,147,153,7,483,1,6,103,NA,53000,92230,28860,01650,28050,11,7,3071.999134989211,1985.5746998602674
06001404501,06,001,404501,1575,1243,70,61,2,143,1,3,52,1283,1045,52,49,0,115,1,2,19,NA,53000,92230,NA,NA,28050,11,7,1012.9465150838236,654.7140426421802
06001404502,06,001,404502,5493,4070,364,272,4,547,3,26,207,4552,3476,277,199,2,467,3,19,109,NA,53000,92230,28860,01650,28050,11,7,3593.867916337931,2322.882558150588
06001404600,06,001,4046,4296,3296,222,167,3,430,2,22,154,3474,2733,176,123,3,355,2,12,70,NA,53000,92230,07350,01650,28050,11,7,2742.771779735934,1772.7798785182651
06001404700,06,001,4047,1927,1408,209,97,4,147,8,8,46,1539,1159,154,73,2,127,2,5,17,NA,53000,92230,NA,NA,28050,11,7,1215.0621096757634,785.350671571563
06001404800,06,001,4048,2683,1260,616,232,11,415,18,6,125,2154,1092,465,162,10,351,7,5,62,NA,53000,92230,NA,NA,28050,11,7,1700.613245121244,1099.184760601135
06001404900,06,001,4049,4356,2457,495,322,15,870,12,15,170,3616,2134,402,237,9,720,9,12,93,NA,53000,92230,NA,NA,28050,11,7,2854.8827736111507,1845.242383627532
06001405000,06,001,4050,3204,2059,407,190,14,370,10,16,138,2683,1746,349,146,11,333,7,12,79,NA,53000,92230,NA,NA,28050,11,7,2118.2661730084947,1369.1331070997423
06001405100,06,001,4051,4161,2785,685,179,3,354,0,17,138,3198,2130,566,126,1,302,0,3,70,NA,53000,92230,NA,NA,28050,11,7,2524.865904316499,1631.9372629537743
06001405200,06,001,4052,4991,1613,1002,366,15,1777,13,15,190,4271,1522,815,305,13,1462,9,12,133,NA,53000,92230,NA,NA,28050,11,7,3372.014470711622,2179.4884459273203
06001405300,06,001,4053,5838,1764,1539,668,42,1569,20,19,217,5080,1644,1364,535,34,1305,16,14,168,NA,53000,92230,NA,NA,28050,11,7,4010.7313301838067,2592.32060531744
06001405400,06,001,4054,8381,673,2092,1908,47,3312,14,21,314,6135,607,1539,1265,33,2458,11,16,206,NA,53000,92230,NA,NA,28050,11,7,4843.668643834184,3130.6864003193887
06001405500,06,001,4055,4147,471,988,485,13,2060,11,8,111,3149,442,737,344,9,1525,8,5,79,NA,53000,92230,NA,NA,28050,11,7,2486.1797162891353,1606.9325956977593
06001405600,06,001,4056,3734,612,1039,509,19,1419,7,10,119,2830,569,765,347,16,1046,5,7,75,NA,53000,92230,NA,NA,28050,11,7,2234.3247370905856,1444.1471088677865
06001405700,06,001,4057,3757,340,1427,660,9,1196,12,7,106,2789,323,1057,427,6,886,11,7,72,NA,53000,92230,NA,NA,28050,11,7,2201.95466139422,1423.224836265815
06001405800,06,001,4058,4777,168,1384,985,17,2017,11,17,178,3195,152,919,641,15,1344,6,6,112,NA,53000,92230,NA,NA,28050,11,7,2522.4973621923746,1630.4063649585078
06001405900,06,001,4059,7883,299,1440,2619,22,3211,39,14,239,5250,248,987,1696,16,2149,20,9,125,NA,53000,92230,NA,NA,28050,11,7,4144.948717217517,2679.0714917158584
06001406000,06,001,4060,3655,404,424,1107,13,1603,10,2,92,2860,379,343,768,11,1283,7,2,67,NA,53000,92230,NA,NA,28050,11,7,2258.0101583318283,1459.4560888204485
06001406100,06,001,4061,4301,513,529,2720,36,418,10,14,61,3040,473,383,1799,24,305,9,10,37,NA,53000,92230,NA,NA,28050,11,7,2400.122685779286,1551.3099685364207
06001406201,06,001,406201,5802,193,910,3000,28,1468,25,4,174,3734,129,607,1932,14,916,13,3,120,NA,53000,92230,NA,NA,28050,11,7,2948.0454304933733,1905.4577047746695
06001406202,06,001,406202,5084,275,676,3285,45,686,1,11,105,3429,237,463,2104,32,516,1,7,69,NA,53000,92230,NA,NA,28050,11,7,2707.2436478740697,1749.816408589272
06001406300,06,001,4063,4410,289,1314,1459,12,1173,30,14,119,2958,261,879,944,10,774,17,10,63,NA,53000,92230,NA,NA,28050,11,7,2335.382534386555,1509.4654233324777
06001406400,06,001,4064,2276,507,853,331,6,516,0,0,63,1745,463,627,230,6,387,0,0,32,NA,53000,92230,NA,NA,28050,11,7,1377.7020021989651,890.4723339131757
06001406500,06,001,4065,6253,519,1608,2421,20,1416,47,8,214,4323,447,1079,1569,10,1061,36,6,115,NA,53000,92230,NA,NA,28050,11,7,3413.0692008631095,2206.024011178601
06001406600,06,001,4066,7805,901,2485,1630,49,2358,64,16,302,5446,772,1663,1063,39,1692,38,9,170,NA,53000,92230,NA,NA,28050,11,7,4299.693469326971,2779.090160739917
06001406700,06,001,4067,5224,2632,704,497,14,1108,45,23,201,4142,2259,482,351,12,882,30,11,115,NA,53000,92230,NA,NA,28050,11,7,3270.167159374277,2113.6598321308734
