GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,ai_an_nh,place,COUNTYFP,COUSUBFP,school,cd_1990,cd_2000,ndv,nrv
12001000200,12,001,0002,5477,3140,1563,448,10,210,3,11,92,4951,3098,1105,432,10,209,3,10,84,NA,NA,NA,NA,NA,10,3,758.2825356143366,622.8546176522984
12001000300,12,001,0003,5623,3909,1126,283,10,138,1,10,146,4712,3466,781,234,9,122,1,6,93,NA,NA,NA,NA,NA,10,15,721.677905032267,592.7875092663361
12001000400,12,001,0004,5895,2140,3274,268,16,65,2,19,111,3925,1773,1868,161,12,48,2,6,55,NA,NA,NA,NA,NA,10,3,601.1429917766654,493.77991805398324
12001000500,12,001,0005,4703,3329,1021,201,16,48,0,9,79,3918,2954,701,154,10,43,0,5,51,NA,NA,NA,NA,NA,10,3,600.0708896257262,492.8992914485366
12001000600,12,001,0006,3643,168,3354,49,2,6,0,1,63,2329,128,2133,29,1,2,0,1,35,NA,NA,NA,NA,NA,10,3,356.70370136251057,292.9970520121597
12001000700,12,001,0007,7455,1376,5884,81,17,5,0,6,86,4831,1091,3640,40,12,3,0,3,42,NA,NA,NA,NA,NA,10,3,739.9036415982347,607.7581615589281
12001000800,12,001,0008,8439,5520,773,804,24,1102,2,28,186,7991,5320,679,739,24,1040,2,22,165,NA,NA,NA,NA,NA,10,15,1223.8811840222506,1005.2981720176764
12001000901,12,001,000901,2672,1497,255,317,8,540,0,0,55,2410,1395,234,268,5,465,0,0,43,NA,NA,NA,NA,NA,10,15,369.10945482337934,303.1871598751846
12001000902,12,001,000902,6090,3934,751,686,13,555,2,12,137,5989,3908,727,672,13,526,2,11,130,NA,NA,NA,NA,NA,10,15,917.2599688536177,753.4389628599505
12001001000,12,001,0010,6126,5273,92,433,14,200,8,18,88,5570,4794,81,399,12,182,8,14,80,NA,NA,NA,NA,NA,10,3,853.0869972473954,700.7271703339329
12001001100,12,001,0011,6539,5750,189,298,16,208,0,9,69,5314,4717,144,220,13,177,0,3,40,NA,NA,NA,NA,NA,10,15,813.8786900130447,668.5213973347431
12001001201,12,001,001201,2484,2044,146,160,5,91,0,1,37,1898,1594,93,120,5,65,0,0,21,NA,NA,NA,NA,NA,10,15,290.69284035467797,238.77561387680512
12001001202,12,001,001202,6287,4700,825,392,14,241,4,12,99,4656,3611,484,287,13,195,4,1,61,NA,NA,NA,NA,NA,10,15,713.1010878247528,585.7424964227632
12001001203,12,001,001203,3778,2867,406,263,16,109,0,11,106,3117,2441,286,210,13,91,0,8,68,NA,NA,NA,NA,NA,10,15,477.3917720682462,392.13044702529066
12001001400,12,001,0014,3316,1316,1828,91,6,9,0,3,63,2631,1161,1339,83,3,9,0,2,34,NA,NA,NA,NA,NA,10,3,402.9572513030336,330.98979984714134
12001001501,12,001,001501,8135,5705,911,793,21,508,6,15,176,7556,5391,759,744,18,484,6,13,141,NA,NA,NA,NA,NA,10,15,1157.2576932138813,950.5735186792095
12001001502,12,001,001502,6099,3935,913,642,23,425,3,18,140,5766,3858,716,621,18,415,3,17,118,NA,NA,NA,NA,NA,10,15,883.105857473695,725.3847152864374
12001001503,12,001,001503,7011,5070,629,719,14,416,4,21,138,6713,4925,561,676,13,393,4,20,121,NA,NA,NA,NA,NA,10,15,1028.1459627507659,844.5209146232839
12001001504,12,001,001504,655,594,16,15,2,19,0,5,4,523,476,14,10,1,17,0,2,3,NA,NA,NA,NA,NA,10,15,80.10134642017734,65.79538780693841
12001001505,12,001,001505,565,452,60,17,1,21,0,8,6,493,393,56,13,1,19,0,6,5,NA,NA,NA,NA,NA,10,15,75.50662291615187,62.02127378359585
12001001600,12,001,0016,7225,5724,422,613,11,303,0,8,144,6476,5185,356,537,10,258,0,7,123,NA,NA,NA,NA,NA,10,15,991.8476470689645,814.7054138388778
12001001701,12,001,001701,5068,3859,578,346,5,193,1,8,78,3840,3018,380,245,3,150,1,2,41,NA,NA,NA,NA,NA,10,15,588.12460851526,483.08659498784596
12001001702,12,001,001702,5058,4424,199,255,2,123,2,5,48,4020,3567,143,178,2,101,2,3,24,NA,NA,NA,NA,NA,10,15,615.6929495394128,505.73127912790125
12001001801,12,001,001801,6317,4758,1190,247,10,25,5,13,69,4623,3577,811,160,8,20,3,7,37,NA,NA,NA,NA,NA,10,15,708.0468919703247,581.5909709970865
12001001802,12,001,001802,2764,1680,941,107,3,7,0,6,20,1986,1305,590,73,3,7,0,1,7,NA,NA,NA,NA,NA,10,15,304.17069596648605,249.84634834527662
12001001803,12,001,001803,6744,4700,1265,421,4,260,4,1,89,5026,3729,777,288,3,177,4,1,47,NA,NA,NA,NA,NA,10,15,769.7693443744002,632.2899027106547
12001001804,12,001,001804,8998,7614,330,431,19,518,3,10,73,6949,5977,244,306,14,360,2,4,42,NA,NA,NA,NA,NA,10,15,1064.2911209824326,874.2106116069119
12001001805,12,001,001805,1304,975,275,33,1,9,3,5,3,955,727,197,21,1,6,1,0,2,NA,NA,NA,NA,NA,10,15,146.2653648781441,120.14262974307108
