GEOID,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,ai_an_nh,place,COUNTYFP,COUSUBFP,DISTRICT.x,DISTRICT.y,school,cd_1990,cd_2000,ndv,nrv
15001000101,HI,001,0101,4314,471,1467,32,9,937,370,6,1022,3363,294,1288,21,8,828,266,6,652,NA,NA,NA,NA,NA,NA,NA,2,2,685.5528704757569,544.3267744138402
15001000102,HI,001,0102,1724,347,318,0,7,437,162,0,453,1201,194,263,0,6,352,109,0,277,NA,NA,NA,NA,NA,NA,NA,2,2,244.8257500569087,194.39085818347368
15001000103,HI,001,0103,621,76,159,1,5,133,92,1,154,473,41,133,1,4,122,67,1,104,NA,NA,NA,NA,NA,NA,NA,2,2,96.42179831550193,76.55859776917823
15001000104,HI,001,0104,4192,374,1174,1,7,1439,171,6,1020,3124,224,1014,1,6,1172,115,6,586,NA,NA,NA,NA,NA,NA,NA,2,2,636.83234236285,505.6428317778284
15001000105,HI,001,0105,1231,139,332,0,5,342,66,2,345,889,80,268,0,4,296,46,0,195,NA,NA,NA,NA,NA,NA,NA,2,2,181.22405645344867,143.8913180059185
15001000106,HI,001,0106,335,30,93,0,0,91,11,0,110,243,15,70,0,0,75,11,0,72,NA,NA,NA,NA,NA,NA,NA,2,2,49.535934441156385,39.33137263828819
15001000107,HI,001,0107,1171,124,276,3,8,410,69,0,281,888,65,231,3,7,337,60,0,185,NA,NA,NA,NA,NA,NA,NA,2,2,181.0202048713863,143.72946050534944
15001000108,HI,001,0108,278,22,112,0,0,87,11,0,46,208,13,86,0,0,72,6,0,31,NA,NA,NA,NA,NA,NA,NA,2,2,42.40112906897337,33.666360118370136
15001000109,HI,001,0109,268,16,95,1,0,92,5,2,57,211,9,79,1,0,84,5,2,31,NA,NA,NA,NA,NA,NA,NA,2,2,43.012683815160486,34.151932620077396
15001000110,HI,001,0110,596,73,133,0,4,162,33,4,187,445,41,116,0,3,149,21,0,115,NA,NA,NA,NA,NA,NA,NA,2,2,90.71395401775553,72.0265877532438
15001000111,HI,001,0111,1830,177,228,3,14,952,86,1,369,1410,102,195,2,10,823,53,1,224,NA,NA,NA,NA,NA,NA,NA,2,2,287.43073070794446,228.21907580241293
