GEOID,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,ai_an_nh,place,mcd,school,shd,ssd,cd_1990,cd_2000,ndv,nrv
19001001001,IA,001,001001,782,10,766,0,1,3,0,0,2,601,5,591,0,1,2,0,0,2,NA,00370,94035,03090,078,039,4,2,150.45554035567716,199.78522571819425
19001001002,IA,001,001002,178,1,177,0,0,0,0,0,0,147,1,146,0,0,0,0,0,0,NA,08425,92088,05370,078,039,4,2,56.41901408450704,49.1725352112676
19001001003,IA,001,001003,10,0,10,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,NA,11395,94389,03090,078,039,4,2,3.1097560975609757,2.6219512195121952
19001001004,IA,001,001004,123,4,119,0,0,0,0,0,0,89,3,86,0,0,0,0,0,0,NA,NA,91248,05370,078,039,4,2,42,37
19001001005,IA,001,001005,177,0,175,0,0,0,0,0,2,140,0,138,0,0,0,0,0,2,NA,NA,91608,13110,078,039,4,2,40,52
19001001006,IA,001,001006,491,3,484,1,0,1,0,0,2,384,3,379,1,0,1,0,0,0,NA,32790,91755,13110,078,039,4,2,91.15666489644185,130.10727562400425
19001001007,IA,001,001007,1638,6,1619,0,0,7,0,4,2,1263,3,1253,0,0,3,0,2,2,NA,32790,91755,13110,078,039,4,2,299.8199681359533,427.93096123207647
19001001008,IA,001,001008,66,0,66,0,0,0,0,0,0,44,0,44,0,0,0,0,0,0,NA,32790,91755,13110,078,039,4,2,10.445034519383961,14.908125331917153
19001001009,IA,001,001009,17,0,16,0,0,0,0,0,1,10,0,9,0,0,0,0,0,1,NA,32790,91755,13110,078,039,4,2,2.373871481678173,3.388210302708444
19001001010,IA,001,001010,213,0,213,0,0,0,0,0,0,158,0,158,0,0,0,0,0,0,NA,NA,91776,13110,078,039,4,2,54,60
19001001011,IA,001,001011,171,0,166,1,3,0,0,0,1,139,0,136,1,1,0,0,0,1,NA,NA,91854,13110,078,039,4,2,45,57
19001001012,IA,001,001012,201,0,201,0,0,0,0,0,0,137,0,137,0,0,0,0,0,0,NA,08425,92088,05370,078,039,4,2,52.58098591549296,45.8274647887324
19001001013,IA,001,001013,24,0,24,0,0,0,0,0,0,19,0,19,0,0,0,0,0,0,NA,NA,92199,27500,078,039,4,2,6.813793103448276,8.517241379310345
19001001014,IA,001,001014,161,3,157,0,0,0,0,0,1,126,2,123,0,0,0,0,0,1,NA,NA,92199,27500,078,039,4,2,45.186206896551724,56.48275862068965
19001001015,IA,001,001015,50,0,50,0,0,0,0,0,0,37,0,37,0,0,0,0,0,0,NA,NA,92397,13110,078,039,4,2,8.78332448220924,12.536378120021242
19001001016,IA,001,001016,150,0,150,0,0,0,0,0,0,110,0,110,0,0,0,0,0,0,NA,NA,92397,13110,078,039,4,2,26.112586298459906,37.270313329792884
19001001017,IA,001,001017,45,0,45,0,0,0,0,0,0,35,0,35,0,0,0,0,0,0,NA,32790,92397,13110,078,039,4,2,8.308550185873607,11.858736059479554
19001001018,IA,001,001018,265,1,263,0,0,0,0,0,1,188,1,186,0,0,0,0,0,1,NA,75990,92514,27500,078,039,4,2,40.052173913043475,35.69275362318841
19001001019,IA,001,001019,591,6,583,0,1,0,0,0,1,447,4,441,0,1,0,0,0,1,NA,59565,93198,21810,078,039,4,2,122,139
19001001020,IA,001,001020,212,0,203,2,0,0,0,0,7,156,0,150,2,0,0,0,0,4,NA,NA,93519,13110,078,039,4,2,33,72
19001001021,IA,001,001021,25,0,25,0,0,0,0,0,0,19,0,19,0,0,0,0,0,0,NA,NA,93570,21810,078,039,4,2,4.956521739130435,7.906832298136646
19001001022,IA,001,001022,192,4,186,0,0,0,0,0,2,142,1,140,0,0,0,0,0,1,NA,NA,93570,21810,078,039,4,2,37.04347826086956,59.09316770186335
19001001023,IA,001,001023,647,10,628,1,0,2,0,0,6,502,6,490,1,0,2,0,0,3,NA,75990,92514,27500,078,039,4,2,106.94782608695651,95.30724637681159
19001001024,IA,001,001024,1026,4,1017,0,0,2,0,0,3,786,3,780,0,0,0,0,0,3,NA,28290,94032,05370,078,039,4,2,178,287
19001001025,IA,001,001025,165,2,159,0,0,2,0,0,2,130,2,128,0,0,0,0,0,0,NA,00370,94035,03090,078,039,4,2,32.54445964432284,43.214774281805745
19001001026,IA,001,001026,248,1,243,1,0,2,0,0,1,180,1,176,1,0,2,0,0,0,NA,NA,94161,21810,078,039,4,2,47,57
19001001027,IA,001,001027,213,3,209,0,0,0,0,1,0,154,2,151,0,0,0,0,1,0,NA,11395,94389,03090,078,039,4,2,47.890243902439025,40.3780487804878
19001001028,IA,001,001028,162,0,161,0,1,0,0,0,0,122,0,121,0,1,0,0,0,0,NA,08425,94443,05370,078,039,4,2,37,50
19003003001,IA,003,003001,28,0,28,0,0,0,0,0,0,22,0,22,0,0,0,0,0,0,NA,10585,91020,08130,087,044,3,2,7.223880597014926,8.537313432835822
19003003002,IA,003,003002,137,0,137,0,0,0,0,0,0,106,0,106,0,0,0,0,0,0,NA,NA,90471,23760,087,044,3,2,27.453237410071942,40.41726618705036
19003003003,IA,003,003003,42,0,42,0,0,0,0,0,0,33,0,33,0,0,0,0,0,0,NA,NA,90471,08130,087,044,3,2,8.546762589928058,12.58273381294964
19003003004,IA,003,003004,222,0,213,0,8,1,0,0,0,158,0,154,0,3,1,0,0,0,NA,NA,90780,21810,087,044,3,2,36,49
19003003005,IA,003,003005,643,6,633,1,0,2,0,0,1,475,4,469,0,0,1,0,0,1,NA,16500,93531,08130,087,044,3,2,114.15322580645162,160.88709677419354
19003003006,IA,003,003006,643,7,635,1,0,0,0,0,0,501,4,496,1,0,0,0,0,0,NA,16500,93531,08130,087,044,3,2,120.40161290322581,169.69354838709677
19003003007,IA,003,003007,315,0,313,0,0,2,0,0,0,259,0,258,0,0,1,0,0,0,NA,16500,93531,08130,087,044,3,2,62.24354838709677,87.72580645161291
19003003008,IA,003,003008,194,0,193,0,0,0,0,0,1,157,0,156,0,0,0,0,0,1,NA,16500,93531,08130,087,044,3,2,37.730645161290326,53.17741935483871
19003003009,IA,003,003009,150,2,142,0,5,0,0,0,1,112,2,108,0,1,0,0,0,1,NA,10585,91020,08130,087,044,3,2,36.776119402985074,43.46268656716418
19003003010,IA,003,003010,206,1,205,0,0,0,0,0,0,153,1,152,0,0,0,0,0,0,NA,44490,91626,16620,087,044,3,2,43,55
19003003011,IA,003,003011,36,0,36,0,0,0,0,0,0,30,0,30,0,0,0,0,0,0,NA,NA,92193,08130,087,044,3,2,7.209677419354838,10.161290322580644
19003003012,IA,003,003012,318,0,314,0,2,1,0,0,1,256,0,254,0,1,1,0,0,0,NA,16500,92193,08130,087,044,3,2,61.52258064516129,86.70967741935483
19003003013,IA,003,003013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,44490,91626,16620,087,044,3,2,0,0
19003003014,IA,003,003014,93,0,93,0,0,0,0,0,0,76,0,76,0,0,0,0,0,0,NA,NA,92517,08130,087,044,3,2,26,34
19003003015,IA,003,003015,176,6,170,0,0,0,0,0,0,123,2,121,0,0,0,0,0,0,NA,NA,92916,08130,087,044,3,2,38,50
19003003016,IA,003,003016,283,0,278,0,0,1,0,0,4,205,0,203,0,0,1,0,0,1,NA,56865,93120,29280,087,044,3,2,43,96
19003003017,IA,003,003017,433,0,425,0,5,1,0,0,2,336,0,333,0,1,1,0,0,1,NA,64560,93504,23760,087,044,3,2,95,111
19003003018,IA,003,003018,249,0,247,0,0,0,0,0,2,182,0,180,0,0,0,0,0,2,NA,16500,93531,08130,087,044,3,2,43.73870967741936,61.645161290322584
19003003019,IA,003,003019,162,0,162,0,0,0,0,0,0,118,0,118,0,0,0,0,0,0,NA,NA,94164,23760,087,044,3,2,43,55
19003003020,IA,003,003020,152,4,148,0,0,0,0,0,0,107,3,104,0,0,0,0,0,0,NA,NA,94446,08130,087,044,3,2,36,66
19005005001,IA,005,005001,333,0,330,1,0,1,0,0,1,248,0,245,1,0,1,0,0,1,NA,NA,90582,03390,031,016,2,1,51,75
19005005002,IA,005,005002,229,3,216,9,0,0,0,0,1,179,2,167,9,0,0,0,0,1,NA,NA,91290,03390,032,016,2,1,21,19
19005005003,IA,005,005003,397,3,392,0,1,0,0,0,1,296,2,292,0,1,0,0,0,1,NA,NA,91383,18120,031,016,2,1,38,97
19005005004,IA,005,005004,211,0,211,0,0,0,0,0,0,142,0,142,0,0,0,0,0,0,NA,NA,91488,03390,031,016,2,1,37,40
19005005005,IA,005,005005,173,1,167,0,0,0,0,0,5,127,1,124,0,0,0,0,0,2,NA,NA,91824,03390,031,016,2,1,44,30
19005005006,IA,005,005006,765,3,744,0,10,0,0,0,8,566,2,557,0,4,0,0,0,3,NA,55785,92049,10410,031,016,2,1,110,159
19005005007,IA,005,005007,559,1,548,8,0,2,0,0,0,390,0,387,3,0,0,0,0,0,NA,82740,92202,03390,031,016,2,1,71.10850714787908,124.48558706351066
19005005008,IA,005,005008,466,5,457,2,0,0,0,0,2,332,3,328,1,0,0,0,0,0,NA,NA,92331,10410,031,016,2,1,67,68
19005005009,IA,005,005009,1517,9,1500,1,0,4,0,0,3,1171,7,1161,1,0,1,0,0,1,NA,43275,92382,10410,031,016,2,1,285,257
19005005010,IA,005,005010,307,1,305,0,0,1,0,0,0,197,0,197,0,0,0,0,0,0,NA,NA,92655,18120,032,016,2,1,25,45
19005005011,IA,005,005011,543,0,537,0,0,3,0,3,0,379,0,374,0,0,3,0,2,0,NA,82740,92727,03390,031,016,2,1,53,147
19005005012,IA,005,005012,504,1,500,0,0,0,0,0,3,351,1,349,0,0,0,0,0,1,NA,82740,92799,03390,031,016,2,1,63.997656433091166,112.0370283571596
19005005013,IA,005,005013,491,6,484,0,0,0,0,0,1,335,3,331,0,0,0,0,0,1,NA,82470,93255,03390,031,016,2,1,63,135
19005005014,IA,005,005014,344,10,330,0,0,1,1,0,2,251,7,242,0,0,1,1,0,0,NA,64290,93468,23340,031,016,2,1,37.39787946428571,71.71428571428571
19005005015,IA,005,005015,2060,425,1586,0,3,16,0,0,30,1541,299,1209,0,2,12,0,0,19,NA,64290,93468,23340,032,016,2,1,229.60212053571428,440.2857142857143
19005005016,IA,005,005016,618,5,606,0,4,0,0,0,3,510,2,504,0,1,0,0,0,3,NA,34590,94089,03390,031,016,2,1,143,77
19005005017,IA,005,005017,221,11,208,0,0,2,0,0,0,168,7,161,0,0,0,0,0,0,NA,NA,94290,03390,031,016,2,1,16,77
19005005018,IA,005,005018,481,3,478,0,0,0,0,0,0,336,1,335,0,0,0,0,0,0,NA,82740,94293,03390,031,016,2,1,61.26271385048043,107.24912116240918
19005005019,IA,005,005019,322,3,319,0,0,0,0,0,0,235,3,232,0,0,0,0,0,0,NA,NA,94596,03390,031,016,2,1,57,52
19005005020,IA,005,005020,1294,6,1276,0,3,0,1,0,8,1004,6,991,0,3,0,1,0,3,NA,82740,92799,03390,031,016,2,1,183.05882352941177,320.4705882352941
19005005021,IA,005,005021,1405,8,1381,0,0,5,0,0,11,1093,5,1081,0,0,3,0,0,4,NA,82740,92799,03390,031,016,2,1,199.2861495195688,348.87883759081325
19005005022,IA,005,005022,1435,16,1408,0,1,4,0,0,6,1093,11,1079,0,1,0,0,0,2,NA,82740,92799,03390,031,016,2,1,199.2861495195688,348.87883759081325
19007007001,IA,007,007001,511,4,505,0,0,1,0,0,1,388,1,386,0,0,0,0,0,1,NA,55200,90177,06750,091,046,3,4,100.05886475122634,81.5697266993693
