GEOID,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,ai_an_nh,place,COUNTYFP,COUSUBFP,DISTRICT,school,shd,ssd,cd_1990,cd_2000,ndv,nrv
18001000001,IN,001,00001,974,27,941,1,0,1,0,0,4,697,14,681,0,0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,4,7,197,224
18001000002,IN,001,00002,1566,50,1499,1,2,0,0,0,14,1086,33,1043,0,2,0,0,0,8,NA,NA,NA,NA,NA,NA,NA,NA,4,7,367.66865017225183,408.8230504227999
18001000003,IN,001,00003,1539,33,1500,1,0,0,0,0,5,1072,20,1047,1,0,0,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,4,7,362.92890698402755,403.55277168806765
18001000004,IN,001,00004,1095,15,1073,0,0,3,1,0,3,810,8,797,0,0,3,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,4,7,185,290
18001000005,IN,001,00005,885,12,864,4,3,0,0,0,2,590,6,581,0,1,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,4,7,139,231
18001000007,IN,001,00007,667,3,663,0,0,0,1,0,0,444,1,442,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,4,7,25.515889830508478,37.50953389830509
18001000008,IN,001,00008,1264,24,1239,0,1,0,0,0,0,880,16,864,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,4,7,214,206
18001000009,IN,001,00009,1195,2,1187,0,0,0,0,0,6,611,2,605,0,0,0,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,4,7,95,144
18001000010,IN,001,00010,2260,16,2233,0,4,0,0,0,7,1287,10,1270,0,2,0,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,4,7,211.8169848584595,437.1902567478604
18001000011,IN,001,00011,1019,1,1015,0,0,2,0,0,1,608,1,605,0,0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,4,7,81,233
18001000012,IN,001,00012,880,0,866,1,1,10,1,0,1,579,0,569,1,1,6,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,4,7,117,199
18001000013,IN,001,00013,2091,36,2037,5,4,2,0,2,5,1208,20,1182,0,2,1,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,4,7,94.35196485233098,163.64168904076155
18001000014,IN,001,00014,947,6,932,0,0,0,0,0,9,516,4,510,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,4,7,79,113
18001000015,IN,001,00015,734,23,706,0,0,0,0,0,5,535,13,519,0,0,0,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,4,7,88.05134957208689,181.73798551678735
18001000016,IN,001,00016,1368,15,1334,5,0,3,0,0,11,1030,11,1008,2,0,3,0,0,6,NA,NA,NA,NA,NA,NA,NA,NA,4,7,80.4491091042226,139.52892360263607
18001000017,IN,001,00017,1072,35,1029,3,0,0,0,0,5,738,22,711,2,0,0,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,4,7,121.46148782093482,250.6965108624095
18001000018,IN,001,00018,676,4,663,0,0,1,0,0,8,478,3,469,0,0,1,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,4,7,78.67017774851877,162.37524687294274
18001000019,IN,001,00019,630,6,619,0,0,3,0,1,1,529,3,522,0,0,3,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,4,7,41.31803758847938,71.66097144251893
18001000020,IN,001,00020,1042,30,1003,0,2,1,0,0,6,719,19,693,0,2,1,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,4,7,56.158164510617524,97.39931657310227
18001000021,IN,001,00021,723,4,708,0,0,4,0,0,7,611,1,604,0,0,4,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,4,7,47.722723944349525,82.7690993409812
18001000022,IN,001,00022,1787,81,1689,5,7,0,1,0,4,1266,47,1208,2,4,0,1,0,4,NA,NA,NA,NA,NA,NA,NA,NA,4,7,72.75476694915255,106.95286016949153
