GEOID,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,ai_an_nh,place,COUNTYFP,COUSUBFP,school,shd,ssd,cd_1990,cd_2000,ndv,nrv
20001000010,KS,001,000010,276,3,262,0,4,5,0,0,2,206,2,195,0,3,4,0,0,2,NA,NA,NA,NA,NA,NA,NA,2,2,44,68
20001000020,KS,001,000020,282,6,274,0,0,0,0,0,2,207,3,203,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,2,2,43,59
20001000030,KS,001,000030,142,0,140,2,0,0,0,0,0,87,0,87,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,2,15,21
20001000040,KS,001,000040,924,8,864,7,11,9,0,0,25,664,5,633,3,6,5,0,0,12,NA,NA,NA,NA,NA,NA,NA,2,2,102.36476256022023,165.4287680660702
20001000050,KS,001,000050,172,2,170,0,0,0,0,0,0,118,2,116,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,2,23,29
2000100006A,KS,001,00006A,266,8,251,0,0,1,0,0,6,209,7,199,0,0,0,0,0,3,NA,NA,NA,NA,NA,NA,NA,2,2,50.347034339229964,56.654006243496355
2000100006B,KS,001,00006B,7,0,7,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,2,1.445369406867846,1.6264308012486992
2000100006C,KS,001,00006C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,2,0,0
20001000070,KS,001,000070,1121,54,1003,33,7,2,0,0,22,856,39,767,28,7,1,0,0,14,NA,NA,NA,NA,NA,NA,NA,2,2,206.2060353798127,232.03746097814775
20001000080,KS,001,000080,878,49,808,2,2,0,0,0,17,671,33,628,2,2,0,0,0,6,NA,NA,NA,NA,NA,NA,NA,2,2,161.6404786680541,181.8891779396462
20001000090,KS,001,000090,1895,29,1724,96,12,10,0,0,24,1443,17,1319,78,7,9,0,0,13,NA,NA,NA,NA,NA,NA,NA,2,2,250.7090533433509,396.255822689707
2000100010A,KS,001,00010A,1083,7,1026,25,2,1,0,0,22,852,5,817,19,2,1,0,0,8,NA,NA,NA,NA,NA,NA,NA,2,2,148.02779864763335,233.96393688955672
2000100010B,KS,001,00010B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,2,0,0
20001000110,KS,001,000110,1811,44,1682,34,15,1,0,3,32,1279,15,1222,15,14,1,0,0,12,NA,NA,NA,NA,NA,NA,NA,2,2,222.2154395191585,351.2205108940646
20001000120,KS,001,000120,1513,34,1420,22,13,2,0,0,22,1124,21,1064,17,9,2,0,0,11,NA,NA,NA,NA,NA,NA,NA,2,2,195.28549962434258,308.65664913598795
20001000130,KS,001,000130,225,1,223,0,0,0,0,0,1,180,1,178,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,2,2,43.36108220603538,48.79292403746098
20001000140,KS,001,000140,853,3,825,3,11,0,0,0,11,638,3,618,2,10,0,0,0,5,NA,NA,NA,NA,NA,NA,NA,2,2,145,223
20001000150,KS,001,000150,255,0,250,0,2,0,0,0,3,191,0,188,0,1,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,2,2,48.578034682080926,66.79479768786128
2000100016A,KS,001,00016A,250,4,240,1,4,0,0,0,1,175,4,167,1,3,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,2,30.404770848985727,48.05597295266717
2000100016B,KS,001,00016B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,2,0,0
2000100016C,KS,001,00016C,29,0,29,0,0,0,0,0,0,23,0,23,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,2,3.9960555972952667,6.315927873779113
20001000170,KS,001,000170,316,5,302,5,1,0,0,0,3,235,3,225,4,1,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,2,2,47,65
20001000180,KS,001,000180,277,0,277,0,0,0,0,0,0,219,0,219,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,2,52,64
20001000190,KS,001,000190,205,1,197,0,6,0,0,0,1,155,0,150,0,4,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,2,2,39.421965317919074,54.20520231213873
2000100020A,KS,001,00020A,562,6,547,2,4,0,0,0,3,426,5,416,2,1,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,2,2,74.01389932381667,116.98196844477836
2000100020B,KS,001,00020B,2,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,2,0.34748309541697975,0.5492111194590533
20001000210,KS,001,000210,1041,14,993,1,10,7,0,0,16,789,9,754,1,10,4,0,0,11,NA,NA,NA,NA,NA,NA,NA,2,2,121.63523743977977,196.5712319339298
20003000010,KS,003,000010,397,8,375,1,2,1,0,0,10,292,3,282,1,0,1,0,0,5,NA,NA,NA,NA,NA,NA,NA,2,2,62.98039215686275,95.90196078431373
2000300002A,KS,003,00002A,1113,17,1076,4,8,0,2,0,6,848,7,834,2,3,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,2,2,177.49538024164892,235.3546552949538
2000300002B,KS,003,00002B,12,4,6,0,2,0,0,0,0,7,1,5,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,2,1.4651741293532339,1.9427860696517412
20003000030,KS,003,000030,862,2,851,3,2,1,0,0,3,681,1,673,2,2,1,0,0,2,NA,NA,NA,NA,NA,NA,NA,2,2,142.5405117270789,189.0053304904051
20003000040,KS,003,000040,1082,18,1026,5,13,8,0,0,12,776,10,743,4,6,6,0,0,7,NA,NA,NA,NA,NA,NA,NA,2,2,162.42501776830133,215.37171286425016
20003000050,KS,003,000050,299,8,284,0,5,0,0,0,2,234,4,227,0,2,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,2,2,48.97867803837953,64.94456289978677
20003000060,KS,003,000060,327,2,324,0,0,0,0,0,1,236,1,234,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,2,2,105,74
20003000070,KS,003,000070,53,0,53,0,0,0,0,0,0,38,0,38,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,2,8.430034129692832,4.150170648464163
20003000080,KS,003,000080,132,0,132,0,0,0,0,0,0,98,0,98,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,2,35,27
20003000090,KS,003,000090,453,1,452,0,0,0,0,0,0,326,0,326,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,2,43,82
20003000100,KS,003,000100,178,5,165,0,8,0,0,0,0,137,2,129,0,6,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,2,34.122676579925646,34.122676579925646
20003000110,KS,003,000110,208,1,198,1,3,4,0,0,1,153,1,147,1,1,2,0,0,1,NA,NA,NA,NA,NA,NA,NA,2,2,25,37
20003000120,KS,003,000120,27,1,26,0,0,0,0,0,0,22,1,21,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,2,4.604651162790698,7.418604651162791
20003000130,KS,003,000130,212,0,212,0,0,0,0,0,0,150,0,150,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,2,31.3953488372093,50.58139534883721
2000300014A,KS,003,00014A,349,3,340,1,0,0,0,0,5,268,1,264,1,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,2,2,56.095238095238095,74.38095238095238
2000300014B,KS,003,00014B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,2,0,0
20003000150,KS,003,000150,112,1,98,2,0,0,0,0,11,80,1,70,2,0,0,0,0,7,NA,NA,NA,NA,NA,NA,NA,2,2,11,22
20003000160,KS,003,000160,168,0,163,5,0,0,0,0,0,116,0,113,3,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,2,25.019607843137255,38.09803921568627
20003000170,KS,003,000170,284,2,280,1,0,1,0,0,0,204,1,201,1,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,2,83,35
20003000180,KS,003,000180,374,0,367,1,0,0,0,0,6,255,0,253,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,2,2,56.569965870307165,27.849829351535835
20003000190,KS,003,000190,168,1,167,0,0,0,0,0,0,132,0,132,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,2,32.877323420074354,32.877323420074354
20003000200,KS,003,000200,341,5,331,0,2,0,0,0,3,248,3,242,0,2,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,2,2,24,28
20003000210,KS,003,000210,268,1,262,0,2,0,0,0,3,192,1,188,0,1,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,2,2,27,39
20003000220,KS,003,000220,301,5,288,1,3,3,0,0,1,227,2,220,1,3,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,2,46,79
20003000230,KS,003,000230,165,3,156,0,2,0,0,0,4,110,2,106,0,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,2,2,30.48689138576779,25.131086142322097
20003000240,KS,003,000240,225,0,225,0,0,0,0,0,0,157,0,157,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,2,43.51310861423221,35.8689138576779
20005000010,KS,005,000010,903,48,768,54,5,0,2,0,26,628,31,543,36,5,0,0,0,13,NA,NA,NA,NA,NA,NA,NA,2,2,144.8538681948424,111.89163844751236
20005000020,KS,005,000020,699,16,625,39,5,5,0,0,9,523,10,476,24,4,3,0,0,6,NA,NA,NA,NA,NA,NA,NA,2,2,120.63467048710602,93.18364157332638
20005000030,KS,005,000030,1085,32,964,59,5,5,2,0,18,833,20,748,48,2,4,2,0,9,NA,NA,NA,NA,NA,NA,NA,2,2,192.13896848137537,148.41677520187548
20005000040,KS,005,000040,1984,71,1583,248,7,28,3,0,44,1500,42,1260,157,6,16,1,0,18,NA,NA,NA,NA,NA,NA,NA,2,2,345.9885386819484,267.25709820265695
2000500005A,KS,005,00005A,1570,18,1239,277,6,2,0,1,27,1114,12,900,182,5,0,0,0,15,NA,NA,NA,NA,NA,NA,NA,2,2,256.9541547277937,198.4829382651732
2000500005B,KS,005,00005B,2,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,2,0.40135478408128705,0.4504657070279424
2000500006A,KS,005,00006A,1274,21,1181,46,2,2,0,2,20,970,13,914,28,2,2,0,2,9,NA,NA,NA,NA,NA,NA,NA,2,2,223.73925501432666,172.82625683771818
2000500006B,KS,005,00006B,10,0,10,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,2,1.3839541547277936,1.0690283928106277
2000500006C,KS,005,00006C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,2,0,0
2000500007A,KS,005,00007A,1681,40,1578,35,11,0,0,1,16,1264,20,1207,26,4,0,0,0,7,NA,NA,NA,NA,NA,NA,NA,2,2,291.55300859598856,225.20864808543894
2000500007B,KS,005,00007B,7,0,7,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,2,0.8027095681625741,0.9009314140558848
2000500007C,KS,005,00007C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,2,0,0
2000500008A,KS,005,00008A,1017,18,950,31,7,0,1,0,10,758,13,717,16,7,0,1,0,4,NA,NA,NA,NA,NA,NA,NA,2,2,174.83954154727795,135.05392029174266
2000500008B,KS,005,00008B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,2,0,0
2000500008C,KS,005,00008C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,2,0,0
2000500008D,KS,005,00008D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,2,0,0
2000500008E,KS,005,00008E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,2,0,0
20005000090,KS,005,000090,1076,5,1052,2,9,2,1,2,3,774,3,763,1,4,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,2,2,176,273
20005000100,KS,005,000100,676,3,662,0,2,0,0,0,9,482,1,473,0,2,0,0,0,6,NA,NA,NA,NA,NA,NA,NA,2,2,90,158
20005000110,KS,005,000110,588,8,561,0,9,0,0,0,10,431,1,419,0,7,0,0,0,4,NA,NA,NA,NA,NA,NA,NA,2,2,87,151
20005000120,KS,005,000120,288,3,282,1,1,1,0,0,0,194,1,192,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,2,48.20245398773006,49.690184049079754
20005000130,KS,005,000130,271,0,254,9,8,0,0,0,0,204,0,197,3,4,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,2,57,61
20005000140,KS,005,000140,634,0,621,1,5,1,0,0,6,458,0,455,0,1,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,2,2,113.79754601226995,117.30981595092025
20005000150,KS,005,000150,829,16,793,12,2,1,0,4,1,585,4,563,12,2,1,0,2,1,NA,NA,NA,NA,NA,NA,NA,2,2,115,111
2000500016A,KS,005,00016A,1598,14,1545,21,1,9,0,1,7,1175,9,1138,14,1,8,0,1,4,NA,NA,NA,NA,NA,NA,NA,2,2,235.79593564775612,264.64860287891617
2000500016B,KS,005,00016B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,2,0,0
2000500016C,KS,005,00016C,133,9,93,15,2,0,0,0,14,65,2,54,5,1,0,0,0,3,NA,NA,NA,NA,NA,NA,NA,2,2,14.992836676217763,11.581140922115134
2000500016D,KS,005,00016D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,2,0,0
2000500016E,KS,005,00016E,2,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,2,0.46131805157593125,0.3563427976035426
2000500016F,KS,005,00016F,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,2,0.23065902578796563,0.1781713988017713
2000500017A,KS,005,00017A,427,5,378,33,1,1,0,0,9,314,5,277,25,1,1,0,0,5,NA,NA,NA,NA,NA,NA,NA,2,2,131,89
2000500017B,KS,005,00017B,19,0,19,0,0,0,0,0,0,14,0,14,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,2,3.2292263610315186,2.4943995832247983
20007000010,KS,007,000010,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,4,1,3,5
20007000020,KS,007,000020,11,1,10,0,0,0,0,0,0,8,1,7,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,4,1,4,8
20007000030,KS,007,000030,42,0,42,0,0,0,0,0,0,32,0,32,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,4,1,11,21
20007000040,KS,007,000040,106,1,102,0,1,0,0,0,2,100,1,96,0,1,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,4,1,23,31
20007000050,KS,007,000050,275,5,266,0,3,0,0,0,1,216,3,209,0,3,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,4,1,60,83
20007000060,KS,007,000060,213,9,193,3,5,0,0,0,3,153,6,143,2,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,4,1,44,51
20007000070,KS,007,000070,693,28,648,0,10,0,0,0,7,516,15,494,0,3,0,0,0,4,NA,NA,NA,NA,NA,NA,NA,4,1,119.57534246575342,196.73972602739727
20007000080,KS,007,000080,471,18,449,0,3,0,0,0,1,360,13,344,0,2,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,4,1,83.42465753424658,137.26027397260273
20007000090,KS,007,000090,83,0,82,0,0,0,0,0,1,61,0,60,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,4,1,22,23
20007000100,KS,007,000100,29,0,29,0,0,0,0,0,0,24,0,24,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,4,1,6,12
20007000110,KS,007,000110,934,22,897,5,1,2,0,0,7,695,11,672,4,1,2,0,0,5,NA,NA,NA,NA,NA,NA,NA,4,1,163.91509433962264,215.63941299790355
2000700012A,KS,007,00012A,624,7,616,1,0,0,0,0,0,485,5,479,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,4,1,114.38679245283019,150.48218029350105
2000700012B,KS,007,00012B,41,0,41,0,0,0,0,0,0,29,0,29,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,4,1,6.8396226415094334,8.9979035639413
20007000130,KS,007,000130,594,8,577,1,0,0,0,0,8,434,5,426,1,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,4,1,102.35849056603773,134.65828092243186
20007000140,KS,007,000140,327,1,322,0,1,1,0,0,2,230,1,228,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,4,1,54.24528301886793,71.36268343815514
