GEOID,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,ai_an_nh,place,mcd,DISTRICT.x,DISTRICT.y,school,shd,ssd,cd_1990,cd_2000,ndv,nrv
25001000001,MA,001,1,4020,27,3813,56,5,27,3,40,49,3286,23,3127,39,5,20,3,36,33,NA,03600,03600,NA,NA,02310,2,5,1,8,702.1539972982931,697.7150927176717
25001000002,MA,001,2,4193,76,3876,59,14,47,1,62,58,3392,53,3181,38,9,30,1,41,39,NA,03600,03600,NA,NA,02310,2,5,1,8,724.8041262433993,720.2220311924352
25001000003,MA,001,3,4026,109,3399,182,40,39,5,76,176,3097,63,2702,117,24,29,2,62,98,NA,03600,03600,NA,NA,02310,2,5,1,8,661.7683900282451,657.5847967579516
25001000004,MA,001,4,4166,58,3888,111,31,23,0,10,45,3421,46,3208,89,22,17,0,8,31,NA,03600,03600,NA,NA,02310,2,5,1,8,731.0008596340415,726.3795898317574
25001000005,MA,001,5,4249,70,4051,40,6,20,0,20,42,3469,43,3338,33,6,10,0,15,24,NA,03600,03600,NA,NA,02310,2,5,1,8,741.2575217978631,736.5714110278766
25001000006,MA,001,6,4239,47,4032,51,10,37,0,27,35,3278,30,3147,40,5,22,0,14,20,NA,03600,03600,NA,NA,02310,2,5,1,8,700.4445536043227,696.0164558516517
25001000007,MA,001,7,4616,43,4431,29,25,13,1,31,43,3585,21,3469,24,18,8,1,18,26,NA,03600,03600,07440,NA,02310,2,5,1,8,766.0444553604323,761.2016455851652
25001000008,MA,001,8,4562,179,3425,411,57,74,4,146,266,3559,135,2725,295,42,63,3,113,183,NA,03600,03600,NA,NA,02310,2,5,1,8,760.4887633550289,755.6810757706005
25001000009,MA,001,9,4290,135,3481,249,31,58,0,125,211,3425,78,2872,169,20,47,0,99,140,NA,03600,03600,NA,NA,02310,5,5,1,8,731.8555814810267,727.2289082647674
25001000010,MA,001,10,4702,44,4412,65,26,20,2,50,83,3313,30,3130,50,18,13,2,26,44,NA,03600,03600,07440,NA,02310,2,5,1,8,707.9233697654427,703.4479921404887
25001000011,MA,001,11,4758,24,4635,18,12,26,1,10,32,3498,13,3425,14,7,14,1,6,18,NA,03600,03600,NA,NA,02310,2,5,1,8,747.4542551885055,742.7289696671988
25001000012,MA,001,12,3765,47,3499,56,31,34,0,33,65,2871,29,2701,33,20,25,0,24,39,NA,10015,07175,09720,NA,02820,114,29,1,8,527.6909774436091,435.26165413533835
25001000013,MA,001,13,3728,62,3476,56,16,27,1,24,66,2835,29,2690,46,13,19,0,11,27,NA,58965,07175,09720,NA,02820,114,29,1,8,521.0741626794259,429.8038277511962
25001000014,MA,001,14,3068,36,2916,25,19,19,0,14,39,2619,28,2506,17,10,19,0,12,27,NA,07140,07175,NA,NA,02820,3,29,1,8,481.3732740943267,397.0568694463431
25001000015,MA,001,15,3037,23,2914,22,5,23,0,17,33,2411,14,2332,16,2,18,0,10,19,NA,42670,07175,NA,NA,02820,3,29,1,8,443.1427887901572,365.5227614490772
25001000016,MA,001,16,2750,17,2623,31,15,14,0,15,35,2259,10,2177,25,10,13,0,10,14,NA,54450,07175,07290,09150,02820,3,29,1,8,415.2051264524949,342.47860560492137
25001000017,MA,001,17,2373,88,2155,59,8,13,1,10,39,1635,50,1506,39,6,9,1,3,21,NA,47730,07175,07290,09150,02820,3,29,1,8,300.5136705399863,247.87628161312372
25001000018,MA,001,18,3243,26,3168,10,6,14,0,2,17,2547,15,2501,2,3,10,0,2,14,NA,07945,07980,02970,04560,05910,1,5,1,8,577.7621432148222,620.4884827240861
25001000019,MA,001,19,3456,44,3299,35,15,27,1,12,23,2871,29,2767,30,10,15,0,8,12,NA,07945,07980,02970,04560,99998,1,5,1,8,651.2583875813721,699.4198798197297
25001000020,MA,001,20,3395,37,3264,26,2,33,0,10,23,2570,21,2496,12,2,13,0,9,17,NA,19400,07980,02970,04560,05910,1,5,1,8,582.9794692038057,626.0916374561843
25001000021,MA,001,21,3296,36,3105,88,7,13,1,35,11,2905,25,2766,84,5,10,0,8,7,NA,12960,12995,09210,04560,03480,4,5,1,8,601.6272189349112,692.6296554124608
25001000022,MA,001,22,3329,30,3208,29,5,4,0,11,42,2841,21,2749,26,5,3,0,8,29,NA,75505,12995,NA,NA,03480,4,5,1,8,588.3727810650887,677.3703445875391
25001000023,MA,001,23,2988,32,2888,8,3,22,0,7,28,2514,20,2448,5,3,17,0,7,14,NA,16740,16775,NA,NA,04140,1,5,1,8,617.895601084664,688.7178366978005
25001000024,MA,001,24,3346,31,3257,23,6,3,0,7,19,2880,20,2817,21,4,3,0,4,11,NA,18840,16775,02970,04560,04140,1,5,1,8,707.8517625790901,788.9846339258813
25001000025,MA,001,25,3612,108,3187,171,12,14,0,35,85,2965,67,2660,129,9,13,0,27,60,NA,16810,16775,NA,NA,04140,4,5,1,8,728.7432208496535,812.2706387466104
25001000026,MA,001,26,3098,26,2939,64,18,13,0,15,23,2674,20,2552,57,11,11,0,11,12,NA,75820,16775,NA,NA,04140,1,5,1,8,657.2206990057246,732.5503163603495
25001000027,MA,001,27,2929,67,2728,30,11,7,0,20,66,2243,33,2134,15,8,2,0,15,36,NA,63655,16775,NA,NA,04140,1,5,1,8,551.2887164808677,614.4765742693583
25001000028,MA,001,28,5453,45,5215,81,7,16,2,12,75,4488,25,4322,74,5,11,2,10,39,NA,47590,19295,04530,04560,99998,4,5,1,8,1146,1253
25001000029,MA,001,29,3476,30,3293,28,8,73,2,5,37,2981,22,2840,25,7,57,1,4,25,NA,81245,23105,05340,NA,04860,5,29,1,8,794.6340361445783,666.3967021933889
25001000030,MA,001,30,3508,45,3303,46,16,29,0,35,34,3081,38,2898,43,15,24,0,32,31,NA,23070,23105,NA,NA,04860,5,29,1,8,821.2906626506024,688.7515060240963
25001000031,MA,001,31,3735,58,3457,56,17,28,0,47,72,3068,37,2870,43,14,20,0,36,48,NA,69205,23105,NA,NA,04860,3,29,1,8,817.8253012048193,685.8453815261045
25001000032,MA,001,32,4177,77,3780,96,28,19,0,77,100,3284,39,3001,70,23,16,0,65,70,NA,18980,23105,NA,NA,04860,3,5,1,8,875.4036144578313,734.1317578004324
25001000033,MA,001,33,4269,42,4088,40,6,31,0,23,39,3397,17,3288,30,3,20,0,18,21,NA,47730,23105,NA,NA,04860,5,29,1,8,905.5256024096385,759.3926861291319
25001000034,MA,001,34,4243,33,3842,102,13,48,0,108,97,3321,24,3033,85,9,32,0,84,54,NA,75960,23105,NA,NA,04860,5,29,1,8,885.2665662650602,742.4030352177942
25001000035,MA,001,35,4560,70,4078,147,45,28,2,78,112,3332,42,3049,99,27,19,1,48,47,NA,18980,23105,07440,NA,04860,3,5,1,8,888.1987951807228,744.862063639172
25001000036,MA,001,36,4692,62,4366,58,30,40,1,39,96,3432,40,3221,45,18,29,1,29,49,NA,75960,23105,07440,NA,04860,3,29,1,8,914.855421686747,767.2168674698796
25001000037,MA,001,37,4267,55,3957,46,9,3,3,116,78,3424,38,3192,35,9,2,3,95,50,NA,49700,29020,02970,04560,05910,4,5,1,8,856.7610392176232,944.0268695050875
25001000038,MA,001,38,3619,27,3505,12,7,11,0,40,17,3088,12,3012,9,4,6,0,33,12,NA,29090,29020,NA,NA,05910,4,5,1,8,772.6863577990715,851.3887187592611
25001000039,MA,001,39,4500,37,4276,27,5,10,2,79,64,3611,26,3458,16,3,8,2,62,36,NA,19400,29020,02970,04560,05910,4,5,1,8,903.5526029833053,995.5844117356514
25001000040,MA,001,40,3203,65,2881,112,52,23,0,14,56,2332,38,2128,78,32,17,0,12,27,NA,24190,39100,07440,NA,10470,3,5,1,8,327.60869565217394,296.7608695652174
25001000041,MA,001,41,3704,53,3383,94,68,15,0,22,69,3002,27,2800,64,44,8,0,20,39,NA,55070,39100,07440,NA,99998,3,5,1,8,421.73297785069724,382.02235438884327
25001000042,MA,001,42,2943,61,2545,70,127,18,2,25,95,2007,38,1748,52,82,12,2,18,55,NA,03600,39100,07440,NA,02310,3,5,1,8,281.951394585726,255.40268662838392
25001000043,MA,001,43,3096,33,2764,79,111,18,1,29,61,2411,23,2186,62,72,18,1,23,26,NA,39152,39100,07440,NA,02310,3,5,1,8,338.70693191140276,306.81408941755535
25001000044,MA,001,44,6341,49,6150,36,11,32,0,3,60,5468,37,5326,31,9,25,0,2,38,NA,51405,51440,09210,04560,99998,4,5,1,8,1472,2009
25001000045,MA,001,45,3431,74,2954,253,7,16,0,28,99,3158,65,2721,244,7,14,0,24,83,NA,55535,55500,11730,NA,09840,4,5,1,8,1183,540
25001000046,MA,001,46,2229,19,2163,4,4,11,1,10,17,1826,10,1787,2,4,9,1,5,8,NA,59700,59735,NA,NA,10470,114,29,1,8,362.08555778964154,412.4736878596686
25001000047,MA,001,47,2568,11,2539,5,2,4,0,2,5,2077,7,2056,5,0,3,0,2,4,NA,20380,59735,NA,NA,10470,114,29,1,8,411.8574499063995,469.1718782500173
25001000048,MA,001,48,2457,22,2401,6,1,11,1,2,13,1812,15,1780,2,1,6,1,1,6,NA,20380,59735,NA,NA,10470,114,29,1,8,359.3094363169937,409.3112389932746
25001000049,MA,001,49,3296,13,3220,8,7,24,0,2,22,2239,9,2194,7,6,8,0,2,13,NA,03600,59735,07440,NA,10470,2,29,1,8,443.9811412327532,505.7659294182902
25001000050,MA,001,50,3338,21,3242,9,11,15,0,12,28,2325,12,2272,8,6,6,0,4,17,NA,24190,59735,07440,NA,10470,3,29,1,8,461.03445885044715,525.1924010261388
25001000051,MA,001,51,3438,32,3321,13,15,23,0,4,30,2289,20,2220,10,12,15,0,1,11,NA,24190,59735,07440,NA,10470,3,29,1,8,453.8958607779242,517.0603896554115
25001000052,MA,001,52,2810,43,2683,25,17,19,0,4,19,1855,27,1775,14,10,15,0,1,13,NA,24190,59735,07440,NA,10470,3,29,1,8,367.83609512584064,419.0244747971989
25001000053,MA,001,53,2087,24,1974,39,4,7,2,10,27,1723,15,1635,36,4,4,2,9,18,NA,55535,70605,11730,04560,99998,4,5,1,8,504,379
25001000054,MA,001,54,2749,19,2641,26,8,10,1,12,32,2259,10,2182,17,7,7,1,9,26,NA,47590,74385,12300,04560,99998,4,5,1,8,798,628
25001000055,MA,001,55,4804,29,4711,10,6,14,2,7,25,4074,15,4006,9,5,14,2,6,17,NA,82595,82525,NA,NA,04140,1,5,1,8,1123.4687664041994,1281.9615048118985
25001000056,MA,001,56,4185,64,4038,24,2,15,0,13,29,3561,32,3473,20,2,12,0,9,13,NA,66035,82525,NA,NA,04140,1,5,1,8,982.0010498687664,1120.5363079615047
25001000057,MA,001,57,4157,98,3744,97,22,37,5,52,102,3378,68,3099,60,17,29,1,36,68,NA,66035,82525,NA,NA,04140,1,5,1,8,931.5359580052493,1062.9518810148732
25001000058,MA,001,58,3555,39,3423,28,7,14,1,16,27,2931,23,2848,21,7,11,1,10,10,NA,66035,82525,NA,NA,04140,1,5,1,8,808.2687664041995,922.2948381452318
25001000059,MA,001,59,4093,77,3813,86,19,15,0,19,64,3201,47,3020,58,12,8,0,12,44,NA,78795,82525,NA,NA,04140,1,5,1,8,882.7254593175853,1007.2554680664916
25001000060,MA,001,60,4013,51,3699,81,20,22,1,33,106,3392,33,3177,49,14,20,1,23,75,NA,78795,82525,NA,NA,04140,5,5,1,8,724.8041262433993,720.2220311924352
25001ZZZZZZ,MA,001,ZZZZZZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,29090,00000,05340,04560,99998,ZZZ,ZZZ,1,8,0,0
25003000061,MA,003,61,1787,26,1705,5,5,9,0,1,36,1365,16,1318,2,3,7,0,0,19,NA,00590,00555,NA,NA,01780,6,1,2,1,524.2622950819673,293.6987704918033
25003000062,MA,003,62,1724,6,1706,3,1,5,0,0,3,1331,3,1320,3,1,1,0,0,3,NA,00590,00555,10530,NA,01780,6,1,2,1,511.2037470725995,286.3831967213115
25003000063,MA,003,63,1816,9,1779,7,1,0,1,8,11,1422,8,1399,5,1,0,1,2,6,NA,00590,00555,10530,NA,01780,6,1,2,1,546.1545667447307,305.9631147540984
25003000064,MA,003,64,1729,17,1686,8,0,1,2,0,15,1319,9,1301,3,0,1,2,0,3,NA,00590,00555,NA,NA,01780,6,1,2,1,506.59484777517565,283.80122950819674
25003000065,MA,003,65,1753,14,1712,9,0,4,1,1,12,1395,9,1372,6,0,2,1,0,5,NA,00590,00555,13020,08160,01780,6,1,2,1,535.7845433255269,300.15368852459017
25003000066,MA,003,66,399,0,395,3,0,0,0,0,1,316,0,313,2,0,0,0,0,1,NA,NA,00975,NA,NA,11040,9,1,2,1,80,100
25003000067,MA,003,67,1755,19,1696,12,3,9,0,0,16,1341,11,1306,10,3,6,0,0,5,NA,NA,04545,NA,NA,03390,7,1,2,1,238,203
25003000068,MA,003,68,3401,15,3329,13,3,18,0,1,22,2606,9,2567,7,2,9,0,1,11,NA,NA,13345,06630,08160,01780,7,1,2,1,788,605
25003000069,MA,003,69,944,3,941,0,0,0,0,0,0,712,3,709,0,0,0,0,0,0,NA,46225,14010,03720,NA,08670,6,1,2,1,165.14900153609833,217.09984639016898
25003000070,MA,003,70,742,1,739,1,0,0,0,1,0,590,0,588,1,0,0,0,1,0,NA,46225,14010,03720,08160,08670,6,1,2,1,136.8509984639017,179.90015360983102
25003000071,MA,003,71,3388,36,3281,14,5,34,0,1,17,2563,25,2498,10,5,17,0,1,7,NA,53960,16180,06630,08160,03390,7,1,2,1,777.5168100078185,623.2157935887411
25003000072,MA,003,72,3504,34,3423,20,3,15,0,0,9,2553,13,2504,14,3,11,0,0,8,NA,53960,16180,NA,NA,03390,7,1,2,1,774.4831899921813,620.7842064112588
25003000073,MA,003,73,1345,14,1310,1,0,4,0,4,12,1099,10,1076,1,0,3,0,2,7,NA,NA,21360,NA,NA,11040,9,1,2,1,288,262
25003000074,MA,003,74,676,3,656,4,3,3,0,2,5,506,3,490,4,3,3,0,1,2,NA,46225,24120,10230,22222,04920,6,1,2,1,146,148
25003000075,MA,003,75,1867,44,1749,31,0,30,1,3,9,1451,31,1376,14,0,24,1,1,4,NA,26780,26815,NA,NA,02530,9,1,2,1,376.4433768016472,267.89224433768015
25003000076,MA,003,76,1920,25,1844,19,1,11,1,1,18,1462,19,1414,14,0,9,0,0,6,NA,31295,26815,NA,NA,02530,9,1,2,1,379.29718599862736,269.92312971859985
25003000077,MA,003,77,1859,53,1639,85,5,42,0,5,30,1378,30,1234,69,4,25,0,2,14,NA,26780,26815,NA,NA,02530,9,1,2,1,357.5044612216884,254.41455044612218
25003000078,MA,003,78,1881,34,1802,22,0,8,0,2,13,1537,27,1479,18,0,6,0,1,6,NA,26780,26815,NA,NA,02530,9,1,2,1,398.75497597803707,283.7700754975978
25003000079,MA,003,79,721,10,695,2,0,3,0,0,11,547,7,527,2,0,2,0,0,9,NA,53960,28180,05760,08160,09630,7,1,2,1,173,259
25003000080,MA,003,80,1872,6,1828,9,0,5,0,0,24,1392,4,1365,5,0,3,0,0,15,NA,NA,30315,NA,NA,03390,7,1,2,1,336,287
25003000081,MA,003,81,2990,20,2900,20,1,24,1,2,22,2274,10,2221,15,1,15,1,1,10,NA,53960,34340,06630,08160,09630,7,1,2,1,647,504
25003000082,MA,003,82,881,15,854,5,3,3,0,1,0,673,9,657,3,2,1,0,1,0,NA,34620,34655,NA,NA,06690,9,1,2,1,167.16731016731018,123.2822822822823
25003000083,MA,003,83,1074,9,1026,16,0,19,0,0,4,829,8,792,14,0,12,0,0,3,NA,34620,34655,NA,NA,06690,9,1,2,1,205.9163449163449,151.85885885885887
25003000084,MA,003,84,999,36,944,1,6,3,0,2,7,778,23,743,1,4,3,0,0,4,NA,34620,34655,NA,NA,06690,9,1,2,1,193.24839124839124,142.51651651651653
25003000085,MA,003,85,1109,5,1094,3,0,6,0,0,1,825,5,817,1,0,1,0,0,1,NA,34620,34655,NA,NA,06690,9,1,2,1,204.9227799227799,151.1261261261261
25003000086,MA,003,86,711,62,623,11,0,4,0,1,10,589,47,520,11,0,4,0,0,7,NA,34620,34655,NA,NA,06690,9,1,2,1,146.3024453024453,107.8948948948949
25003000087,MA,003,87,1211,22,1158,1,0,22,0,0,8,968,17,928,1,0,16,0,0,6,NA,34620,34655,NA,NA,06690,9,1,2,1,240.44272844272842,177.3213213213213
25003000088,MA,003,88,5077,97,4822,66,3,51,2,10,26,4019,55,3884,22,3,31,2,4,18,NA,34935,34970,10080,NA,06750,9,1,2,1,1274,1135
25003000089,MA,003,89,934,14,898,5,2,3,2,2,8,773,11,748,4,1,2,2,2,3,NA,NA,42460,NA,NA,11040,9,1,2,1,216,136
25003000090,MA,003,90,130,0,130,0,0,0,0,0,0,108,0,108,0,0,0,0,0,0,NA,NA,43300,NA,NA,11040,9,1,2,1,25,30
25003000091,MA,003,91,247,0,236,2,0,8,0,0,1,185,0,180,1,0,4,0,0,0,NA,NA,44385,08400,08160,01780,7,1,2,1,58,46
25003000092,MA,003,92,1494,17,1443,25,0,2,0,0,7,1125,10,1100,11,0,0,0,0,4,NA,NA,45420,NA,NA,11040,9,1,2,1,232,250
