GEOID,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,ai_an_nh,place,COUNTYFP,COUSUBFP,DISTRICT.x,DISTRICT.y,school,cd_1990,cd_2000,ndv,nrv
23001200712,ME,001,200712,2248,8,2207,3,3,7,1,0,19,1620,5,1596,1,3,3,1,0,11,NA,NA,NA,NA,NA,NA,NA,2,2,182,394
23001200751,ME,001,200751,9048,167,8762,24,13,26,2,1,53,6506,98,6348,15,7,14,1,0,23,NA,NA,NA,NA,NA,NA,NA,2,2,514,849
23001200831,ME,001,200831,5808,26,5675,14,19,22,0,1,51,4265,14,4181,5,15,18,0,0,32,NA,NA,NA,NA,NA,NA,NA,2,2,583,602
23001200841,ME,001,200841,7890,66,7633,55,17,30,7,7,75,5823,36,5661,34,12,23,6,2,49,NA,NA,NA,NA,NA,NA,NA,2,2,1267.0457065787502,1372.632848793646
23001200851,ME,001,200851,1187,1,1168,2,3,4,1,0,8,850,1,836,2,3,4,1,0,3,NA,NA,NA,NA,NA,NA,NA,2,2,184.95429342124982,200.36715120635398
23001200931,ME,001,200931,7334,50,7172,23,27,9,0,0,53,5383,30,5284,13,19,5,0,0,32,NA,NA,NA,NA,NA,NA,NA,2,2,257,310
23001210863,ME,001,210863,2999,15,2913,15,3,11,4,0,38,2436,12,2378,8,2,9,2,0,25,NA,NA,NA,NA,NA,NA,NA,2,2,735.0096476658302,507.912499558257
23001210873,ME,001,210873,6862,101,6474,116,21,24,2,1,123,5522,69,5272,70,18,20,2,1,70,NA,NA,NA,NA,NA,NA,NA,2,2,1666.1425592819028,1151.3517333993004
23001210881,ME,001,210881,3790,43,3664,11,9,35,0,5,23,3001,28,2918,10,6,27,0,0,12,NA,NA,NA,NA,NA,NA,NA,2,2,905.4860232533484,625.7165070502173
23001210883,ME,001,210883,3413,22,3268,14,5,70,1,5,28,2625,14,2536,3,4,49,0,2,17,NA,NA,NA,NA,NA,NA,NA,2,2,792.0362582605931,547.3195038343288
23001210893,ME,001,210893,7043,174,6415,132,39,100,1,16,166,5782,121,5334,91,25,97,1,9,104,NA,NA,NA,NA,NA,NA,NA,2,2,1744.5918648619995,1205.5624271124148
23001210903,ME,001,210903,7395,63,7148,44,4,44,1,2,89,5636,28,5505,24,4,35,1,0,39,NA,NA,NA,NA,NA,NA,NA,2,2,1700.5395624977912,1175.1210375658197
23001220712,ME,001,220712,4866,15,4782,16,6,7,4,0,36,3635,10,3586,4,6,4,4,0,21,NA,NA,NA,NA,NA,NA,NA,2,2,580,861
23001220722,ME,001,220722,7935,42,7718,35,12,70,2,0,56,6052,24,5936,21,7,44,0,0,20,NA,NA,NA,NA,NA,NA,NA,2,2,1456.4471882366147,1690.810191940734
23001220732,ME,001,220732,7234,74,6845,78,31,45,3,6,152,5562,49,5314,50,22,38,3,0,86,NA,NA,NA,NA,NA,NA,NA,2,2,1338.5259849590302,1553.9137950387249
23001220742,ME,001,220742,8034,53,7832,20,26,20,6,1,76,6204,27,6094,13,17,15,3,1,34,NA,NA,NA,NA,NA,NA,NA,2,2,1493.026826804355,1733.276013020541
23001220852,ME,001,220852,3381,22,3326,4,4,9,0,2,14,2472,14,2437,2,4,4,0,2,9,NA,NA,NA,NA,NA,NA,NA,2,2,470,539
23001220863,ME,001,220863,4188,30,4014,29,19,15,1,1,79,3295,17,3190,15,15,12,1,1,44,NA,NA,NA,NA,NA,NA,NA,2,2,994.1940841785348,687.0162914796622
23001250642,ME,001,250642,3138,16,3043,12,20,19,1,0,27,2288,11,2241,6,7,7,1,0,15,NA,NA,NA,NA,NA,NA,NA,2,2,376,585
23003011431,ME,003,011431,1833,8,1794,2,6,0,0,0,23,1444,4,1423,2,6,0,0,0,9,NA,NA,NA,NA,NA,NA,NA,2,2,638,1029
23003011432,ME,003,011432,465,0,451,1,10,0,0,0,3,353,0,346,0,6,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,2,2,31,84
23003011441,ME,003,011441,2286,8,2226,5,30,3,0,3,11,1724,3,1695,2,12,3,0,0,9,NA,NA,NA,NA,NA,NA,NA,2,2,164,505
23003011461,ME,003,011461,1474,1,1455,0,13,3,0,0,2,1125,1,1110,0,10,3,0,0,1,NA,NA,NA,NA,NA,NA,NA,2,2,255,296
23003011462,ME,003,011462,4220,16,4139,3,34,3,1,2,22,3265,8,3219,1,21,2,1,0,13,NA,NA,NA,NA,NA,NA,NA,2,2,19,52
23003011463,ME,003,011463,2024,25,1924,14,27,17,0,0,17,1521,11,1472,6,12,11,0,0,9,NA,NA,NA,NA,NA,NA,NA,2,2,96,296
23003011492,ME,003,011492,37,0,37,0,0,0,0,0,0,28,0,28,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,2,1.7206703910614527,2.6905027932960897
23003011493,ME,003,011493,4544,28,4438,5,25,6,0,0,42,3587,17,3514,4,17,6,0,0,29,NA,NA,NA,NA,NA,NA,NA,2,2,19,15
23003011502,ME,003,011502,1083,0,1059,0,8,0,0,0,16,867,0,854,0,6,0,0,0,7,NA,NA,NA,NA,NA,NA,NA,2,2,53.279329608938546,83.30949720670391
23003011503,ME,003,011503,6561,16,6452,8,24,33,1,0,27,5196,10,5126,3,17,23,1,0,16,NA,NA,NA,NA,NA,NA,NA,2,2,255,97
23003011511,ME,003,011511,197,1,196,0,0,0,0,0,0,160,1,159,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,2,8,33
23003011512,ME,003,011512,2564,5,2540,2,2,6,0,0,9,2076,3,2062,2,2,4,0,0,3,NA,NA,NA,NA,NA,NA,NA,2,2,71,158
23003011513,ME,003,011513,5100,24,4952,16,34,34,0,7,33,3922,11,3825,12,24,26,0,0,24,NA,NA,NA,NA,NA,NA,NA,2,2,137,63
23003021432,ME,003,021432,2295,17,2205,6,19,26,0,0,22,1904,13,1840,4,14,17,0,0,16,NA,NA,NA,NA,NA,NA,NA,2,2,290.72212531866364,569.6927411780491
23003021441,ME,003,021441,4828,34,4708,11,36,5,1,1,32,3701,19,3635,7,17,5,1,0,17,NA,NA,NA,NA,NA,NA,NA,2,2,686,971
23003021452,ME,003,021452,7216,45,6808,22,196,54,3,3,85,5549,23,5311,14,111,34,3,3,50,NA,NA,NA,NA,NA,NA,NA,2,2,847.2778746813364,1660.3072588219509
