GEOID,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,ai_an_nh,place,COUNTYFP,COUSUBFP,DISTRICT,school,shd,ssd,cd_1990,cd_2000,ndv,nrv
26001000010,MI,001,10,1089,8,1058,0,9,1,0,2,11,932,5,914,0,3,1,0,0,9,NA,NA,NA,NA,NA,NA,NA,NA,6,1,152,233
26001000020,MI,001,20,1203,5,1187,0,3,2,0,0,6,1001,5,988,0,3,2,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,6,1,153,189
26001000030,MI,001,30,1378,9,1351,0,1,1,0,1,15,1104,5,1085,0,1,1,0,0,12,NA,NA,NA,NA,NA,NA,NA,NA,6,1,202,163
26001000040,MI,001,40,1499,8,1463,6,5,5,0,0,12,1236,6,1217,4,1,3,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,6,1,192,264
26001000050,MI,001,50,832,2,817,0,5,0,0,0,8,661,2,651,0,4,0,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,6,1,94,128
26001000060,MI,001,60,122,3,116,0,0,3,0,0,0,97,1,95,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,6,1,23.127314814814813,29.63888888888889
26001000070,MI,001,70,251,2,231,10,1,2,0,0,5,208,2,191,9,1,2,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,6,1,49.59259259259259,63.55555555555555
26001000080,MI,001,80,141,0,136,1,1,0,0,0,3,127,0,122,1,1,0,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,6,1,30.280092592592588,38.80555555555555
26001000090,MI,001,90,1411,9,1384,0,5,0,0,0,13,1123,6,1107,0,5,0,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,6,1,162,238
26001000100,MI,001,100,1167,8,1144,2,8,0,0,0,5,938,4,927,0,4,0,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,6,1,177,164
26001000110,MI,001,110,724,3,710,0,2,0,1,0,8,580,1,572,0,2,0,1,0,4,NA,NA,NA,NA,NA,NA,NA,NA,6,1,108,123
26001000120,MI,001,120,1043,9,1003,0,22,0,0,0,9,775,4,756,0,12,0,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,6,1,86,137
26001000130,MI,001,130,463,12,433,0,9,5,0,1,3,374,9,354,0,4,3,0,1,3,NA,NA,NA,NA,NA,NA,NA,NA,6,1,64,74
26001000140,MI,001,140,396,3,386,0,0,0,0,0,7,336,2,327,0,0,0,0,0,7,NA,NA,NA,NA,NA,NA,NA,NA,6,1,49,77
26001ZZZZZZ,MI,001,ZZZZZZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,6,1,0,0
26003000010,MI,003,10,1172,11,1079,0,51,0,0,0,31,906,4,847,0,32,0,0,0,23,NA,NA,NA,NA,NA,NA,NA,NA,1,1,230,182
26003000020,MI,003,20,480,0,468,0,3,0,0,0,9,415,0,406,0,3,0,0,0,6,NA,NA,NA,NA,NA,NA,NA,NA,1,1,137,142
26003000030,MI,003,30,45,0,43,0,1,1,0,0,0,34,0,33,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3.792870313460356,3.6674861708666255
26003000040,MI,003,40,407,7,385,0,6,0,0,4,5,320,2,307,0,3,0,0,4,4,NA,NA,NA,NA,NA,NA,NA,NA,1,1,77,37
26003000050,MI,003,50,571,8,546,0,7,3,0,0,7,460,5,443,0,5,2,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,1,1,176,61
26003000060,MI,003,60,926,10,855,1,29,14,0,0,17,722,5,684,1,15,8,0,0,9,NA,NA,NA,NA,NA,NA,NA,NA,1,1,80.54271665642285,77.88014751075599
26003000070,MI,003,70,1613,15,1515,3,49,3,3,0,25,1273,6,1208,3,32,3,3,0,18,NA,NA,NA,NA,NA,NA,NA,NA,1,1,572,453
26003000080,MI,003,80,1002,15,539,388,54,0,0,0,6,857,13,426,388,28,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,95.60264290104486,92.44222495390288
26003000090,MI,003,90,355,6,336,0,11,0,0,0,2,272,5,258,0,8,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,30.34296250768285,29.339889366933004
26003000100,MI,003,100,929,22,637,203,36,8,0,2,21,774,16,515,203,19,2,0,2,17,NA,NA,NA,NA,NA,NA,NA,NA,1,1,86.34357713583283,83.48924400737555
26003000110,MI,003,110,839,5,752,0,26,2,0,8,46,595,3,546,0,14,0,0,5,27,NA,NA,NA,NA,NA,NA,NA,NA,1,1,66.37523048555624,64.18100799016595
26003000120,MI,003,120,310,0,304,0,6,0,0,0,0,266,0,261,0,5,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,1,84,45
26003000130,MI,003,130,342,0,326,0,13,0,0,0,3,266,0,255,0,8,0,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,1,1,99.67940552016985,49.13375796178344
26003000140,MI,003,140,399,0,380,0,7,0,0,0,12,311,0,305,0,3,0,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,1,1,116.5424628450106,57.445859872611464
26003000150,MI,003,150,472,0,460,0,4,1,0,0,7,365,0,361,0,1,0,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,1,1,136.77813163481954,67.4203821656051
26003ZZZZZZ,MI,003,ZZZZZZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0
26005000010,MI,005,10,1707,52,1513,105,5,13,0,2,17,1266,27,1142,74,4,8,0,1,10,NA,NA,NA,NA,NA,NA,NA,NA,2,6,209.8070109310215,240.34753109687148
26005000020,MI,005,20,3131,86,2860,120,6,18,2,0,39,2282,58,2104,82,6,11,2,0,19,NA,NA,NA,NA,NA,NA,NA,NA,2,6,378.1829375549692,433.2330694810906
26005000030,MI,005,30,4050,67,3894,21,12,11,0,3,42,3001,42,2906,19,9,7,0,1,17,NA,NA,NA,NA,NA,NA,NA,NA,2,6,497.3387360221133,569.7337605226787
26005000040,MI,005,40,3019,344,2491,102,21,12,0,1,48,2239,215,1899,74,15,7,0,1,28,NA,NA,NA,NA,NA,NA,NA,NA,7,6,302.91766800178016,472.3124165554072
26005000050,MI,005,50,2335,61,2126,79,13,3,1,2,50,1661,35,1519,64,10,3,1,0,29,NA,NA,NA,NA,NA,NA,NA,NA,7,6,248,255
26005000060,MI,005,60,2104,624,1404,33,7,12,0,4,20,1469,372,1047,22,6,5,0,3,14,NA,NA,NA,NA,NA,NA,NA,NA,2,6,185,203
26005000070,MI,005,70,3892,64,3748,15,17,10,0,5,33,2544,28,2466,13,10,3,0,5,19,NA,NA,NA,NA,NA,NA,NA,NA,2,2,306.27011327330814,651.3319779262271
26005000080,MI,005,80,2687,73,2566,17,11,5,0,1,14,1818,41,1745,12,8,2,0,0,10,NA,NA,NA,NA,NA,NA,NA,NA,2,6,218.86755736276504,465.4565785652048
26005000090,MI,005,90,1459,476,905,43,11,5,0,2,17,905,253,616,20,6,3,0,0,7,NA,NA,NA,NA,NA,NA,NA,NA,2,2,99,123
26005000100,MI,005,100,2756,125,2557,15,5,33,0,1,20,1904,75,1781,10,3,22,0,1,12,NA,NA,NA,NA,NA,NA,NA,NA,2,2,122.93785310734464,571.1487758945386
26005000110,MI,005,110,2524,301,2182,11,9,4,0,0,17,1896,165,1704,10,7,1,0,0,9,NA,NA,NA,NA,NA,NA,NA,NA,2,6,267,452
26005000120,MI,005,120,5637,61,5440,20,19,20,3,8,66,4057,41,3931,14,15,9,3,6,38,NA,NA,NA,NA,NA,NA,NA,NA,2,6,551,744
26005000130,MI,005,130,3100,80,2966,10,5,9,1,0,29,2084,38,2018,7,2,5,0,0,14,NA,NA,NA,NA,NA,NA,NA,NA,2,2,234,772
26005000140,MI,005,140,742,14,725,1,0,1,0,0,1,563,7,554,0,0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,29.32668810289389,101.85894962486603
26005000150,MI,005,150,2152,345,1695,19,14,54,0,4,21,1623,219,1326,15,10,40,0,1,12,NA,NA,NA,NA,NA,NA,NA,NA,2,2,84.54212218649518,293.63601286173633
26005000160,MI,005,160,1694,160,1411,50,8,31,1,5,28,1178,81,1032,28,5,16,1,2,13,NA,NA,NA,NA,NA,NA,NA,NA,2,2,61.362057877813506,213.12583065380494
26005000170,MI,005,170,2609,696,1686,107,3,88,0,0,29,1905,405,1360,63,2,60,0,0,15,NA,NA,NA,NA,NA,NA,NA,NA,2,2,99.2315112540193,344.6559485530547
26005000180,MI,005,180,2671,141,2444,11,37,14,0,0,24,1825,83,1690,7,21,8,0,0,16,NA,NA,NA,NA,NA,NA,NA,NA,2,6,251,442
26005000190,MI,005,190,3701,136,3486,18,1,35,2,1,22,2745,93,2609,12,1,18,0,0,12,NA,NA,NA,NA,NA,NA,NA,NA,2,2,142.9871382636656,496.63022508038586
26005000200,MI,005,200,1865,70,1760,9,2,12,0,0,12,1316,45,1253,4,1,8,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,2,2,68.55048231511255,238.0930332261522
26005000210,MI,005,210,4114,868,2817,301,36,12,0,4,76,2686,500,1912,199,28,9,0,4,34,NA,NA,NA,NA,NA,NA,NA,NA,7,6,292,228
26005000220,MI,005,220,3652,38,3558,4,27,3,1,0,21,2524,25,2466,2,19,2,0,0,10,NA,NA,NA,NA,NA,NA,NA,NA,2,6,303.86232936392685,646.2114435085681
26005000230,MI,005,230,1394,39,1342,0,1,6,0,0,6,937,21,910,0,1,2,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,2,2,60.50040355125101,281.0747914985203
26005000240,MI,005,240,1240,204,995,10,11,4,0,1,15,876,119,734,8,5,2,0,0,8,NA,NA,NA,NA,NA,NA,NA,NA,2,2,56.56174334140436,262.77643260694106
26005000250,MI,005,250,1470,32,1396,3,6,15,0,2,16,1043,17,1007,3,4,4,0,0,8,NA,NA,NA,NA,NA,NA,NA,NA,2,6,122.70588235294119,261.7725490196079
26005000260,MI,005,260,1044,21,1012,1,2,1,0,0,7,742,15,716,1,2,1,0,0,7,NA,NA,NA,NA,NA,NA,NA,NA,2,6,87.29411764705883,186.22745098039218
26005000270,MI,005,270,2065,33,1957,11,30,4,0,1,29,1410,15,1351,6,18,4,0,1,15,NA,NA,NA,NA,NA,NA,NA,NA,2,2,233.67131549189597,267.6856388993592
26005000300,MI,005,300,2372,36,2282,10,13,9,0,1,21,1717,20,1677,4,5,3,0,0,8,NA,NA,NA,NA,NA,NA,NA,NA,7,6,286.3689045936396,315.4911660777385
26005000310,MI,005,310,1561,23,1500,2,5,6,0,2,23,1113,15,1076,0,4,5,0,0,13,NA,NA,NA,NA,NA,NA,NA,NA,7,6,185.63109540636043,204.5088339222615
26005000320,MI,005,320,987,16,954,3,3,4,1,0,6,688,9,670,2,1,3,1,0,2,NA,NA,NA,NA,NA,NA,NA,NA,2,6,112.41446057500711,134.15314545972103
26005000330,MI,005,330,3867,56,3727,13,12,20,1,2,36,2825,38,2740,7,10,11,1,1,17,NA,NA,NA,NA,NA,NA,NA,NA,7,6,461.5855394249929,550.846854540279
26005000340,MI,005,340,2594,88,2480,1,1,13,0,3,8,1793,40,1733,1,1,10,0,2,6,NA,NA,NA,NA,NA,NA,NA,NA,2,2,70,841
26005000350,MI,005,350,3933,65,3780,18,18,12,0,0,40,2891,42,2793,11,15,6,0,0,24,NA,NA,NA,NA,NA,NA,NA,NA,2,6,480,571
26005000360,MI,005,360,3486,64,3350,5,35,11,0,0,21,2377,35,2298,5,21,4,0,0,14,NA,NA,NA,NA,NA,NA,NA,NA,2,2,209,465
26005000370,MI,005,370,1065,46,983,17,4,10,1,1,3,886,30,831,11,4,8,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3220,4271
26005000380,MI,005,380,3590,148,3377,15,10,8,1,1,30,2844,86,2708,14,7,4,1,1,23,NA,NA,NA,NA,NA,NA,NA,NA,2,2,441,577
26005000390,MI,005,390,8,0,8,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,7,6,1.0823319982198487,1.6875834445927904
26005000400,MI,005,400,1914,45,1834,10,4,5,0,1,15,1448,32,1389,7,4,5,0,1,10,NA,NA,NA,NA,NA,NA,NA,NA,7,6,240.30309498399146,298.2540021344717
26005000410,MI,005,410,605,6,575,17,0,5,0,0,2,426,2,409,9,0,5,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,7,6,70.69690501600853,87.74599786552828
26005000420,MI,005,420,1831,36,1738,33,8,6,0,3,7,1364,24,1301,21,6,5,0,0,7,NA,NA,NA,NA,NA,NA,NA,NA,2,6,147,188
26005000430,MI,005,430,2086,52,2009,2,14,3,0,0,6,1434,23,1396,0,12,0,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,2,6,220,255
26005000440,MI,005,440,3937,82,3761,23,35,6,2,2,26,2739,46,2641,15,21,4,2,0,10,NA,NA,NA,NA,NA,NA,NA,NA,2,6,308,377
26005000450,MI,005,450,3015,66,2873,10,39,9,0,2,16,2118,42,2029,7,29,3,0,2,6,NA,NA,NA,NA,NA,NA,NA,NA,2,6,301,372
26005ZZZZZZ,MI,005,ZZZZZZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2,2,0,0
26007000010,MI,007,10,1867,15,1809,14,11,1,0,0,17,1497,11,1453,13,9,0,0,0,11,NA,NA,NA,NA,NA,NA,NA,NA,1,1,346.3080634045486,487.30737422467263
26007000020,MI,007,20,1915,6,1875,8,2,4,0,0,20,1386,3,1364,3,2,3,0,0,11,NA,NA,NA,NA,NA,NA,NA,NA,1,1,320.62991040661615,451.17436250861476
26007000030,MI,007,30,2121,15,2063,10,13,5,0,1,14,1651,5,1620,7,10,4,0,1,4,NA,NA,NA,NA,NA,NA,NA,NA,1,1,381.9336090052837,537.4378589478521
26007000040,MI,007,40,1840,8,1774,6,8,19,0,0,25,1449,6,1410,3,6,16,0,0,8,NA,NA,NA,NA,NA,NA,NA,NA,1,1,335.20399724328047,471.68228807718816
26007000050,MI,007,50,1721,15,1686,1,5,5,1,0,8,1338,10,1316,1,4,3,1,0,3,NA,NA,NA,NA,NA,NA,NA,NA,1,1,309.5258442453481,435.5492763611303
26007000060,MI,007,60,1840,8,1786,6,9,20,0,0,11,1385,5,1350,3,7,12,0,0,8,NA,NA,NA,NA,NA,NA,NA,NA,1,1,320.398575694923,450.84883988054213
26007000070,MI,007,70,2138,8,2100,1,8,3,0,0,18,1614,3,1590,1,6,3,0,0,11,NA,NA,NA,NA,NA,NA,NA,NA,1,1,826.8128299894403,708.7880147835269
26007000080,MI,007,80,3147,23,3076,3,13,24,0,0,8,2449,17,2401,2,9,17,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1254.5629619852166,1075.4782206969378
26007000090,MI,007,90,2612,20,2555,3,10,11,0,1,12,1993,12,1953,3,8,8,0,1,8,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1020.9652851108765,875.2258447729673
