GEOID,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,ai_an_nh,place,mcd,school,cd_1990,cd_2000,ndv,nrv
27001000005,MN,001,0005,1984,15,1925,2,26,3,1,1,11,1571,9,1533,1,19,2,1,0,6,NA,00460,00460,02760,4,8,414,438
27001000010,MN,001,0010,642,7,618,0,9,3,0,0,5,477,1,467,0,5,2,0,0,2,NA,00460,00478,02760,4,8,213,257
27001000015,MN,001,0015,300,0,296,0,2,0,0,0,2,232,0,229,0,1,0,0,0,2,NA,NA,03358,14010,4,8,109,43
27001000020,MN,001,0020,34,1,33,0,0,0,0,0,0,29,1,28,0,0,0,0,0,0,NA,NA,03412,19170,4,8,14,6
27001000025,MN,001,0025,76,0,73,0,2,0,0,0,1,59,0,56,0,2,0,0,0,1,NA,NA,04384,19170,4,8,34,10
27001000030,MN,001,0030,148,0,129,0,19,0,0,0,0,102,0,96,0,6,0,0,0,0,NA,64156,11620,19170,4,8,49,20
27001000035,MN,001,0035,27,1,26,0,0,0,0,0,0,27,1,26,0,0,0,0,0,0,NA,NA,13330,19170,4,8,7,10
27001000036,MN,001,0036,57,1,55,0,0,0,0,0,1,49,0,48,0,0,0,0,0,1,NA,39014,14903,19170,4,8,111,129
27001000040,MN,001,0040,1071,2,1049,3,3,1,0,6,7,841,1,829,2,3,0,0,2,4,NA,NA,20654,02760,4,8,191,181
27001000045,MN,001,0045,327,1,320,3,1,0,0,0,2,286,1,280,3,0,0,0,0,2,NA,NA,21230,02760,4,8,88,80
27001000050,MN,001,0050,442,2,438,0,0,1,0,0,1,372,2,368,0,0,1,0,0,1,2270,NA,23930,02760,4,8,126,78
27001000055,MN,001,0055,163,0,159,0,3,0,0,0,1,136,0,135,0,0,0,0,0,1,NA,NA,27602,19170,4,8,42,30
27001000060,MN,001,0060,712,1,685,4,18,0,0,0,4,613,1,596,3,11,0,0,0,2,2270,NA,28052,02760,4,8,154,145
27001000065,MN,001,0065,479,8,459,0,9,0,0,0,3,362,3,350,0,7,0,0,0,2,NA,29096,29096,14010,4,8,127,61
27001000070,MN,001,0070,447,1,431,1,5,0,0,0,9,326,0,318,1,3,0,0,0,4,NA,29096,29114,14010,4,8,113,91
27001000075,MN,001,0075,235,5,224,1,2,0,0,0,3,182,1,175,1,2,0,0,0,3,2270,NA,30788,15510,4,8,51,36
27001000080,MN,001,0080,321,0,316,0,1,2,0,0,2,234,0,231,0,1,1,0,0,1,NA,39014,31958,19170,4,8,76,56
27001000081,MN,001,0081,46,0,46,0,0,0,0,0,0,27,0,27,0,0,0,0,0,0,NA,NA,31966,19170,4,8,93,76
27001000085,MN,001,0085,245,0,245,0,0,0,0,0,0,187,0,187,0,0,0,0,0,0,NA,NA,33218,02760,4,8,55,59
27001000090,MN,001,0090,495,1,485,0,5,2,1,0,1,413,1,406,0,3,2,0,0,1,2270,NA,34982,15510,4,8,134,79
27001000095,MN,001,0095,54,0,53,0,0,0,0,0,1,40,0,39,0,0,0,0,0,1,NA,NA,36152,19170,4,8,9,11
27001000100,MN,001,0100,29,0,29,0,0,0,0,0,0,27,0,27,0,0,0,0,0,0,NA,NA,36908,19170,4,8,12.558139534883722,4.395348837209302
27001000105,MN,001,0105,18,0,18,0,0,0,0,0,0,16,0,16,0,0,0,0,0,0,NA,NA,36908,02760,4,8,7.441860465116279,2.604651162790698
27001000110,MN,001,0110,231,3,226,2,0,0,0,0,0,184,1,183,0,0,0,0,0,0,NA,49498,37844,02760,4,8,67,47
27001000115,MN,001,0115,65,10,55,0,0,0,0,0,0,44,3,41,0,0,0,0,0,0,NA,38996,38996,19170,4,8,17,14
27001000120,MN,001,0120,404,2,386,2,13,0,0,0,1,296,2,283,1,10,0,0,0,0,NA,39014,39014,19170,4,8,105,70
27001000125,MN,001,0125,116,0,114,0,2,0,0,0,0,91,0,89,0,2,0,0,0,0,NA,39014,39032,19170,4,8,27,19
27001000130,MN,001,0130,204,1,197,3,3,0,0,0,0,141,1,136,1,3,0,0,0,0,NA,NA,39212,14010,4,8,73,35
27001000132,MN,001,0132,64,0,63,0,1,0,0,0,0,50,0,49,0,1,0,0,0,0,NA,NA,42300,19170,4,8,23,17
27001000135,MN,001,0135,332,0,320,0,9,0,0,0,3,272,0,266,0,4,0,0,0,2,NA,NA,39590,02760,4,8,93,44
27001000140,MN,001,0140,186,2,180,2,1,0,0,0,1,141,0,137,2,1,0,0,0,1,NA,NA,44278,02760,4,8,39,40
27001000145,MN,001,0145,853,3,835,3,6,3,0,0,3,691,1,683,1,3,0,0,0,3,NA,NA,46546,02760,4,8,177,192
27001000146,MN,001,0146,14,0,14,0,0,0,0,0,0,11,0,11,0,0,0,0,0,0,NA,NA,46890,12210,4,8,114,166
27001000147,MN,001,0147,335,7,319,0,3,0,0,0,6,253,4,245,0,3,0,0,0,1,NA,NA,47342,02760,4,8,155,342
