GEOID,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,ai_an_nh,place,mcd,school,shd,ssd,cd_1990,cd_2000,ndv,nrv
28001000101,MS,001,101,1574,8,1293,260,2,0,0,0,11,1321,6,1102,204,2,0,0,0,7,NA,50440,90009,03030,95,37,5,2,409.44749294206525,459.61072010815536
28001000102,MS,001,102,2008,12,544,1430,4,6,0,0,12,1401,11,437,938,2,6,0,0,7,NA,50440,90009,03030,96,38,5,2,434.24370750328046,487.44482882023146
28001000103,MS,001,103,3101,46,2231,777,2,23,1,3,18,2497,37,1836,591,1,18,1,3,10,NA,50440,90009,03030,95,37,5,2,773.9518469919282,868.772118175673
28001000201,MS,001,201,1622,3,1469,134,0,7,2,0,7,1187,3,1097,78,0,5,0,0,4,NA,50440,90747,03030,95,37,5,2,367.9138335520299,412.9885880154281
28001000202,MS,001,202,2845,12,1990,799,3,25,0,0,16,2137,10,1590,509,3,15,0,0,10,NA,50440,90747,03030,94,37,5,2,662.3688814664598,743.5186289713308
28001000203,MS,001,203,1592,10,920,648,0,0,0,0,14,1144,5,696,434,0,0,0,0,9,NA,50440,90747,03030,95,37,5,2,354.58586822537677,398.0277545826872
28001000204,MS,001,204,1324,12,1106,202,0,1,0,0,3,1036,8,874,150,0,1,0,0,3,NA,NA,90747,03030,95,37,5,2,321.1109785677363,360.45170782138456
28001000301,MS,001,301,1648,13,45,1561,1,4,0,0,24,1170,9,43,1095,1,4,0,0,18,NA,50440,91485,03030,94,37,5,2,362.64463795777164,407.0738399141119
28001000302,MS,001,302,1130,20,527,567,10,2,0,3,1,833,14,426,381,6,2,0,3,1,NA,50440,91485,03030,95,37,5,2,258.19058411865285,289.82265696449167
28001000303,MS,001,303,1919,9,146,1751,0,4,0,0,9,1148,6,120,1017,0,2,0,0,3,NA,50440,91485,03030,94,37,5,2,355.8256789534375,399.419460018291
