GEOID,state,county,county_subdivision,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,cd_1990,cd_2000,ndv,nrv
3300101060,33,001,01060,4502,4426,2,24,15,12,2,1,20,3430,3379,2,19,9,8,0,0,13,1,2,361,1255
3300103220,33,001,03220,3886,3783,22,23,11,23,0,0,24,2860,2788,12,13,10,21,0,0,16,1,2,359,780
3300104740,33,001,04740,6716,6497,9,64,22,35,0,5,84,5038,4904,6,35,13,26,0,3,51,1,2,565,1274
3300110660,33,001,10660,996,975,0,10,0,8,0,0,3,782,766,0,8,0,5,0,0,3,1,2,133,320
3300128740,33,001,28740,6803,6666,12,39,10,32,0,1,43,5190,5100,9,22,8,23,0,0,28,1,2,822,2142
3300128980,33,001,28980,3060,3008,3,9,6,4,0,0,30,2319,2281,3,8,4,3,0,0,20,1,2,360,660
3300140180,33,001,40180,16411,15777,82,162,63,120,2,10,195,12748,12299,60,112,52,86,2,8,129,1,2,1991,3817
3300147140,33,001,47140,5943,5803,10,30,10,34,4,7,45,4607,4515,4,18,7,26,3,4,30,1,2,562,1645
3300151540,33,001,51540,1950,1886,6,12,1,5,0,3,37,1427,1391,4,6,1,2,0,3,20,1,2,213,483
3300167300,33,001,67300,2581,2525,4,11,4,13,0,0,24,1928,1890,2,7,4,5,0,0,20,2,1,355,593
3300177060,33,001,77060,3477,3339,1,34,22,20,0,3,58,2677,2589,1,17,16,17,0,1,36,2,1,422,819
3300300420,33,003,00420,654,639,1,5,2,1,2,0,4,481,469,1,2,2,1,2,0,4,1,2,66,122
3300303700,33,003,03700,2705,2651,4,11,8,11,0,10,10,2113,2077,4,5,7,8,0,4,8,1,2,354,787
3300307940,33,003,07940,604,598,0,2,2,0,1,0,1,463,461,0,0,1,0,1,0,0,1,2,69,204
3300311780,33,003,11780,260,255,0,0,0,0,0,3,2,196,192,0,0,0,0,0,2,2,1,2,25,87
