GEOID,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,ai_an_nh,place,mcd,school,shd,ssd,cd_1990,cd_2000,ndv,nrv
35001000001,NM,001,1,1452,459,862,40,39,17,2,2,31,1049,300,665,23,32,10,1,0,18,NA,02000,90060,00060,029,023,3,2,171.21601653282266,203.72644096829606
35001000002,NM,001,2,4196,1495,2222,140,167,65,1,10,96,2952,970,1661,94,122,50,1,7,47,NA,02000,90060,00060,029,023,3,3,481.8204774117183,573.3083448411916
35001000003,NM,001,3,2371,564,1638,42,57,26,3,5,36,1940,409,1392,36,45,26,3,5,24,3370,02000,90060,00060,029,010,1,3,316.6435386784327,376.767679197802
35001000004,NM,001,4,730,147,562,4,2,3,0,0,12,564,90,457,4,2,3,0,0,8,NA,43930,90060,00060,015,010,1,3,92.05513186321447,109.53452116884554
35001000005,NM,001,5,1356,502,816,2,4,7,2,5,18,1041,362,655,1,4,4,2,1,12,NA,43930,90060,00060,015,010,1,3,169.9102699815714,202.1727598169649
35001000006,NM,001,6,1775,760,958,12,17,3,1,0,24,1363,540,785,10,11,3,1,0,13,3370,52750,90060,00060,015,010,1,3,222.46656866943496,264.7084261580434
35001000007,NM,001,7,1980,1126,739,16,60,5,0,0,34,1467,804,583,12,38,3,0,0,27,NA,52750,90060,00060,015,010,1,3,239.44127383570148,284.90628112534824
35001000008,NM,001,8,713,444,227,2,19,8,0,0,13,523,320,182,2,10,5,0,0,4,NA,52750,90060,00060,015,010,1,3,85.36318078805172,101.57190526827344
35001000009,NM,001,9,1216,730,441,10,27,0,0,0,8,928,528,370,7,19,0,0,0,4,NA,52750,90060,00060,015,010,1,3,151.46659994514724,180.22701355441254
35001000010,NM,001,10,2322,934,1141,47,140,14,2,4,40,1707,622,925,32,93,9,2,3,21,3370,02000,90060,00060,015,010,1,3,278.61367037323953,331.5167156652825
35001000011,NM,001,11,1280,638,609,6,10,6,0,0,11,978,473,482,4,9,5,0,0,5,NA,02000,90060,00060,015,013,1,3,159.62751589046763,189.93752075023215
35001000012,NM,001,12,1136,532,560,3,24,6,0,0,11,870,386,451,3,16,6,0,0,8,NA,02000,90060,00060,015,010,1,3,141.99993744857554,168.96282520726174
35001000013,NM,001,13,1024,257,722,6,3,12,0,2,22,748,183,540,5,3,9,0,0,8,NA,02000,90060,00060,015,010,1,3,122.08730254199367,145.26918764946183
35001000014,NM,001,14,1759,1068,613,11,43,5,1,1,17,1255,704,506,8,23,2,1,1,10,NA,52750,90060,00060,017,013,1,3,204.83899022754284,243.73373061507297
35001000015,NM,001,15,1770,901,795,15,29,3,1,3,23,1354,609,700,7,18,3,1,3,13,NA,02000,90060,00060,017,013,1,3,220.9976037992773,262.9605348627959
35001000016,NM,001,16,976,502,431,9,12,8,1,0,13,744,351,361,6,7,8,1,0,10,NA,52750,90060,00060,015,013,1,3,121.43442926636801,144.49234707379625
35001000017,NM,001,17,1498,664,777,8,20,15,0,0,14,1180,487,646,6,19,13,0,0,9,NA,43930,90060,00060,015,010,1,3,192.59761630956217,229.1679698213435
35001000018,NM,001,18,1886,1199,605,15,39,5,1,4,18,1458,889,510,9,33,3,1,3,10,NA,02000,90060,00060,015,010,1,3,237.9723089655438,283.1583898301007
35001000020,NM,001,20,1258,548,589,33,51,10,6,0,21,827,330,428,20,30,7,2,0,10,NA,02000,90060,00060,029,023,1,3,134.98154973559994,160.61178901885685
35001000021,NM,001,21,2580,958,1450,65,36,38,3,1,29,1957,673,1149,53,28,28,3,1,22,NA,02000,90060,00060,029,026,1,3,319.4182500998417,380.0692516443807
35001000022,NM,001,22,1588,712,758,34,37,13,0,7,27,1147,502,568,28,26,10,0,4,9,NA,02000,90060,00060,029,026,1,3,187.21141178565068,222.75903507210253
35001000023,NM,001,23,2090,1053,854,61,45,24,3,0,50,1465,657,674,46,32,22,3,0,31,NA,02000,90060,00060,016,026,1,3,239.11483719788865,284.51786083751546
35001000024,NM,001,24,2684,1145,1362,50,81,18,0,0,28,1872,727,1016,37,58,17,0,0,17,NA,02000,90060,00060,016,026,1,3,305.54469299279697,363.5613894114873
35001000025,NM,001,25,1125,458,573,31,26,6,1,2,28,766,292,416,22,16,6,1,0,13,NA,02000,90060,00060,016,026,1,3,125.02523228230902,148.76497023995688
35001000026,NM,001,26,1628,908,596,43,39,21,5,1,15,1169,593,491,35,22,17,3,1,7,NA,02000,90060,00060,016,026,1,3,190.8022148015917,227.0316582382632
35001000027,NM,001,27,1742,878,600,84,108,28,1,2,41,1362,641,534,49,80,22,1,1,34,NA,02000,90060,00060,016,026,1,3,222.30335035052858,264.514216014127
35001000028,NM,001,28,1791,1058,476,80,119,20,0,1,37,1241,699,381,48,73,17,0,1,22,NA,02000,90060,00060,016,026,1,3,202.55393376285312,241.0147886002435
35001000029,NM,001,29,5424,2869,1937,244,183,85,3,4,99,3981,2041,1481,191,137,72,2,1,56,1840,02000,90060,00060,016,026,1,3,649.7721275664128,773.1505829311598
35001000030,NM,001,30,917,397,405,24,62,4,0,0,25,684,251,358,18,39,4,0,0,14,NA,02000,90060,00060,016,013,1,3,111.64133013198351,132.83973843881267
35001000031,NM,001,31,1545,84,16,1,1437,0,0,0,7,903,39,12,0,848,0,0,0,4,2430,NA,90330,00060,065,022,2,1,147.386141972487,175.3717599565027
35001000032,NM,001,32,2225,1767,290,77,55,15,2,0,19,1426,1109,224,43,34,9,2,0,5,NA,02000,90060,00060,013,026,1,3,232.74932276053872,276.9436652247761
35001000033,NM,001,33,2350,1915,280,68,46,5,1,12,23,1667,1337,221,54,28,4,1,7,15,NA,02000,90060,00060,013,026,1,3,272.0849376169832,323.7483099086268
35001000034,NM,001,34,1672,1358,189,67,37,3,0,1,17,1095,876,145,42,23,2,0,1,6,NA,02000,90060,00060,016,026,1,3,178.72405920251745,212.6601075884501
35001000035,NM,001,35,1152,866,199,24,40,1,0,7,15,798,568,172,16,27,1,0,4,10,NA,02000,90060,00060,016,026,1,3,130.2482184873141,154.97969484528144
35001000036,NM,001,36,1388,1170,156,30,17,6,0,0,9,986,810,132,20,14,4,0,0,6,NA,02000,90060,00060,016,026,1,3,160.93326244171894,191.49120190156333
