GEOID,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,ai_an_nh,place,COUNTYFP,COUSUBFP,school,shd,ssd,cd_1990,cd_2000,ndv,nrv
32001000005,NV,001,0005,1370,98,1085,19,44,81,4,3,36,979,52,810,11,23,64,4,2,13,NA,NA,NA,NA,NA,NA,NA,1,2,139.84073444007743,183.31483545491875
32001000010,NV,001,0010,1637,208,1162,50,81,80,1,1,54,1192,117,886,42,63,64,1,0,19,NA,NA,NA,NA,NA,NA,NA,1,2,170.26573590661113,223.19845134041182
32001000015,NV,001,0015,1253,102,972,35,25,57,1,2,59,889,60,721,25,15,46,1,2,19,NA,NA,NA,NA,NA,NA,NA,1,2,126.9851000175984,166.4626033906259
32001000020,NV,001,0020,1103,98,871,17,30,40,6,5,36,827,59,686,13,17,27,3,2,20,NA,NA,NA,NA,NA,NA,NA,1,2,118.12899630433508,154.8532879685575
32001000025,NV,001,0025,1424,219,1040,20,45,49,4,9,38,1022,135,777,18,31,38,2,5,16,NA,NA,NA,NA,NA,NA,NA,1,2,145.98287088637295,191.36645744119198
32001000030,NV,001,0030,1108,49,923,13,19,56,10,2,36,769,30,652,9,10,48,2,0,18,NA,NA,NA,NA,NA,NA,NA,1,2,109.8442541209597,143.99296063823547
32001000035,NV,001,0035,1168,53,1046,9,4,30,1,0,25,840,34,760,4,4,24,1,0,13,NA,NA,NA,NA,NA,NA,NA,1,2,119.98592127647093,157.28749926673316
32001000040,NV,001,0040,1047,113,863,10,28,6,2,0,25,780,64,670,7,20,5,2,0,12,NA,NA,NA,NA,NA,NA,NA,1,2,111.41549832815159,146.05267789053792
32001000045,NV,001,0045,876,71,672,3,109,1,1,0,19,619,47,488,2,70,1,1,0,10,NA,NA,NA,NA,NA,NA,NA,1,2,88.41819675016133,115.90590719774741
32001000050,NV,001,0050,1226,68,1098,1,18,11,1,0,29,839,36,763,1,8,10,1,0,20,NA,NA,NA,NA,NA,NA,NA,1,2,119.84308089399894,157.10025224379655
32001000055,NV,001,0055,1323,94,1157,4,13,23,0,0,32,911,53,818,3,9,14,0,0,14,NA,NA,NA,NA,NA,NA,NA,1,2,130.12758843198216,170.58203789523083
32001000060,NV,001,0060,2139,205,1552,157,27,125,12,5,56,1406,124,1042,104,22,81,7,3,23,NA,NA,NA,NA,NA,NA,NA,1,2,200.83357775561683,263.26931424884145
32001000065,NV,001,0065,792,38,733,0,8,2,0,0,11,558,27,511,0,8,2,0,0,10,NA,NA,NA,NA,NA,NA,NA,1,2,79.70493341936998,104.4838387986156
32001000070,NV,001,0070,928,62,833,11,4,3,2,0,13,663,38,602,3,4,3,2,0,11,NA,NA,NA,NA,NA,NA,NA,1,2,94.70317357892884,124.14477620695723
32001000075,NV,001,0075,1149,93,993,4,25,12,0,0,22,873,54,776,4,15,7,0,0,17,NA,NA,NA,NA,NA,NA,NA,1,2,124.69965389804658,163.46665102364054
32001000080,NV,001,0080,1570,257,1225,12,21,18,3,0,34,1122,140,929,7,17,12,1,0,16,NA,NA,NA,NA,NA,NA,NA,1,2,160.2669091335719,210.09115973485072
32001000085,NV,001,0085,1761,147,1520,8,29,20,1,0,36,1237,82,1102,5,16,15,1,0,16,NA,NA,NA,NA,NA,NA,NA,1,2,176.69355311785066,231.62456737255823
32001000090,NV,001,0090,1086,47,472,0,533,3,1,0,30,749,28,360,0,337,3,1,0,20,NA,NA,NA,NA,NA,NA,NA,1,2,106.98744647151992,140.24802017950373
32001000095,NV,001,0095,1022,54,939,2,5,4,1,0,17,772,32,720,0,4,3,1,0,12,NA,NA,NA,NA,NA,NA,NA,1,2,110.27277526837567,144.55470170704524
