GEOID,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,ai_an_nh,place,COUNTYFP,COUSUBFP,DISTRICT,school,shd,ssd,cd_1990,cd_2000,ndv,nrv
40001000001,OK,001,1,1340,37,339,1,878,1,0,0,84,932,21,282,1,583,1,0,0,44,NA,NA,NA,NA,NA,NA,NA,NA,2,2,164.0370824812543,170.13605998636675
40001000002,OK,001,2,698,12,261,0,377,0,1,0,47,479,7,211,0,235,0,1,0,25,NA,NA,NA,NA,NA,NA,NA,NA,2,2,84.306612133606,87.44117246080437
40001000003,OK,001,3,214,3,89,0,105,0,0,0,17,157,3,73,0,68,0,0,0,13,NA,NA,NA,NA,NA,NA,NA,NA,2,2,27.632856169052488,28.660259032038173
40001000004,OK,001,4,1550,130,555,7,780,3,0,0,75,1007,78,430,4,450,2,0,0,43,NA,NA,NA,NA,NA,NA,NA,NA,2,2,177.23749147920927,183.82726653033401
40001000005,OK,001,5,1213,12,460,1,659,0,0,0,81,828,5,358,1,415,0,0,0,49,NA,NA,NA,NA,NA,NA,NA,NA,2,2,145.7325153374233,151.15092024539877
40001000006,OK,001,6,1421,25,607,3,653,0,0,0,133,1007,10,496,3,417,0,0,0,81,NA,NA,NA,NA,NA,NA,NA,NA,2,2,177.23749147920927,183.82726653033401
40001000007,OK,001,7,1328,28,627,3,583,3,0,0,84,1024,19,548,2,395,3,0,0,57,NA,NA,NA,NA,NA,NA,NA,NA,2,2,180.22958418541242,186.93060668029995
40001000008,OK,001,8,830,18,339,1,420,0,0,0,52,580,13,258,1,279,0,0,0,29,NA,NA,NA,NA,NA,NA,NA,NA,2,2,102.08316291751875,105.87866394001364
40001000010,OK,001,10,505,5,300,1,170,0,0,0,29,378,4,237,1,113,0,0,0,23,NA,NA,NA,NA,NA,NA,NA,NA,2,2,66.53006134969326,69.0036809815951
40001000011,OK,001,11,578,12,175,2,366,0,0,0,23,364,7,122,2,217,0,0,0,16,NA,NA,NA,NA,NA,NA,NA,NA,2,2,64.06598500340831,66.44798909338786
40001000012,OK,001,12,1651,17,663,1,868,0,0,0,102,1131,13,523,1,526,0,0,0,68,NA,NA,NA,NA,NA,NA,NA,NA,2,2,199.06216768916153,206.46339468302656
40001000013,OK,001,13,1136,63,535,0,431,0,1,0,106,791,30,418,0,275,0,1,0,67,NA,NA,NA,NA,NA,NA,NA,NA,2,2,139.22031356509882,144.39659168370824
40001000014,OK,001,14,1473,102,625,4,616,1,1,1,123,1036,55,508,1,392,1,1,1,77,NA,NA,NA,NA,NA,NA,NA,NA,2,2,182.3416496250852,189.1211997273347
40001000015,OK,001,15,166,9,89,0,53,0,0,0,15,125,5,76,0,30,0,0,0,14,NA,NA,NA,NA,NA,NA,NA,NA,2,2,22.00068166325835,22.8186775732788
