GEOID,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,ai_an_nh,place,COUNTYFP,COUSUBFP,school,shd,ssd,cd_1990,cd_2000,ndv,nrv
42001000010,PA,001,10,905,50,847,2,1,0,1,0,4,638,30,602,1,1,0,1,0,3,NA,NA,NA,NA,NA,NA,NA,19,19,51,61
42001000020,PA,001,20,848,136,693,11,1,2,0,0,5,598,74,514,6,1,1,0,0,2,NA,NA,NA,NA,NA,NA,NA,19,19,126,178
42001000030,PA,001,30,576,73,484,13,1,1,0,0,4,416,42,365,5,1,0,0,0,3,NA,NA,NA,NA,NA,NA,NA,19,19,71,118
42001000040,PA,001,40,1818,39,1763,5,0,8,1,0,2,1400,21,1369,4,0,4,1,0,1,NA,NA,NA,NA,NA,NA,NA,19,19,115,185
42001000050,PA,001,50,1101,128,954,7,0,2,0,0,10,829,76,738,7,0,2,0,0,6,NA,NA,NA,NA,NA,NA,NA,19,19,135,243
42001000060,PA,001,60,1378,43,1300,18,0,5,0,0,12,974,20,940,9,0,3,0,0,2,NA,NA,NA,NA,NA,NA,NA,19,19,152,121
42001000070,PA,001,70,2678,136,2503,15,9,3,0,0,12,2014,79,1914,11,2,3,0,0,5,NA,NA,NA,NA,NA,NA,NA,19,19,305,437
42001000080,PA,001,80,3291,26,3165,19,14,13,0,4,50,2315,16,2239,13,12,11,0,2,22,NA,NA,NA,NA,NA,NA,NA,19,19,158,215
42001000090,PA,001,90,4076,66,3964,21,2,6,0,1,16,3006,42,2941,13,1,5,0,0,4,NA,NA,NA,NA,NA,NA,NA,19,19,380.7127358490566,309.1075471698113
42001000100,PA,001,100,1633,24,1585,9,0,3,0,0,12,1234,12,1207,7,0,3,0,0,5,NA,NA,NA,NA,NA,NA,NA,19,19,156.2872641509434,126.89245283018869
42001000110,PA,001,110,1597,49,1441,61,10,18,0,0,18,1300,34,1189,44,9,15,0,0,9,NA,NA,NA,NA,NA,NA,NA,19,19,248.31460674157304,321.6347213042521
42001000120,PA,001,120,1522,11,1454,18,3,24,0,0,12,1165,6,1118,16,1,16,0,0,8,NA,NA,NA,NA,NA,NA,NA,19,19,222.52808988764042,288.2341925534258
42001000130,PA,001,130,1826,53,1709,43,1,17,0,2,1,1461,33,1385,29,1,13,0,0,0,NA,NA,NA,NA,NA,NA,NA,19,19,279.0674157303371,361.4679444811632
42001000140,PA,001,140,773,10,707,22,1,24,0,0,9,613,4,568,11,1,21,0,0,8,NA,NA,NA,NA,NA,NA,NA,19,19,117.08988764044943,151.66314166115885
