GEOID,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,ai_an_nh,place,COUNTYFP,COUSUBFP,DISTRICT.x,DISTRICT.y,school,shd,ssd,cd_1990,cd_2000,ndv,nrv
45001000001,SC,001,1,957,15,797,127,0,2,0,1,15,696,6,590,90,0,0,0,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,101.94658753709199,114.7299703264095
45001000002,SC,001,2,1292,6,949,327,0,2,0,2,6,975,3,737,230,0,1,0,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,142.8131075411849,160.7208636038064
45001000003,SC,001,3,1891,10,1617,254,0,1,0,0,9,1379,5,1175,191,0,1,0,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,201.9890003069682,227.31699580476825
45001000004,SC,001,4,870,16,755,86,4,0,1,0,8,648,6,573,60,4,0,1,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,94.91578839660289,106.81755857976057
45001000005,SC,001,5,2490,26,1804,636,1,12,1,2,8,2058,17,1522,497,1,10,1,2,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,301.44551314847024,339.24465363757287
45001000006,SC,001,6,1637,2,1384,237,3,1,0,0,10,1279,2,1097,171,2,1,0,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,187.34150209761586,210.83280466591629
45001000007,SC,001,7,1381,11,1165,188,0,11,0,1,5,1003,4,853,133,0,10,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,146.91440703980354,165.33643712268494
45001000008,SC,001,8,1149,11,1075,43,4,1,0,8,7,867,7,813,33,4,1,0,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,126.99380947508442,142.9179371738463
45001000009,SC,001,9,1422,3,875,532,3,0,2,0,7,1059,2,674,374,3,0,0,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,155.11700603704082,174.56758416044204
45001000010,SC,001,10,2904,16,2065,796,1,12,0,0,14,2163,8,1581,557,1,10,0,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,316.8253862682902,356.5530543333674
45001000011,SC,001,11,402,7,282,110,1,1,0,1,0,297,4,216,75,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,43.503069681776324,48.95804768239026
45001000012,SC,001,12,660,1,490,168,0,0,0,0,1,487,1,371,115,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,71.33331627954568,80.27801084620894
45001000013,SC,001,13,2454,8,1521,902,3,7,0,1,12,1828,6,1195,615,2,7,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,267.75626726696,301.33101401821347
