GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,ai_an_nh,place,COUNTYFP,COUSUBFP,school,shd,ssd,cd_1990,cd_2000,ndv,nrv
46003973600,46,003,9736,3058,2908,9,64,59,3,0,0,15,2215,2146,0,47,13,2,0,0,7,NA,NA,NA,NA,NA,NA,NA,1,1,24,28
46005956600,46,005,9566,2096,2074,3,3,3,1,0,0,12,1452,1441,1,2,3,1,0,0,4,NA,NA,NA,NA,NA,NA,NA,1,1,48,54
46005956700,46,005,9567,2144,2131,1,5,4,0,0,0,3,1591,1582,0,3,4,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,1,1,31,29
46005956800,46,005,9568,1602,1552,6,9,22,1,0,0,12,1216,1192,3,3,12,1,0,0,5,NA,NA,NA,NA,NA,NA,NA,1,1,980.3910482921084,1264.6972909305064
46005956900,46,005,9569,2902,2723,23,51,52,19,1,3,30,2180,2079,21,29,20,16,1,0,14,NA,NA,NA,NA,NA,NA,NA,1,1,1757.6089517078917,2267.3027090694936
46005957000,46,005,9570,5415,5172,51,62,54,19,1,0,56,4211,4053,35,44,38,17,1,0,23,NA,NA,NA,NA,NA,NA,NA,1,1,52,69
46005957100,46,005,9571,2864,2766,34,25,16,12,0,0,11,2174,2104,26,14,12,10,0,0,8,NA,NA,NA,NA,NA,NA,NA,1,1,152,148
46007940100,46,007,9401,3,1,2,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,1,0.6676909569798068,1.017998244073749
46007940200,46,007,9402,163,8,0,0,155,0,0,0,0,92,4,0,0,88,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,1,20.47585601404741,31.218612818261633
46007940600,46,007,9406,644,99,1,6,518,0,0,0,20,355,76,1,4,264,0,0,0,10,NA,NA,NA,NA,NA,NA,NA,1,1,79.0100965759438,120.46312554872695
46007940700,46,007,9407,431,316,0,3,59,0,5,0,48,314,244,0,3,36,0,3,0,28,NA,NA,NA,NA,NA,NA,NA,1,1,69.88498683055312,106.55048287971906
46007940800,46,007,9408,344,98,0,12,229,0,0,0,5,222,74,0,5,138,0,0,0,5,NA,NA,NA,NA,NA,NA,NA,1,1,49.40913081650571,75.33187006145742
46007940900,46,007,9409,131,71,0,0,51,0,0,0,9,93,58,0,0,32,0,0,0,3,NA,NA,NA,NA,NA,NA,NA,1,1,20.698419666374015,31.557945566286218
46007941000,46,007,9410,1648,677,7,50,805,2,0,0,107,1052,540,4,22,428,1,0,0,57,NA,NA,NA,NA,NA,NA,NA,1,1,234.13696224758561,356.97805092186127
46007941100,46,007,9411,210,179,0,1,9,0,0,1,20,147,126,0,1,7,0,0,1,12,NA,NA,NA,NA,NA,NA,NA,1,1,32.71685689201053,49.88191395961369
46009967600,46,009,9676,3883,3775,20,30,35,4,0,0,19,2892,2853,4,13,11,3,0,0,8,NA,NA,NA,NA,NA,NA,NA,1,1,322.5413533834586,415.21374865735766
46009967700,46,009,9677,3377,3145,24,12,179,2,0,0,15,2694,2512,24,7,146,0,0,0,5,NA,NA,NA,NA,NA,NA,NA,1,1,300.45864661654133,386.7862513426423
46011958600,46,011,9586,3723,3625,2,43,31,5,0,0,17,2691,2636,0,26,16,4,0,0,9,NA,NA,NA,NA,NA,NA,NA,1,1,38,55
46011958700,46,011,9587,4649,4528,2,54,29,14,0,2,20,3420,3354,1,36,13,5,0,1,10,NA,NA,NA,NA,NA,NA,NA,1,1,25,50
46011958800,46,011,9588,9376,8950,38,80,131,106,4,5,62,7534,7248,32,51,86,82,4,4,27,NA,NA,NA,NA,NA,NA,NA,1,1,2295,3753
46011958900,46,011,9589,6804,6491,22,32,25,189,1,4,40,6008,5764,14,23,17,161,1,3,25,NA,NA,NA,NA,NA,NA,NA,1,1,165,85
46011959000,46,011,9590,3668,3468,21,38,31,61,4,6,39,2707,2592,14,21,20,44,4,2,10,NA,NA,NA,NA,NA,NA,NA,1,1,139,235
46013951100,46,013,9511,1471,1461,0,3,4,0,0,0,3,1121,1114,0,2,4,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,1,1,95,33
46013951200,46,013,9512,2943,2879,3,10,43,1,0,0,7,2152,2117,1,4,27,0,0,0,3,NA,NA,NA,NA,NA,NA,NA,1,1,94,56
46013951300,46,013,9513,5716,5410,28,40,167,20,1,2,48,4393,4192,24,26,114,16,1,2,18,NA,NA,NA,NA,NA,NA,NA,1,1,66.16999217527388,74.76349765258216
46013951400,46,013,9514,5880,5540,18,50,181,39,0,0,52,4406,4225,11,27,91,29,0,0,23,NA,NA,NA,NA,NA,NA,NA,1,1,66.36580594679187,74.98474178403757
46013951500,46,013,9515,2756,2563,13,26,116,11,1,1,25,2218,2104,10,18,66,7,1,0,12,NA,NA,NA,NA,NA,NA,NA,1,1,1786.6412614980288,2246.052890932983
46013951600,46,013,9516,4787,4480,18,58,132,39,11,1,48,3870,3664,10,33,95,34,9,1,24,NA,NA,NA,NA,NA,NA,NA,1,1,3117.358738501971,3918.947109067017
46013951700,46,013,9517,4086,3824,8,20,178,8,0,4,44,2991,2850,5,8,101,5,0,1,21,NA,NA,NA,NA,NA,NA,NA,1,1,45.05223004694836,50.90316901408451
