GEOID,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,ai_an_nh,place,mcd,DISTRICT.x,DISTRICT.y,school,shd,ssd,cd_1990,cd_2000,ndv,nrv
47001000008,TN,001,0008,2408,25,2360,2,0,1,0,1,19,1842,19,1807,1,0,1,0,1,13,NA,53600,92464,NA,NA,00090,36,5,3,4,316.19403230221735,354.71820421571306
47001000010,TN,001,0010,527,7,504,2,0,2,0,0,12,411,2,395,1,0,2,0,0,11,NA,15580,90736,00720,47001,00090,33,5,3,4,70.55143717492471,79.14722146181221
47001000012,TN,001,0012,1553,28,1516,1,3,2,0,0,3,1175,13,1156,1,2,1,0,0,2,NA,NA,91840,NA,NA,00090,36,5,3,4,201.69814764120812,226.27247011588648
47001000016,TN,001,0016,2072,36,1143,763,7,75,0,5,43,1571,21,904,563,7,53,0,0,23,NA,55120,92520,NA,NA,03240,33,5,3,4,269.6747148462451,302.531106852815
47001000024,TN,001,0024,7041,27,6814,94,25,14,2,4,61,5245,18,5085,68,21,11,2,2,38,NA,15580,90736,00720,47001,00090,33,5,3,4,900.3461994707546,1010.0417921343188
47001000028,TN,001,0028,3899,30,3673,152,9,15,0,0,20,3120,18,2963,105,8,13,0,0,13,NA,15580,90728,00720,47001,00090,33,5,3,4,535.5729537366548,600.8256227758006
47001000032,TN,001,0032,1090,2,1070,6,1,3,0,1,7,890,2,874,6,1,2,0,1,4,NA,15580,90728,00720,47001,00090,33,5,3,4,152.77561821334064,171.389360343097
47001000036,TN,001,0036,1891,10,1800,49,7,0,0,0,25,1399,7,1337,35,5,0,0,0,15,NA,15580,90728,00720,47001,00090,33,5,3,4,240.14953919153209,269.4086686741491
47001000040,TN,001,0040,1658,8,1600,7,16,4,0,0,23,1241,6,1205,5,7,4,0,0,14,NA,NA,90728,NA,NA,00090,33,5,3,4,213.0275755087143,238.9822429053746
47001000044,TN,001,0044,2882,26,2701,40,7,80,0,0,28,2237,17,2112,30,6,60,0,0,12,NA,55120,92520,NA,NA,03240,33,5,3,4,383.9989415092618,430.7842686376494
47001000048,TN,001,0048,2718,11,2657,2,4,9,0,1,34,2042,9,2000,1,4,4,0,1,23,NA,NA,92464,NA,NA,00090,36,5,3,4,350.52563190072084,393.23266721416184
47001000052,TN,001,0052,4012,34,3913,20,11,13,0,1,20,3027,24,2957,12,9,7,0,0,18,NA,15580,92464,00720,47001,00090,36,5,3,4,519.6087599233507,582.916397481522
47001000056,TN,001,0056,3534,66,3138,237,12,39,2,4,36,2654,39,2418,145,9,29,2,1,11,NA,55120,92520,NA,NA,03240,33,5,3,4,455.58032667214167,511.08692398941514
47001000060,TN,001,0060,2031,64,1635,232,17,10,0,5,68,1502,42,1277,134,13,8,0,1,27,NA,55120,92520,NA,NA,03240,33,5,3,4,257.83031298476135,289.2436171183502
47001000064,TN,001,0064,1858,8,1833,2,9,3,0,0,3,1452,3,1434,2,8,2,0,0,3,NA,40240,91832,NA,NA,00090,36,5,3,4,249.2474130851355,279.61500136873804
47001000068,TN,001,0068,3794,19,3717,8,2,3,0,0,45,2917,9,2872,6,2,1,0,0,27,NA,40240,91832,NA,NA,00090,36,5,3,4,500.7263801441738,561.7334428323752
47001000072,TN,001,0072,2949,21,2849,22,12,11,0,0,34,2247,17,2174,14,11,7,0,0,24,NA,55120,93496,NA,NA,00090,33,5,3,4,385.7155214891869,432.7099917875718
47001000076,TN,001,0076,1446,8,1418,3,7,2,0,0,8,1110,6,1090,2,5,0,0,0,7,NA,53600,92464,NA,NA,00090,36,5,3,4,190.5403777716945,213.75526964139064
47001000080,TN,001,0080,3478,30,3228,134,13,17,0,9,47,2720,15,2554,100,10,17,0,0,24,NA,15580,90728,00720,47001,00090,36,5,3,4,466.9097545396478,523.7966967789032
47001000084,TN,001,0084,4022,17,3852,84,18,3,2,0,46,3029,10,2902,63,14,3,1,0,36,NA,55800,93496,NA,NA,00090,33,5,3,4,519.9520759193357,583.3015421115065
47001000088,TN,001,0088,896,33,752,79,6,6,0,0,20,712,18,625,50,2,6,0,0,11,NA,55120,92520,NA,NA,03240,33,5,3,4,122.22049457067251,137.1114882744776
47001000092,TN,001,0092,3136,26,2962,103,8,10,0,3,24,2598,17,2462,83,8,7,0,3,18,NA,55120,92520,NA,NA,03240,33,5,3,4,445.9674787845606,500.30287434984945
47001000096,TN,001,0096,1715,32,1488,150,6,8,0,5,26,1317,17,1182,89,5,7,0,5,12,NA,55120,92520,NA,NA,03240,33,5,3,4,226.07358335614563,253.61773884478512
47001000100,TN,001,0100,324,1,319,0,0,1,0,3,0,258,1,255,0,0,1,0,1,0,NA,NA,92432,NA,NA,00090,36,5,3,4,44.28776348206953,49.6836572679989
47001000104,TN,001,0104,2069,20,2031,0,7,1,0,2,8,1590,14,1565,0,6,1,0,0,4,NA,15580,90736,00720,47001,00090,33,5,3,4,272.9362168081029,306.1899808376677
47001000108,TN,001,0108,2006,18,1852,55,4,49,2,1,25,1545,11,1440,39,3,40,1,0,11,NA,55120,92520,NA,NA,03240,33,5,3,4,265.21160689843964,297.5242266630167
47001000112,TN,001,0112,1590,25,1368,137,2,25,1,0,32,1241,17,1096,99,2,13,1,0,13,NA,55120,92520,NA,NA,03240,33,5,3,4,213.0275755087143,238.9822429053746
