GEOID,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,ai_an_nh,place,COUNTYFP,COUSUBFP,school,shd,ssd,cd_1990,cd_2000,ndv,nrv
4900100BE01,UT,001,BE01,37,0,36,0,0,1,0,0,0,28,0,27,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,2,6.4356534802203305,8.251377065598398
4900100BE02,UT,001,BE02,69,0,66,0,0,0,0,0,3,40,0,37,0,0,0,0,0,3,NA,NA,NA,NA,NA,NA,NA,1,2,9.193790686029045,11.787681522283426
4900100BE03,UT,001,BE03,301,9,284,2,1,0,0,0,5,232,7,221,2,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,1,2,53.32398597896845,68.36855282924387
4900100BE04,UT,001,BE04,190,16,163,0,8,2,0,0,1,139,12,120,0,4,2,0,0,1,NA,NA,NA,NA,NA,NA,NA,1,2,31.94842263395093,40.9621932899349
4900100BE05,UT,001,BE05,327,2,324,0,0,0,0,0,1,187,1,186,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,2,42.98097145718578,55.10741111667501
4900100BE06,UT,001,BE06,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,2,0.22984476715072608,0.2946920380570856
4900100BE07,UT,001,BE07,71,10,53,0,0,0,0,0,8,45,6,37,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,1,2,10.343014521782674,13.261141712568854
4900100BE08,UT,001,BE08,1139,30,1097,0,3,3,0,0,6,785,16,760,0,2,3,0,0,4,NA,NA,NA,NA,NA,NA,NA,1,2,180.42814221331997,231.3332498748122
4900100BE09,UT,001,BE09,937,83,828,0,10,1,0,0,15,642,51,574,0,8,1,0,0,8,NA,NA,NA,NA,NA,NA,NA,1,2,147.56034051076614,189.19228843264895
4900100BE10,UT,001,BE10,7,0,7,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,2,1.1492238357536306,1.4734601902854283
4900100BE11,UT,001,BE11,30,0,30,0,0,0,0,0,0,15,0,15,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,2,3.4476715072608912,4.420380570856285
4900100BE14,UT,001,BE14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,2,0,0
4900100BE31,UT,001,BE31,9,0,4,0,5,0,0,0,0,6,0,4,0,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,2,1.3790686029043566,1.7681522283425137
4900100GR12,UT,001,GR12,290,36,228,13,4,5,4,0,0,244,31,188,13,3,5,4,0,0,NA,NA,NA,NA,NA,NA,NA,1,2,56.08212318477717,71.9048572859289
4900100GR13,UT,001,GR13,59,0,59,0,0,0,0,0,0,36,0,36,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,2,8.27441161742614,10.608913370055083
4900100MI19,UT,001,MI19,20,0,19,0,0,1,0,0,0,11,0,10,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,2,2.5282924386579873,3.241612418627942
