GEOID,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,ai_an_nh,place,COUNTYFP,COUSUBFP,DISTRICT,school,shd,ssd,cd_1990,cd_2000,ndv,nrv
51001000101,VA,001,101,4324,23,4178,41,12,12,0,8,50,3547,17,3447,31,9,8,0,6,29,NA,NA,NA,NA,NA,NA,NA,NA,2,2,479,958
51001000201,VA,001,201,4641,217,3023,1347,39,7,4,0,4,3168,106,2177,836,39,3,4,0,3,NA,NA,NA,NA,NA,NA,NA,NA,2,2,388.13853064773224,538.4819591363571
51001000202,VA,001,202,612,3,570,28,2,2,0,0,7,528,2,491,26,1,2,0,0,6,NA,NA,NA,NA,NA,NA,NA,NA,2,2,64.68975510795536,89.74699318939284
51001000203,VA,001,203,891,69,620,186,3,2,0,0,11,667,43,484,132,1,2,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,2,2,81.71982321402695,113.37356904796405
51001000204,VA,001,204,661,10,641,7,0,0,0,1,2,542,6,528,7,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,66.40501376612086,92.12664831183886
51001000205,VA,001,205,693,0,687,6,0,0,0,0,0,545,0,542,3,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2,2,66.7725691928706,92.63657440950587
51001000301,VA,001,301,2050,36,776,1194,5,7,0,2,30,1433,22,596,787,5,7,0,0,16,NA,NA,NA,NA,NA,NA,NA,NA,2,2,175.56897551079555,243.57469931893928
51001000302,VA,001,302,1711,26,763,892,5,0,0,0,25,1288,22,605,644,3,0,0,0,14,NA,NA,NA,NA,NA,NA,NA,NA,2,2,157.80379655122445,218.92827126503406
51001000401,VA,001,401,1493,183,1015,280,3,3,0,6,3,1118,124,806,178,3,3,0,2,2,NA,NA,NA,NA,NA,NA,NA,NA,2,2,136.97565570207217,190.0324590639038
51001000402,VA,001,402,2017,101,1420,470,5,4,0,0,17,1535,66,1121,329,4,3,0,0,12,NA,NA,NA,NA,NA,NA,NA,NA,2,2,188.06586002028692,260.91218663961746
51001000501,VA,001,501,1245,307,273,652,0,0,0,0,13,886,210,216,453,0,0,0,0,7,NA,NA,NA,NA,NA,NA,NA,NA,2,2,108.55136936675844,150.5981741776554
51001000502,VA,001,502,2826,368,986,1444,6,6,0,0,16,2092,254,826,999,4,4,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,2,2,256.3086509201565,355.5884654397913
