GEOID,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,ai_an_nh,place,mcd,school,shd,ssd,cd_1990,cd_2000,ndv,nrv
54001000001,WV,001,1,730,5,717,0,1,0,0,0,7,526,1,518,0,1,0,0,0,6,NA,42244,92892,00030,40,14,1,1,208.99499165275458,269.58597662771285
54001000002,WV,001,2,1072,4,1061,3,1,0,0,0,3,805,1,800,2,1,0,0,0,1,NA,05788,92892,00030,40,14,1,1,319.8497495826377,412.5792988313856
54001000003,WV,001,3,531,7,522,0,0,1,0,0,1,399,6,391,0,0,1,0,0,1,NA,05788,92892,00030,40,14,1,1,158.53422370617696,204.4958263772955
54001000004,WV,001,4,805,2,785,0,2,0,1,0,15,601,2,585,0,2,0,1,0,11,NA,05788,92892,00030,40,14,1,1,238.79465776293821,308.025041736227
54001000005,WV,001,5,732,2,716,2,1,0,0,0,11,563,1,553,1,1,0,0,0,7,NA,05788,92892,00030,40,14,1,1,223.69616026711185,288.5492487479132
54001000006,WV,001,6,962,0,949,2,1,3,0,0,7,765,0,754,2,1,1,0,0,7,NA,05788,92892,00030,40,14,1,1,303.9565943238731,392.0784641068447
54001000007,WV,001,7,682,4,670,2,1,3,0,0,2,527,4,515,2,1,3,0,0,2,NA,NA,92892,00030,40,14,1,1,209.39232053422373,270.0984974958264
54001000008,WV,001,8,995,0,978,1,7,3,0,0,6,767,0,753,1,7,1,0,0,5,NA,63292,92328,00030,40,14,1,1,304.75125208681135,393.10350584307184
54001000009,WV,001,9,461,2,451,5,0,1,0,0,2,336,1,329,5,0,0,0,0,1,NA,63292,92328,00030,40,14,1,1,133.5025041736227,172.20701168614357
54001000010,WV,001,10,627,0,555,9,36,2,0,1,24,462,0,408,8,27,1,0,1,17,NA,63292,92328,00030,40,14,1,1,183.56594323873122,236.78464106844743
54001000011,WV,001,11,1193,11,1127,8,11,8,0,0,28,941,9,888,8,10,7,0,0,19,NA,63292,92328,00030,40,14,1,1,373.88647746243737,482.2821368948247
54001000012,WV,001,12,938,0,935,0,1,0,0,0,2,725,0,722,0,1,0,0,0,2,NA,NA,92328,00030,40,14,1,1,288.0634390651085,371.5776293823038
54001000013,WV,001,13,473,7,453,2,6,0,0,0,5,392,6,375,2,4,0,0,0,5,NA,NA,92328,00030,40,14,1,1,155.75292153589314,200.90818030050082
54001000014,WV,001,14,501,4,490,0,1,1,0,0,5,395,4,384,0,1,1,0,0,5,NA,NA,92328,00030,40,14,1,1,156.9449081803005,202.4457429048414
54001000015,WV,001,15,977,7,907,25,12,14,0,0,12,825,6,771,22,11,10,0,0,5,NA,63292,92328,00030,40,14,1,1,327.79632721202006,422.8297161936561
54001000016,WV,001,16,835,1,827,4,3,0,0,0,0,654,1,649,3,1,0,0,0,0,NA,NA,93588,00030,40,14,1,1,259.8530884808013,335.1886477462437
54001000017,WV,001,17,1246,6,1210,3,11,3,1,1,11,945,5,926,2,4,0,1,0,7,NA,63292,93588,00030,40,14,1,1,375.47579298831386,484.3322203672788
54001000018,WV,001,18,290,0,288,0,2,0,0,0,0,223,0,221,0,2,0,0,0,0,NA,NA,93588,00030,40,14,1,1,88.6043405676127,114.29215358931553
54001000019,WV,001,19,462,3,452,4,0,0,0,0,3,348,2,345,1,0,0,0,0,0,NA,NA,93588,00030,40,14,1,1,138.2704507512521,178.35726210350586
54001000020,WV,001,20,563,6,531,2,14,0,0,0,10,415,5,394,2,9,0,0,0,5,NA,63292,93588,00030,40,14,1,1,164.89148580968282,212.69616026711185
