GEOID,G18GOVRDUN,G18GOVDBEG,G18GOVLTOI,G18GOVIWAL,G18GOVOWRI,G18HALRYOU,G18HALDGAL,G18HALOWRI
020130001002132,0,0,0,0,0,0,0,0
020130001001015,0,0,0,0,0,0,0,0
020130001001276,0,0,0,0,0,0,0,0
020130001002165,0,0,0,0,0,0,0,0
020130001001120,0,0,0,0,0,0,0,0
020130001002078,0,0,0,0,0,0,0,0
020130001002214,0,0,0,0,0,0,0,0
020130001002166,0,0,0,0,0,0,0,0
020130001002167,0,0,0,0,0,0,0,0
020130001002037,0,0,0,0,0,0,0,0
020130001002253,0,0,0,0,0,0,0,0
020130001002309,0,0,0,0,0,0,0,0
020130001002113,0,0,0,0,0,0,0,0
020130001001009,0,0,0,0,0,0,0,0
020130001001202,0,0,0,0,0,0,0,0
020130001001038,0,0,0,0,0,0,0,0
020130001001005,0,0,0,0,0,0,0,0
020130001002316,0,0,0,0,0,0,0,0
020130001002182,0,0,0,0,0,0,0,0
020130001002328,0,0,0,0,0,0,0,0
020130001002033,0,0,0,0,0,0,0,0
020130001001406,0,0,0,0,0,0,0,0
020130001001399,0,0,0,0,0,0,0,0
020130001001444,0,0,0,0,0,0,0,0
020130001003130,0,0,0,0,0,0,0,0
020130001003177,0,0,0,0,0,0,0,0
020130001003229,0,0,0,0,0,0,0,0
020130001003035,0,0,0,0,0,0,0,0
020130001003040,0,0,0,0,0,0,0,0
020130001003101,0,0,0,0,0,0,0,0
020130001003102,0,0,0,0,0,0,0,0
020130001003111,0,0,0,0,0,0,0,0
020130001003191,0,0,0,0,0,0,0,0
020130001001394,0,0,0,0,0,0,0,0
020130001001093,0,0,0,0,0,0,0,0
020130001002068,0,0,0,0,0,0,0,0
020130001002046,0,0,0,0,0,0,0,0
020130001002228,0,0,0,0,0,0,0,0
020130001002400,0,0,0,0,0,0,0,0
020130001003244,0,0,0,0,0,0,0,0
020130001002071,0,0,0,0,0,0,0,0
020130001002285,0,0,0,0,0,0,0,0
020130001002108,0,0,0,0,0,0,0,0
020130001001425,0,0,0,0,0,0,0,0
020130001001296,0,0,0,0,0,0,0,0
020130001002217,0,0,0,0,0,0,0,0
020130001002257,0,0,0,0,0,0,0,0
020130001001189,0,0,0,0,0,0,0,0
020130001002208,0,0,0,0,0,0,0,0
020130001002196,0,0,0,0,0,0,0,0
020130001003041,0,0,0,0,0,0,0,0
020130001003048,0,0,0,0,0,0,0,0
020130001003068,0,0,0,0,0,0,0,0
020130001003049,0,0,0,0,0,0,0,0
020130001003054,0,0,0,0,0,0,0,0
020130001003037,0,0,0,0,0,0,0,0
020130001003005,0,0,0,0,0,0,0,0
020130001003098,0,0,0,0,0,0,0,0
020130001003107,0,0,0,0,0,0,0,0
020130001003189,0,0,0,0,0,0,0,0
020130001001453,0,0,0,0,0,0,0,0
020130001002101,0,0,0,0,0,0,0,0
020130001002077,0,0,0,0,0,0,0,0
020130001001261,0,0,0,0,0,0,0,0
020130001001061,0.6,0.7,0,0,0,0.5,0.5,0
020130001002016,0,0,0,0,0,0,0,0
020130001001014,0,0,0,0,0,0,0,0
020130001002047,0,0,0,0,0,0,0,0
020130001002102,0,0,0,0,0,0,0,0
020130001003017,0,0,0,0,0,0,0,0
020130001001205,0,0,0,0,0,0,0,0
020130001002057,0,0,0,0,0,0,0,0
020130001001145,0,0,0,0,0,0,0,0
020130001001177,0,0,0,0,0,0,0,0
020130001003176,0,0,0,0,0,0,0,0
020130001001048,0,0,0,0,0,0,0,0
020130001002241,0,0,0,0,0,0,0,0
020130001001370,0,0,0,0,0,0,0,0
020130001002031,0,0,0,0,0,0,0,0
020130001002121,0,0,0,0,0,0,0,0
020130001001162,0,0,0,0,0,0,0,0
