GEOID,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREGHAW,G20PREOWRI
090012102003001,6.1,3.4,0,0,0
090012104003013,0,0,0,0,0
090012104003019,0,0,0,0,0
090012104003023,14.3,7.9,0.1,0.1,0
090012104001014,37.9,22.1,0.3,0.3,0
090010451022001,0,0,0,0,0
090010452001004,0,0,0,0,0
090010451022008,7.6,3.7,0.2,0,0
090010452001007,29.6,15,0.7,0.2,0
090010453002002,65.4,33,1.7,0.4,0
090010452001018,78.4,39.6,2,0.5,0
090010452002014,0,0,0,0,0
090010453001015,33.9,17.1,0.9,0.2,0
090010451023007,41.9,21.2,0.7,0.3,0
090010729003015,0,0,0,0,0
090010706001084,19.4,3.7,0,0.1,0
090010727001009,0,0,0,0,0
090010734001020,0,0,0,0,0
090010728002011,0,0,0,0,0
090010725001001,22.9,10,0.2,0.1,0.1
090010734001025,2.5,0.6,0,0,0
090010734001016,0,0,0,0,0
090010720001004,5.5,1.6,0,0,0
090010706001004,0,0,0,0,0
090010721003012,88.4,26.6,0.7,0.4,0.1
090010703001060,0,0,0,0,0
090010704001021,0,0,0,0,0
090010710001009,0,0,0,0,0
090010710001057,0,0,0,0,0
090010743004009,0,0,0,0,0
090010744004003,0,0,0,0,0
090010740001029,0,0,0,0,0
090010722002009,28.3,10.1,0.1,0.2,0
090010721003004,13,3.9,0.1,0.1,0
090010726005004,73.7,32.1,0.6,0.5,0.2
090012052002003,0,0,0,0,0
090012052002015,27.7,25.8,0.6,0.2,0
090012052002021,21.4,19.9,0.4,0.1,0
090012051001002,0,0,0,0,0
090012051001014,15.5,15.7,0.3,0.1,0
090012051003004,7.3,7.4,0.1,0.1,0
090012051003003,7.3,7.4,0.1,0.1,0
090012051003011,18,18.3,0.4,0.2,0
090012051003012,3,3,0.1,0,0
090012051002021,9.4,9.6,0.2,0.1,0
090012051003016,12.9,13.1,0.3,0.1,0
090012053003020,38.6,39.2,0.8,0.4,0
090012051001001,0,0,0,0,0
090012052003004,9.8,9.1,0.2,0.1,0
090012052003000,118.3,110.1,2.4,0.7,0.1
090012051001017,22.8,23.1,0.5,0.2,0
090012052003009,32.6,30.3,0.7,0.2,0
090012052003013,17.4,16.2,0.4,0.1,0
090012053002005,0.9,0.8,0,0,0
090012053001009,11.6,10.8,0.2,0.1,0
090012053002039,0,0,0,0,0
090012053002018,10.7,10.9,0.2,0.1,0
090012053002017,0,0,0,0,0
090012053002009,7.7,7.8,0.2,0.1,0
090012052002023,0,0,0,0,0
090012053001012,38.8,36.2,0.8,0.2,0
090012052001021,4.9,4.6,0.1,0,0
090012052001027,5.4,5,0.1,0,0
090012112001018,25.5,23.8,0.4,0.1,0
090012105003001,0,0,0,0,0
090012107013003,49.7,33,0.8,0.2,0
090012109003004,31.1,24.7,0.8,0.1,0
090012107022014,3.3,2.6,0,0,0
090012107021002,27.6,10.3,0.2,0.1,0
090012105004000,0,0,0,0,0
090012113002003,6.2,5,0.1,0,0
090012113001007,5.9,4.7,0.1,0,0
090012113003012,13.7,11,0.2,0.1,0
090012112002000,43.2,29.1,0.6,0.3,0
090012112003004,24.1,16.2,0.4,0.2,0
090012105001001,20.3,11.6,0.2,0.1,0
090012104004011,17.3,9.6,0.1,0.1,0
090012104004005,8.7,4.8,0.1,0.1,0
090012114003002,0,0,0,0,0
090012114003006,0,0,0,0,0
090012114003040,0,0,0,0,0
090012114003038,2.3,1.8,0,0,0
090012104001003,0,0,0,0,0
090012105001005,0,0,0,0,0
090012105002016,44.3,26.5,0.6,0.5,0
090012105002025,60.8,36.4,0.8,0.7,0
090012110001007,14.7,13.7,0.2,0.1,0
090012113003011,0,0,0,0,0
090012108001009,33.4,22.1,0.5,0.1,0
090012108001020,0,0,0,0,0
090012109001012,1.2,0.9,0,0,0
090012110003011,16.3,13,0.4,0.1,0
090012102001013,0,0,0,0,0
090012108003003,0,0,0,0,0
090012111001000,39.9,28.7,0.8,0.1,0
090012112001012,0,0,0,0,0
090012110001012,0.7,0.7,0,0,0
090012114001009,0,0,0,0,0
090012104001005,0,0,0,0,0
090010303003016,0,0,0,0,0
090010303001024,2.1,1.4,0.1,0,0
090010303003032,1.8,1.1,0,0,0
090010303003025,4.2,2.8,0.1,0,0
090010303003046,1.2,0.7,0,0,0
090010303003047,1.6,1.1,0,0,0
090010301002031,22.4,13.7,0.5,0.1,0
090010301001053,8.5,5.5,0.2,0,0
090011052002003,13.5,10.6,0.2,0.1,0
090011052001004,0,0,0,0,0
090011052002011,0,0,0,0,0
090011052002034,53.9,42.2,0.9,0.4,0.1
090011051002045,12.9,10.2,0.2,0.1,0
090011051002036,1,0.8,0,0,0
090011051002030,2.1,1.6,0,0,0
090011051002038,3.6,2.8,0.1,0,0
090011051002014,8.8,6.9,0.1,0.1,0
090010616001031,0,0,0,0,0
090010607002014,14.1,7.4,0.2,0,0
090010616001007,25.5,12.6,0.5,0.2,0
090010616003010,23.8,11.8,0.4,0.1,0
090010607002005,11.1,5.8,0.2,0,0
090010607002023,0,0,0,0,0
090010616001008,7.3,3.5,0.1,0,0
090010607002029,0,0,0,0,0
090010615003010,8.6,4.5,0.1,0,0
090010616001003,0,0,0,0,0
090010614001027,5.2,2.9,0.1,0,0
090010614001038,0,0,0,0,0
090010616001038,21.2,10.3,0.4,0.1,0
090010616002004,44.1,21.5,0.8,0.2,0
090010616002006,23.5,11.4,0.4,0.1,0
090010616002007,29.6,14.4,0.5,0.2,0
090010615004015,31.3,15.2,0.6,0.2,0
090010616002008,30.2,14.7,0.5,0.2,0
090010615001019,0,0,0,0,0
090010615001021,11.4,5.7,0.2,0,0
090010614001047,0,0,0,0,0
090010611004005,33.7,13.9,0.5,0.2,0
090010611001008,0,0,0,0,0
090010611002008,17.5,7.2,0.3,0.1,0
090010610003019,45.7,27.7,0.6,0.3,0
090010609001004,25.9,15.7,0.3,0.2,0
090010609002008,26.9,15.6,0.5,0.1,0
090010609002005,20.5,11.9,0.4,0.1,0
090010609001013,10.8,6.2,0.2,0.1,0
090010609001002,18.3,10.6,0.3,0.1,0
090010608001008,32.6,16.2,0.5,0.1,0
090010602001016,8.1,4.7,0.1,0,0
090010605001048,27.9,13.8,0.5,0.2,0
090010606002000,19,9.4,0.4,0.1,0
090010608001006,19.3,9.6,0.3,0.1,0
090010606002019,2.4,1.2,0,0,0
090010605001014,9.2,4.8,0.1,0,0
090010605001035,9.5,4.7,0.2,0.1,0
090010101014044,0,0,0,0,0
090010101023020,3.4,2.4,0.1,0,0
090010101021004,5.3,3.8,0.1,0,0
090010101022000,0,0,0,0,0
090010101023046,0,0,0,0,0
090010101021034,1.1,0.7,0,0,0
090010101012011,0,0,0,0,0
090010113002017,0,0,0,0,0
090010113001032,1,0.6,0,0,0
090010102013017,11.5,6.9,0.2,0,0
090010108001004,45.6,29.9,3.6,0.1,0
090010112001014,0,0,0,0,0
090010112001055,5,3.1,0.1,0,0
090010109003007,1,0.7,0,0,0
090010109004011,0,0,0,0,0
090010111004014,0,0,0,0,0
090010111003003,0,0,0,0,0
090012305012002,24.5,19.2,0.4,0.2,0
090012305011000,0,0,0,0,0
090012301003039,13.9,10.1,0.3,0.1,0
090012305021002,41.4,33.1,1.1,0.4,0.1
090012305022069,43.3,33.9,0.8,0.3,0
090012305022047,0,0,0,0,0
090012305022049,0,0,0,0,0
090012303003013,0,0,0,0,0
090012456001028,53.8,32,1.2,0,0
090012453001010,0,0,0,0,0
090012454002019,24.6,13.1,0.5,0.2,0
090012454002034,1.2,0.7,0,0,0
090012451001009,1.2,0.7,0,0,0
090012455002006,1.8,1,0,0,0
090012456002001,50.7,27.6,1,0.3,0
090012456003001,0,0,0,0,0
090012452001016,76.2,44.4,1.5,0.4,0.1
090012453001023,12.1,6.6,0.2,0.1,0
090012456004005,1.8,1,0,0,0
090012456002011,0.6,0.3,0,0,0
090012452002012,0,0,0,0,0
