GEOID,G18DELDNOR,G18DELRRIM,G18DELLMAJ,G18DELGSTR,G18DELICHE,G18DELOWRI,G18MAYDBOW,G18MAYLMOU,G18MAYGWIL,G18MAYICAN,G18MAYOWRI,G18ATGDRAC,G18ATGLHEN,G18ATGOWRI,G18CHADMEN,G18CHALBIS,G18CHAOWRI,G18COUDBON,G18COURCHI,G18COUGSCH,G18COUIREE,G18COUISIL,G18COUILEW,G18COUOWRI,G18HALDGAR,G18HALOWRI,G18USSDBRO,G18USSGORY,G18USSOWRI
110010104001019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110010073011041,0.9,0,0,0,0,0,0.8,0,0.1,0.1,0,0.9,0,0,0.9,0.1,0,0.8,0,0.1,0.3,0.2,0,0,0.9,0,0.9,0.1,0
110010098031002,14.6,0.1,0.2,0.3,0.4,0.1,12.2,0.4,1,1.2,0.7,14.8,0.5,0.1,14.4,0.8,0.2,12.8,0.3,1.6,4.7,1.8,0.5,0.3,14.4,0.3,14.1,1.1,0.1
110010098033004,30.3,0.3,0.4,0.7,0.8,0.2,25.5,0.8,2.1,2.5,1.4,30.7,1,0.1,30,1.6,0.4,26.7,0.6,3.3,9.8,3.8,1.1,0.5,30,0.6,29.3,2.4,0.3
110010098071009,11.4,0.1,0.1,0.3,0.3,0.1,9.6,0.3,0.8,1,0.5,11.6,0.4,0,11.3,0.6,0.2,10.1,0.2,1.2,3.7,1.4,0.4,0.2,11.3,0.2,11,0.9,0.1
110010098031004,43.7,0.4,0.5,1,1.1,0.2,36.7,1.2,3.1,3.6,2,44.3,1.5,0.2,43.2,2.3,0.6,38.5,0.8,4.7,14.1,5.4,1.5,0.8,43.2,0.8,42.2,3.4,0.4
110010073011114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110010062021004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110010098071014,31.1,0.3,0.4,0.7,0.8,0.2,26.1,0.9,2.2,2.6,1.4,31.5,1.1,0.1,30.8,1.7,0.4,27.4,0.6,3.4,10.1,3.9,1.1,0.5,30.7,0.6,30,2.5,0.3
110010098072002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
