GEOID,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREGHAW,G20PREILAR,G20PREIPIE,G20PREOWRI,G20DELDNOR,G20DELLHYN,G20DELGSTR,G20DELSMUS,G20DELIFRA,G20DELIKRU,G20DELILOW,G20DELICHE,G20DELOWRI,G20COUDWHI,G20COURPIC,G20COULBIS,G20COUGWIL,G20COUIHEN,G20COUIORA,G20COUILAZ,G20COUIGOO,G20COUIBAT,G20COUIPAL,G20COUIGAR,G20COUILEW,G20COUIJAY,G20COUIBAR,G20COUIHOW,G20COUIMER,G20COUIHE2,G20COUIPAD,G20COUIGUR,G20COUISCR,G20COUISIL,G20COUICRI,G20COUIMUR,G20COUIROG,G20COUOWRI,G20USSDSTR,G20USSRWEI,G20USSGORY,G20USSOWRI,G20HALDOWO,G20HALGROB,G20HALISYE,G20HALOWRI
110010104001019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110010073011041,1.7,0.1,0,0,0,0,0,1.5,0.1,0,0,0,0,0,0,0,0.8,0.1,0,0,0.2,0.6,0,0.3,0.2,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,1.4,0.1,0.1,0,1.4,0.2,0.1,0
110010098031002,25.6,0.6,0,0.1,0.1,0.1,0.2,24.2,0.2,0.1,0.3,0.4,0.1,0.3,0.3,0.1,13.1,0.5,0.1,0.6,3,10,0.9,3.1,2.4,0.3,0.4,0.5,0.1,0.5,0.7,0.1,0.4,0.1,0.5,0.4,0.3,0.1,0.3,0.2,0.1,21.6,1,2.5,0.1,20.7,3.3,0.7,0.2
110010098033004,53.3,1.2,0.1,0.3,0.2,0.3,0.4,50.4,0.5,0.3,0.7,0.8,0.3,0.7,0.6,0.2,27.3,1,0.3,1.2,6.3,20.8,1.9,6.5,5,0.6,0.9,1,0.2,1,1.5,0.3,0.8,0.2,1.1,0.9,0.6,0.2,0.6,0.4,0.3,44.9,2,5.1,0.3,43,6.9,1.5,0.3
110010098071009,20.1,0.5,0,0.1,0.1,0.1,0.1,19,0.2,0.1,0.3,0.3,0.1,0.3,0.2,0.1,10.3,0.4,0.1,0.4,2.4,7.8,0.7,2.4,1.9,0.2,0.3,0.4,0.1,0.4,0.6,0.1,0.3,0.1,0.4,0.3,0.2,0.1,0.2,0.1,0.1,16.9,0.8,1.9,0.1,16.2,2.6,0.6,0.1
110010098031004,76.9,1.8,0.1,0.4,0.2,0.4,0.6,72.6,0.7,0.4,1,1.2,0.4,1,0.8,0.2,39.3,1.4,0.4,1.7,9,30,2.8,9.4,7.2,0.9,1.3,1.4,0.2,1.4,2.1,0.4,1.1,0.2,1.6,1.3,0.8,0.3,0.9,0.6,0.4,64.7,2.9,7.4,0.4,62,9.9,2.2,0.5
110010073011114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110010062021004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110010098071014,54.7,1.3,0.1,0.3,0.2,0.3,0.4,51.7,0.5,0.3,0.7,0.8,0.3,0.7,0.6,0.2,28,1,0.3,1.2,6.4,21.4,2,6.7,5.1,0.6,0.9,1,0.2,1,1.5,0.3,0.8,0.2,1.1,0.9,0.6,0.2,0.6,0.4,0.3,46,2.1,5.3,0.3,44.1,7,1.6,0.3
110010098072002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110010109001001,93.5,3.8,0.2,0.4,0.5,0.6,0.5,86.7,0.9,1.2,1.7,2,0.5,1.4,0.9,0.4,47,2.5,0.5,2.5,12.6,34.4,2.8,11.3,7,1,2.3,1.6,0.3,1.5,3.1,0.6,1.8,0.3,1.6,1.9,1.2,0.3,1,0.7,0.9,79.9,4.1,7.5,0.6,76.9,10.1,3.7,0.6
