GEOID,G16PREDCLI,G16PRERTRU,G16PREGSTE,G16PRELJOH,G16HALDROC,G16HALRREI,G16HALGPER,G16HALLGES,G16GOVDCAR,G16GOVRBON,G16GOVGGRO,G16GOVLGOW,G16LTGDHAL,G16LTGRGUN,G16INSDNAV,G16INSRCRA
100010411001014,16.6,9.7,0.8,2.3,16.5,9.7,0.8,0.9,16.7,10.2,0.4,0.7,16.2,11.4,16.7,10
100010411001007,9.9,5.8,0.5,1.4,9.8,5.8,0.5,0.5,10,6.1,0.3,0.4,9.7,6.8,10,6
100010411001018,2.2,1.3,0.1,0.3,2.2,1.3,0.1,0.1,2.2,1.4,0.1,0.1,2.2,1.5,2.2,1.3
100010432021103,1.8,3.6,0,0.3,1.8,3.4,0.1,0.1,1.9,3.4,0.1,0.1,2.3,3.1,1.9,3.5
100010409001039,10.1,6.7,0.4,1.1,9.4,7.3,0.4,0.3,10.3,7.3,0.3,0.1,11.1,6.2,10,7.1
100010409001032,2.6,1.7,0.1,0.3,2.4,1.9,0.1,0.1,2.6,1.9,0.1,0,2.8,1.6,2.5,1.8
100010410002045,5.7,3.1,0.2,0.4,5.7,2.8,0.2,0.2,5.7,3.1,0.1,0.1,5.6,3.2,5.9,2.8
100010414002012,12.2,3.6,0.2,0.6,12,3.6,0.2,0.1,12.2,3.5,0.2,0.1,11.4,4.3,11.8,3.6
100010407003015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100010416001028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100010413001092,1.8,1.1,0.1,0.1,1.7,1.1,0.1,0.1,1.8,1.2,0.1,0,1.9,1.1,1.8,1.1
100010419001016,20.6,59,1.3,3.1,24.2,52.4,2.1,1.8,29,50.8,1,1.1,34.2,45.6,25.4,53.6
100010419001043,0.4,1.2,0,0.1,0.5,1.1,0,0,0.6,1.1,0,0,0.7,0.9,0.5,1.1
100010409001016,3.2,2.1,0.1,0.3,3,2.3,0.1,0.1,3.2,2.3,0.1,0,3.5,1.9,3.1,2.2
100010422012004,1.8,2.3,0,0.2,1.8,2.3,0.1,0.1,1.9,2.3,0,0,2,2.1,1.8,2.3
100010421002077,19,34.3,1.2,2.6,18.8,33.8,1.8,0.7,22.1,33.7,0.3,0.7,25.4,29.6,22.3,32.1
100010422013004,4.8,6.1,0.1,0.4,4.6,6.1,0.1,0.2,5,5.9,0.1,0.1,5.4,5.4,4.8,5.8
100010421002053,1.1,1.5,0,0.1,1,1.4,0.1,0,1.1,1.5,0,0,1.2,1.3,1.1,1.5
100010422013017,6.7,8.6,0.2,0.6,6.5,8.6,0.2,0.2,7,8.4,0.2,0.2,7.6,7.7,6.8,8.2
100010422012032,8.4,10.8,0.3,0.8,8.2,10.7,0.2,0.3,8.7,10.5,0.2,0.2,9.5,9.6,8.6,10.3
100010422012017,4.8,5.9,0.1,0.4,4.6,5.9,0.2,0.2,4.8,6,0.1,0.1,5.3,5.5,4.8,5.9
100010422021036,41.8,48.3,1.2,4.7,42,48.5,1.2,1.4,43.3,50,0.4,1.1,44.4,48.9,43.2,49.1
100010422013034,1.7,1.8,0.1,0.2,1.6,1.8,0,0.1,1.8,1.8,0,0,1.7,1.9,1.8,1.8
100010422022033,9.5,15.6,0.3,1.3,9.7,15.4,0.5,0.2,10.2,15.8,0.2,0.2,11.7,13.7,10.3,15.1
100010422022020,1.5,2.5,0,0.2,1.6,2.5,0.1,0,1.7,2.6,0,0,1.9,2.2,1.7,2.5
100010422011033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100010422011061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100010422011094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100010421002025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100010421001061,10.4,14.8,0.3,1,10.3,13.8,0.3,0.6,12.2,13.2,0.3,0.2,10.8,14,10.8,14
100010422012027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100010420002046,4,7.7,0.2,0.4,4.2,7.2,0.2,0.2,4.7,7,0.2,0.1,5.1,6.6,4.3,7.4
100010421002060,11.5,20.8,0.7,1.6,11.4,20.5,1.1,0.4,13.4,20.5,0.2,0.4,15.4,17.9,13.5,19.5
100010421002048,1.3,1.9,0,0.1,1.3,1.8,0.1,0,1.4,1.8,0,0,1.5,1.6,1.4,1.8
100010422022079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100010417012039,23.3,23.1,0.7,2.1,22.1,22.2,1,0.9,24.1,22,0.5,0.7,24.4,21.8,23.7,21.5
100010417012071,68.4,98.6,2.4,5.6,64.9,91.9,4,1.9,72.3,93.8,1.9,1.3,79.2,84.5,69.7,93.3
100010411002051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100010405011042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100010418011120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100010410002081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100010414001058,12.1,9.4,0.3,1,11.7,9.8,0.2,0.3,12.1,9.9,0.1,0.2,12.8,9.4,12.3,9.4
100010411001006,20.9,12.1,1.1,2.9,20.7,12.1,1,1.1,21,12.8,0.6,0.9,20.4,14.3,20.9,12.6
100010418011108,1.7,2.7,0,0.1,1.6,2.7,0.1,0,1.9,2.5,0.1,0,2.1,2.3,1.8,2.5
100010405011073,11.2,3.4,0.4,0.6,10.9,3.2,0.5,0.4,10.9,3.7,0.3,0.2,10.1,4.6,10.9,3.7
100010405022007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100010405011079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100010433001036,13.3,5,0.4,1.4,12.1,6.2,0.7,0.6,12.3,6,0.3,0.8,13,6.1,13.5,5.6
100010433001004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100010405012033,23.2,7.7,0.5,0.7,21.7,7.4,0.7,0.4,21.9,7.7,0.5,0.5,20.4,9.5,22,7.6
100010433002009,17.4,9.8,0.5,1.4,16.1,10.1,0.7,0.3,16.5,10.7,0.5,0.2,16.9,10.4,16.8,9.9
100010433003001,2.7,1,0.1,0.2,2.7,1.1,0,0,2.9,1,0,0,2.7,1.2,2.8,1.1
