GEOID,G16PREDCli,G16PRERTru,G16PREGSte,G16PRELJoh,G16PRECCas,G16USSDSch,G16USSRCar,G16USSAGiu,G16USSLKok,G16USSCAll
150010202021065,0,0,0,0,0,0,0,0,0,0
150010202021186,0,0,0,0,0,0,0,0,0,0
150010203001021,19.7,6.5,1.1,1.1,0.3,22.6,4.3,0.2,0.5,0.5
150010208011028,0,0,0,0,0,0,0,0,0,0
150010206004063,0,0,0,0,0,0,0,0,0,0
150010202022035,5.1,1.6,0.4,0.2,0.1,5.5,1.1,0.1,0.1,0.3
150010202022040,5.4,1.7,0.4,0.2,0.1,5.8,1.2,0.1,0.1,0.3
150010202021123,0,0,0,0,0,0,0,0,0,0
150010206002066,0,0,0,0,0,0,0,0,0,0
150010206002059,0,0,0,0,0,0,0,0,0,0
150010205004002,28.3,8.9,1.8,2.3,0.8,31.3,6.5,0.1,1,1.9
150010208011009,0,0,0,0,0,0,0,0,0,0
150010212021200,2.8,0.7,0,0,0,3.1,0.3,0,0.1,0.1
150010212021213,0.3,0.1,0,0,0,0.3,0,0,0,0
150010212021382,0,0,0,0,0,0,0,0,0,0
150010212021212,0,0,0,0,0,0,0,0,0,0
150010212021192,0.3,0.1,0,0,0,0.3,0,0,0,0
150010212021015,0,0,0,0,0,0,0,0,0,0
150010212021386,0,0,0,0,0,0,0,0,0,0
150010212021030,0,0,0,0,0,0,0,0,0,0
150010212021385,0,0,0,0,0,0,0,0,0,0
150010212021026,0,0,0,0,0,0,0,0,0,0
150010212021116,0,0,0,0,0,0,0,0,0,0
150010221021114,0,0,0,0,0,0,0,0,0,0
150010221022037,4.5,1.2,0.2,0.2,0.1,4.8,0.8,0,0.1,0.1
150010221022035,5.5,1.5,0.3,0.3,0.1,6,1,0,0.2,0.2
150010221022032,6.9,1.9,0.3,0.4,0.1,7.5,1.3,0,0.2,0.2
150010221021168,0,0,0,0,0,0,0,0,0,0
150010221021523,0,0,0,0,0,0,0,0,0,0
150010221021197,0,0,0,0,0,0,0,0,0,0
150010221021205,1.4,0.4,0.1,0.1,0,1.5,0.3,0,0,0
150010221021178,0,0,0,0,0,0,0,0,0,0
150010221021349,0,0,0,0,0,0,0,0,0,0
150010216015009,21.4,14.8,1.4,1.9,0.4,23.5,12.6,0.2,1.1,1.3
150010216041007,1,0.7,0.1,0.1,0,1.1,0.6,0,0.1,0.1
150010215093014,3.3,1.3,0.2,0.2,0,3.6,1.1,0,0.1,0.2
150010215073009,12.6,8.1,0.8,1,0.3,15.2,5.6,0.1,0.5,0.6
150010215071033,0,0,0,0,0,0,0,0,0,0
150010215071021,0,0,0,0,0,0,0,0,0,0
150010215071066,0,0,0,0,0,0,0,0,0,0
150010215071071,0,0,0,0,0,0,0,0,0,0
150010215071139,0,0,0,0,0,0,0,0,0,0
150010215071024,0,0,0,0,0,0,0,0,0,0
150010215042114,0,0,0,0,0,0,0,0,0,0
150010215092015,9.5,7.1,0.5,0.6,0.1,10.2,6.1,0.1,0.4,0.4
150010216044015,4,2.9,0.2,0.3,0,4.3,2.5,0,0.2,0.2
150010215022044,0,0,0,0,0,0,0,0,0,0
150010215073019,12.6,8.1,0.8,1,0.3,15.2,5.6,0.1,0.5,0.6
150010201004002,0.3,0.1,0,0,0,0.4,0.1,0,0,0
150010201004035,2.8,1,0.1,0.2,0,3.1,0.6,0,0.1,0.1
150010201001344,0,0,0,0,0,0,0,0,0,0
150010201001359,9.3,3.3,0.5,0.6,0.1,10.6,2.1,0.1,0.3,0.3
150010201001367,0,0,0,0,0,0,0,0,0,0
150010201001078,0,0,0,0,0,0,0,0,0,0
150010201001098,0.9,0.3,0.1,0,0,1,0.2,0,0,0
150010201002073,0,0,0,0,0,0,0,0,0,0
150010201003098,0,0,0,0,0,0,0,0,0,0
150010201003039,0,0,0,0,0,0,0,0,0,0
150010201001068,0,0,0,0,0,0,0,0,0,0
150010201001110,1.6,0.5,0.1,0.1,0,1.7,0.4,0,0,0
150010201001129,0,0,0,0,0,0,0,0,0,0
150010201003117,8.7,2.9,0.5,0.4,0.2,9.7,2,0.1,0.2,0.2
150010201003009,12.5,4.2,0.7,0.6,0.2,13.8,2.9,0.1,0.3,0.3
150010201003124,14.3,4.8,0.8,0.7,0.3,15.9,3.4,0.1,0.3,0.4
150010209002002,29.1,10.3,1.1,1.6,0.6,34.6,6,0.1,0.5,0.8
150010209002008,10.2,3.6,0.4,0.6,0.2,12.1,2.1,0,0.2,0.3
150010209003008,30.9,10.9,1.2,1.7,0.6,36.7,6.4,0.1,0.6,0.8
150010203002002,0,0,0,0,0,0,0,0,0,0
150010208021009,15.7,5.2,0.8,0.9,0.3,18,3.4,0.1,0.4,0.4
150010206002055,0.7,0.2,0,0,0,0.8,0.1,0,0,0
150010206002006,0,0,0,0,0,0,0,0,0,0
150010207011019,57.6,18.9,2.1,3.6,1.1,67.9,11.5,0.1,0.9,1.1
150010205004015,0,0,0,0,0,0,0,0,0,0
150010209001004,0,0,0,0,0,0,0,0,0,0
150010204003002,16.8,5,1.1,0.7,0.3,18.5,3.3,0.1,0.4,0.7
150010205005018,26.2,7.7,1.8,1.1,0.5,29,5.2,0.2,0.7,1.1
150010205003012,6.8,2,0.5,0.3,0.1,7.5,1.3,0.1,0.2,0.3
150010205002001,0,0,0,0,0,0,0,0,0,0
150010204002011,0,0,0,0,0,0,0,0,0,0
150010204003006,9.4,2.8,0.6,0.4,0.2,10.4,1.9,0.1,0.2,0.4
150010212021019,0,0,0,0,0,0,0,0,0,0
150010212021012,1.9,0.4,0,0,0,2,0.2,0,0,0.1
150010212021125,0,0,0,0,0,0,0,0,0,0
150010212021131,0,0,0,0,0,0,0,0,0,0
150010212023147,6.8,2.7,0.6,0.4,0.2,7.8,2.1,0.1,0.3,0.2
150010212022641,0.7,0.5,0.1,0,0,0.8,0.4,0,0.1,0.1
150010212022646,0,0,0,0,0,0,0,0,0,0
150010212022443,1.1,0.8,0.1,0.1,0,1.2,0.6,0,0.1,0.1
150010212022486,0.9,0.7,0.1,0.1,0,1,0.5,0,0.1,0.1
150010212022496,0.7,0.5,0.1,0,0,0.8,0.4,0,0.1,0.1
150010212022671,0.4,0.3,0,0,0,0.4,0.2,0,0,0
150010212022647,0.4,0.3,0,0,0,0.4,0.2,0,0,0
150010212022670,2.5,1.8,0.3,0.1,0,2.8,1.3,0,0.2,0.2
150010212022483,1.4,1,0.2,0.1,0,1.6,0.8,0,0.1,0.1
150010212022614,0,0,0,0,0,0,0,0,0,0
150010212022666,0.2,0.1,0,0,0,0.2,0.1,0,0,0
150010212022665,1.1,0.8,0.1,0.1,0,1.2,0.6,0,0.1,0.1
150010212022618,0,0,0,0,0,0,0,0,0,0
150010212022445,1.6,1.2,0.2,0.1,0,1.8,0.9,0,0.1,0.1
150010212022406,0,0,0,0,0,0,0,0,0,0
150010210101007,17,7.9,1.6,1.1,0.5,19.9,5.3,0.2,0.8,1
150010210101107,3.4,1,0.3,0.1,0,3.6,0.8,0,0.2,0.1
150010210102049,14.8,5.7,1.2,1,0.3,16.9,4.1,0.1,0.5,0.6
150010210111009,0.5,0.2,0,0,0,0.6,0.1,0,0,0
150010210111050,0,0,0,0,0,0,0,0,0,0
150010210111014,0,0,0,0,0,0,0,0,0,0
150010210111039,0,0,0,0,0,0,0,0,0,0
150010210112018,0,0,0,0,0,0,0,0,0,0
150010210111078,0,0,0,0,0,0,0,0,0,0
150010210111004,2.1,1,0.2,0.1,0.1,2.5,0.7,0,0.1,0.1
150010210102086,0.5,0.2,0,0,0,0.6,0.1,0,0,0
150010210112032,0,0,0,0,0,0,0,0,0,0
150010210112014,40.4,18.8,3.8,2.7,1.3,47.2,12.7,0.5,1.8,2.4
150010210103056,8.8,3.3,0.7,0.6,0.2,10,2.4,0.1,0.3,0.4
150010215071144,38.3,23.4,2.8,2.5,0.9,43.9,17.8,0.4,1.4,1.9
150010216013001,4.4,3,0.3,0.2,0.1,5.1,2.3,0,0.1,0.1
150010215021044,70.3,47.7,4.2,6.5,0.8,82,39.8,0.3,2.4,3.2
150010215041005,33.2,21.3,2.1,2.6,0.7,40.1,14.7,0.2,1.4,1.6
150010215022032,0,0,0,0,0,0,0,0,0,0
150010216044031,0,0,0,0,0,0,0,0,0,0
150010216044017,29.1,21.6,1.4,2,0.3,31.3,18.6,0.2,1.2,1.3
150010215022018,44.2,17.9,2.1,2.4,0.6,48.2,14.3,0.1,0.8,2.3
150010215092012,15.1,11.2,0.7,1,0.2,16.2,9.7,0.1,0.6,0.7
150010216044021,12.7,9.4,0.6,0.9,0.1,13.6,8.1,0.1,0.5,0.6
150010216045003,11.6,8.6,0.6,0.8,0.1,12.5,7.5,0.1,0.5,0.5
150010211011064,0.7,0.2,0.1,0,0,0.8,0.2,0,0,0.1
150010211061034,2.3,0.8,0.4,0.1,0,2.7,0.5,0,0.1,0.2
150010211061018,4.1,1.4,0.7,0.2,0.1,4.8,0.9,0,0.2,0.3
150010211061005,2.1,0.7,0.4,0.1,0,2.4,0.5,0,0.1,0.2
150010211064138,3.7,1.3,0.5,0.2,0,4.1,0.9,0,0.2,0.2
150010211064008,10.9,3.8,1.5,0.6,0.1,12,2.5,0.1,0.5,0.7
150010211061040,7.4,3.2,0.7,0.5,0.2,8.7,2.2,0,0.3,0.5
150010211061060,0,0,0,0,0,0,0,0,0,0
150010211011023,17.2,5.9,2.4,0.9,0.2,18.9,4,0.2,0.8,1.1
150010211012045,0,0,0,0,0,0,0,0,0,0
150010211011065,0,0,0,0,0,0,0,0,0,0
150010211012001,14,4.8,2,0.7,0.2,15.4,3.3,0.2,0.7,0.9
150010211064052,0.3,0.1,0,0,0,0.3,0.1,0,0,0
150010211012020,4.7,1.6,0.7,0.2,0.1,5.1,1.1,0.1,0.2,0.3
150010211061036,0,0,0,0,0,0,0,0,0,0
150010211063051,4.7,2.1,0.5,0.3,0.1,5.5,1.4,0,0.2,0.3
150010211062007,2.2,1,0.2,0.1,0.1,2.6,0.7,0,0.1,0.1
150010211063018,0,0,0,0,0,0,0,0,0,0
150010213002047,1.6,0.6,0.1,0.1,0,1.9,0.3,0,0.1,0.1
150010213001070,3.7,1.4,0.4,0.2,0.1,4.4,0.8,0.1,0.1,0.2
150010213001081,1.5,0.6,0.2,0.1,0,1.8,0.4,0,0.1,0.1
150010213001157,0,0,0,0,0,0,0,0,0,0
150010214021073,0,0,0,0,0,0,0,0,0,0
150010214021021,0,0,0,0,0,0,0,0,0,0
150010214021026,2.1,0.7,0.1,0.1,0,2.3,0.6,0,0.1,0.1
150010214021069,0,0,0,0,0,0,0,0,0,0
150010214022010,0,0,0,0,0,0,0,0,0,0
150010214021038,0,0,0,0,0,0,0,0,0,0
150010214021059,0,0,0,0,0,0,0,0,0,0
150010214021049,0,0,0,0,0,0,0,0,0,0
150010214021081,0,0,0,0,0,0,0,0,0,0
150010213001110,0.6,0.2,0.1,0,0,0.7,0.1,0,0,0
150010213001016,0,0,0,0,0,0,0,0,0,0
