GEOID,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREGHAW,G20PRECBLA,G20PREOPIE
150010202021065,0,0,0,0,0,0
150010202021186,0,0,0,0,0,0
150010203001021,25.9,8.8,0.3,0.3,0,0.1
150010208011028,0,0,0,0,0,0
150010206004063,0,0,0,0,0,0
150010202022035,6.9,2.4,0.2,0.1,0,0
150010202022040,7.2,2.5,0.2,0.1,0,0
150010202021123,0,0,0,0,0,0
150010206002066,0,0,0,0,0,0
150010206002059,0,0,0,0,0,0
150010205004002,36.4,16.8,0.7,0.6,0.1,0.2
150010208011009,0,0,0,0,0,0
150010212021200,3,1.3,0,0,0,0
150010212021213,0.3,0.1,0,0,0,0
150010212021382,0,0,0,0,0,0
150010212021212,0,0,0,0,0,0
150010212021192,0.3,0.1,0,0,0,0
150010212021015,0,0,0,0,0,0
150010212021386,0,0,0,0,0,0
150010212021030,0,0,0,0,0,0
150010212021385,0,0,0,0,0,0
150010212021026,0,0,0,0,0,0
150010212021116,0,0,0,0,0,0
150010221021114,0,0,0,0,0,0
150010221022037,5.9,2.1,0.1,0.1,0,0
150010221022035,7.2,2.6,0.1,0.1,0,0
150010221022032,9,3.3,0.2,0.2,0,0
150010221021168,0,0,0,0,0,0
150010221021523,0,0,0,0,0,0
150010221021197,0,0,0,0,0,0
150010221021205,1.8,0.7,0,0,0,0
150010221021178,0,0,0,0,0,0
150010221021349,0,0,0,0,0,0
150010216015009,32.2,23.9,0.9,0.5,0.1,0.1
150010216041007,1.6,1.2,0,0,0,0
150010215093014,4.8,1.9,0.1,0,0,0
150010215073009,20,13.7,0.4,0.4,0.1,0.1
150010215071033,0,0,0,0,0,0
150010215071021,0,0,0,0,0,0
150010215071066,0,0,0,0,0,0
150010215071071,0,0,0,0,0,0
150010215071139,0,0,0,0,0,0
150010215071024,0,0,0,0,0,0
150010215042114,0,0,0,0,0,0
150010215092015,13.8,8.8,0.2,0.1,0,0
150010216044015,5.8,3.7,0.1,0.1,0,0
150010215022044,0,0,0,0,0,0
150010215073019,20,13.7,0.4,0.4,0.1,0.1
150010201004002,0.5,0.2,0,0,0,0
150010201004035,3.7,1.4,0.1,0,0,0
150010201001344,0,0,0,0,0,0
150010201001359,12.4,4.8,0.2,0.1,0,0.1
150010201001367,0,0,0,0,0,0
150010201001078,0,0,0,0,0,0
150010201001098,1.3,0.4,0,0,0,0
150010201002073,0,0,0,0,0,0
150010201003098,0,0,0,0,0,0
150010201003039,0,0,0,0,0,0
150010201001068,0,0,0,0,0,0
150010201001110,2.2,0.7,0,0,0,0
150010201001129,0,0,0,0,0,0
150010201003117,12.4,3.9,0.2,0.1,0,0
150010201003009,17.7,5.6,0.2,0.2,0,0
150010201003124,20.3,6.4,0.3,0.2,0,0
150010209002002,38.5,14.9,0.6,0.3,0.1,0.2
150010209002008,13.5,5.2,0.2,0.1,0,0.1
150010209003008,40.8,15.8,0.6,0.3,0.1,0.3
150010203002002,0,0,0,0,0,0
150010208021009,20.6,7,0.3,0.2,0,0.1
150010206002055,1,0.3,0,0,0,0
150010206002006,0,0,0,0,0,0
150010207011019,76.4,30.3,0.8,0.7,0.2,0.3
150010205004015,0,0,0,0,0,0
150010209001004,0,0,0,0,0,0
150010204003002,22.1,7.3,0.4,0.3,0,0
150010205005018,34.5,11.4,0.6,0.4,0.1,0.1
150010205003012,8.9,2.9,0.1,0.1,0,0
150010205002001,0,0,0,0,0,0
150010204002011,0,0,0,0,0,0
150010204003006,12.4,4.1,0.2,0.1,0,0
150010212021019,0,0,0,0,0,0
150010212021012,2,0.8,0,0,0,0
150010212021125,0,0,0,0,0,0
150010212021131,0,0,0,0,0,0
150010212023147,9.8,4.6,0.2,0.2,0,0
150010212022641,1.2,0.8,0,0,0,0
150010212022646,0,0,0,0,0,0
150010212022443,1.8,1.2,0,0,0,0
150010212022486,1.5,1,0,0,0,0
150010212022496,1.2,0.8,0,0,0,0
150010212022671,0.6,0.4,0,0,0,0
150010212022647,0.6,0.4,0,0,0,0
150010212022670,4.2,2.9,0.1,0.1,0,0
150010212022483,2.4,1.7,0,0,0,0
150010212022614,0,0,0,0,0,0
150010212022666,0.3,0.2,0,0,0,0
150010212022665,1.8,1.2,0,0,0,0
150010212022618,0,0,0,0,0,0
150010212022445,2.7,1.9,0.1,0,0,0
150010212022406,0,0,0,0,0,0
150010210101007,25.7,13.2,0.6,0.6,0.1,0.1
150010210101107,4.8,1.4,0.1,0.1,0,0
150010210102049,22.5,10.1,0.3,0.4,0.1,0.1
150010210111009,0.7,0.4,0,0,0,0
150010210111050,0,0,0,0,0,0
150010210111014,0,0,0,0,0,0
150010210111039,0,0,0,0,0,0
150010210112018,0,0,0,0,0,0
150010210111078,0,0,0,0,0,0
150010210111004,3.2,1.6,0.1,0.1,0,0
150010210102086,0.7,0.4,0,0,0,0
150010210112032,0,0,0,0,0,0
150010210112014,61,31.2,1.4,1.5,0.2,0.4
150010210103056,13.2,6,0.2,0.2,0,0.1
150010215071144,58.9,34.7,1.4,0.7,0.2,0.1
150010216013001,6.8,4.1,0.1,0.1,0,0
150010215021044,123.3,72.5,3.5,1.6,0.3,0.7
