GEOID,G18GOVRSUN,G18GOVDKEL,G18GOVIJAR,G18GOVOWRI
330019653003062,3.1,1.9,0.1,0
330019652002056,0,0,0,0
330019652002018,0,0,0,0
330019653001084,0,0,0,0
330019653001064,0,0,0,0
330019653001007,0,0,0,0
330019653003011,0,0,0,0
330019653002017,3.9,2.4,0.1,0
330019651003065,10.5,7.3,0.4,0
330019651003061,13.3,9.2,0.4,0
330019651003088,37.1,25.7,1.2,0.1
330019651003058,0,0,0,0
330019651002005,0,0,0,0
330019651002042,5.5,3.8,0.2,0
330019651003002,0,0,0,0
330019651003008,0,0,0,0
330019651003013,14.1,9.8,0.5,0
330019651002069,0.4,0.3,0,0
330019651002009,5.5,3.8,0.2,0
330019651002047,0,0,0,0
330019651002025,0,0,0,0
330019651003056,0,0,0,0
330019651003101,0,0,0,0
330019651003020,0,0,0,0
330019654002025,0.8,0.5,0,0
330019654001056,0,0,0,0
330019654002068,0,0,0,0
330019654002066,0,0,0,0
330019654002050,0,0,0,0
330019654001033,0,0,0,0
330019658001000,13.6,6.4,0.3,0
330019658003064,0,0,0,0
330019658003021,0,0,0,0
330019658002032,0,0,0,0
330019658003009,0,0,0,0
330019658004085,0,0,0,0
330019658001016,0,0,0,0
330019658001041,0,0,0,0
330019658001022,0,0,0,0
330019658003087,0,0,0,0
330019658004046,0,0,0,0
330019658003044,0,0,0,0
330019651001031,24.3,14.7,0.8,0.1
330019651001071,0,0,0,0
330019651001092,0,0,0,0
330019651001077,6.2,3.7,0.2,0
330019654002022,2.3,1.5,0.1,0
330019654002052,0,0,0,0
330019654001025,3.1,2,0.1,0
330019654002073,0,0,0,0
330019654001045,0,0,0,0
330019654002112,0,0,0,0
330019654001006,0,0,0,0
330019655982054,2.7,1.8,0.1,0
330019655982064,10.6,7.2,0.3,0
330019655982003,4.6,3.1,0.1,0
330019655983017,0,0,0,0
330019655983044,7.6,5.2,0.2,0
330019655983047,0,0,0,0
330019655981028,0,0,0,0
330019655982048,8.2,5.5,0.2,0
330019664011092,0,0,0,0
330019664011061,0,0,0,0
330019664011009,0,0,0,0
330019664024018,38.4,23.3,0.6,0
330019664025043,0,0,0,0
330019664022012,2.5,1.5,0,0
330019664022003,0,0,0,0
330019664011001,0,0,0,0
330019664011033,0,0,0,0
330019664021012,34.6,21.1,0.5,0
330019664011018,9.9,6,0.1,0
330019664011079,15.7,9.5,0.2,0
330019656001025,39.6,21,1,0
330019656001027,0,0,0,0
330019656001046,4.6,2.4,0.1,0
330019656001035,0,0,0,0
330019656002007,0,0,0,0
330019656001052,1.5,0.8,0,0
330019656001031,0,0,0,0
330019656003021,3.8,2,0.1,0
330019656002073,0,0,0,0
330019656002050,0,0,0,0
330019656003057,12.9,6.9,0.3,0
330019656002072,7.2,3.8,0.2,0
330019656003068,0,0,0,0
330019654001015,0.4,0.2,0,0
330019654002060,26.2,16.6,0.6,0.1
330019654002046,1.2,0.7,0,0
330019654002098,0,0,0,0
330019654001032,0,0,0,0
330019654002072,0,0,0,0
330019654002101,0,0,0,0
330019654001034,0.8,0.5,0,0
330019654001021,0,0,0,0
330019654002028,0,0,0,0
330019654002008,0,0,0,0
330019654002010,0,0,0,0
330019654002100,0,0,0,0
330019655982033,0.5,0.4,0,0
330019655983019,19.1,12.9,0.5,0
330019655983074,0,0,0,0
330019655983006,0,0,0,0
330019655982004,1.6,1.1,0,0
330019664011025,0.4,0.3,0,0
330019664025026,25.6,15.6,0.4,0
