GEOID,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREIBLA,G20PREONON
320019501001435,0,0,0,0,0
320019501001445,0,0,0,0,0
320019501001094,0,0,0,0,0
320019501001091,0,0,0,0,0
320019501001696,0,0,0,0,0
320019501001319,0,0,0,0,0
320019507001370,0,0,0,0,0
320019506001129,0,0,0,0,0
320019506001202,0,0,0,0,0
320019506001181,0,0,0,0,0
320019506001231,0,0,0,0,0
320019506002035,0,0,0,0,0
320019506003029,0,0,0,0,0
320019503023016,8.4,18.8,0.5,0.1,0.3
320019507002005,6,24,0.9,0.1,0.2
320019501001074,0,0,0,0,0
320019506001095,0,0,0,0,0
320019506001092,0,0,0,0,0
320019506001106,0,0,0,0,0
320019501001867,0,0,0,0,0
320019501001065,0,0,0,0,0
320019501001861,0,0,0,0,0
320019506001033,0,0,0,0,0
320019506001039,0,0,0,0,0
320019506001024,0,0,0,0,0
320019506001282,0,0,0,0,0
320019501002163,0,0,0,0,0
320019507002018,0,0,0,0,0
320019503013074,6.7,22.9,0.6,0.2,0.4
320019501001610,1,1.7,0.1,0,0
320019506002052,1.7,5.7,0.1,0,0
320019507001001,1.9,8.7,0.2,0,0.1
320019507001010,3.1,14.6,0.4,0,0.1
320019507001051,0,0,0,0,0
320019507001153,0,0,0,0,0
320019507001036,0.6,2.9,0.1,0,0
320019507001163,0,0,0,0,0
320019507001131,0,0,0,0,0
320019505001102,0,0,0,0,0
320019506001243,0.3,1.1,0,0,0
320019503023026,22.3,41.6,1.6,0.1,0.8
320019503023033,2.3,5.1,0.1,0,0.1
320019507001160,0,0,0,0,0
320019507001393,0,0,0,0,0
320019507001162,0,0,0,0,0
320019507001146,0,0,0,0,0
320019507003107,0,0,0,0,0
320019507001100,0,0,0,0,0
320019507001197,0,0,0,0,0
320019507001029,0,0,0,0,0
320019507001190,0,0,0,0,0
320019507001395,0,0,0,0,0
320019507001192,0,0,0,0,0
320019507001195,0.2,1.2,0,0,0
320019507003027,0.3,1.2,0,0,0
320019507003033,0.8,3.6,0.1,0,0
320019507003216,0,0,0,0,0
320019501002178,0,0,0,0,0
320019507001302,0,0,0,0,0
320019507001267,0,0,0,0,0
320019506003040,0,0,0,0,0
320019503023036,2.8,5.2,0.2,0,0.1
320019507002040,0,0,0,0,0
320019505002009,0,0,0,0,0
320019506002016,0,0,0,0,0
320019507001332,0,0,0,0,0
320019505002069,2.7,7.7,0.2,0.1,0.1
320019505002039,0,0,0,0,0
320019505002070,2.3,6.6,0.2,0.1,0.1
320019506003003,8.1,34.5,0.3,0,0.5
320019505001065,5,6.8,0.2,0.1,0.3
320019505001098,0,0,0,0,0
320019505002011,0,0,0,0,0
320019505002134,0,0,0,0,0
320019505002047,0,0,0,0,0
320019505002044,0.4,1.1,0,0,0
320019507001317,0,0,0,0,0
320019507001280,0,0,0,0,0
320019507001281,0,0,0,0,0
320019503021064,1.2,5.8,0.2,0,0.1
320019501002092,0,0,0,0,0
320019503013024,0,0,0,0,0
320019505001066,3.7,5,0.1,0.1,0.2
320019505001003,0,0,0,0,0
320019504001035,0,0,0,0,0
320019501001563,0.8,1.1,0,0,0
320019507001118,0,0,0,0,0
320019506001170,0,0,0,0,0
320019506001178,0,0,0,0,0
320019506001131,0,0,0,0,0
320019506001177,0,0,0,0,0
320019506001155,0,0,0,0,0
320019507003077,0,0,0,0,0
320019505001072,6.1,8.3,0.2,0.1,0.4
320019505002019,0,0,0,0,0
320019506001223,0,0,0,0,0
320019505002100,0,0,0,0,0
320019503024032,0,0,0,0,0
320019503024013,0.8,2.1,0.1,0,0.1
320019503024024,1,2.5,0.1,0,0.1
320019503021039,2,5.6,0.2,0,0.1
320019503021075,2.3,6.6,0.3,0,0.1
320019503011004,0,0,0,0,0
320019503013005,1,1.7,0.1,0,0
320019503024016,1.1,2.8,0.2,0,0.1
320019503012046,0,0,0,0,0
320019503025028,0,0,0,0,0
320019503021069,2.7,7.6,0.3,0,0.1
320019503025033,0,0,0,0,0
320019503022009,5.1,11.9,0.9,0,0.3
320019503012015,0,0,0,0,0
320019503012028,6.2,11.5,0.4,0,0.2
320019506001150,0,0,0,0,0
320019506001151,0,0,0,0,0
320019503013045,0.8,1.4,0.1,0,0
320019506001248,0,0,0,0,0
320019501001753,0,0,0,0,0
320019501001167,0,0,0,0,0
320019501001110,0,0,0,0,0
320019501001135,0,0,0,0,0
320019501001379,0,0,0,0,0
320019501001712,0,0,0,0,0
320019501001819,0,0,0,0,0
320019501001840,0,0,0,0,0
320019501001727,0,0,0,0,0
320019501001405,0,0,0,0,0
320019501001328,1.3,1.8,0,0,0.1
320019501001488,0,0,0,0,0
320019501001657,0,0,0,0,0
320019501001802,0,0,0,0,0
320019501001648,0,0,0,0,0
320019501001633,0,0,0,0,0
320019501001554,0,0,0,0,0
320019501001139,0,0,0,0,0
320019501001232,0,0,0,0,0
320019501001128,0,0,0,0,0
320019501001231,0,0,0,0,0
320019501001236,0,0,0,0,0
320019501001409,0,0,0,0,0
320019507001360,0,0,0,0,0
320019507003016,0.3,1.2,0,0,0
320019506001186,0,0,0,0,0
320019506001185,6.9,25.6,0.4,0.1,0.2
320019507003019,3.8,16.4,0.4,0,0.2
320019506001204,0,0,0,0,0
320019505002031,0,0,0,0,0
320019505002066,0.4,1.1,0,0,0
320019506002030,3.8,16.2,0.2,0,0.2
320019507001120,0,0,0,0,0
320019507001114,0,0,0,0,0
320019507003240,0.3,1.2,0,0,0
320019507003047,0,0,0,0,0
320019507003136,0,0,0,0,0
320019507001159,0,0,0,0,0
320019503021029,0,0,0,0,0
320019507003203,0,0,0,0,0
320019507001084,0,0,0,0,0
320019507001096,0,0,0,0,0
320019507001052,0,0,0,0,0
320019507001070,0,0,0,0,0
320019507003155,0,0,0,0,0
320019501001386,0,0,0,0,0
320019501001391,0,0,0,0,0
320019501001382,0,0,0,0,0
320019501001107,0,0,0,0,0
320019501001109,0,0,0,0,0
320019501001108,0,0,0,0,0
320019501001073,0,0,0,0,0
320019501001854,0,0,0,0,0
320019501001461,0,0,0,0,0
320019501001419,0,0,0,0,0
320019501001714,0,0,0,0,0
320019501001724,0,0,0,0,0
320019501001773,0,0,0,0,0
320019507004072,7.4,35,1,0.1,0.3
320019507001006,4.7,22.1,0.6,0,0.2
320019507003170,0.2,1.2,0,0,0
320019507001295,0,0,0,0,0
320019507001203,0,0,0,0,0
320019506003007,7.7,25,0.9,0,0.7
320019503012000,0,0,0,0,0
320019506003016,2.4,7.7,0.3,0,0.2
320019503023000,0,0,0,0,0
320019505002081,0,0,0,0,0
320019504001063,0,0,0,0,0
320019501001613,0,0,0,0,0
320019503021007,6.9,16.1,1.2,0,0.5
320019503021012,3.5,16.3,0.5,0,0.2
320019503021008,12.2,28.4,2.1,0.1,0.8
320019507004018,0,0,0,0,0
320019507004010,4.3,14.3,0.3,0,0.1
320019506001159,0,0,0,0,0
320019506001179,0,0,0,0,0
320019507003004,0,0,0,0,0
320019506001136,0,0,0,0,0
320019506001165,0.9,3.4,0.1,0,0
320019507003244,0.3,1.2,0,0,0
320019501001810,0,0,0,0,0
320019503012037,0,0,0,0,0
