GEOID,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PRECCAS,G16USSRTHU,G16USSDWIL,G16PUCRNEL,G16PUCDRED,G16HALRNOE,G16HALDHAW
460039736001058,0.9,0.4,0.1,0,1,0.5,1.1,0.3,0.9,0.5
460039736003151,1.3,0.3,0.1,0,1.3,0.3,1.6,0.1,1.2,0.5
460039736003164,0,0,0,0,0,0,0,0,0,0
460039736004190,0.7,0.1,0,0,0.7,0.2,0.8,0.1,0.6,0.3
460039736003157,2,0.4,0.1,0,2,0.5,2.4,0.2,1.8,0.8
460039736001194,0,0,0,0,0,0,0,0,0,0
460039736004113,3,1,0.2,0.1,3.2,1.1,3.7,0.6,2.7,1.6
460039736004111,0,0,0,0,0,0,0,0,0,0
460039736003024,1,0.3,0.1,0,1.1,0.4,1.2,0.2,0.9,0.5
460039736003032,0,0,0,0,0,0,0,0,0,0
460039736003061,1.1,0.3,0.1,0,1.2,0.3,1.3,0.2,1.1,0.4
460039736003010,1.7,0.4,0.1,0,1.8,0.4,1.9,0.3,1.6,0.6
460039736003056,1.1,0.3,0.1,0,1.2,0.3,1.3,0.2,1.1,0.4
460039736001033,1,0.3,0.1,0,1.1,0.4,1.2,0.2,0.9,0.5
460039736003086,8.3,2.2,0.4,0.1,9.1,2.2,9.7,1.4,8.2,3.1
460039736003084,2.2,0.6,0.1,0,2.4,0.6,2.6,0.4,2.2,0.8
460039736003090,1.1,0.3,0.1,0,1.2,0.3,1.3,0.2,1.1,0.4
460039736003104,0,0,0,0,0,0,0,0,0,0
460039736003149,2.6,0.5,0.2,0.1,2.6,0.7,3.2,0.2,2.3,1.1
460039736003162,0,0,0,0,0,0,0,0,0,0
460039736003143,0,0,0,0,0,0,0,0,0,0
460039736004181,1,0.3,0.1,0,1.1,0.4,1.2,0.2,0.9,0.5
460039736004177,0,0,0,0,0,0,0,0,0,0
460039736004161,0,0,0,0,0,0,0,0,0,0
460039736004159,0,0,0,0,0,0,0,0,0,0
460039736004180,0,0,0,0,0,0,0,0,0,0
460039736004197,0,0,0,0,0,0,0,0,0,0
460039736004020,2,0.7,0.1,0,2.1,0.7,2.5,0.4,1.8,1.1
460039736004033,0,0,0,0,0,0,0,0,0,0
460039736004031,2.5,0.9,0.2,0.1,2.7,0.9,3.1,0.5,2.2,1.3
460039736004065,5.9,2.1,0.4,0.1,6.4,2.2,7.4,1.2,5.3,3.2
460039736004079,1,0.3,0.1,0,1.1,0.4,1.2,0.2,0.9,0.5
460039736004018,0,0,0,0,0,0,0,0,0,0
460039736001222,1,0.3,0.1,0,1.1,0.4,1.2,0.2,0.9,0.5
460039736004015,0,0,0,0,0,0,0,0,0,0
460039736003119,0,0,0,0,0,0,0,0,0,0
460039736003133,1.1,0.3,0.1,0,1.2,0.3,1.3,0.2,1.1,0.4
460039736003105,1.1,0.3,0.1,0,1.2,0.3,1.3,0.2,1.1,0.4
460039736001133,0.5,0.2,0,0,0.5,0.2,0.6,0.2,0.5,0.3
460039736001002,1.4,0.7,0.1,0,1.5,0.7,1.7,0.5,1.4,0.8
460039736001044,0.9,0.4,0.1,0,1,0.5,1.1,0.3,0.9,0.5
460039736001054,0,0,0,0,0,0,0,0,0,0
460039736001059,0,0,0,0,0,0,0,0,0,0
460039736001134,2.3,1.1,0.2,0,2.5,1.1,2.8,0.8,2.3,1.4
460039736001011,0,0,0,0,0,0,0,0,0,0
460039736001013,1.9,0.9,0.2,0,2,0.9,2.2,0.6,1.9,1.1
460039736001005,0,0,0,0,0,0,0,0,0,0
460039736001039,1.9,0.9,0.2,0,2,0.9,2.2,0.6,1.9,1.1
460039736001070,0.9,0.4,0.1,0,1,0.5,1.1,0.3,0.9,0.5
460039736001067,0,0,0,0,0,0,0,0,0,0
460039736004142,1.3,0.3,0.1,0,1.3,0.3,1.6,0.1,1.2,0.5
460039736004187,2,0.4,0.1,0,2,0.5,2.4,0.2,1.8,0.8
460039736003154,3.3,0.6,0.2,0.1,3.3,0.9,4,0.3,2.9,1.4
460039736003171,1.3,0.3,0.1,0,1.3,0.3,1.6,0.1,1.2,0.5
460039736004192,0,0,0,0,0,0,0,0,0,0
460039736001124,0,0,0,0,0,0,0,0,0,0
460039736001111,1,0.3,0.1,0,1.1,0.4,1.2,0.2,0.9,0.5
460039736001205,3.3,0.9,0.2,0.1,3.6,0.9,3.9,0.6,3.3,1.2
460039736001181,1.1,0.3,0.1,0,1.2,0.3,1.3,0.2,1.1,0.4
460039736001229,1.1,0.3,0.1,0,1.2,0.3,1.3,0.2,1.1,0.4
460039736001176,0.6,0.1,0,0,0.6,0.1,0.6,0.1,0.5,0.2
460039736001209,0,0,0,0,0,0,0,0,0,0
460039736001225,0,0,0,0,0,0,0,0,0,0
460039736001231,1.1,0.3,0.1,0,1.2,0.3,1.3,0.2,1.1,0.4
460039736001232,2,0.7,0.1,0,2.1,0.7,2.5,0.4,1.8,1.1
460039736001104,0,0,0,0,0,0,0,0,0,0
460039736001098,0.5,0.2,0,0,0.5,0.2,0.6,0.1,0.4,0.3
460039736003131,2.2,0.6,0.1,0,2.4,0.6,2.6,0.4,2.2,0.8
460039736003137,1.1,0.3,0.1,0,1.2,0.3,1.3,0.2,1.1,0.4
460039736001046,0,0,0,0,0,0,0,0,0,0
460039736001066,0,0,0,0,0,0,0,0,0,0
460039736001042,0.9,0.4,0.1,0,1,0.5,1.1,0.3,0.9,0.5
460039736001041,0,0,0,0,0,0,0,0,0,0
460039736001057,0.9,0.4,0.1,0,1,0.5,1.1,0.3,0.9,0.5
460039736001040,0,0,0,0,0,0,0,0,0,0
460039736001072,1.4,0.7,0.1,0,1.5,0.7,1.7,0.5,1.4,0.8
460039736004143,1.3,0.3,0.1,0,1.3,0.3,1.6,0.1,1.2,0.5
460039736004158,1.3,0.3,0.1,0,1.3,0.3,1.6,0.1,1.2,0.5
460039736003180,0,0,0,0,0,0,0,0,0,0
