GEOID20,STATEFP,COUNTYFP,DISTRICT,G18GOVRDUN,G18GOVDBEG,G18GOVLTOI,G18GOVIWAL,G18GOVOWRI,G18HALRYOU,G18HALDGAL,G18HALOWRI
0201337-700,02,013,37-700,44,56,5,4,0,68,39,0
0201337-712,02,013,37-712,8,10,0,0,0,7,7,0
0201337-720,02,013,37-720,73,68,4,6,0,118,37,0
0201337-744,02,013,37-744,88,107,8,16,0,157,56,0
0201637-704,02,016,37-704,13,13,0,6,0,16,17,0
0201637-706,02,016,37-706,316,413,13,32,1,353,412,2
0201637-750,02,016,37-750,6,18,0,3,0,18,9,0
0201637-752,02,016,37-752,24,109,7,3,1,90,56,0
0202012-225,02,020,12-225,711.64,383.19,17.95,9.13,4.95,705.32,412.43,2.03
0202012-230,02,020,12-230,1179.26,481.17,27.61,15.78,0.99,1158.55,546.25,2.96
0202012-233,02,020,12-233,520,222,11,8,0,542,215,0
0202013-235,02,020,13-235,479.39,180.99,12.72,9.78,0,471.56,203.5,3.91
0202013-240,02,020,13-240,823,375,23,24,2,823,413,4
0202013-245,02,020,13-245,422.22,225.52,23.45,5.84,1.19,415.49,262.12,7.21
0202013-250,02,020,13-250,809,424,21,19,5,773,492,3
0202013-255,02,020,13-255,632,304,14,18,0,625,339,2
0202013-260,02,020,13-260,62.18,108.81,1.94,7.77,0.97,72.87,105.9,0.97
0202014-940,02,020,14-940,731,426,27,23,5,745,460,4
0202014-945,02,020,14-945,535,311,21,11,1,537,340,7
0202014-950,02,020,14-950,817,479,27,14,2,822,509,3
0202014-955,02,020,14-955,332.8,171.25,11.48,3.53,1.77,324.85,190.67,1.77
0202014-960,02,020,14-960,798,530,25,22,2,794,564,9
0202014-965,02,020,14-965,1278.28,783.21,28.93,37.29,4.21,1262.42,860.71,11.43
0202014-970,02,020,14-970,692.99,416.89,12.94,16.28,2.86,669.74,461.93,5.49
0202015-300,02,020,15-300,235.89,165.14,10,14.11,1.75,206.27,216.21,2.73
0202015-305,02,020,15-305,592,475,29,19,4,583,532,11
0202015-310,02,020,15-310,321,391,20,9,4,325,401,8
0202015-315,02,020,15-315,298.08,329.26,14.04,12.05,4.01,317.01,331.4,1.02
0202015-320,02,020,15-320,275.94,381.43,16.23,13.53,6.31,291.26,389.55,4.51
0202016-325,02,020,16-325,252,323,9,5,0,247,329,9
0202016-330,02,020,16-330,432,595,13,31,6,429,634,3
0202016-335,02,020,16-335,356.02,359.01,12,9,1,350.02,387.02,1
0202016-340,02,020,16-340,348,483,28,21,2,370,503,5
0202016-345,02,020,16-345,347,384,12,14,2,355,398,1
0202016-350,02,020,16-350,711,767,19,12,0,743,756,2
0202016-355,02,020,16-355,334,387,16,14,3,329,421,2
0202017-400,02,020,17-400,334,584,7,18,0,342,600,4
0202017-405,02,020,17-405,154,307,4,12,0,175,299,2
0202017-410,02,020,17-410,276,430,15,9,3,301,421,9
0202017-415,02,020,17-415,309,368,20,18,0,312,397,0
0202017-420,02,020,17-420,685,826,24,20,3,709,853,1
0202017-425,02,020,17-425,282,480,20,17,0,301,498,0
0202017-430,02,020,17-430,246.93,313.91,18,6,0,239.93,342.91,1
0202018-435,02,020,18-435,226,391,1,29,0,265,377,1
0202018-440,02,020,18-440,189,314,11,7,0,199,326,0
0202018-445,02,020,18-445,305,412,13,10,0,289,459,4
0202018-450,02,020,18-450,261,324,14,6,5,278,327,1
0202018-455,02,020,18-455,253,376,20,10,0,254,408,3
0202018-460,02,020,18-460,293,686,10,33,2,316,699,6
0202018-465,02,020,18-465,142,257,7,14,0,156,256,0
0202018-470,02,020,18-470,102,190,6,0,1,95,202,0
0202018-475,02,020,18-475,219,253,8,6,3,222,262,6
0202018-480,02,020,18-480,332,695,8,17,1,357,690,1
0202019-500,02,020,19-500,184,317,13,13,6,185,338,5
0202019-505,02,020,19-505,214,357,21,10,1,237,358,4
0202019-510,02,020,19-510,320,419,11,9,0,329,428,0
0202019-515,02,020,19-515,176.07,161.09,12,10,0,174.07,183.09,0
0202019-520,02,020,19-520,259,452,16,15,4,270,475,2
0202019-525,02,020,19-525,282,850,12,9,5,316,820,7
0202020-530,02,020,20-530,244.99,431.88,12.53,22.15,3.85,238.11,471.51,7.7
0202020-535,02,020,20-535,462,759,24,31,3,483,781,5
0202020-540,02,020,20-540,116.61,242.12,0,4.94,0,112.66,246.08,0
0202020-545,02,020,20-545,164,404,9,30,0,200,397,1
0202020-550,02,020,20-550,94,138,9,11,12,109,145,0
0202020-555,02,020,20-555,273,599,20,11,3,293,614,1
0202020-560,02,020,20-560,209,631,2,28,0,223,638,4
0202020-565,02,020,20-565,146,358,2,2,0,144,367,1
0202020-570,02,020,20-570,235,468,20,9,2,259,477,4
0202021-600,02,020,21-600,391,823,10,30,1,415,835,5
0202021-605,02,020,21-605,508.22,534.76,12.78,20.64,0.98,523.95,540.66,1.97
0202021-610,02,020,21-610,425,475,19,20,3,413,527,0
0202021-615,02,020,21-615,352,403,17,16,0,349,435,1
0202021-620,02,020,21-620,365,394,13,13,0,374,407,0
0202021-625,02,020,21-625,432,676,14,16,6,417,707,13
0202021-630,02,020,21-630,222,361,3,6,0,230,362,0
0202021-635,02,020,21-635,442,722,25,19,2,426,782,9
0202022-640,02,020,22-640,642,534,16,28,8,651,561,1
0202022-645,02,020,22-645,1043,866,24,42,5,1072,901,2
0202022-650,02,020,22-650,421,327,10,11,0,405,361,0
0202022-655,02,020,22-655,414,401,9,11,1,406,432,2
0202022-660,02,020,22-660,690,669,16,27,1,691,706,2
0202022-665,02,020,22-665,507,446,15,17,4,502,483,2
0202022-670,02,020,22-670,281,226,4,5,0,303,212,4
0202023-735,02,020,23-735,236,272,1,5,3,247,266,2
0202023-740,02,020,23-740,415,440,25,17,0,424,471,4
0202023-745,02,020,23-745,231,246,2,7,0,218,261,0
0202023-750,02,020,23-750,455,444,23,20,3,444,489,1
0202023-755,02,020,23-755,478,389,18,17,0,476,421,7
0202023-760,02,020,23-760,301,272,12,13,6,314,285,1
0202023-765,02,020,23-765,507,493,21,13,0,510,518,3
0202023-770,02,020,23-770,304,285,11,2,1,277,325,2
0202024-700,02,020,24-700,572,450,23,12,3,591,464,7
0202024-705,02,020,24-705,445,402,10,19,0,457,407,4
0202024-710,02,020,24-710,742,556,14,22,7,765,571,0
0202024-715,02,020,24-715,576,506,14,21,0,596,513,4
0202024-720,02,020,24-720,541,482,14,19,0,554,499,0
0202024-725,02,020,24-725,685,585,20,18,1,703,592,10
0202024-730,02,020,24-730,917,791,22,35,1,956,809,1
0202025-840,02,020,25-840,161,158,2,3,1,174,145,1
0202025-845,02,020,25-845,767,810,21,22,3,780,836,6
0202025-850,02,020,25-850,547,693,12,18,0,550,715,2
0202025-855,02,020,25-855,597,535,20,14,0,602,566,4
0202025-860,02,020,25-860,457,474,16,13,2,451,509,0
0202025-865,02,020,25-865,441,369,15,20,0,444,394,2
0202025-870,02,020,25-870,552,599,13,31,5,555,636,2
0202026-800,02,020,26-800,636,495,29,17,3,617,553,8
0202026-805,02,020,26-805,633,510,13,21,0,677,495,1
0202026-810,02,020,26-810,606,357,15,11,1,621,360,3
0202026-815,02,020,26-815,826,554,7,28,8,820,592,6
0202026-820,02,020,26-820,767,642,17,21,0,812,628,5
0202026-825,02,020,26-825,453,431,15,13,0,469,438,4
0202026-830,02,020,26-830,308,260,0,9,0,301,277,0
0202026-835,02,020,26-835,224,260,9,9,0,232,270,1
0202027-900,02,020,27-900,703,710,24,24,3,723,733,10
0202027-905,02,020,27-905,414,336,12,13,1,402,368,3
0202027-910,02,020,27-910,632.64,566.45,16.27,21.38,0.06,632.09,595.48,4.13
0202027-915,02,020,27-915,369.1,308.06,6,10,1,351.1,331.07,6
0202027-920,02,020,27-920,431.67,585.41,18.01,15.02,2,458.65,585.45,8.01
0202027-925,02,020,27-925,478,410,11,11,0,514,389,2
0202027-930,02,020,27-930,648,818,23,22,6,667,839,6
0202027-935,02,020,27-935,119,176,3,3,0,121,177,1
0202028-105,02,020,28-105,565,486,24,36,0,578,521,5
0202028-110,02,020,28-110,1037.08,810.79,14.2,17.7,0.2,1050.88,832.08,4
0202028-115,02,020,28-115,657,440,9,31,0,671,461,0
0202028-120,02,020,28-120,703,531,18,20,4,697,580,1
0202028-125,02,020,28-125,401.92,358.21,3.8,13.3,3.8,398.12,382.92,0
0202028-130,02,020,28-130,83,128,9,2,2,90,135,0
0202028-135,02,020,28-135,277,928,12,40,1,290,973,4
0202028-140,02,020,28-140,992,725,13,28,0,1026,724,0
0202028-145,02,020,28-145,574,523,3,16,0,596,519,1
0205037-746,02,050,37-746,6.36,24.44,2.01,2.97,0,22.26,15.5,0
0205038-800,02,050,38-800,51.34,123.59,8.19,9.11,0,122.39,62.06,0
0205038-802,02,050,38-802,25.18,92.27,3.73,2.8,0,49.44,76.4,0
0205038-804,02,050,38-804,54.86,92.79,8.98,8.97,0,75.84,87.76,0
0205038-806,02,050,38-806,15.23,61.04,3.22,7.98,0,43.08,44.51,0
0205038-808,02,050,38-808,228,518,14,17,0,307,464,1
0205038-810,02,050,38-810,213.39,495.13,13.86,19.4,1.85,294.68,443.4,4.62
0205038-812,02,050,38-812,49,154,12,12,0,51,177,2
0205038-814,02,050,38-814,11,15,2,0,0,14,14,0
0205038-816,02,050,38-816,12.66,18.5,0.97,0,0,11.68,20.45,0
0205038-818,02,050,38-818,43.65,147.48,2.38,5.24,0.16,87.59,110.78,0.41
0205038-820,02,050,38-820,31.29,89.9,3.02,6.04,0,30.72,99.52,0.01
0205038-822,02,050,38-822,17.68,85.76,0.04,2.21,0,42.72,63,0
0205038-824,02,050,38-824,43,128,6,14,1,70,119,1
0205038-826,02,050,38-826,24,72,4,10,4,49,61,2
0205038-828,02,050,38-828,62.51,123.24,3.04,11.9,0,82.92,112.76,0.98
0205038-830,02,050,38-830,13,73,0,4,0,43,47,0
0205038-832,02,050,38-832,23.95,52.79,2.01,4.98,0,48.78,34.95,0
0205038-836,02,050,38-836,41,58,9,3,0,46,64,0
0205038-838,02,050,38-838,13.83,87.89,1.98,1.98,0,27.65,80.97,0
0205038-840,02,050,38-840,14.84,96,0.87,8.73,0,48,72.43,0
0205038-842,02,050,38-842,21,60,3,10,0,49,44,0
0205038-844,02,050,38-844,13,82,4,3,0,33,70,1
0205038-846,02,050,38-846,28.27,73.32,1.77,8.83,0,71.55,41.52,0
0205038-848,02,050,38-848,30.48,93.4,1.97,7.87,0,64.89,69.8,0
0205038-852,02,050,38-852,59,204,4,14,0,58,224,0
0205038-854,02,050,38-854,44.57,76.26,5.94,10.89,0,85.17,54.47,0
0205038-856,02,050,38-856,17,120,5,11,2,81,78,0
0205038-858,02,050,38-858,26,129,4,4,0,35,126,0
0205038-860,02,050,38-860,35.67,36.26,1.08,4.15,0,52.31,24.87,0
0206037-722,02,060,37-722,101,62,8,7,0,108,66,0
0206037-734,02,060,37-734,77.16,83.52,9.08,3.63,0,106.21,64.45,0
0206037-748,02,060,37-748,5.33,12.95,0.76,0,0,13.71,5.33,0
0206309-650,02,063,09-650,342,338,10,31,1,403,304,4
0206309-655,02,063,09-655,205,161,8,23,1,222,172,0
0206309-660,02,063,09-660,283.23,256.31,24.93,22.94,0,315.15,264.28,2.99
0206309-665,02,063,09-665,57.51,48.46,1.05,11.04,0,53.57,64.48,0.01
0206332-805,02,063,32-805,277.33,640.46,21.95,23.94,5.99,449.92,500.8,2
0206332-850,02,063,32-850,7.99,18.03,0.97,2.81,2.76,16.65,15.86,0.92
0206606-020,02,066,06-020,83,18,2,2,0,90,15,2
0206606-025,02,066,06-025,258.29,156.34,10.94,15.18,0,290.35,138.73,0.97
0206606-035,02,066,06-035,71,67,0,4,3,82,60,2
0206606-047,02,066,06-047,113.71,38.66,6.06,6.82,0,107.65,49.27,3.03
0206606-053,02,066,06-053,8.2,34.83,0,0,0,17.76,25.27,0
0206606-060,02,066,06-060,2.7,4.06,0.35,0.12,0,4.35,3.06,0
0206606-090,02,066,06-090,0,0,0,0,0,0,0,0
0206609-632,02,066,09-632,192,68,5,8,0,193,73,3
0206806-005,02,068,06-005,58.14,21.21,0.79,0,0,54.21,25.14,0
0206806-012,02,068,06-012,74,65,1,2,0,86,57,0
0206806-024,02,068,06-024,47.06,25.93,0,0,0,45.14,27.85,0
0206806-026,02,068,06-026,17,131,1,4,0,17,134,0
